Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.401136346416219 
    wm_size = [1600 2560] 
    stim_amp = 4 
    baseline_stim = 1
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:17:34.647355 False [     447.071944] 0003 0035 00000546
2022-04-06 14:17:34.647355 False [     447.071944] 0003 0036 00000898
2022-04-06 14:17:34.647355 False [     447.071944] 0003 0035 000004bc
2022-04-06 14:17:34.647355 False [     447.071944] 0003 0036 00000967
2022-04-06 14:17:34.654108 False [     447.080416] 0003 0035 00000548
2022-04-06 14:17:34.654108 False [     447.080416] 0003 0036 00000896
2022-04-06 14:17:34.654108 False [     447.080416] 0003 0035 000004bb
2022-04-06 14:17:34.654108 False [     447.080416] 0003 0036 0000096a
2022-04-06 14:17:34.662653 False [     447.088597] 0003 0035 00000549
2022-04-06 14:17:34.662653 False [     447.088597] 0003 0036 00000894
2022-04-06 14:17:34.662653 False [     447.088597] 0003 0035 000004ba
2022-04-06 14:17:34.662653 False [     447.088597] 0003 0036 00000970
2022-04-06 14:17:34.671603 False [     447.097003] 0003 0035 0000054a
2022-04-06 14:17:34.671603 False [     447.097003] 0003 0036 00000893
2022-04-06 14:17:34.671603 False [     447.097003] 0003 0035 000004b9
2022-04-06 14:17:34.671603 False [     447.097003] 0003 0036 00000975
2022-04-06 14:17:34.678759 False [     447.105182] 0003 0035 0000054c
2022-04-06 14:17:34.678759 False [     447.105182] 0003 0036 00000892
2022-04-06 14:17:34.678759 False [     447.105182] 0003 0035 000004b8
2022-04-06 14:17:34.678759 False [     447.105182] 0003 0036 00000978
2022-04-06 14:17:34.687460 False [     447.113685] 0003 0035 0000054d
2022-04-06 14:17:34.687460 False [     447.113685] 0003 0036 00000891
2022-04-06 14:17:34.687460 False [     447.113685] 0003 0035 000004b7
2022-04-06 14:17:34.687460 False [     447.113685] 0003 0036 0000097a
2022-04-06 14:17:34.695030 False [     447.121912] 0003 0035 0000054e
2022-04-06 14:17:34.695030 False [     447.121912] 0003 0036 00000890
2022-04-06 14:17:34.695030 False [     447.121912] 0003 0036 0000097d
2022-04-06 14:17:34.704501 False [     447.130426] 0003 0035 0000054f
2022-04-06 14:17:34.704501 False [     447.130426] 0003 0036 0000088f
2022-04-06 14:17:34.704501 False [     447.130426] 0003 0036 0000097e
2022-04-06 14:17:34.712515 False [     447.138558] 0003 0035 00000550
2022-04-06 14:17:34.712515 False [     447.138558] 0003 0035 000004b6
2022-04-06 14:17:34.712515 False [     447.138558] 0003 0036 0000097f
2022-04-06 14:17:34.721721 False [     447.147059] 0003 0036 00000980
2022-04-06 14:17:34.729305 False [     447.155258] 0003 0036 0000088e
2022-04-06 14:17:34.729305 False [     447.155258] 0003 0036 00000981
2022-04-06 14:17:34.737679 False [     447.163720] 0003 0035 00000551
2022-04-06 14:17:34.737679 False [     447.163720] 0003 0035 000004b5
2022-04-06 14:17:34.737679 False [     447.163720] 0003 0036 00000983
2022-04-06 14:17:34.746802 False [     447.171873] 0003 0036 0000088d
2022-04-06 14:17:34.746802 False [     447.171873] 0003 0036 00000986
2022-04-06 14:17:34.754434 False [     447.180393] 0003 0035 00000552
2022-04-06 14:17:34.754434 False [     447.180393] 0003 0035 000004b4
2022-04-06 14:17:34.754434 False [     447.180393] 0003 0036 00000988
2022-04-06 14:17:34.761868 False [     447.188587] 0003 0036 0000098a
2022-04-06 14:17:34.769634 False [     447.197080] 0003 0036 0000098b
2022-04-06 14:17:34.779062 False [     447.205308] 0003 0035 00000553
2022-04-06 14:17:34.779062 False [     447.205308] 0003 0036 0000088c
2022-04-06 14:17:34.779062 False [     447.205308] 0003 0036 0000098c
2022-04-06 14:17:34.787709 False [     447.213672] 0003 0035 000004b3
2022-04-06 14:17:34.787709 False [     447.213672] 0003 0036 0000098e
2022-04-06 14:17:34.794958 False [     447.221910] 0003 0036 0000098f
2022-04-06 14:17:34.819840 False [     447.247017] 0003 0036 00000990
