Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.21370756515694914 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:18:24.220496 True [  157427.392572] 0003 0035 00000493
2022-04-02 17:18:24.220496 True [  157427.392572] 0003 0036 000003e6
2022-04-02 17:18:24.230593 True [  157427.400792] 0003 0035 00000495
2022-04-02 17:18:24.230593 True [  157427.400792] 0003 0036 000003e4
2022-04-02 17:18:24.237301 True [  157427.409089] 0003 0035 00000496
2022-04-02 17:18:24.237301 True [  157427.409089] 0003 0036 000003e2
2022-04-02 17:18:24.246532 True [  157427.417236] 0003 0036 000003e1
2022-04-02 17:18:24.254554 True [  157427.425705] 0003 0035 00000497
2022-04-02 17:18:24.254554 True [  157427.425705] 0003 0036 000003e0
2022-04-02 17:18:24.280478 True [  157427.450471] 0003 0035 00000492
2022-04-02 17:18:24.280478 True [  157427.450471] 0003 0036 000003d3
2022-04-02 17:18:24.288628 True [  157427.458946] 0003 0035 0000048f
2022-04-02 17:18:24.288628 True [  157427.458946] 0003 0036 000003cb
2022-04-02 17:18:24.296055 True [  157427.467121] 0003 0035 0000048e
2022-04-02 17:18:24.296055 True [  157427.467121] 0003 0036 000003c6
2022-04-02 17:18:24.303060 True [  157427.475562] 0003 0035 0000048c
2022-04-02 17:18:24.303060 True [  157427.475562] 0003 0036 000003c3
2022-04-02 17:18:24.311769 True [  157427.483737] 0003 0036 000003c1
2022-04-02 17:18:24.321796 True [  157427.492150] 0003 0036 000003bf
2022-04-02 17:18:24.328873 True [  157427.500371] 0003 0035 00000487
2022-04-02 17:18:24.328873 True [  157427.500371] 0003 0036 000003ba
2022-04-02 17:18:24.337208 True [  157427.508818] 0003 0035 00000483
2022-04-02 17:18:24.337208 True [  157427.508818] 0003 0036 000003b6
2022-04-02 17:18:24.343997 True [  157427.517005] 0003 0035 00000481
2022-04-02 17:18:24.343997 True [  157427.517005] 0003 0036 000003b3
2022-04-02 17:18:24.362686 True [  157427.533622] 0003 0035 0000047f
2022-04-02 17:18:24.362686 True [  157427.533622] 0003 0036 000003b1
2022-04-02 17:18:24.369844 True [  157427.542037] 0003 0035 0000047e
2022-04-02 17:18:24.369844 True [  157427.542037] 0003 0036 000003af
2022-04-02 17:18:24.377474 True [  157427.550233] 0003 0035 0000047d
2022-04-02 17:18:24.386316 True [  157427.558652] 0003 0035 0000047c
2022-04-02 17:18:24.386316 True [  157427.558652] 0003 0036 000003ae
2022-04-02 17:18:24.404308 True [  157427.575184] 0003 0035 0000047b
2022-04-02 17:18:24.404308 True [  157427.575184] 0003 0036 000003ad
2022-04-02 17:18:24.430088 True [  157427.600136] 0003 0035 00000478
2022-04-02 17:18:24.430088 True [  157427.600136] 0003 0036 000003ac
2022-04-02 17:18:24.436756 True [  157427.608648] 0003 0035 00000476
2022-04-02 17:18:24.446746 True [  157427.616679] 0003 0035 00000474
2022-04-02 17:18:24.446746 True [  157427.616679] 0003 0036 000003ab
2022-04-02 17:18:24.452025 True [  157427.625134] 0003 0035 00000473
2022-04-02 17:18:24.461022 True [  157427.633301] 0003 0035 00000472
2022-04-02 17:18:24.470760 True [  157427.641745] 0003 0035 00000470
2022-04-02 17:18:24.476899 True [  157427.649926] 0003 0035 0000046f
2022-04-02 17:18:24.503620 True [  157427.674878] 0003 0035 0000046e
2022-04-02 17:18:24.509177 True [  157427.683156] 0003 0035 0000046d
2022-04-02 17:18:24.518123 True [  157427.691579] 0003 0035 0000046c
2022-04-02 17:18:24.552648 True [  157427.724731] 0003 0035 0000046b
2022-04-02 17:18:24.571176 True [  157427.741409] 0003 0035 0000046a
2022-04-02 17:18:24.578031 True [  157427.749653] 0003 0035 00000469
2022-04-02 17:18:24.585281 True [  157427.758065] 0003 0035 00000468
2022-04-02 17:18:24.585281 True [  157427.758065] 0003 0036 000003aa
2022-04-02 17:18:24.595038 True [  157427.766261] 0003 0035 00000467
2022-04-02 17:18:24.602130 True [  157427.774681] 0003 0035 00000465
2022-04-02 17:18:24.602130 True [  157427.774681] 0003 0036 000003a9
2022-04-02 17:18:24.620190 True [  157427.791335] 0003 0035 00000463
2022-04-02 17:18:24.620190 True [  157427.791335] 0003 0036 000003a6
2022-04-02 17:18:24.626725 True [  157427.799475] 0003 0035 00000461
2022-04-02 17:18:24.626725 True [  157427.799475] 0003 0036 000003a4
2022-04-02 17:18:24.634317 True [  157427.807921] 0003 0035 0000045f
2022-04-02 17:18:24.634317 True [  157427.807921] 0003 0036 000003a1
2022-04-02 17:18:24.643222 True [  157427.816089] 0003 0035 0000045d
2022-04-02 17:18:24.643222 True [  157427.816089] 0003 0036 0000039f
2022-04-02 17:18:24.653030 True [  157427.824710] 0003 0035 0000045b
2022-04-02 17:18:24.653030 True [  157427.824710] 0003 0036 0000039c
2022-04-02 17:18:24.660841 True [  157427.832751] 0003 0035 0000045a
2022-04-02 17:18:24.660841 True [  157427.832751] 0003 0036 0000039a
2022-04-02 17:18:24.667712 True [  157427.841176] 0003 0035 00000457
2022-04-02 17:18:24.667712 True [  157427.841176] 0003 0036 00000397
2022-04-02 17:18:24.676725 True [  157427.849363] 0003 0035 00000456
2022-04-02 17:18:24.676725 True [  157427.849363] 0003 0036 00000394
2022-04-02 17:18:24.685768 True [  157427.857786] 0003 0035 00000454
2022-04-02 17:18:24.685768 True [  157427.857786] 0003 0036 00000391
2022-04-02 17:18:24.706620 True [  157427.874448] 0003 0035 00000451
2022-04-02 17:18:24.706620 True [  157427.874448] 0003 0036 0000038e
2022-04-02 17:18:24.711150 True [  157427.882578] 0003 0035 0000044f
2022-04-02 17:18:24.711150 True [  157427.882578] 0003 0036 00000389
2022-04-02 17:18:24.718593 True [  157427.891033] 0003 0035 0000044c
2022-04-02 17:18:24.718593 True [  157427.891033] 0003 0036 00000386
2022-04-02 17:18:24.727711 True [  157427.899208] 0003 0035 0000044a
2022-04-02 17:18:24.727711 True [  157427.899208] 0003 0036 00000383
2022-04-02 17:18:24.735682 True [  157427.907651] 0003 0035 00000448
2022-04-02 17:18:24.735682 True [  157427.907651] 0003 0036 0000037f
2022-04-02 17:18:24.743603 True [  157427.915824] 0003 0035 00000446
2022-04-02 17:18:24.743603 True [  157427.915824] 0003 0036 0000037c
2022-04-02 17:18:24.750879 True [  157427.924303] 0003 0035 00000444
2022-04-02 17:18:24.750879 True [  157427.924303] 0003 0036 00000379
2022-04-02 17:18:24.759845 True [  157427.932458] 0003 0035 00000442
2022-04-02 17:18:24.759845 True [  157427.932458] 0003 0036 00000376
2022-04-02 17:18:24.770800 True [  157427.941886] 0003 0035 00000441
2022-04-02 17:18:24.770800 True [  157427.941886] 0003 0036 00000374
2022-04-02 17:18:24.778401 True [  157427.949679] 0003 0035 00000440
2022-04-02 17:18:24.778401 True [  157427.949679] 0003 0036 00000370
2022-04-02 17:18:24.786704 True [  157427.957476] 0003 0035 0000043f
2022-04-02 17:18:24.786704 True [  157427.957476] 0003 0036 0000036e
2022-04-02 17:18:24.796850 True [  157427.965665] 0003 0035 0000043e
2022-04-02 17:18:24.796850 True [  157427.965665] 0003 0036 0000036a
2022-04-02 17:18:24.800855 True [  157427.974117] 0003 0035 0000043d
2022-04-02 17:18:24.800855 True [  157427.974117] 0003 0036 00000368
2022-04-02 17:18:24.810199 True [  157427.982264] 0003 0036 00000365
2022-04-02 17:18:24.819103 True [  157427.990678] 0003 0036 00000363
2022-04-02 17:18:24.826762 True [  157427.998839] 0003 0036 00000361
2022-04-02 17:18:24.835187 True [  157428.007268] 0003 0036 0000035f
2022-04-02 17:18:24.843288 True [  157428.015466] 0003 0036 0000035e
2022-04-02 17:18:24.850810 True [  157428.023879] 0003 0035 0000043c
2022-04-02 17:18:24.857644 True [  157428.032073] 0003 0036 0000035d
2022-04-02 17:18:24.866931 True [  157428.040652] 0003 0035 0000043b
2022-04-02 17:18:24.886130 True [  157428.057360] 0003 0036 0000035e
2022-04-02 17:18:24.935761 True [  157428.098609] 0003 0035 0000043c
2022-04-02 17:18:24.935761 True [  157428.107089] 0003 0036 0000035f
2022-04-02 17:18:24.944039 True [  157428.115349] 0003 0035 0000043d
2022-04-02 17:18:24.944039 True [  157428.115349] 0003 0036 00000361
2022-04-02 17:18:24.949729 True [  157428.123669] 0003 0036 00000362
2022-04-02 17:18:24.957726 True [  157428.131827] 0003 0035 0000043e
2022-04-02 17:18:24.957726 True [  157428.131827] 0003 0036 00000364
2022-04-02 17:18:24.969393 True [  157428.140423] 0003 0035 00000440
2022-04-02 17:18:24.977687 True [  157428.148667] 0003 0035 00000441
2022-04-02 17:18:24.977687 True [  157428.148667] 0003 0036 00000366
2022-04-02 17:18:24.985231 True [  157428.156997] 0003 0036 00000368
2022-04-02 17:18:24.994065 True [  157428.165129] 0003 0035 00000442
2022-04-02 17:18:24.994065 True [  157428.165129] 0003 0036 00000369
2022-04-02 17:18:25.000875 True [  157428.173642] 0003 0035 00000444
2022-04-02 17:18:25.000875 True [  157428.173642] 0003 0036 0000036a
2022-04-02 17:18:25.009562 True [  157428.181665] 0003 0035 00000445
2022-04-02 17:18:25.010562 True [  157428.181665] 0003 0036 0000036c
2022-04-02 17:18:25.016922 True [  157428.190126] 0003 0035 00000447
2022-04-02 17:18:25.016922 True [  157428.190126] 0003 0036 0000036e
2022-04-02 17:18:25.026070 True [  157428.198336] 0003 0035 00000448
2022-04-02 17:18:25.036711 True [  157428.206787] 0003 0035 0000044a
2022-04-02 17:18:25.036711 True [  157428.206787] 0003 0036 00000370
2022-04-02 17:18:25.043007 True [  157428.215028] 0003 0035 0000044c
2022-04-02 17:18:25.043007 True [  157428.215028] 0003 0036 00000371
2022-04-02 17:18:25.052113 True [  157428.223394] 0003 0035 0000044f
2022-04-02 17:18:25.052113 True [  157428.223394] 0003 0036 00000372
2022-04-02 17:18:25.060765 True [  157428.231586] 0003 0035 00000451
2022-04-02 17:18:25.060765 True [  157428.231586] 0003 0036 00000374
2022-04-02 17:18:25.066127 True [  157428.240001] 0003 0035 00000453
2022-04-02 17:18:25.066127 True [  157428.240001] 0003 0036 00000376
2022-04-02 17:18:25.076769 True [  157428.248344] 0003 0035 00000456
2022-04-02 17:18:25.076769 True [  157428.248344] 0003 0036 00000378
2022-04-02 17:18:25.085183 True [  157428.256731] 0003 0035 00000459
2022-04-02 17:18:25.085183 True [  157428.256731] 0003 0036 00000379
2022-04-02 17:18:25.093509 True [  157428.264830] 0003 0035 0000045b
2022-04-02 17:18:25.093509 True [  157428.264830] 0003 0036 0000037b
2022-04-02 17:18:25.100004 True [  157428.273270] 0003 0035 0000045d
2022-04-02 17:18:25.100004 True [  157428.273270] 0003 0036 0000037d
2022-04-02 17:18:25.110402 True [  157428.281479] 0003 0035 00000461
2022-04-02 17:18:25.110402 True [  157428.281479] 0003 0036 0000037f
2022-04-02 17:18:25.117719 True [  157428.289830] 0003 0035 00000463
2022-04-02 17:18:25.117719 True [  157428.289830] 0003 0036 00000380
2022-04-02 17:18:25.126738 True [  157428.298044] 0003 0035 00000466
2022-04-02 17:18:25.126738 True [  157428.298044] 0003 0036 00000382
2022-04-02 17:18:25.136809 True [  157428.306485] 0003 0035 00000469
2022-04-02 17:18:25.136809 True [  157428.306485] 0003 0036 00000383
2022-04-02 17:18:25.146708 True [  157428.314799] 0003 0035 0000046d
2022-04-02 17:18:25.146708 True [  157428.314799] 0003 0036 00000384
2022-04-02 17:18:25.152723 True [  157428.323232] 0003 0035 00000471
2022-04-02 17:18:25.159902 True [  157428.331296] 0003 0035 00000476
2022-04-02 17:18:25.159902 True [  157428.331296] 0003 0036 00000385
2022-04-02 17:18:25.169074 True [  157428.339767] 0003 0035 0000047b
2022-04-02 17:18:25.169074 True [  157428.339767] 0003 0036 00000386
2022-04-02 17:18:25.183605 True [  157428.356362] 0003 0035 00000482
2022-04-02 17:18:25.183605 True [  157428.356362] 0003 0036 00000387
2022-04-02 17:18:25.193225 True [  157428.364605] 0003 0035 00000488
2022-04-02 17:18:25.201871 True [  157428.372957] 0003 0035 0000048f
2022-04-02 17:18:25.201871 True [  157428.372957] 0003 0036 00000388
2022-04-02 17:18:25.209330 True [  157428.381176] 0003 0035 00000494
2022-04-02 17:18:25.209330 True [  157428.381176] 0003 0036 00000389
2022-04-02 17:18:25.217636 True [  157428.389718] 0003 0035 0000049a
2022-04-02 17:18:25.226299 True [  157428.397779] 0003 0035 0000049e
2022-04-02 17:18:25.234397 True [  157428.406223] 0003 0035 000004a2
2022-04-02 17:18:25.234397 True [  157428.406223] 0003 0036 0000038a
2022-04-02 17:18:25.243404 True [  157428.414415] 0003 0035 000004a5
2022-04-02 17:18:25.252930 True [  157428.422822] 0003 0035 000004a8
2022-04-02 17:18:25.261173 True [  157428.431078] 0003 0035 000004a9
2022-04-02 17:18:25.268866 True [  157428.439510] 0003 0035 000004aa
2022-04-02 17:18:25.275276 True [  157428.447629] 0003 0035 000004ab
2022-04-02 17:18:25.301986 False [  157428.472076] 0003 0035 000004b2
2022-04-02 17:18:25.302275 False [  157428.472076] 0003 0036 00000380
2022-04-02 17:18:25.511393 True [  157428.680322] 0003 0035 00000446
2022-04-02 17:18:25.511847 False [  157428.680322] 0003 0036 00000324
2022-04-02 17:18:25.542007 False [  157428.713356] 0003 0035 00000444
2022-04-02 17:18:25.543004 False [  157428.713356] 0003 0036 00000328
2022-04-02 17:18:25.549905 False [  157428.721775] 0003 0035 00000442
2022-04-02 17:18:25.549905 False [  157428.721775] 0003 0036 0000032a
2022-04-02 17:18:25.557533 False [  157428.729952] 0003 0035 00000441
2022-04-02 17:18:25.557533 False [  157428.729952] 0003 0036 0000032c
2022-04-02 17:18:25.566568 False [  157428.738410] 0003 0035 0000043d
2022-04-02 17:18:25.566568 True [  157428.738410] 0003 0036 00000339
2022-04-02 17:18:25.575289 True [  157428.746652] 0003 0035 0000043a
2022-04-02 17:18:25.575289 True [  157428.746652] 0003 0036 00000341
2022-04-02 17:18:25.584625 True [  157428.755209] 0003 0035 00000439
2022-04-02 17:18:25.584625 True [  157428.755209] 0003 0036 00000346
2022-04-02 17:18:25.591975 True [  157428.763181] 0003 0035 00000437
2022-04-02 17:18:25.591975 True [  157428.763181] 0003 0036 00000349
2022-04-02 17:18:25.601182 True [  157428.771635] 0003 0035 0000043a
2022-04-02 17:18:25.601182 True [  157428.771635] 0003 0036 0000034f
2022-04-02 17:18:25.608565 True [  157428.780208] 0003 0035 0000043b
2022-04-02 17:18:25.608565 True [  157428.780208] 0003 0036 00000353
2022-04-02 17:18:25.625543 True [  157428.796633] 0003 0035 0000043c
2022-04-02 17:18:25.625543 True [  157428.796633] 0003 0036 00000358
2022-04-02 17:18:25.634114 True [  157428.804952] 0003 0035 00000444
2022-04-02 17:18:25.634114 True [  157428.804952] 0003 0036 00000360
2022-04-02 17:18:25.639873 True [  157428.813069] 0003 0035 00000448
2022-04-02 17:18:25.639873 True [  157428.813069] 0003 0036 00000366
2022-04-02 17:18:25.648807 True [  157428.821564] 0003 0035 0000044c
2022-04-02 17:18:25.648807 True [  157428.821564] 0003 0036 00000369
2022-04-02 17:18:25.659085 True [  157428.829744] 0003 0035 0000044e
2022-04-02 17:18:25.659085 True [  157428.829744] 0003 0036 0000036c
2022-04-02 17:18:25.666954 True [  157428.838177] 0003 0035 0000044f
2022-04-02 17:18:25.666954 True [  157428.838177] 0003 0036 0000036e
2022-04-02 17:18:25.674327 True [  157428.846348] 0003 0035 00000454
2022-04-02 17:18:25.674327 True [  157428.846348] 0003 0036 00000371
2022-04-02 17:18:25.682423 True [  157428.854813] 0003 0035 00000458
2022-04-02 17:18:25.682423 True [  157428.854813] 0003 0036 00000374
2022-04-02 17:18:25.689884 True [  157428.863021] 0003 0035 0000045a
2022-04-02 17:18:25.689884 True [  157428.863021] 0003 0036 00000376
2022-04-02 17:18:25.698255 True [  157428.871427] 0003 0035 0000045d
2022-04-02 17:18:25.698255 True [  157428.871427] 0003 0036 00000377
2022-04-02 17:18:25.707438 True [  157428.879531] 0003 0035 0000045e
2022-04-02 17:18:25.707438 True [  157428.879531] 0003 0036 00000379
2022-04-02 17:18:25.717131 True [  157428.888091] 0003 0035 0000045f
2022-04-02 17:18:25.733747 True [  157428.904714] 0003 0035 00000460
2022-04-02 17:18:25.741789 True [  157428.912906] 0003 0035 00000464
2022-04-02 17:18:25.741789 True [  157428.912906] 0003 0036 0000037b
2022-04-02 17:18:25.750646 True [  157428.921443] 0003 0035 00000466
2022-04-02 17:18:25.750646 True [  157428.921443] 0003 0036 0000037c
2022-04-02 17:18:25.760153 True [  157428.929635] 0003 0035 00000468
2022-04-02 17:18:25.760153 True [  157428.929635] 0003 0036 0000037d
2022-04-02 17:18:25.766776 True [  157428.937921] 0003 0035 0000046a
2022-04-02 17:18:25.766776 True [  157428.937921] 0003 0036 0000037e
2022-04-02 17:18:25.776188 True [  157428.946089] 0003 0035 0000046c
2022-04-02 17:18:25.783461 True [  157428.954565] 0003 0035 0000046d
2022-04-02 17:18:25.783461 True [  157428.954565] 0003 0036 0000037f
2022-04-02 17:18:25.790283 True [  157428.962697] 0003 0035 0000046e
2022-04-02 17:18:25.798853 True [  157428.971135] 0003 0035 0000046f
2022-04-02 17:18:25.806560 True [  157428.979475] 0003 0035 00000473
2022-04-02 17:18:25.806560 True [  157428.979475] 0003 0036 00000381
2022-04-02 17:18:25.817783 True [  157428.987838] 0003 0035 00000476
2022-04-02 17:18:25.817783 True [  157428.987838] 0003 0036 00000383
2022-04-02 17:18:25.823713 True [  157428.996110] 0003 0035 0000047a
2022-04-02 17:18:25.823713 True [  157428.996110] 0003 0036 00000384
2022-04-02 17:18:25.832907 True [  157429.004379] 0003 0035 0000047c
2022-04-02 17:18:25.832907 True [  157429.004379] 0003 0036 00000385
2022-04-02 17:18:25.839879 True [  157429.012636] 0003 0035 0000047e
2022-04-02 17:18:25.839879 True [  157429.012636] 0003 0036 00000386
2022-04-02 17:18:25.848883 True [  157429.021016] 0003 0036 00000387
2022-04-02 17:18:25.856608 True [  157429.029175] 0003 0035 0000047f
2022-04-02 17:18:25.865196 True [  157429.037577] 0003 0035 00000480
2022-04-02 17:18:25.865196 True [  157429.037577] 0003 0036 00000388
2022-04-02 17:18:25.873958 True [  157429.045808] 0003 0035 00000481
