Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 3.062645015110699 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-12 15:29:34.588035 True [   14111.198972] 0003 0035 0000030e
2022-03-12 15:29:34.588035 True [   14111.198972] 0003 0036 000001ac
2022-03-12 15:29:34.603604 True [   14111.216092] 0003 0035 0000030e
2022-03-12 15:29:34.603604 True [   14111.216092] 0003 0036 000001ac
2022-03-12 15:29:35.942313 True [   14112.554583] 0003 0035 0000019d
2022-03-12 15:29:35.942313 False [   14112.554583] 0003 0036 00000297
2022-03-12 15:29:35.959475 False [   14112.571241] 0003 0035 0000019d
2022-03-12 15:29:35.959475 False [   14112.571241] 0003 0036 00000297
2022-03-12 15:29:35.975458 False [   14112.587894] 0003 0035 0000019d
2022-03-12 15:29:35.975458 False [   14112.587894] 0003 0036 00000297
2022-03-12 15:29:35.975458 False [   14112.587894] 0003 0035 000000f0
2022-03-12 15:29:35.975458 False [   14112.587894] 0003 0036 00000296
2022-03-12 15:29:35.995151 False [   14112.605032] 0003 0035 0000019d
2022-03-12 15:29:35.995151 False [   14112.605032] 0003 0036 00000297
2022-03-12 15:29:35.995151 False [   14112.605032] 0003 0035 000000f0
2022-03-12 15:29:35.995151 False [   14112.605032] 0003 0036 00000296
2022-03-12 15:29:36.009396 False [   14112.621702] 0003 0035 0000019d
2022-03-12 15:29:36.009396 False [   14112.621702] 0003 0036 00000297
2022-03-12 15:29:36.009396 False [   14112.621702] 0003 0035 000000f0
2022-03-12 15:29:36.009396 False [   14112.621702] 0003 0036 00000296
2022-03-12 15:29:36.027025 False [   14112.638856] 0003 0035 0000019d
2022-03-12 15:29:36.027025 False [   14112.638856] 0003 0036 00000297
2022-03-12 15:29:36.027025 False [   14112.638856] 0003 0035 000000f0
2022-03-12 15:29:36.027025 False [   14112.638856] 0003 0036 00000296
2022-03-12 15:29:36.043727 False [   14112.655513] 0003 0035 0000019d
2022-03-12 15:29:36.043727 False [   14112.655513] 0003 0036 00000297
2022-03-12 15:29:36.043727 False [   14112.655513] 0003 0035 000000f0
2022-03-12 15:29:36.043727 False [   14112.655513] 0003 0036 00000296
2022-03-12 15:29:36.060370 False [   14112.672493] 0003 0035 0000019d
2022-03-12 15:29:36.060370 False [   14112.672493] 0003 0036 00000297
2022-03-12 15:29:36.060370 False [   14112.672493] 0003 0035 000000f0
2022-03-12 15:29:36.060370 False [   14112.672493] 0003 0036 00000296
2022-03-12 15:29:36.077194 False [   14112.689370] 0003 0035 0000019d
2022-03-12 15:29:36.077194 False [   14112.689370] 0003 0036 00000297
2022-03-12 15:29:36.077194 False [   14112.689370] 0003 0035 000000f0
2022-03-12 15:29:36.077194 False [   14112.689370] 0003 0036 00000296
2022-03-12 15:29:36.096212 False [   14112.707060] 0003 0035 000001a2
2022-03-12 15:29:36.096212 False [   14112.707060] 0003 0036 00000297
2022-03-12 15:29:36.096212 False [   14112.707060] 0003 0035 000000ec
2022-03-12 15:29:36.096212 False [   14112.707060] 0003 0036 00000296
2022-03-12 15:29:36.112880 False [   14112.723201] 0003 0035 000001a9
2022-03-12 15:29:36.112880 False [   14112.723201] 0003 0036 00000299
2022-03-12 15:29:36.112880 False [   14112.723201] 0003 0035 000000e8
2022-03-12 15:29:36.113871 False [   14112.723201] 0003 0036 00000296
2022-03-12 15:29:36.129825 False [   14112.740130] 0003 0035 000001b1
2022-03-12 15:29:36.129825 False [   14112.740130] 0003 0036 0000029b
2022-03-12 15:29:36.129825 False [   14112.740130] 0003 0035 000000e8
2022-03-12 15:29:36.129825 False [   14112.740130] 0003 0036 00000296
2022-03-12 15:29:36.146604 False [   14112.757066] 0003 0035 000001b9
2022-03-12 15:29:36.146604 False [   14112.757066] 0003 0036 0000029d
2022-03-12 15:29:36.146604 False [   14112.757066] 0003 0035 000000e3
2022-03-12 15:29:36.147547 False [   14112.757066] 0003 0036 00000294
2022-03-12 15:29:36.161874 False [   14112.774024] 0003 0035 000001c0
2022-03-12 15:29:36.161874 False [   14112.774024] 0003 0036 0000029d
2022-03-12 15:29:36.163879 False [   14112.774024] 0003 0035 000000e3
2022-03-12 15:29:36.163879 False [   14112.774024] 0003 0036 00000294
2022-03-12 15:29:36.178599 False [   14112.790964] 0003 0035 000001c5
2022-03-12 15:29:36.178599 False [   14112.790964] 0003 0036 0000029f
2022-03-12 15:29:36.178599 False [   14112.790964] 0003 0035 000000de
2022-03-12 15:29:36.178599 False [   14112.790964] 0003 0036 00000294
2022-03-12 15:29:36.197627 False [   14112.808502] 0003 0035 000001c9
2022-03-12 15:29:36.197627 False [   14112.808502] 0003 0036 0000029f
2022-03-12 15:29:36.197627 False [   14112.808502] 0003 0035 000000d8
2022-03-12 15:29:36.197627 False [   14112.808502] 0003 0036 00000294
2022-03-12 15:29:36.213273 False [   14112.825500] 0003 0035 000001c9
2022-03-12 15:29:36.213273 False [   14112.825500] 0003 0036 0000029f
2022-03-12 15:29:36.213273 False [   14112.825500] 0003 0035 000000d1
2022-03-12 15:29:36.213599 False [   14112.825500] 0003 0036 00000292
2022-03-12 15:29:36.229469 False [   14112.841748] 0003 0035 000001cd
2022-03-12 15:29:36.229469 False [   14112.841748] 0003 0036 000002a1
2022-03-12 15:29:36.229469 False [   14112.841748] 0003 0035 000000cb
2022-03-12 15:29:36.229469 False [   14112.841748] 0003 0036 00000292
2022-03-12 15:29:36.247323 False [   14112.858868] 0003 0035 000001cd
2022-03-12 15:29:36.247323 False [   14112.858868] 0003 0036 000002a1
2022-03-12 15:29:36.247323 False [   14112.858868] 0003 0035 000000c5
2022-03-12 15:29:36.248193 False [   14112.858868] 0003 0036 00000290
2022-03-12 15:29:36.263723 False [   14112.876455] 0003 0035 000001cd
2022-03-12 15:29:36.263723 False [   14112.876455] 0003 0036 000002a1
2022-03-12 15:29:36.263723 False [   14112.876455] 0003 0035 000000c0
2022-03-12 15:29:36.263723 False [   14112.876455] 0003 0036 00000290
2022-03-12 15:29:36.281611 False [   14112.893155] 0003 0035 000001cd
2022-03-12 15:29:36.281611 False [   14112.893155] 0003 0036 000002a1
2022-03-12 15:29:36.282608 False [   14112.893155] 0003 0035 000000bb
2022-03-12 15:29:36.283610 False [   14112.893155] 0003 0036 00000290
2022-03-12 15:29:36.299249 False [   14112.909950] 0003 0035 000001cd
2022-03-12 15:29:36.299249 False [   14112.909950] 0003 0036 000002a1
2022-03-12 15:29:36.299249 False [   14112.909950] 0003 0035 000000b7
2022-03-12 15:29:36.300792 False [   14112.909950] 0003 0036 00000290
2022-03-12 15:29:36.314720 False [   14112.926710] 0003 0035 000001cd
2022-03-12 15:29:36.315717 False [   14112.926710] 0003 0036 000002a1
2022-03-12 15:29:36.315717 False [   14112.926710] 0003 0035 000000b7
2022-03-12 15:29:36.315717 False [   14112.926710] 0003 0036 00000290
2022-03-12 15:29:36.332949 False [   14112.943364] 0003 0035 000001cd
2022-03-12 15:29:36.332949 False [   14112.943364] 0003 0036 000002a1
2022-03-12 15:29:36.333950 False [   14112.943364] 0003 0035 000000b7
2022-03-12 15:29:36.333950 False [   14112.943364] 0003 0036 00000290
2022-03-12 15:29:36.349505 False [   14112.960359] 0003 0035 000001cd
2022-03-12 15:29:36.349505 False [   14112.960359] 0003 0036 000002a1
2022-03-12 15:29:36.351512 False [   14112.960359] 0003 0035 000000b3
2022-03-12 15:29:36.351512 False [   14112.960359] 0003 0036 00000290
2022-03-12 15:29:36.368344 False [   14112.978079] 0003 0035 000001d1
2022-03-12 15:29:36.368344 False [   14112.978079] 0003 0036 000002a4
2022-03-12 15:29:36.368344 False [   14112.978079] 0003 0035 000000b3
2022-03-12 15:29:36.368344 False [   14112.978079] 0003 0036 00000290
2022-03-12 15:29:36.382518 False [   14112.994600] 0003 0035 000001d1
2022-03-12 15:29:36.382518 False [   14112.994600] 0003 0036 000002a4
2022-03-12 15:29:36.382518 False [   14112.994600] 0003 0035 000000b3
2022-03-12 15:29:36.382518 False [   14112.994600] 0003 0036 00000290
2022-03-12 15:29:36.399143 False [   14113.011295] 0003 0035 000001d1
2022-03-12 15:29:36.399143 False [   14113.011295] 0003 0036 000002a4
2022-03-12 15:29:36.399143 False [   14113.011295] 0003 0035 000000b3
2022-03-12 15:29:36.399143 False [   14113.011295] 0003 0036 00000290
2022-03-12 15:29:36.416274 False [   14113.028129] 0003 0035 000001d1
