Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 0.9920400165602349 
        wm_size = [1600 2560] 
        stim_amp = 6 
        baseline_stim = 4
        current_stim_group = stim
        sense_zone = 0
        task_code = 1
        ===============================
2022-04-07 14:40:15.036361 True [    7724.091491] 0003 0035 000002bb
2022-04-07 14:40:15.044437 True [    7724.099888] 0003 0035 000002c2
2022-04-07 14:40:15.054543 True [    7724.108132] 0003 0035 000002c7
2022-04-07 14:40:15.060213 True [    7724.116586] 0003 0035 000002ca
2022-04-07 14:40:15.070278 True [    7724.124708] 0003 0035 000002d2
2022-04-07 14:40:15.070278 True [    7724.124708] 0003 0036 00000524
2022-04-07 14:40:15.078576 True [    7724.133232] 0003 0035 000002d8
2022-04-07 14:40:15.078576 True [    7724.133232] 0003 0036 00000525
2022-04-07 14:40:15.086614 True [    7724.141313] 0003 0035 000002dc
2022-04-07 14:40:15.086614 True [    7724.141313] 0003 0036 00000526
2022-04-07 14:40:15.096062 True [    7724.149811] 0003 0035 000002e3
2022-04-07 14:40:15.096062 True [    7724.149811] 0003 0036 00000527
2022-04-07 14:40:15.103342 True [    7724.157950] 0003 0035 000002ea
2022-04-07 14:40:15.103342 True [    7724.157950] 0003 0036 00000528
2022-04-07 14:40:15.111966 True [    7724.166332] 0003 0035 000002ed
2022-04-07 14:40:15.111966 True [    7724.166332] 0003 0036 00000529
2022-04-07 14:40:15.119537 True [    7724.174580] 0003 0035 000002f1
2022-04-07 14:40:15.128358 True [    7724.183009] 0003 0035 000002f8
2022-04-07 14:40:15.128358 True [    7724.183009] 0003 0036 0000052b
2022-04-07 14:40:15.136739 True [    7724.191201] 0003 0035 000002fc
2022-04-07 14:40:15.144831 True [    7724.199583] 0003 0035 00000300
2022-04-07 14:40:15.144831 True [    7724.199583] 0003 0036 0000052c
2022-04-07 14:40:15.152799 True [    7724.207869] 0003 0035 00000303
2022-04-07 14:40:15.152799 True [    7724.207869] 0003 0036 0000052d
2022-04-07 14:40:15.161285 True [    7724.216307] 0003 0035 0000030a
2022-04-07 14:40:15.161285 True [    7724.216307] 0003 0036 0000052e
2022-04-07 14:40:15.169204 True [    7724.224479] 0003 0035 0000030f
