Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.2787713170649056 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:43:43.207843 True [    1756.753380] 0003 0035 0000035d
2022-04-06 14:43:43.207843 True [    1756.753380] 0003 0036 000003bb
2022-04-06 14:43:43.212975 True [    1756.760585] 0003 0035 00000359
2022-04-06 14:43:43.212975 True [    1756.760585] 0003 0036 000003bc
2022-04-06 14:43:43.221688 True [    1756.769572] 0003 0035 00000355
2022-04-06 14:43:43.224643 True [    1756.769572] 0003 0036 000003bd
2022-04-06 14:43:43.230684 True [    1756.777152] 0003 0035 00000352
2022-04-06 14:43:43.230684 True [    1756.777152] 0003 0036 000003bf
2022-04-06 14:43:43.240056 True [    1756.785551] 0003 0035 0000034e
2022-04-06 14:43:43.240056 True [    1756.785551] 0003 0036 000003c0
2022-04-06 14:43:43.247818 True [    1756.793766] 0003 0035 0000034b
2022-04-06 14:43:43.247818 True [    1756.793766] 0003 0036 000003c2
2022-04-06 14:43:43.256319 True [    1756.802378] 0003 0035 00000348
2022-04-06 14:43:43.256319 True [    1756.802378] 0003 0036 000003c4
2022-04-06 14:43:43.264992 True [    1756.810794] 0003 0035 00000346
2022-04-06 14:43:43.264992 True [    1756.810794] 0003 0036 000003c5
2022-04-06 14:43:43.270956 True [    1756.818790] 0003 0035 00000343
2022-04-06 14:43:43.271952 True [    1756.818790] 0003 0036 000003c7
2022-04-06 14:43:43.279944 True [    1756.826971] 0003 0035 00000342
2022-04-06 14:43:43.279944 True [    1756.826971] 0003 0036 000003c8
2022-04-06 14:43:43.290715 True [    1756.836764] 0003 0035 00000340
2022-04-06 14:43:43.290715 True [    1756.836764] 0003 0036 000003ca
2022-04-06 14:43:43.296222 True [    1756.843749] 0003 0035 0000033e
2022-04-06 14:43:43.297468 True [    1756.843749] 0003 0036 000003cc
2022-04-06 14:43:43.305851 True [    1756.853123] 0003 0035 0000033c
2022-04-06 14:43:43.307438 True [    1756.853123] 0003 0036 000003cd
2022-04-06 14:43:43.312757 True [    1756.860293] 0003 0036 000003cf
2022-04-06 14:43:43.320696 True [    1756.868714] 0003 0035 0000033b
2022-04-06 14:43:43.320696 True [    1756.868714] 0003 0036 000003d1
2022-04-06 14:43:43.330015 True [    1756.877278] 0003 0035 00000339
2022-04-06 14:43:43.338244 True [    1756.885296] 0003 0036 000003d3
2022-04-06 14:43:43.345424 True [    1756.893463] 0003 0035 00000338
2022-04-06 14:43:43.346756 True [    1756.893463] 0003 0036 000003d4
2022-04-06 14:43:43.355242 True [    1756.902772] 0003 0035 00000337
2022-04-06 14:43:43.355968 True [    1756.902772] 0003 0036 000003d5
2022-04-06 14:43:43.363095 True [    1756.910103] 0003 0036 000003d6
2022-04-06 14:43:43.372155 True [    1756.918784] 0003 0036 000003d7
2022-04-06 14:43:43.388065 True [    1756.935470] 0003 0036 000003d8
2022-04-06 14:43:43.405827 True [    1756.953023] 0003 0036 000003d9
2022-04-06 14:43:43.466677 True [    1757.010865] 0003 0036 000003da
2022-04-06 14:43:43.496157 True [    1757.043114] 0003 0036 000003db
2022-04-06 14:43:43.529643 True [    1757.076688] 0003 0036 000003dc
2022-04-06 14:43:43.548260 True [    1757.092990] 0003 0036 000003dd
2022-04-06 14:43:43.554346 True [    1757.101637] 0003 0035 00000338
2022-04-06 14:43:43.562848 True [    1757.109931] 0003 0036 000003de
2022-04-06 14:43:43.572696 True [    1757.118335] 0003 0035 00000339
2022-04-06 14:43:43.587486 True [    1757.134709] 0003 0035 0000033a
2022-04-06 14:43:43.587486 True [    1757.134709] 0003 0036 000003df
2022-04-06 14:43:43.595350 True [    1757.143236] 0003 0035 0000033b
2022-04-06 14:43:43.605290 True [    1757.152769] 0003 0035 0000033c
2022-04-06 14:43:43.605290 True [    1757.152769] 0003 0036 000003e0
2022-04-06 14:43:43.612833 True [    1757.160209] 0003 0035 0000033d
2022-04-06 14:43:43.621693 True [    1757.169096] 0003 0035 0000033e
2022-04-06 14:43:43.621693 True [    1757.169096] 0003 0036 000003e1
2022-04-06 14:43:43.628754 True [    1757.176284] 0003 0035 00000340
2022-04-06 14:43:43.638154 True [    1757.185702] 0003 0035 00000342
2022-04-06 14:43:43.638154 True [    1757.185702] 0003 0036 000003e2
2022-04-06 14:43:43.645323 True [    1757.192911] 0003 0035 00000345
2022-04-06 14:43:43.655244 True [    1757.202490] 0003 0035 00000349
2022-04-06 14:43:43.661837 True [    1757.209481] 0003 0035 0000034c
2022-04-06 14:43:43.670686 True [    1757.218535] 0003 0035 0000034f
2022-04-06 14:43:43.678781 True [    1757.225953] 0003 0035 00000352
2022-04-06 14:43:43.687122 True [    1757.234602] 0003 0035 00000355
2022-04-06 14:43:43.687122 True [    1757.234602] 0003 0036 000003e3
