Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.8598711945403295 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:43:56.992642 False [  144550.912830] 0003 0036 00000482
2022-04-02 13:43:57.176389 False [  144551.094656] 0003 0036 00000483
2022-04-02 13:43:57.181480 False [  144551.102860] 0003 0035 0000008c
2022-04-02 13:43:57.181480 False [  144551.102860] 0003 0036 00000484
2022-04-02 13:43:57.192149 False [  144551.111518] 0003 0035 0000008d
2022-04-02 13:43:57.200250 False [  144551.119517] 0003 0035 0000008e
2022-04-02 13:43:57.200250 False [  144551.119517] 0003 0036 00000485
2022-04-02 13:43:57.207360 False [  144551.128108] 0003 0035 0000008f
2022-04-02 13:43:57.207360 False [  144551.128108] 0003 0036 00000486
2022-04-02 13:43:57.215416 False [  144551.135916] 0003 0035 00000091
2022-04-02 13:43:57.222981 False [  144551.145069] 0003 0035 00000092
2022-04-02 13:43:57.231733 False [  144551.152893] 0003 0035 00000093
2022-04-02 13:43:57.240340 False [  144551.161351] 0003 0035 00000095
2022-04-02 13:43:57.240340 False [  144551.161351] 0003 0036 00000487
2022-04-02 13:43:57.249539 False [  144551.170203] 0003 0035 00000097
2022-04-02 13:43:57.256521 False [  144551.177894] 0003 0035 00000099
2022-04-02 13:43:57.256521 False [  144551.177894] 0003 0036 00000488
2022-04-02 13:43:57.265583 False [  144551.185796] 0003 0035 0000009b
2022-04-02 13:43:57.274157 False [  144551.194621] 0003 0035 0000009d
2022-04-02 13:43:57.282140 False [  144551.202475] 0003 0035 0000009f
2022-04-02 13:43:57.282140 False [  144551.202475] 0003 0036 00000489
2022-04-02 13:43:57.290565 False [  144551.211179] 0003 0035 000000a1
2022-04-02 13:43:57.299296 False [  144551.219328] 0003 0035 000000a4
2022-04-02 13:43:57.305976 False [  144551.227489] 0003 0035 000000a6
2022-04-02 13:43:57.315635 False [  144551.235976] 0003 0035 000000a9
2022-04-02 13:43:57.323694 False [  144551.244556] 0003 0035 000000ab
2022-04-02 13:43:57.323694 False [  144551.244556] 0003 0036 0000048a
2022-04-02 13:43:57.330786 False [  144551.252267] 0003 0035 000000ad
2022-04-02 13:43:57.339117 False [  144551.260671] 0003 0035 000000b0
2022-04-02 13:43:57.349458 False [  144551.269240] 0003 0035 000000b2
2022-04-02 13:43:57.357336 False [  144551.277550] 0003 0035 000000b5
2022-04-02 13:43:57.365543 False [  144551.285892] 0003 0035 000000b8
2022-04-02 13:43:57.373696 False [  144551.294004] 0003 0035 000000ba
2022-04-02 13:43:57.373696 False [  144551.294004] 0003 0036 0000048b
2022-04-02 13:43:57.381723 False [  144551.302522] 0003 0035 000000bd
2022-04-02 13:43:57.391036 False [  144551.311040] 0003 0035 000000bf
2022-04-02 13:43:57.398887 False [  144551.319190] 0003 0035 000000c1
