Mode = area stim
    verts = 22 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.97733540518634 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:26:56.469100 False [   19393.542310] 0003 0036 0000004c
2022-03-16 15:26:56.489176 False [   19393.559075] 0003 0035 00000427
2022-03-16 15:26:56.489176 False [   19393.559075] 0003 0036 0000004c
2022-03-16 15:26:56.504484 False [   19393.574200] 0003 0035 00000427
2022-03-16 15:26:56.504484 False [   19393.574200] 0003 0036 0000004c
2022-03-16 15:26:56.517452 False [   19393.592150] 0003 0035 00000427
2022-03-16 15:26:56.517452 False [   19393.592150] 0003 0036 0000004c
2022-03-16 15:26:56.534406 False [   19393.609528] 0003 0035 00000427
2022-03-16 15:26:56.535350 False [   19393.609528] 0003 0036 0000004c
2022-03-16 15:26:56.550106 False [   19393.625479] 0003 0035 00000427
2022-03-16 15:26:56.550106 False [   19393.625479] 0003 0036 0000004c
2022-03-16 15:26:56.572951 False [   19393.643180] 0003 0035 00000427
2022-03-16 15:26:56.572951 False [   19393.643180] 0003 0036 0000004c
2022-03-16 15:26:56.588122 False [   19393.658914] 0003 0035 00000427
2022-03-16 15:26:56.588122 False [   19393.658914] 0003 0036 0000004c
2022-03-16 15:26:56.602281 False [   19393.675655] 0003 0035 00000427
2022-03-16 15:26:56.602281 False [   19393.675655] 0003 0036 0000004c
2022-03-16 15:26:56.617495 False [   19393.692626] 0003 0035 00000427
2022-03-16 15:26:56.617495 False [   19393.692626] 0003 0036 0000004c
2022-03-16 15:26:56.635253 False [   19393.710532] 0003 0035 00000427
2022-03-16 15:26:56.635253 False [   19393.710532] 0003 0036 0000004c
2022-03-16 15:26:56.650640 False [   19393.726934] 0003 0035 00000427
2022-03-16 15:26:56.651626 False [   19393.726934] 0003 0036 0000004c
2022-03-16 15:26:56.671270 False [   19393.743908] 0003 0035 00000427
2022-03-16 15:26:56.671270 False [   19393.743908] 0003 0036 0000004c
2022-03-16 15:26:56.686232 False [   19393.760414] 0003 0035 00000427
2022-03-16 15:26:56.686232 False [   19393.760414] 0003 0036 0000004c
2022-03-16 15:26:56.704182 False [   19393.777765] 0003 0035 00000427
2022-03-16 15:26:56.704182 False [   19393.777765] 0003 0036 0000004c
2022-03-16 15:26:56.720048 False [   19393.794931] 0003 0035 00000427
2022-03-16 15:26:56.720048 False [   19393.794931] 0003 0036 0000004c
2022-03-16 15:26:56.736365 False [   19393.811577] 0003 0035 00000427
2022-03-16 15:26:56.736365 False [   19393.811577] 0003 0036 0000004c
2022-03-16 15:26:56.756961 False [   19393.830035] 0003 0035 00000427
2022-03-16 15:26:56.756961 False [   19393.830035] 0003 0036 0000004c
2022-03-16 15:26:56.771512 False [   19393.846694] 0003 0035 00000427
2022-03-16 15:26:56.772502 False [   19393.846694] 0003 0036 0000004c
2022-03-16 15:26:56.791928 False [   19393.863712] 0003 0035 00000427
2022-03-16 15:26:56.791928 False [   19393.863712] 0003 0036 0000004c
2022-03-16 15:26:56.806900 False [   19393.879638] 0003 0035 00000427
2022-03-16 15:26:56.806900 False [   19393.879638] 0003 0036 0000004c
2022-03-16 15:26:56.820417 False [   19393.896863] 0003 0035 00000427
2022-03-16 15:26:56.820417 False [   19393.896863] 0003 0036 0000004c
2022-03-16 15:26:56.843103 False [   19393.914125] 0003 0035 00000427
2022-03-16 15:26:56.843103 False [   19393.914125] 0003 0036 0000004c
2022-03-16 15:26:56.861640 False [   19393.931270] 0003 0035 00000427
2022-03-16 15:26:56.861640 False [   19393.931270] 0003 0036 0000004c
2022-03-16 15:26:56.875900 False [   19393.947987] 0003 0035 00000427
2022-03-16 15:26:56.875900 False [   19393.947987] 0003 0036 0000004c
2022-03-16 15:26:56.890044 False [   19393.965611] 0003 0035 00000427
2022-03-16 15:26:56.891041 False [   19393.965611] 0003 0036 0000004c
2022-03-16 15:26:56.911899 False [   19393.982117] 0003 0035 00000427
2022-03-16 15:26:56.911899 False [   19393.982117] 0003 0036 0000004c
2022-03-16 15:26:56.922870 False [   19393.998418] 0003 0035 00000427
2022-03-16 15:26:56.922870 False [   19393.998418] 0003 0036 0000004c
2022-03-16 15:26:56.938978 False [   19394.014550] 0003 0035 00000427
2022-03-16 15:26:56.938978 False [   19394.014550] 0003 0036 0000004c
2022-03-16 15:26:56.956086 False [   19394.032137] 0003 0035 00000427
2022-03-16 15:26:56.956086 False [   19394.032137] 0003 0036 0000004c
2022-03-16 15:26:56.976033 False [   19394.050331] 0003 0035 00000427
2022-03-16 15:26:56.976033 False [   19394.050331] 0003 0036 0000004c
2022-03-16 15:26:56.992998 False [   19394.066926] 0003 0035 00000427
2022-03-16 15:26:56.992998 False [   19394.066926] 0003 0036 0000004c
2022-03-16 15:26:57.010358 False [   19394.083076] 0003 0035 00000427
2022-03-16 15:26:57.010358 False [   19394.083076] 0003 0036 0000004c
2022-03-16 15:26:57.025305 False [   19394.099510] 0003 0035 00000427
2022-03-16 15:26:57.025305 False [   19394.099510] 0003 0036 0000004c
2022-03-16 15:26:57.041498 False [   19394.117038] 0003 0035 00000427
2022-03-16 15:26:57.041498 False [   19394.117038] 0003 0036 0000004c
2022-03-16 15:26:57.061261 False [   19394.133177] 0003 0035 00000427
2022-03-16 15:26:57.061261 False [   19394.133177] 0003 0036 0000004c
2022-03-16 15:26:57.081771 False [   19394.150870] 0003 0035 00000427
2022-03-16 15:26:57.081771 False [   19394.150870] 0003 0036 0000004c
2022-03-16 15:26:57.094713 False [   19394.167255] 0003 0035 00000427
2022-03-16 15:26:57.094713 False [   19394.167255] 0003 0036 0000004c
2022-03-16 15:26:57.113285 False [   19394.184054] 0003 0035 00000427
2022-03-16 15:26:57.113285 False [   19394.184054] 0003 0036 0000004c
2022-03-16 15:26:57.126686 False [   19394.201405] 0003 0035 00000427
2022-03-16 15:26:57.126686 False [   19394.201405] 0003 0036 0000004c
2022-03-16 15:26:57.144237 False [   19394.217883] 0003 0035 00000427
2022-03-16 15:26:57.144237 False [   19394.217883] 0003 0036 0000004c
2022-03-16 15:26:57.164987 False [   19394.235038] 0003 0035 00000427
2022-03-16 15:26:57.165984 False [   19394.235038] 0003 0036 0000004c
2022-03-16 15:26:57.179312 False [   19394.252586] 0003 0035 00000427
2022-03-16 15:26:57.179312 False [   19394.252586] 0003 0036 0000004c
2022-03-16 15:26:57.198245 False [   19394.270782] 0003 0035 00000427
2022-03-16 15:26:57.198245 False [   19394.270782] 0003 0036 0000004c
2022-03-16 15:26:57.212208 False [   19394.287005] 0003 0035 00000427
2022-03-16 15:26:57.212208 False [   19394.287005] 0003 0036 0000004c
2022-03-16 15:26:57.227694 False [   19394.303443] 0003 0035 00000427
2022-03-16 15:26:57.227694 False [   19394.303443] 0003 0036 0000004c
2022-03-16 15:26:57.245307 False [   19394.320443] 0003 0035 00000427
2022-03-16 15:26:57.245307 False [   19394.320443] 0003 0036 0000004c
2022-03-16 15:26:57.265969 False [   19394.336844] 0003 0035 00000427
2022-03-16 15:26:57.265969 False [   19394.336844] 0003 0036 0000004c
2022-03-16 15:26:57.280518 False [   19394.354465] 0003 0035 00000427
2022-03-16 15:26:57.280518 False [   19394.354465] 0003 0036 0000004c
2022-03-16 15:26:57.300505 False [   19394.371195] 0003 0035 00000427
2022-03-16 15:26:57.300505 False [   19394.371195] 0003 0036 0000004c
2022-03-16 15:26:57.317011 False [   19394.387567] 0003 0035 00000427
2022-03-16 15:26:57.317011 False [   19394.387567] 0003 0036 0000004c
2022-03-16 15:26:57.334949 False [   19394.405976] 0003 0035 00000427
2022-03-16 15:26:57.334949 False [   19394.405976] 0003 0036 0000004c
2022-03-16 15:26:57.347235 False [   19394.422695] 0003 0035 00000427
2022-03-16 15:26:57.347235 False [   19394.422695] 0003 0036 0000004c
2022-03-16 15:26:57.364046 False [   19394.438780] 0003 0035 00000427
2022-03-16 15:26:57.364046 False [   19394.438780] 0003 0036 0000004c
2022-03-16 15:26:57.380503 False [   19394.455298] 0003 0035 00000427
2022-03-16 15:26:57.380503 False [   19394.455298] 0003 0036 0000004c
2022-03-16 15:26:57.399555 False [   19394.474283] 0003 0035 00000427
2022-03-16 15:26:57.399555 False [   19394.474283] 0003 0036 0000004c
2022-03-16 15:26:57.414214 False [   19394.489844] 0003 0035 00000427
2022-03-16 15:26:57.414214 False [   19394.489844] 0003 0036 0000004c
2022-03-16 15:26:57.435941 False [   19394.506647] 0003 0035 00000427
2022-03-16 15:26:57.435941 False [   19394.506647] 0003 0036 0000004c
2022-03-16 15:26:57.451453 False [   19394.523648] 0003 0035 00000427
2022-03-16 15:26:57.451453 False [   19394.523648] 0003 0036 0000004c
