Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.2073315172466106 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-12 15:25:41.045671 False [   13877.663072] 0003 0035 00000144
2022-03-12 15:25:41.062465 False [   13877.679623] 0003 0035 00000156
2022-03-12 15:25:41.079719 False [   13877.696926] 0003 0035 00000168
2022-03-12 15:25:41.095832 False [   13877.713533] 0003 0035 00000178
2022-03-12 15:25:41.113514 False [   13877.730360] 0003 0035 0000018a
2022-03-12 15:25:41.130812 False [   13877.747298] 0003 0035 000001a0
2022-03-12 15:25:41.148141 False [   13877.764777] 0003 0035 000001b5
2022-03-12 15:25:41.164521 False [   13877.781419] 0003 0035 000001c8
2022-03-12 15:25:41.181062 False [   13877.798153] 0003 0035 000001d7
2022-03-12 15:25:41.198453 False [   13877.815066] 0003 0035 000001e3
2022-03-12 15:25:41.215726 False [   13877.832878] 0003 0035 000001ee
2022-03-12 15:25:41.233159 False [   13877.849696] 0003 0035 000001f7
2022-03-12 15:25:41.249116 False [   13877.866019] 0003 0035 00000202
2022-03-12 15:25:41.265103 True [   13877.882979] 0003 0035 00000210
2022-03-12 15:25:41.282683 True [   13877.899698] 0003 0035 0000021f
2022-03-12 15:25:41.299944 True [   13877.916412] 0003 0035 0000022c
2022-03-12 15:25:41.318482 True [   13877.934549] 0003 0035 00000237
2022-03-12 15:25:41.334370 True [   13877.951232] 0003 0035 0000023f
2022-03-12 15:25:41.352147 True [   13877.968072] 0003 0035 00000246
2022-03-12 15:25:41.367796 True [   13877.984947] 0003 0035 0000024b
2022-03-12 15:25:41.384339 True [   13878.001711] 0003 0035 0000024f
2022-03-12 15:25:41.402009 True [   13878.019122] 0003 0035 00000252
2022-03-12 15:25:41.419313 True [   13878.035574] 0003 0035 00000254
2022-03-12 15:25:41.435312 True [   13878.052358] 0003 0035 00000254
2022-03-12 15:25:41.452491 True [   13878.069636] 0003 0035 00000254
2022-03-12 15:25:41.469061 True [   13878.086369] 0003 0035 00000257
2022-03-12 15:25:41.487204 True [   13878.103578] 0003 0035 00000257
2022-03-12 15:25:41.503657 True [   13878.119889] 0003 0035 00000257
2022-03-12 15:25:41.521815 True [   13878.138050] 0003 0035 00000257
2022-03-12 15:25:41.537760 True [   13878.154224] 0003 0035 00000257
2022-03-12 15:25:41.554686 True [   13878.171789] 0003 0035 00000257
2022-03-12 15:25:41.571840 True [   13878.188576] 0003 0035 00000257
2022-03-12 15:25:41.587933 True [   13878.204311] 0003 0035 00000257
2022-03-12 15:25:41.605504 True [   13878.222079] 0003 0035 00000257
2022-03-12 15:25:41.621151 True [   13878.238773] 0003 0035 00000257
2022-03-12 15:25:41.638029 True [   13878.255069] 0003 0035 00000257
2022-03-12 15:25:41.655889 True [   13878.272885] 0003 0035 00000257
2022-03-12 15:25:41.672447 True [   13878.289755] 0003 0035 00000257
2022-03-12 15:25:41.688605 True [   13878.305931] 0003 0035 00000257
2022-03-12 15:25:41.707050 True [   13878.323635] 0003 0035 00000257
2022-03-12 15:25:41.723438 True [   13878.340614] 0003 0035 00000257
2022-03-12 15:25:41.739909 True [   13878.356735] 0003 0035 00000257
2022-03-12 15:25:41.756279 True [   13878.373649] 0003 0035 00000257
2022-03-12 15:25:41.773362 True [   13878.390627] 0003 0035 00000257
2022-03-12 15:25:41.792436 True [   13878.407720] 0003 0035 0000025b
2022-03-12 15:25:41.807668 True [   13878.424895] 0003 0035 0000025d
2022-03-12 15:25:41.825521 True [   13878.442219] 0003 0035 0000025d
2022-03-12 15:25:41.841569 True [   13878.459179] 0003 0035 0000025d
2022-03-12 15:25:41.859312 True [   13878.475603] 0003 0035 0000025d
2022-03-12 15:25:41.876524 True [   13878.492913] 0003 0035 0000025d
2022-03-12 15:25:41.893590 True [   13878.510256] 0003 0035 0000025d
2022-03-12 15:25:41.909480 True [   13878.526710] 0003 0035 0000025d
2022-03-12 15:25:41.926554 True [   13878.543620] 0003 0035 0000025d
2022-03-12 15:25:41.943358 True [   13878.560250] 0003 0035 0000025d
2022-03-12 15:25:41.961874 True [   13878.577887] 0003 0035 0000025b
2022-03-12 15:25:41.977280 True [   13878.594613] 0003 0035 00000259
2022-03-12 15:25:41.994785 True [   13878.611529] 0003 0035 00000259
2022-03-12 15:25:42.011379 True [   13878.627904] 0003 0035 00000257
2022-03-12 15:25:42.028498 True [   13878.645694] 0003 0035 00000255
2022-03-12 15:25:42.045234 True [   13878.662182] 0003 0035 00000253
2022-03-12 15:25:42.062124 True [   13878.679227] 0003 0035 00000251
2022-03-12 15:25:42.079057 False [   13878.696246] 0003 0035 00000251
2022-03-12 15:25:42.096787 False [   13878.713191] 0003 0035 00000251
2022-03-12 15:25:42.113392 False [   13878.729934] 0003 0035 00000251
2022-03-12 15:25:42.130453 False [   13878.746521] 0003 0035 00000251
2022-03-12 15:25:42.145785 False [   13878.763210] 0003 0035 00000251
2022-03-12 15:25:42.162465 False [   13878.780205] 0003 0035 00000251
2022-03-12 15:25:42.180567 False [   13878.797802] 0003 0035 00000251
2022-03-12 15:25:42.198418 False [   13878.814219] 0003 0035 00000251
2022-03-12 15:25:42.214351 False [   13878.831147] 0003 0035 00000254
2022-03-12 15:25:42.231316 False [   13878.847939] 0003 0035 00000254
2022-03-12 15:25:42.249180 False [   13878.865893] 0003 0035 00000254
2022-03-12 15:25:42.265423 False [   13878.882337] 0003 0035 00000258
2022-03-12 15:25:42.282846 False [   13878.899483] 0003 0035 00000258
2022-03-12 15:25:42.299436 False [   13878.916649] 0003 0035 00000258
2022-03-12 15:25:42.316332 False [   13878.933447] 0003 0035 0000025c
2022-03-12 15:25:42.350965 False [   13878.967376] 0003 0035 00000262
2022-03-12 15:25:42.367899 False [   13878.984443] 0003 0035 0000026b
2022-03-12 15:25:42.384341 False [   13879.001062] 0003 0035 00000276
2022-03-12 15:25:42.400909 False [   13879.017287] 0003 0035 00000281
2022-03-12 15:25:42.419164 False [   13879.034178] 0003 0035 0000028b
2022-03-12 15:25:42.435732 False [   13879.051758] 0003 0035 00000293
2022-03-12 15:25:42.452389 False [   13879.068815] 0003 0035 00000299
2022-03-12 15:25:42.471363 False [   13879.087083] 0003 0035 0000029e
2022-03-12 15:25:42.486439 False [   13879.102685] 0003 0035 000002a2
2022-03-12 15:25:42.502411 False [   13879.119339] 0003 0035 000002a2
