Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.6807939182022242 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:21:21.907699 True [  157605.077164] 0003 0035 000004df
2022-04-02 17:21:21.907699 True [  157605.077164] 0003 0036 00000475
2022-04-02 17:21:21.918569 True [  157605.085583] 0003 0035 000004e0
2022-04-02 17:21:21.924221 True [  157605.093718] 0003 0036 00000474
2022-04-02 17:21:21.935666 True [  157605.102183] 0003 0035 000004e1
2022-04-02 17:21:21.935666 True [  157605.102183] 0003 0036 00000473
2022-04-02 17:21:21.941601 True [  157605.110382] 0003 0035 000004e6
2022-04-02 17:21:21.941601 True [  157605.110382] 0003 0036 00000468
2022-04-02 17:21:21.951676 True [  157605.119805] 0003 0035 000004e9
2022-04-02 17:21:21.951676 True [  157605.119805] 0003 0036 0000045f
2022-04-02 17:21:21.959623 True [  157605.127490] 0003 0035 000004ec
2022-04-02 17:21:21.959623 True [  157605.127490] 0003 0036 0000045b
2022-04-02 17:21:21.965910 True [  157605.135486] 0003 0035 000004ed
2022-04-02 17:21:21.965910 True [  157605.135486] 0003 0036 00000458
2022-04-02 17:21:21.974300 True [  157605.143607] 0003 0035 000004ee
2022-04-02 17:21:21.974300 True [  157605.143607] 0003 0036 00000456
2022-04-02 17:21:21.983264 True [  157605.152115] 0003 0035 000004ef
2022-04-02 17:21:21.983264 True [  157605.152115] 0003 0036 00000455
2022-04-02 17:21:21.992176 True [  157605.160399] 0003 0035 000004f0
2022-04-02 17:21:21.992176 True [  157605.160399] 0003 0036 00000454
2022-04-02 17:21:22.024269 True [  157605.193449] 0003 0036 00000453
2022-04-02 17:21:22.093914 True [  157605.259917] 0003 0035 000004f3
2022-04-02 17:21:22.093914 True [  157605.259917] 0003 0036 00000448
2022-04-02 17:21:22.101523 True [  157605.268738] 0003 0035 000004f5
2022-04-02 17:21:22.101523 True [  157605.268738] 0003 0036 00000441
2022-04-02 17:21:22.107853 True [  157605.276772] 0003 0035 000004f7
2022-04-02 17:21:22.107853 True [  157605.276772] 0003 0036 0000043b
2022-04-02 17:21:22.117137 True [  157605.284979] 0003 0035 000004f8
2022-04-02 17:21:22.117137 True [  157605.284979] 0003 0036 00000437
2022-04-02 17:21:22.125250 True [  157605.293214] 0003 0036 00000434
2022-04-02 17:21:22.131799 True [  157605.301656] 0003 0035 000004f9
2022-04-02 17:21:22.131799 True [  157605.301656] 0003 0036 00000432
2022-04-02 17:21:22.141344 True [  157605.309838] 0003 0036 00000431
2022-04-02 17:21:22.155922 True [  157605.326535] 0003 0036 00000430
2022-04-02 17:21:22.166254 True [  157605.334941] 0003 0035 000004fa
2022-04-02 17:21:22.166254 True [  157605.334941] 0003 0036 0000042e
2022-04-02 17:21:22.173474 True [  157605.343121] 0003 0035 000004fb
2022-04-02 17:21:22.173474 True [  157605.343121] 0003 0036 0000042c
2022-04-02 17:21:22.183097 True [  157605.351570] 0003 0036 00000429
2022-04-02 17:21:22.190623 True [  157605.359730] 0003 0035 000004fc
2022-04-02 17:21:22.190623 True [  157605.359730] 0003 0036 00000426
2022-04-02 17:21:22.200911 True [  157605.368176] 0003 0035 000004fd
2022-04-02 17:21:22.200911 True [  157605.368176] 0003 0036 00000422
2022-04-02 17:21:22.207938 True [  157605.376350] 0003 0035 000004fe
2022-04-02 17:21:22.207938 True [  157605.376350] 0003 0036 0000041e
2022-04-02 17:21:22.216446 True [  157605.384858] 0003 0035 000004ff
2022-04-02 17:21:22.216446 True [  157605.384858] 0003 0036 0000041a
2022-04-02 17:21:22.224309 True [  157605.393001] 0003 0035 00000500
2022-04-02 17:21:22.224309 True [  157605.393001] 0003 0036 00000417
2022-04-02 17:21:22.234501 True [  157605.401468] 0003 0035 00000501
2022-04-02 17:21:22.234501 True [  157605.401468] 0003 0036 00000414
2022-04-02 17:21:22.241818 True [  157605.409771] 0003 0035 00000502
2022-04-02 17:21:22.241818 True [  157605.409771] 0003 0036 00000410
2022-04-02 17:21:22.249123 True [  157605.418047] 0003 0035 00000503
2022-04-02 17:21:22.249123 True [  157605.418047] 0003 0036 0000040d
2022-04-02 17:21:22.256821 True [  157605.426192] 0003 0035 00000505
2022-04-02 17:21:22.256821 True [  157605.426192] 0003 0036 00000409
2022-04-02 17:21:22.265251 True [  157605.434605] 0003 0035 00000507
2022-04-02 17:21:22.265251 True [  157605.434605] 0003 0036 00000406
2022-04-02 17:21:22.275520 False [  157605.442824] 0003 0035 00000509
2022-04-02 17:21:22.275779 False [  157605.442824] 0003 0036 00000403
2022-04-02 17:21:22.290751 False [  157605.459479] 0003 0035 0000050a
2022-04-02 17:21:22.290751 False [  157605.459479] 0003 0036 00000400
2022-04-02 17:21:22.300705 False [  157605.467883] 0003 0035 0000050c
2022-04-02 17:21:22.300705 False [  157605.467883] 0003 0036 000003fe
2022-04-02 17:21:22.307546 False [  157605.476190] 0003 0035 0000050d
2022-04-02 17:21:22.307546 False [  157605.476190] 0003 0036 000003fb
2022-04-02 17:21:22.315913 False [  157605.484651] 0003 0035 0000050f
2022-04-02 17:21:22.315913 False [  157605.484651] 0003 0036 000003f9
2022-04-02 17:21:22.323819 False [  157605.492638] 0003 0035 00000510
2022-04-02 17:21:22.324816 False [  157605.492638] 0003 0036 000003f8
2022-04-02 17:21:22.331724 False [  157605.501086] 0003 0035 00000511
2022-04-02 17:21:22.331724 False [  157605.501086] 0003 0036 000003f6
2022-04-02 17:21:22.338769 False [  157605.509263] 0003 0035 00000512
2022-04-02 17:21:22.338769 False [  157605.509263] 0003 0036 000003f5
2022-04-02 17:21:22.349589 False [  157605.517696] 0003 0035 00000513
2022-04-02 17:21:22.349589 False [  157605.517696] 0003 0036 000003f4
2022-04-02 17:21:22.357970 False [  157605.525905] 0003 0035 00000514
2022-04-02 17:21:22.357970 False [  157605.525905] 0003 0036 000003f3
2022-04-02 17:21:22.381124 False [  157605.550988] 0003 0036 000003f2
2022-04-02 17:21:22.391576 False [  157605.559125] 0003 0035 00000515
2022-04-02 17:21:22.414252 False [  157605.584323] 0003 0036 000003f1
2022-04-02 17:21:22.426644 False [  157605.592615] 0003 0035 00000516
2022-04-02 17:21:22.460273 False [  157605.625703] 0003 0035 00000517
2022-04-02 17:21:22.498667 False [  157605.667404] 0003 0035 00000518
2022-04-02 17:21:22.525964 False [  157605.692104] 0003 0035 00000519
2022-04-02 17:21:22.541170 False [  157605.708733] 0003 0035 0000051a
2022-04-02 17:21:22.541170 False [  157605.708733] 0003 0036 000003f0
2022-04-02 17:21:22.548020 False [  157605.717220] 0003 0035 0000051b
2022-04-02 17:21:22.575258 False [  157605.742041] 0003 0035 0000051c
2022-04-02 17:21:22.575258 False [  157605.742041] 0003 0036 000003ef
2022-04-02 17:21:22.582625 False [  157605.750448] 0003 0035 0000051d
2022-04-02 17:21:22.598119 False [  157605.766930] 0003 0035 0000051e
2022-04-02 17:21:22.617678 False [  157605.783581] 0003 0035 0000051f
2022-04-02 17:21:22.634063 False [  157605.800406] 0003 0035 00000522
2022-04-02 17:21:22.634063 False [  157605.800406] 0003 0036 000003ed
2022-04-02 17:21:22.640572 False [  157605.808588] 0003 0035 00000524
2022-04-02 17:21:22.640572 False [  157605.808588] 0003 0036 000003eb
2022-04-02 17:21:22.647499 False [  157605.816913] 0003 0035 00000526
2022-04-02 17:21:22.647499 False [  157605.816913] 0003 0036 000003ea
2022-04-02 17:21:22.656200 False [  157605.825084] 0003 0035 00000528
2022-04-02 17:21:22.656200 False [  157605.825084] 0003 0036 000003e8
2022-04-02 17:21:22.663928 False [  157605.833455] 0003 0035 0000052d
2022-04-02 17:21:22.663928 False [  157605.833455] 0003 0036 000003e1
2022-04-02 17:21:22.672627 False [  157605.841698] 0003 0035 00000534
2022-04-02 17:21:22.672627 False [  157605.841698] 0003 0036 000003d9
2022-04-02 17:21:22.681575 False [  157605.850091] 0003 0035 00000538
2022-04-02 17:21:22.681575 False [  157605.850091] 0003 0036 000003d4
2022-04-02 17:21:22.688274 False [  157605.858251] 0003 0035 0000053b
2022-04-02 17:21:22.688274 False [  157605.858251] 0003 0036 000003d1
2022-04-02 17:21:22.698483 False [  157605.866678] 0003 0035 00000543
2022-04-02 17:21:22.698483 False [  157605.866678] 0003 0036 000003c4
2022-04-02 17:21:22.704500 False [  157605.874933] 0003 0035 00000548
2022-04-02 17:21:22.704500 False [  157605.874933] 0003 0036 000003bc
2022-04-02 17:21:22.721824 False [  157605.883253] 0003 0035 0000054a
2022-04-02 17:21:22.721824 False [  157605.883253] 0003 0036 000003b7
2022-04-02 17:21:22.723820 False [  157605.891511] 0003 0035 0000054c
2022-04-02 17:21:22.723820 False [  157605.891511] 0003 0036 000003b5
2022-04-02 17:21:22.731206 False [  157605.899880] 0003 0035 0000054e
2022-04-02 17:21:22.731206 False [  157605.899880] 0003 0036 000003ad
2022-04-02 17:21:22.737267 False [  157605.908131] 0003 0035 0000054f
2022-04-02 17:21:22.737267 False [  157605.908131] 0003 0036 000003a6
2022-04-02 17:21:22.746203 False [  157605.916490] 0003 0035 00000550
2022-04-02 17:21:22.746203 False [  157605.916490] 0003 0036 000003a1
2022-04-02 17:21:22.756207 False [  157605.924671] 0003 0036 0000039e
2022-04-02 17:21:22.763833 False [  157605.933082] 0003 0036 0000039b
2022-04-02 17:21:22.773011 False [  157605.941339] 0003 0036 0000039a
2022-04-02 17:21:22.782908 False [  157605.949872] 0003 0036 00000399
2022-04-02 17:21:22.809148 False [  157605.974601] 0003 0035 0000054f
2022-04-02 17:21:22.809148 False [  157605.974601] 0003 0036 0000039a
2022-04-02 17:21:22.817646 False [  157605.983105] 0003 0035 0000054d
2022-04-02 17:21:22.823834 False [  157605.991379] 0003 0035 0000054c
2022-04-02 17:21:22.823834 False [  157605.991379] 0003 0036 0000039b
2022-04-02 17:21:22.831844 False [  157605.999850] 0003 0035 00000549
2022-04-02 17:21:22.831844 False [  157605.999850] 0003 0036 0000039e
2022-04-02 17:21:22.838751 False [  157606.007904] 0003 0035 00000546
