Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.4201613578430373 
    wm_size = [1600 2560] 
    stim_amp = 5 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:33:51.364740 True [    1423.775742] 0003 0035 000003a0
2022-04-06 14:33:51.364740 True [    1423.775742] 0003 0036 000003f6
2022-04-06 14:33:51.372853 True [    1423.784273] 0003 0036 000003f5
2022-04-06 14:33:51.382239 True [    1423.792522] 0003 0035 0000039f
2022-04-06 14:33:51.382239 True [    1423.792522] 0003 0036 000003f3
2022-04-06 14:33:51.399661 True [    1423.809147] 0003 0035 0000039e
2022-04-06 14:33:51.399661 True [    1423.809147] 0003 0036 000003f1
2022-04-06 14:33:51.408680 True [    1423.817610] 0003 0035 0000039d
2022-04-06 14:33:51.408680 True [    1423.817610] 0003 0036 000003ef
2022-04-06 14:33:51.412671 True [    1423.825770] 0003 0036 000003ed
2022-04-06 14:33:51.423593 True [    1423.834222] 0003 0035 0000039c
2022-04-06 14:33:51.423593 True [    1423.834222] 0003 0036 000003eb
2022-04-06 14:33:51.432778 True [    1423.842481] 0003 0035 0000039b
2022-04-06 14:33:51.432778 True [    1423.842481] 0003 0036 000003e8
2022-04-06 14:33:51.439850 True [    1423.850873] 0003 0035 0000039a
2022-04-06 14:33:51.439850 True [    1423.850873] 0003 0036 000003e6
2022-04-06 14:33:51.457088 True [    1423.867578] 0003 0035 00000399
2022-04-06 14:33:51.457088 True [    1423.867578] 0003 0036 000003e2
2022-04-06 14:33:51.464804 True [    1423.875796] 0003 0035 00000398
2022-04-06 14:33:51.464804 True [    1423.875796] 0003 0036 000003df
2022-04-06 14:33:51.473703 True [    1423.884425] 0003 0035 00000397
2022-04-06 14:33:51.473703 True [    1423.884425] 0003 0036 000003dd
2022-04-06 14:33:51.481831 True [    1423.892546] 0003 0035 00000396
2022-04-06 14:33:51.481831 True [    1423.892546] 0003 0036 000003da
2022-04-06 14:33:51.489281 True [    1423.900922] 0003 0035 00000395
2022-04-06 14:33:51.489281 True [    1423.900922] 0003 0036 000003d8
2022-04-06 14:33:51.500254 True [    1423.909162] 0003 0036 000003d6
2022-04-06 14:33:51.508775 True [    1423.917576] 0003 0035 00000394
2022-04-06 14:33:51.508775 True [    1423.917576] 0003 0036 000003d5
2022-04-06 14:33:51.516704 True [    1423.925797] 0003 0035 00000393
2022-04-06 14:33:51.516704 True [    1423.925797] 0003 0036 000003d3
2022-04-06 14:33:51.525636 True [    1423.934249] 0003 0035 00000392
2022-04-06 14:33:51.525636 True [    1423.934249] 0003 0036 000003d1
2022-04-06 14:33:51.532047 True [    1423.942510] 0003 0036 000003d0
