Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.7539322516426862 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 18:21:24.793286 False [  161207.763989] 0003 0036 000004e0
2022-04-02 18:21:25.040318 False [  161207.788312] 0003 0035 0000008e
2022-04-02 18:21:25.040318 False [  161207.788312] 0003 0036 000004e1
2022-04-02 18:21:25.040318 False [  161207.812642] 0003 0035 0000008b
2022-04-02 18:21:25.040318 False [  161207.812642] 0003 0036 000004e5
2022-04-02 18:21:25.040318 False [  161207.836355] 0003 0035 00000080
2022-04-02 18:21:25.040318 False [  161207.836355] 0003 0036 0000050d
2022-04-02 18:21:25.040318 False [  161207.861403] 0003 0035 00000084
2022-04-02 18:21:25.040318 False [  161207.861403] 0003 0036 0000053a
2022-04-02 18:21:25.040318 False [  161207.889506] 0003 0035 0000008a
2022-04-02 18:21:25.040318 False [  161207.889506] 0003 0036 0000055f
2022-04-02 18:21:25.040318 False [  161207.916223] 0003 0035 0000008e
2022-04-02 18:21:25.040318 False [  161207.916223] 0003 0036 0000057b
2022-04-02 18:21:25.088482 False [  161207.936823] 0003 0036 0000057f
2022-04-02 18:21:25.088482 False [  161207.960433] 0003 0036 00000584
2022-04-02 18:21:25.088482 False [  161208.017438] 0003 0036 00000567
2022-04-02 18:21:25.088482 False [  161208.038860] 0003 0035 00000082
2022-04-02 18:21:25.088482 False [  161208.038860] 0003 0036 00000516
2022-04-02 18:21:25.088482 False [  161208.061203] 0003 0035 0000007e
2022-04-02 18:21:25.088482 False [  161208.061203] 0003 0036 00000501
2022-04-02 18:21:25.088482 False [  161208.086933] 0003 0035 0000006f
2022-04-02 18:21:25.088482 False [  161208.086933] 0003 0036 000004b5
2022-04-02 18:21:25.088482 False [  161208.113561] 0003 0035 00000068
2022-04-02 18:21:25.088482 False [  161208.113561] 0003 0036 00000493
2022-04-02 18:21:25.088482 False [  161208.142524] 0003 0035 00000067
2022-04-02 18:21:25.088482 False [  161208.142524] 0003 0036 00000486
2022-04-02 18:21:25.235484 False [  161208.170895] 0003 0035 0000006e
2022-04-02 18:21:25.235484 False [  161208.170895] 0003 0036 0000049b
2022-04-02 18:21:25.235484 False [  161208.185763] 0003 0035 00000072
2022-04-02 18:21:25.235484 False [  161208.185763] 0003 0036 000004a7
2022-04-02 18:21:25.235484 False [  161208.202968] 0003 0035 00000074
2022-04-02 18:21:25.235484 False [  161208.202968] 0003 0036 000004ad
2022-04-02 18:21:25.235484 False [  161208.210642] 0003 0035 00000087
2022-04-02 18:21:25.235484 False [  161208.210642] 0003 0036 000004df
2022-04-02 18:21:25.460763 False [  161208.224141] 0003 0035 0000008f
2022-04-02 18:21:25.460763 False [  161208.224141] 0003 0036 000004f5
2022-04-02 18:21:25.460763 False [  161208.234491] 0003 0035 0000009b
2022-04-02 18:21:25.460763 False [  161208.234491] 0003 0036 00000518
2022-04-02 18:21:25.460763 False [  161208.237925] 0003 0035 0000009f
2022-04-02 18:21:25.460763 False [  161208.237925] 0003 0036 00000524
2022-04-02 18:21:25.460763 False [  161208.245487] 0003 0035 000000a0
2022-04-02 18:21:25.460763 False [  161208.245487] 0003 0036 0000052b
2022-04-02 18:21:25.460763 False [  161208.272949] 0003 0035 000000aa
2022-04-02 18:21:25.460763 False [  161208.272949] 0003 0036 00000551
2022-04-02 18:21:25.460763 False [  161208.302350] 0003 0035 000000ab
2022-04-02 18:21:25.461768 False [  161208.302350] 0003 0036 00000558
2022-04-02 18:21:25.461768 False [  161208.326624] 0003 0036 00000559
2022-04-02 18:21:25.461768 False [  161208.359096] 0003 0036 00000555
2022-04-02 18:21:25.535407 False [  161208.389587] 0003 0035 000000ac
2022-04-02 18:21:25.535407 False [  161208.389587] 0003 0036 0000052b
2022-04-02 18:21:25.535407 False [  161208.418457] 0003 0035 000000ad
2022-04-02 18:21:25.535407 False [  161208.418457] 0003 0036 000004fc
2022-04-02 18:21:25.535407 False [  161208.441003] 0003 0035 000000af
2022-04-02 18:21:25.535407 False [  161208.441003] 0003 0036 000004e2
2022-04-02 18:21:25.535407 False [  161208.461236] 0003 0035 000000b0
2022-04-02 18:21:25.535407 False [  161208.461236] 0003 0036 000004db
2022-04-02 18:21:25.535407 False [  161208.489721] 0003 0035 000000b5
2022-04-02 18:21:25.535407 False [  161208.489721] 0003 0036 000004cf
