Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.0931176187513074 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:18:48.398970 False [   18905.480471] 0003 0036 0000006f
2022-03-16 15:18:48.923956 False [   18906.006330] 0003 0035 000004cd
2022-03-16 15:18:48.923956 False [   18906.006330] 0003 0036 0000005f
2022-03-16 15:18:48.940881 False [   18906.022171] 0003 0035 000004cd
2022-03-16 15:18:48.940881 False [   18906.022171] 0003 0036 0000005f
2022-03-16 15:18:48.955137 False [   18906.038806] 0003 0035 000004cd
2022-03-16 15:18:48.955137 False [   18906.038806] 0003 0036 0000005f
2022-03-16 15:18:48.974552 False [   18906.056627] 0003 0035 000004cd
2022-03-16 15:18:48.974552 False [   18906.056627] 0003 0036 0000005f
2022-03-16 15:18:48.990043 False [   18906.072524] 0003 0035 000004cd
2022-03-16 15:18:48.990043 False [   18906.072524] 0003 0036 0000005f
2022-03-16 15:18:49.006471 False [   18906.088888] 0003 0035 000004cd
2022-03-16 15:18:49.006471 False [   18906.088888] 0003 0036 0000005f
2022-03-16 15:18:49.022671 False [   18906.106372] 0003 0035 000004d2
2022-03-16 15:18:49.022671 False [   18906.106372] 0003 0036 00000062
2022-03-16 15:18:49.039922 False [   18906.123114] 0003 0035 000004d8
2022-03-16 15:18:49.040919 False [   18906.123114] 0003 0036 00000067
2022-03-16 15:18:49.058540 False [   18906.139636] 0003 0035 000004de
2022-03-16 15:18:49.058540 False [   18906.139636] 0003 0036 0000006c
2022-03-16 15:18:49.073014 False [   18906.157040] 0003 0035 000004e4
2022-03-16 15:18:49.073014 False [   18906.157040] 0003 0036 00000071
2022-03-16 15:18:49.090515 False [   18906.173905] 0003 0035 000004e9
2022-03-16 15:18:49.090515 False [   18906.173905] 0003 0036 00000075
2022-03-16 15:18:49.108025 False [   18906.191673] 0003 0035 000004ed
2022-03-16 15:18:49.108025 False [   18906.191673] 0003 0036 00000079
2022-03-16 15:18:49.126305 False [   18906.208122] 0003 0035 000004ed
2022-03-16 15:18:49.126305 False [   18906.208122] 0003 0036 00000079
2022-03-16 15:18:49.143110 False [   18906.224962] 0003 0035 000004ed
2022-03-16 15:18:49.143110 False [   18906.224962] 0003 0036 00000079
2022-03-16 15:18:49.157510 False [   18906.241865] 0003 0035 000004ed
2022-03-16 15:18:49.157510 False [   18906.241865] 0003 0036 00000079
2022-03-16 15:18:49.174557 False [   18906.258201] 0003 0035 000004ed
2022-03-16 15:18:49.174557 False [   18906.258201] 0003 0036 00000079
2022-03-16 15:18:49.192118 False [   18906.275188] 0003 0035 000004ed
2022-03-16 15:18:49.193082 False [   18906.275188] 0003 0036 00000079
2022-03-16 15:18:49.211020 False [   18906.292125] 0003 0035 000004e7
2022-03-16 15:18:49.211020 False [   18906.292125] 0003 0036 00000072
2022-03-16 15:18:49.226727 False [   18906.309051] 0003 0035 000004df
2022-03-16 15:18:49.226727 False [   18906.309051] 0003 0036 0000006c
2022-03-16 15:18:49.245818 False [   18906.326772] 0003 0035 000004d8
2022-03-16 15:18:49.245818 False [   18906.326772] 0003 0036 00000068
2022-03-16 15:18:49.260392 False [   18906.343105] 0003 0035 000004d2
2022-03-16 15:18:49.260392 False [   18906.343105] 0003 0036 00000065
2022-03-16 15:18:49.276480 False [   18906.359866] 0003 0035 000004d2
2022-03-16 15:18:49.276480 False [   18906.359866] 0003 0036 00000065
2022-03-16 15:18:49.295014 False [   18906.377455] 0003 0035 000004d2
2022-03-16 15:18:49.295014 False [   18906.377455] 0003 0036 00000065
2022-03-16 15:18:49.312917 False [   18906.394365] 0003 0035 000004d2
2022-03-16 15:18:49.312917 False [   18906.394365] 0003 0036 00000065
2022-03-16 15:18:49.328971 False [   18906.410849] 0003 0035 000004d8
2022-03-16 15:18:49.328971 False [   18906.410849] 0003 0036 00000069
2022-03-16 15:18:49.346817 False [   18906.428357] 0003 0035 000004de
2022-03-16 15:18:49.346817 False [   18906.428357] 0003 0036 0000006e
2022-03-16 15:18:49.363041 False [   18906.444909] 0003 0035 000004e4
2022-03-16 15:18:49.363041 False [   18906.444909] 0003 0036 00000073
2022-03-16 15:18:49.379270 False [   18906.461449] 0003 0035 000004e9
2022-03-16 15:18:49.379270 False [   18906.461449] 0003 0036 00000077
2022-03-16 15:18:49.397618 False [   18906.478454] 0003 0035 000004e9
2022-03-16 15:18:49.397618 False [   18906.478454] 0003 0036 00000077
