Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.113634001116318 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-03 19:12:51.204863 False [   71642.747563] 0003 0035 0000036c
2022-03-03 19:12:51.219231 False [   71642.764405] 0003 0035 0000037f
2022-03-03 19:12:51.235290 True [   71642.781296] 0003 0035 00000378
2022-03-03 19:12:51.253249 True [   71642.798077] 0003 0035 00000370
2022-03-03 19:12:51.269202 True [   71642.815485] 0003 0035 00000365
2022-03-03 19:12:51.287530 True [   71642.833044] 0003 0035 00000358
2022-03-03 19:12:51.303020 True [   71642.848978] 0003 0035 0000034b
2022-03-03 19:12:51.319744 True [   71642.865881] 0003 0035 0000033f
2022-03-03 19:12:51.336308 True [   71642.882774] 0003 0035 00000334
2022-03-03 19:12:51.353757 True [   71642.899684] 0003 0035 0000032b
2022-03-03 19:12:51.371075 True [   71642.917079] 0003 0035 00000323
2022-03-03 19:12:51.391159 True [   71642.934042] 0003 0035 0000031c
2022-03-03 19:12:51.405467 True [   71642.950428] 0003 0035 00000315
2022-03-03 19:12:51.421664 True [   71642.967386] 0003 0035 0000030c
2022-03-03 19:12:51.437392 True [   71642.984376] 0003 0035 00000301
2022-03-03 19:12:51.457351 True [   71643.001547] 0003 0035 000002f5
2022-03-03 19:12:51.472316 True [   71643.018624] 0003 0035 000002e9
2022-03-03 19:12:51.489356 True [   71643.035596] 0003 0035 000002de
2022-03-03 19:12:51.505503 True [   71643.052135] 0003 0035 000002d4
2022-03-03 19:12:51.521815 True [   71643.068919] 0003 0035 000002cc
2022-03-03 19:12:51.541490 True [   71643.086811] 0003 0035 000002c5
2022-03-03 19:12:51.555767 True [   71643.102881] 0003 0035 000002c0
2022-03-03 19:12:51.575774 True [   71643.120165] 0003 0035 000002ba
2022-03-03 19:12:51.593383 True [   71643.137636] 0003 0035 000002b2
2022-03-03 19:12:51.608627 True [   71643.153575] 0003 0035 000002a7
2022-03-03 19:12:51.623419 True [   71643.170463] 0003 0035 0000029a
2022-03-03 19:12:51.641355 True [   71643.187361] 0003 0035 0000028e
2022-03-03 19:12:51.659301 True [   71643.204340] 0003 0035 00000283
2022-03-03 19:12:51.675295 True [   71643.221725] 0003 0035 00000279
2022-03-03 19:12:51.694384 True [   71643.238193] 0003 0035 00000270
2022-03-03 19:12:51.710172 True [   71643.255139] 0003 0035 00000269
2022-03-03 19:12:51.727842 True [   71643.271929] 0003 0035 00000263
2022-03-03 19:12:51.743069 True [   71643.289002] 0003 0035 0000025b
2022-03-03 19:12:51.761223 True [   71643.305822] 0003 0035 0000024f
2022-03-03 19:12:51.777795 True [   71643.323068] 0003 0035 00000242
2022-03-03 19:12:51.794943 True [   71643.339904] 0003 0035 00000235
2022-03-03 19:12:51.810294 True [   71643.356663] 0003 0035 0000022a
2022-03-03 19:12:51.826986 True [   71643.373510] 0003 0035 00000220
2022-03-03 19:12:51.844934 True [   71643.390524] 0003 0035 00000218
2022-03-03 19:12:51.862103 True [   71643.407410] 0003 0035 00000210
2022-03-03 19:12:51.879976 True [   71643.424704] 0003 0035 0000020a
2022-03-03 19:12:51.896899 True [   71643.441208] 0003 0035 00000205
2022-03-03 19:12:51.913488 True [   71643.458387] 0003 0035 00000201
2022-03-03 19:12:51.929878 True [   71643.475071] 0003 0035 000001fb
2022-03-03 19:12:51.947091 True [   71643.492092] 0003 0035 000001f3
2022-03-03 19:12:51.963948 True [   71643.508968] 0003 0035 000001ea
2022-03-03 19:12:51.979801 True [   71643.526135] 0003 0035 000001e1
2022-03-03 19:12:51.999707 True [   71643.542738] 0003 0035 000001d7
2022-03-03 19:12:52.013929 True [   71643.559644] 0003 0035 000001ce
2022-03-03 19:12:52.029773 True [   71643.576517] 0003 0035 000001c6
2022-03-03 19:12:52.046637 True [   71643.593470] 0003 0035 000001bf
2022-03-03 19:12:52.063950 True [   71643.610448] 0003 0035 000001b9
2022-03-03 19:12:52.101856 True [   71643.644558] 0003 0035 000001b3
2022-03-03 19:12:52.114487 True [   71643.661176] 0003 0035 000001ae
2022-03-03 19:12:52.131631 True [   71643.678034] 0003 0035 000001aa
2022-03-03 19:12:52.148638 True [   71643.694952] 0003 0035 000001aa
2022-03-03 19:12:52.537324 True [   71644.084192] 0003 0035 000001aa
2022-03-03 19:12:52.555248 True [   71644.101213] 0003 0035 000001aa
2022-03-03 19:12:52.572768 True [   71644.118209] 0003 0035 000001aa
2022-03-03 19:12:52.589525 True [   71644.135082] 0003 0035 000001aa
2022-03-03 19:12:52.605024 True [   71644.151876] 0003 0035 000001aa
2022-03-03 19:12:52.621822 True [   71644.168840] 0003 0035 000001b1
2022-03-03 19:12:52.639478 True [   71644.186101] 0003 0035 000001bb
2022-03-03 19:12:52.657546 True [   71644.202795] 0003 0035 000001c7
2022-03-03 19:12:52.673788 True [   71644.219963] 0003 0035 000001d3
2022-03-03 19:12:52.691450 True [   71644.236524] 0003 0035 000001de
2022-03-03 19:12:52.709121 True [   71644.253490] 0003 0035 000001e8
2022-03-03 19:12:52.725282 True [   71644.270405] 0003 0035 000001f0
2022-03-03 19:12:52.741231 True [   71644.287431] 0003 0035 000001f8
2022-03-03 19:12:52.757331 True [   71644.304311] 0003 0035 00000203
2022-03-03 19:12:52.776009 True [   71644.322066] 0003 0035 0000020f
2022-03-03 19:12:52.792159 True [   71644.338193] 0003 0035 0000021c
2022-03-03 19:12:52.810355 True [   71644.355034] 0003 0035 00000228
2022-03-03 19:12:52.826862 True [   71644.371883] 0003 0035 00000234
2022-03-03 19:12:52.844864 True [   71644.389179] 0003 0035 0000023f
2022-03-03 19:12:52.859191 True [   71644.405873] 0003 0035 00000248
2022-03-03 19:12:52.877590 True [   71644.423063] 0003 0035 00000254
2022-03-03 19:12:52.893479 True [   71644.439635] 0003 0035 00000264
