Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.6510293235592144 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 15:38:30.906980 True [   87833.784835] 0003 0035 00000252
2022-03-10 15:38:30.924208 True [   87833.801896] 0003 0035 00000252
2022-03-10 15:38:30.941213 True [   87833.818892] 0003 0035 00000252
2022-03-10 15:38:30.958902 True [   87833.836143] 0003 0035 00000252
2022-03-10 15:38:30.975069 True [   87833.852598] 0003 0035 00000252
2022-03-10 15:38:30.991322 True [   87833.869473] 0003 0035 00000252
2022-03-10 15:38:31.008812 True [   87833.886468] 0003 0035 00000252
2022-03-10 15:38:31.026740 True [   87833.903449] 0003 0035 00000252
2022-03-10 15:38:31.042865 True [   87833.920321] 0003 0035 00000252
2022-03-10 15:38:31.062666 True [   87833.937723] 0003 0035 00000252
2022-03-10 15:38:31.077395 True [   87833.954111] 0003 0035 00000252
2022-03-10 15:38:31.093815 True [   87833.971113] 0003 0035 00000252
2022-03-10 15:38:31.111771 True [   87833.988077] 0003 0035 00000252
2022-03-10 15:38:31.128169 True [   87834.005346] 0003 0035 00000252
2022-03-10 15:38:31.162164 True [   87834.039047] 0003 0035 00000252
2022-03-10 15:38:31.178121 True [   87834.055670] 0003 0035 00000252
2022-03-10 15:38:31.195673 True [   87834.072665] 0003 0035 00000256
2022-03-10 15:38:31.212339 True [   87834.089658] 0003 0035 0000025b
2022-03-10 15:38:31.230184 True [   87834.106559] 0003 0035 00000263
2022-03-10 15:38:31.246168 True [   87834.123478] 0003 0035 0000026d
2022-03-10 15:38:31.263594 True [   87834.140356] 0003 0035 00000277
2022-03-10 15:38:31.279625 True [   87834.157363] 0003 0035 00000280
2022-03-10 15:38:31.296877 True [   87834.174233] 0003 0035 00000289
2022-03-10 15:38:31.313822 True [   87834.191252] 0003 0035 00000290
2022-03-10 15:38:31.332141 True [   87834.208298] 0003 0035 00000296
2022-03-10 15:38:31.346859 True [   87834.225032] 0003 0035 0000029b
2022-03-10 15:38:31.368863 True [   87834.241935] 0003 0035 0000029b
2022-03-10 15:38:31.380980 True [   87834.258888] 0003 0035 0000029f
2022-03-10 15:38:31.398024 True [   87834.275796] 0003 0035 0000029f
2022-03-10 15:38:31.414954 True [   87834.292905] 0003 0035 0000029f
2022-03-10 15:38:31.432098 True [   87834.309677] 0003 0035 0000029f
2022-03-10 15:38:31.449628 True [   87834.326616] 0003 0035 0000029f
2022-03-10 15:38:31.467054 True [   87834.344079] 0003 0035 0000029f
2022-03-10 15:38:31.482569 True [   87834.360479] 0003 0035 0000029f
2022-03-10 15:38:31.499625 True [   87834.377373] 0003 0035 0000029f
2022-03-10 15:38:31.516640 True [   87834.394358] 0003 0035 000002a3
2022-03-10 15:38:31.533725 True [   87834.411365] 0003 0035 000002a3
2022-03-10 15:38:31.550938 True [   87834.428199] 0003 0035 000002a3
2022-03-10 15:38:31.567808 True [   87834.445161] 0003 0035 000002a3
2022-03-10 15:38:31.584059 True [   87834.462077] 0003 0035 000002a3
2022-03-10 15:38:31.601296 True [   87834.478969] 0003 0035 000002a3
2022-03-10 15:38:31.618509 True [   87834.495967] 0003 0035 000002a3
2022-03-10 15:38:31.637658 True [   87834.513403] 0003 0035 000002a3
2022-03-10 15:38:31.652798 True [   87834.529755] 0003 0035 000002a3
2022-03-10 15:38:31.669725 True [   87834.546748] 0003 0035 000002a3
2022-03-10 15:38:31.686003 True [   87834.563666] 0003 0035 0000029d
2022-03-10 15:38:31.703656 True [   87834.580541] 0003 0035 00000295
2022-03-10 15:38:31.720611 True [   87834.598353] 0003 0035 0000028d
2022-03-10 15:38:31.736571 True [   87834.614423] 0003 0035 00000284
2022-03-10 15:38:31.753870 True [   87834.631401] 0003 0035 0000027c
2022-03-10 15:38:31.771447 True [   87834.648238] 0003 0035 00000275
2022-03-10 15:38:31.787517 True [   87834.665287] 0003 0035 0000026e
2022-03-10 15:38:31.805180 True [   87834.682099] 0003 0035 00000269
2022-03-10 15:38:31.822517 True [   87834.699071] 0003 0035 00000264
2022-03-10 15:38:31.840668 True [   87834.716202] 0003 0035 00000260
2022-03-10 15:38:31.856358 True [   87834.733527] 0003 0035 00000260
2022-03-10 15:38:31.873704 True [   87834.749865] 0003 0035 00000260
2022-03-10 15:38:31.889393 True [   87834.766703] 0003 0035 0000025c
2022-03-10 15:38:31.906179 True [   87834.783782] 0003 0035 0000025c
2022-03-10 15:38:31.923133 True [   87834.800748] 0003 0035 0000025c
2022-03-10 15:38:31.940352 True [   87834.817848] 0003 0035 0000025c
