Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 0.7001747901083359 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 2
        ===============================
2022-04-07 18:30:01.358295 False [   17330.694916] 0003 0036 00000039
2022-04-07 18:30:03.592813 False [   17332.929842] 0003 0035 000004f6
2022-04-07 18:30:03.592813 False [   17332.929842] 0003 0036 000001ca
2022-04-07 18:30:03.640049 False [   17332.977417] 0003 0035 000004f3
2022-04-07 18:30:03.648992 False [   17332.985856] 0003 0035 000004f2
2022-04-07 18:30:03.656356 False [   17332.994109] 0003 0035 000004f0
2022-04-07 18:30:03.665689 False [   17333.002546] 0003 0035 000004e8
2022-04-07 18:30:03.665689 False [   17333.002546] 0003 0036 000001c7
2022-04-07 18:30:03.674156 False [   17333.010681] 0003 0035 000004e2
2022-04-07 18:30:03.674156 False [   17333.010681] 0003 0036 000001c5
2022-04-07 18:30:03.682282 False [   17333.019073] 0003 0035 000004d9
2022-04-07 18:30:03.682282 False [   17333.019073] 0003 0036 000001c3
2022-04-07 18:30:03.689271 False [   17333.027317] 0003 0035 000004d3
2022-04-07 18:30:03.690256 False [   17333.027317] 0003 0036 000001c0
2022-04-07 18:30:03.698228 False [   17333.035715] 0003 0035 000004c9
2022-04-07 18:30:03.698228 False [   17333.035715] 0003 0036 000001be
2022-04-07 18:30:03.706884 False [   17333.043947] 0003 0035 000004c3
2022-04-07 18:30:03.706884 False [   17333.043947] 0003 0036 000001bc
2022-04-07 18:30:03.714666 False [   17333.052356] 0003 0035 000004ba
2022-04-07 18:30:03.714666 False [   17333.052356] 0003 0036 000001ba
2022-04-07 18:30:03.724149 False [   17333.060723] 0003 0035 000004b3
2022-04-07 18:30:03.732074 False [   17333.069046] 0003 0035 000004a8
2022-04-07 18:30:03.732074 False [   17333.069046] 0003 0036 000001b8
2022-04-07 18:30:03.740891 False [   17333.077235] 0003 0035 000004a1
2022-04-07 18:30:03.740891 False [   17333.077235] 0003 0036 000001b7
2022-04-07 18:30:03.748265 False [   17333.085637] 0003 0035 00000494
2022-04-07 18:30:03.748265 False [   17333.085637] 0003 0036 000001b5
2022-04-07 18:30:03.756951 False [   17333.093830] 0003 0035 0000048c
2022-04-07 18:30:03.764043 False [   17333.102282] 0003 0035 0000047e
2022-04-07 18:30:03.764043 False [   17333.102282] 0003 0036 000001b4
2022-04-07 18:30:03.773131 False [   17333.110465] 0003 0035 00000476
2022-04-07 18:30:03.782007 False [   17333.118975] 0003 0035 00000467
2022-04-07 18:30:03.782007 False [   17333.118975] 0003 0036 000001b3
2022-04-07 18:30:03.791160 False [   17333.127154] 0003 0035 0000045d
2022-04-07 18:30:03.791160 False [   17333.127154] 0003 0036 000001b2
2022-04-07 18:30:03.798032 False [   17333.135505] 0003 0035 0000044f
2022-04-07 18:30:03.798997 False [   17333.135505] 0003 0036 000001b1
2022-04-07 18:30:03.807208 False [   17333.143736] 0003 0035 00000444
2022-04-07 18:30:03.807208 False [   17333.143736] 0003 0036 000001b0
2022-04-07 18:30:03.814035 False [   17333.152171] 0003 0035 00000435
2022-04-07 18:30:03.826005 False [   17333.160339] 0003 0035 0000042a
2022-04-07 18:30:03.831365 False [   17333.168781] 0003 0035 00000419
2022-04-07 18:30:03.831365 False [   17333.168781] 0003 0036 000001b1
2022-04-07 18:30:03.840599 False [   17333.177062] 0003 0035 0000040e
2022-04-07 18:30:03.847116 False [   17333.185457] 0003 0035 000003fd
2022-04-07 18:30:03.847116 False [   17333.185457] 0003 0036 000001b3
2022-04-07 18:30:03.857101 False [   17333.193643] 0003 0035 000003f2
2022-04-07 18:30:03.857101 False [   17333.193643] 0003 0036 000001b4
2022-04-07 18:30:03.864791 False [   17333.202082] 0003 0035 000003dd
2022-04-07 18:30:03.864791 False [   17333.202082] 0003 0036 000001b5
2022-04-07 18:30:03.872132 False [   17333.210226] 0003 0035 000003d2
2022-04-07 18:30:03.872132 False [   17333.210226] 0003 0036 000001b6
2022-04-07 18:30:03.881923 False [   17333.218702] 0003 0035 000003c0
2022-04-07 18:30:03.881923 False [   17333.218702] 0003 0036 000001b9
2022-04-07 18:30:03.889587 False [   17333.226888] 0003 0035 000003af
2022-04-07 18:30:03.889587 False [   17333.226888] 0003 0036 000001ba
2022-04-07 18:30:03.897121 False [   17333.235305] 0003 0035 0000039f
2022-04-07 18:30:03.898093 False [   17333.235305] 0003 0036 000001bc
2022-04-07 18:30:03.906011 False [   17333.243546] 0003 0035 00000395
