Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.873664095982306 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 15:07:24.834079 False [    3178.355735] 0003 0035 00000426
2022-04-06 15:07:24.834079 False [    3178.355735] 0003 0036 0000034b
2022-04-06 15:07:24.840666 False [    3178.364261] 0003 0035 00000428
2022-04-06 15:07:24.840666 False [    3178.364261] 0003 0036 0000034c
2022-04-06 15:07:24.847644 False [    3178.372341] 0003 0035 00000429
2022-04-06 15:07:24.847644 False [    3178.372341] 0003 0036 0000034f
2022-04-06 15:07:24.857824 False [    3178.382084] 0003 0035 0000042c
2022-04-06 15:07:24.857824 False [    3178.382084] 0003 0036 00000353
2022-04-06 15:07:24.864650 False [    3178.389029] 0003 0035 0000042f
2022-04-06 15:07:24.864650 False [    3178.389029] 0003 0036 00000358
2022-04-06 15:07:24.874776 False [    3178.397656] 0003 0035 00000430
2022-04-06 15:07:24.874776 False [    3178.397656] 0003 0036 0000035b
2022-04-06 15:07:24.880431 False [    3178.405588] 0003 0035 00000432
2022-04-06 15:07:24.880431 False [    3178.405588] 0003 0036 0000035e
2022-04-06 15:07:24.891677 False [    3178.414300] 0003 0035 00000433
2022-04-06 15:07:24.891677 False [    3178.414300] 0003 0036 0000035f
2022-04-06 15:07:24.898543 False [    3178.422312] 0003 0036 00000364
2022-04-06 15:07:24.905996 False [    3178.430764] 0003 0035 00000434
2022-04-06 15:07:24.905996 False [    3178.430764] 0003 0036 00000369
2022-04-06 15:07:24.914996 False [    3178.438814] 0003 0035 00000435
2022-04-06 15:07:24.914996 False [    3178.438814] 0003 0036 0000036c
2022-04-06 15:07:24.923022 False [    3178.448544] 0003 0036 00000372
2022-04-06 15:07:24.930651 False [    3178.455424] 0003 0036 00000377
2022-04-06 15:07:24.940775 False [    3178.465151] 0003 0036 00000380
2022-04-06 15:07:24.948748 False [    3178.472045] 0003 0036 00000387
2022-04-06 15:07:24.956474 False [    3178.480673] 0003 0035 00000436
2022-04-06 15:07:24.956474 False [    3178.480673] 0003 0036 0000038c
2022-04-06 15:07:24.962791 False [    3178.488681] 0003 0035 00000432
2022-04-06 15:07:24.962791 False [    3178.488681] 0003 0036 00000397
2022-04-06 15:07:24.973768 False [    3178.497382] 0003 0035 0000042f
2022-04-06 15:07:24.973768 False [    3178.497382] 0003 0036 0000039f
2022-04-06 15:07:24.981225 False [    3178.505315] 0003 0035 0000042b
2022-04-06 15:07:24.981225 False [    3178.505315] 0003 0036 000003aa
2022-04-06 15:07:24.989298 False [    3178.514007] 0003 0035 00000428
2022-04-06 15:07:24.989298 False [    3178.514007] 0003 0036 000003b0
2022-04-06 15:07:24.999251 False [    3178.521948] 0003 0035 0000041f
2022-04-06 15:07:24.999251 False [    3178.521948] 0003 0036 000003be
2022-04-06 15:07:25.006757 False [    3178.530370] 0003 0035 0000041a
2022-04-06 15:07:25.006757 False [    3178.530370] 0003 0036 000003c6
2022-04-06 15:07:25.016244 False [    3178.538577] 0003 0035 00000417
2022-04-06 15:07:25.016244 False [    3178.538577] 0003 0036 000003ca
2022-04-06 15:07:25.020857 True [    3178.547009] 0003 0035 0000040b
2022-04-06 15:07:25.020857 True [    3178.547009] 0003 0036 000003d8
2022-04-06 15:07:25.029670 True [    3178.555357] 0003 0035 00000405
2022-04-06 15:07:25.029670 True [    3178.555357] 0003 0036 000003e0
2022-04-06 15:07:25.039902 True [    3178.564306] 0003 0035 00000402
2022-04-06 15:07:25.040675 True [    3178.564306] 0003 0036 000003e4
2022-04-06 15:07:25.046643 True [    3178.571801] 0003 0035 000003f3
2022-04-06 15:07:25.046643 True [    3178.571801] 0003 0036 000003f3
2022-04-06 15:07:25.058486 True [    3178.581560] 0003 0035 000003eb
2022-04-06 15:07:25.058486 True [    3178.581560] 0003 0036 000003fc
2022-04-06 15:07:25.066265 True [    3178.588889] 0003 0035 000003e8
2022-04-06 15:07:25.066265 True [    3178.588889] 0003 0036 00000400
2022-04-06 15:07:25.074739 True [    3178.596815] 0003 0035 000003da
2022-04-06 15:07:25.074739 True [    3178.596815] 0003 0036 00000409
2022-04-06 15:07:25.080102 True [    3178.604998] 0003 0035 000003d3
2022-04-06 15:07:25.080102 True [    3178.604998] 0003 0036 0000040e
2022-04-06 15:07:25.090690 True [    3178.613446] 0003 0035 000003cf
2022-04-06 15:07:25.090690 True [    3178.613446] 0003 0036 00000412
2022-04-06 15:07:25.095997 True [    3178.621645] 0003 0035 000003bd
2022-04-06 15:07:25.095997 True [    3178.621645] 0003 0036 00000422
2022-04-06 15:07:25.105703 True [    3178.630309] 0003 0035 000003b4
2022-04-06 15:07:25.105703 True [    3178.630309] 0003 0036 00000429
2022-04-06 15:07:25.114334 True [    3178.638252] 0003 0035 000003af
2022-04-06 15:07:25.114334 True [    3178.638252] 0003 0036 0000042d
2022-04-06 15:07:25.124127 True [    3178.646783] 0003 0035 000003a1
2022-04-06 15:07:25.124127 True [    3178.646783] 0003 0036 00000433
2022-04-06 15:07:25.130628 True [    3178.655129] 0003 0035 00000399
2022-04-06 15:07:25.130628 True [    3178.655129] 0003 0036 00000436
2022-04-06 15:07:25.138580 True [    3178.663544] 0003 0035 00000394
2022-04-06 15:07:25.138580 True [    3178.663544] 0003 0036 00000438
2022-04-06 15:07:25.146754 True [    3178.671510] 0003 0035 00000382
2022-04-06 15:07:25.146754 True [    3178.671510] 0003 0036 0000043c
2022-04-06 15:07:25.155834 True [    3178.680398] 0003 0035 00000377
2022-04-06 15:07:25.155834 True [    3178.680398] 0003 0036 0000043f
2022-04-06 15:07:25.163379 True [    3178.688122] 0003 0035 00000372
2022-04-06 15:07:25.163379 True [    3178.688122] 0003 0036 00000440
2022-04-06 15:07:25.177615 True [    3178.697333] 0003 0035 00000364
2022-04-06 15:07:25.177615 True [    3178.697333] 0003 0036 00000443
2022-04-06 15:07:25.182863 True [    3178.704848] 0003 0035 0000035b
2022-04-06 15:07:25.182863 True [    3178.704848] 0003 0036 00000444
2022-04-06 15:07:25.189628 True [    3178.713449] 0003 0035 00000355
2022-04-06 15:07:25.197919 True [    3178.721343] 0003 0035 00000347
2022-04-06 15:07:25.197919 True [    3178.721343] 0003 0036 00000445
2022-04-06 15:07:25.206045 True [    3178.729791] 0003 0035 0000033e
2022-04-06 15:07:25.206045 True [    3178.729791] 0003 0036 00000446
2022-04-06 15:07:25.217352 True [    3178.737982] 0003 0035 00000338
2022-04-06 15:07:25.224526 True [    3178.746509] 0003 0035 00000329
2022-04-06 15:07:25.224526 True [    3178.746509] 0003 0036 00000445
2022-04-06 15:07:25.230675 True [    3178.754649] 0003 0035 00000320
2022-04-06 15:07:25.239572 True [    3178.762991] 0003 0035 0000031a
2022-04-06 15:07:25.239572 True [    3178.762991] 0003 0036 00000444
2022-04-06 15:07:25.247804 True [    3178.771178] 0003 0035 00000315
2022-04-06 15:07:25.256546 True [    3178.780209] 0003 0035 00000313
2022-04-06 15:07:25.263675 True [    3178.787839] 0003 0035 00000303
2022-04-06 15:07:25.263675 True [    3178.787839] 0003 0036 00000441
2022-04-06 15:07:25.273922 True [    3178.797082] 0003 0035 000002fa
2022-04-06 15:07:25.273922 True [    3178.797082] 0003 0036 0000043f
2022-04-06 15:07:25.281891 True [    3178.804543] 0003 0035 000002f5
2022-04-06 15:07:25.281891 True [    3178.804543] 0003 0036 0000043e
2022-04-06 15:07:25.288924 True [    3178.812921] 0003 0035 000002f1
2022-04-06 15:07:25.288924 True [    3178.812921] 0003 0036 0000043d
2022-04-06 15:07:25.296807 True [    3178.821103] 0003 0035 000002ee
2022-04-06 15:07:25.305453 True [    3178.829530] 0003 0035 000002df
2022-04-06 15:07:25.305453 True [    3178.829530] 0003 0036 00000434
2022-04-06 15:07:25.313693 True [    3178.838044] 0003 0035 000002d6
2022-04-06 15:07:25.313693 True [    3178.838044] 0003 0036 0000042f
2022-04-06 15:07:25.321672 True [    3178.846364] 0003 0035 000002d1
2022-04-06 15:07:25.321672 True [    3178.846364] 0003 0036 0000042b
2022-04-06 15:07:25.330103 True [    3178.854518] 0003 0035 000002c9
2022-04-06 15:07:25.330103 True [    3178.854518] 0003 0036 00000426
2022-04-06 15:07:25.338082 True [    3178.862986] 0003 0035 000002c3
2022-04-06 15:07:25.338082 True [    3178.862986] 0003 0036 00000421
