Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.352692049053831 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:10:31.392997 False [  156954.574235] 0003 0035 000004fe
2022-04-02 17:10:31.392997 False [  156954.574235] 0003 0036 00000403
2022-04-02 17:10:31.404119 False [  156954.582484] 0003 0035 000004ff
2022-04-02 17:10:31.404119 False [  156954.582484] 0003 0036 000003ff
2022-04-02 17:10:31.411657 False [  156954.591256] 0003 0035 00000500
2022-04-02 17:10:31.411657 False [  156954.591256] 0003 0036 000003fc
2022-04-02 17:10:31.420056 False [  156954.599153] 0003 0035 00000501
2022-04-02 17:10:31.420056 False [  156954.599153] 0003 0036 000003fa
2022-04-02 17:10:31.430879 False [  156954.608170] 0003 0036 000003f9
2022-04-02 17:10:31.434329 False [  156954.615683] 0003 0035 00000502
2022-04-02 17:10:31.435288 False [  156954.615683] 0003 0036 000003f8
2022-04-02 17:10:31.445283 False [  156954.624535] 0003 0036 000003f9
2022-04-02 17:10:31.461825 False [  156954.641337] 0003 0036 000003fb
2022-04-02 17:10:31.470484 False [  156954.648960] 0003 0036 000003fd
2022-04-02 17:10:31.479117 False [  156954.657356] 0003 0036 00000401
2022-04-02 17:10:31.487678 False [  156954.665781] 0003 0035 00000501
2022-04-02 17:10:31.487678 False [  156954.665781] 0003 0036 00000405
2022-04-02 17:10:31.494019 False [  156954.673936] 0003 0036 00000408
2022-04-02 17:10:31.502881 False [  156954.682347] 0003 0035 000004ff
2022-04-02 17:10:31.502881 False [  156954.682347] 0003 0036 0000040e
2022-04-02 17:10:31.510451 False [  156954.690587] 0003 0035 000004fe
2022-04-02 17:10:31.510451 False [  156954.690587] 0003 0036 00000412
2022-04-02 17:10:31.519513 False [  156954.698844] 0003 0036 00000415
2022-04-02 17:10:31.529254 False [  156954.707729] 0003 0035 000004fd
2022-04-02 17:10:31.529254 False [  156954.707729] 0003 0036 00000418
2022-04-02 17:10:31.534278 False [  156954.715438] 0003 0035 000004fc
2022-04-02 17:10:31.534278 False [  156954.715438] 0003 0036 0000041b
2022-04-02 17:10:31.545296 False [  156954.724630] 0003 0035 000004fb
2022-04-02 17:10:31.545296 False [  156954.724630] 0003 0036 0000041e
2022-04-02 17:10:31.552531 False [  156954.732239] 0003 0036 00000420
2022-04-02 17:10:31.560326 False [  156954.740779] 0003 0035 000004fa
2022-04-02 17:10:31.560326 False [  156954.740779] 0003 0036 00000422
2022-04-02 17:10:31.572022 False [  156954.748930] 0003 0036 00000424
2022-04-02 17:10:31.577212 False [  156954.757049] 0003 0035 000004f9
2022-04-02 17:10:31.577212 False [  156954.757049] 0003 0036 00000427
2022-04-02 17:10:31.586356 False [  156954.765441] 0003 0035 000004f8
2022-04-02 17:10:31.586356 False [  156954.765441] 0003 0036 00000429
2022-04-02 17:10:31.594780 False [  156954.773668] 0003 0036 0000042a
2022-04-02 17:10:31.603007 False [  156954.781891] 0003 0035 000004f7
