Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.314948854366252 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:52:35.739713 True [     232.102382] 0003 0035 0000009a
2022-03-10 16:52:35.757640 True [     232.119903] 0003 0035 000000a8
2022-03-10 16:52:35.773924 True [     232.136134] 0003 0035 000000b7
2022-03-10 16:52:35.791921 True [     232.152969] 0003 0035 000000c5
2022-03-10 16:52:35.810429 True [     232.169931] 0003 0035 000000d3
2022-03-10 16:52:35.824805 True [     232.186877] 0003 0035 000000e1
2022-03-10 16:52:35.841686 True [     232.203974] 0003 0035 000000f2
2022-03-10 16:52:35.858396 True [     232.220889] 0003 0035 00000104
2022-03-10 16:52:35.877109 True [     232.237968] 0003 0035 00000114
2022-03-10 16:52:35.877109 True [     232.237968] 0003 0035 0000013f
2022-03-10 16:52:35.893899 False [     232.254586] 0003 0035 00000123
2022-03-10 16:52:35.895273 False [     232.254586] 0003 0035 0000013f
2022-03-10 16:52:35.913561 True [     232.272504] 0003 0035 00000130
2022-03-10 16:52:35.926672 False [     232.288634] 0003 0035 0000013e
2022-03-10 16:52:35.943187 False [     232.305424] 0003 0035 0000014f
2022-03-10 16:52:35.959568 False [     232.322634] 0003 0035 0000015f
2022-03-10 16:52:35.978264 False [     232.339537] 0003 0035 0000016d
2022-03-10 16:52:35.978264 False [     232.339537] 0003 0035 0000019d
2022-03-10 16:52:35.995679 True [     232.356500] 0003 0035 00000179
2022-03-10 16:52:35.996683 True [     232.356500] 0003 0035 0000019d
2022-03-10 16:52:36.011847 False [     232.373523] 0003 0035 00000182
2022-03-10 16:52:36.028272 False [     232.390397] 0003 0035 0000018a
2022-03-10 16:52:36.044658 False [     232.407182] 0003 0035 00000191
2022-03-10 16:52:36.061922 False [     232.424001] 0003 0035 00000196
2022-03-10 16:52:36.079218 False [     232.441084] 0003 0035 0000019c
2022-03-10 16:52:36.095968 False [     232.457953] 0003 0035 000001a1
2022-03-10 16:52:36.114649 False [     232.474886] 0003 0035 000001a8
2022-03-10 16:52:36.129521 False [     232.491776] 0003 0035 000001b0
2022-03-10 16:52:36.146460 False [     232.508766] 0003 0035 000001b9
2022-03-10 16:52:36.163070 False [     232.525549] 0003 0035 000001c2
2022-03-10 16:52:36.485430 False [     232.847803] 0003 0035 0000013b
2022-03-10 16:52:36.503236 True [     232.865081] 0003 0035 0000013b
2022-03-10 16:52:36.520255 True [     232.882608] 0003 0035 0000013b
2022-03-10 16:52:36.537617 True [     232.899083] 0003 0035 0000013b
2022-03-10 16:52:36.554121 True [     232.916111] 0003 0035 0000013b
2022-03-10 16:52:36.570859 True [     232.932537] 0003 0035 0000013b
