Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.6624202323168413 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:15:13.082135 False [     305.510883] 0003 0036 00000359
2022-04-06 14:15:13.090685 False [     305.518997] 0003 0035 000004e7
2022-04-06 14:15:13.090685 False [     305.518997] 0003 0036 00000358
2022-04-06 14:15:13.098785 False [     305.527525] 0003 0035 000004e6
2022-04-06 14:15:13.098785 False [     305.527525] 0003 0036 00000356
2022-04-06 14:15:13.107586 False [     305.535818] 0003 0035 000004e5
2022-04-06 14:15:13.107586 False [     305.535818] 0003 0036 00000355
2022-04-06 14:15:13.115483 False [     305.544260] 0003 0036 00000353
2022-04-06 14:15:13.132216 False [     305.560813] 0003 0035 000004e4
2022-04-06 14:15:13.132216 False [     305.560813] 0003 0036 00000352
2022-04-06 14:15:13.140682 False [     305.569040] 0003 0035 000004e3
2022-04-06 14:15:13.140682 False [     305.569040] 0003 0036 00000351
2022-04-06 14:15:13.148635 False [     305.577471] 0003 0035 000004e2
2022-04-06 14:15:13.148635 False [     305.577471] 0003 0036 0000034f
2022-04-06 14:15:13.164901 False [     305.594242] 0003 0035 000004e1
2022-04-06 14:15:13.164901 False [     305.594242] 0003 0036 0000034e
2022-04-06 14:15:13.174916 False [     305.602459] 0003 0035 000004e0
2022-04-06 14:15:13.174916 False [     305.602459] 0003 0036 0000034d
2022-04-06 14:15:13.183252 False [     305.610872] 0003 0035 000004df
2022-04-06 14:15:13.183252 False [     305.610872] 0003 0036 0000034c
2022-04-06 14:15:13.191883 False [     305.619099] 0003 0035 000004de
2022-04-06 14:15:13.191883 False [     305.619099] 0003 0036 0000034b
2022-04-06 14:15:13.199742 False [     305.627519] 0003 0035 000004dd
2022-04-06 14:15:13.199742 False [     305.627519] 0003 0036 0000034a
2022-04-06 14:15:13.207417 False [     305.635734] 0003 0035 000004dc
2022-04-06 14:15:13.207417 False [     305.635734] 0003 0036 00000349
2022-04-06 14:15:13.215547 False [     305.644268] 0003 0035 000004db
2022-04-06 14:15:13.215547 False [     305.644268] 0003 0036 00000348
2022-04-06 14:15:13.224984 False [     305.652513] 0003 0035 000004da
2022-04-06 14:15:13.224984 False [     305.652513] 0003 0036 00000347
2022-04-06 14:15:13.233168 False [     305.661052] 0003 0036 00000346
2022-04-06 14:15:13.241691 False [     305.669108] 0003 0035 000004d9
2022-04-06 14:15:13.249597 False [     305.677521] 0003 0035 000004d8
2022-04-06 14:15:13.258307 False [     305.685791] 0003 0036 00000345
2022-04-06 14:15:13.266452 False [     305.694251] 0003 0035 000004d7
2022-04-06 14:15:13.281816 False [     305.710863] 0003 0036 00000344
2022-04-06 14:15:13.290676 False [     305.719102] 0003 0035 000004d6
2022-04-06 14:15:13.315177 False [     305.744287] 0003 0035 000004d5
2022-04-06 14:15:13.323472 False [     305.752518] 0003 0035 000004d3
2022-04-06 14:15:13.323472 False [     305.752518] 0003 0036 00000345
2022-04-06 14:15:13.332332 False [     305.760912] 0003 0035 000004d2
2022-04-06 14:15:13.339845 False [     305.769156] 0003 0035 000004d0
2022-04-06 14:15:13.339845 False [     305.769156] 0003 0036 00000346
2022-04-06 14:15:13.349482 False [     305.777594] 0003 0035 000004cb
2022-04-06 14:15:13.349482 False [     305.777594] 0003 0036 00000348
2022-04-06 14:15:13.357450 False [     305.785839] 0003 0035 000004c8
2022-04-06 14:15:13.357450 False [     305.785839] 0003 0036 0000034a
2022-04-06 14:15:13.365850 False [     305.794221] 0003 0035 000004c4
2022-04-06 14:15:13.365850 False [     305.794221] 0003 0036 0000034c
2022-04-06 14:15:13.374302 False [     305.802459] 0003 0035 000004c1
2022-04-06 14:15:13.374302 False [     305.802459] 0003 0036 0000034e
2022-04-06 14:15:13.382568 False [     305.810899] 0003 0035 000004be
2022-04-06 14:15:13.382568 False [     305.810899] 0003 0036 00000350
2022-04-06 14:15:13.390545 False [     305.819105] 0003 0035 000004ba
2022-04-06 14:15:13.390545 False [     305.819105] 0003 0036 00000353
2022-04-06 14:15:13.398953 False [     305.827565] 0003 0035 000004b8
2022-04-06 14:15:13.399610 False [     305.827565] 0003 0036 00000354
2022-04-06 14:15:13.408301 False [     305.835770] 0003 0035 000004b6
2022-04-06 14:15:13.408301 False [     305.835770] 0003 0036 00000357
2022-04-06 14:15:13.416538 False [     305.844320] 0003 0035 000004b3
2022-04-06 14:15:13.416538 False [     305.844320] 0003 0036 00000359
2022-04-06 14:15:13.425010 False [     305.852551] 0003 0035 000004b1
2022-04-06 14:15:13.425010 False [     305.852551] 0003 0036 0000035c
2022-04-06 14:15:13.432372 False [     305.860903] 0003 0035 000004af
2022-04-06 14:15:13.433293 False [     305.860903] 0003 0036 0000035e
