Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.23816853657635756 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:59:27.154162 False [  159890.191560] 0003 0035 000005ec
2022-04-02 17:59:27.154162 False [  159890.191560] 0003 0036 000004a9
2022-04-02 17:59:27.192549 False [  159890.200351] 0003 0035 000005eb
2022-04-02 17:59:27.192549 False [  159890.200351] 0003 0036 000004aa
2022-04-02 17:59:27.192549 False [  159890.210900] 0003 0035 000005ea
2022-04-02 17:59:27.192549 False [  159890.210900] 0003 0036 000004ac
2022-04-02 17:59:27.192549 False [  159890.222498] 0003 0035 000005e7
2022-04-02 17:59:27.192549 False [  159890.222498] 0003 0036 000004ae
2022-04-02 17:59:27.192549 False [  159890.235483] 0003 0035 000005e6
2022-04-02 17:59:27.192549 False [  159890.235483] 0003 0036 000004af
2022-04-02 17:59:27.192549 False [  159890.249902] 0003 0035 000005e3
2022-04-02 17:59:27.192549 False [  159890.249902] 0003 0036 000004b2
2022-04-02 17:59:27.192549 False [  159890.265011] 0003 0035 000005e1
2022-04-02 17:59:27.192549 False [  159890.265011] 0003 0036 000004b3
2022-04-02 17:59:27.192549 False [  159890.279760] 0003 0035 000005db
2022-04-02 17:59:27.192549 False [  159890.279760] 0003 0036 000004b6
2022-04-02 17:59:27.192549 False [  159890.293919] 0003 0035 000005d4
2022-04-02 17:59:27.192549 False [  159890.293919] 0003 0036 000004b9
2022-04-02 17:59:27.257250 False [  159890.306928] 0003 0035 000005cf
2022-04-02 17:59:27.257250 False [  159890.306928] 0003 0036 000004bd
2022-04-02 17:59:27.257250 False [  159890.314346] 0003 0035 000005cc
2022-04-02 17:59:27.257250 False [  159890.314346] 0003 0036 000004bf
2022-04-02 17:59:27.257250 False [  159890.317204] 0003 0035 000005c9
2022-04-02 17:59:27.257250 False [  159890.317204] 0003 0036 000004c3
2022-04-02 17:59:27.257250 False [  159890.325536] 0003 0035 000005c6
2022-04-02 17:59:27.257250 False [  159890.325536] 0003 0036 000004c7
