Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.163244089264183 
    wm_size = [1200 1920] 
    stim_amp = 5 
    baseline_stim = 5
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:09:10.003283 True [   89672.842681] 0003 0035 0000038a
2022-03-10 16:09:10.021339 True [   89672.859468] 0003 0035 00000390
2022-03-10 16:09:11.495767 False [   89674.333844] 0003 0035 00000063
2022-03-10 16:09:11.511759 False [   89674.351025] 0003 0035 00000063
2022-03-10 16:09:11.528977 False [   89674.368080] 0003 0035 00000063
2022-03-10 16:09:11.548286 False [   89674.384780] 0003 0035 00000063
2022-03-10 16:09:11.580009 False [   89674.418531] 0003 0035 0000005e
2022-03-10 16:09:11.595184 False [   89674.435594] 0003 0035 00000058
2022-03-10 16:09:11.613054 False [   89674.452936] 0003 0035 00000053
2022-03-10 16:09:11.631568 False [   89674.469459] 0003 0035 00000050
2022-03-10 16:09:11.649127 False [   89674.486462] 0003 0035 00000050
2022-03-10 16:09:11.667392 False [   89674.503439] 0003 0035 00000050
2022-03-10 16:09:11.682975 False [   89674.520307] 0003 0035 00000050
2022-03-10 16:09:11.699741 False [   89674.537394] 0003 0035 00000050
2022-03-10 16:09:11.715762 False [   89674.554178] 0003 0035 00000050
2022-03-10 16:09:11.732124 False [   89674.571153] 0003 0035 00000054
2022-03-10 16:09:11.750448 False [   89674.588144] 0003 0035 00000054
2022-03-10 16:09:11.768131 False [   89674.604986] 0003 0035 00000054
2022-03-10 16:09:11.782992 False [   89674.621948] 0003 0035 00000054
2022-03-10 16:09:11.800469 False [   89674.639279] 0003 0035 00000058
2022-03-10 16:09:11.817837 False [   89674.656460] 0003 0035 00000058
2022-03-10 16:09:11.834463 False [   89674.673303] 0003 0035 0000005c
2022-03-10 16:09:11.851067 False [   89674.689856] 0003 0035 0000005c
2022-03-10 16:09:11.866622 False [   89674.706682] 0003 0035 0000005c
2022-03-10 16:09:11.884360 False [   89674.723461] 0003 0035 00000060
2022-03-10 16:09:27.240376 True [   89690.077349] 0003 0035 0000043e
2022-03-10 16:09:27.254620 True [   89690.093921] 0003 0035 0000043e
2022-03-10 16:09:27.272015 True [   89690.110787] 0003 0035 00000443
2022-03-10 16:21:04.794316 True [   90387.616621] 0003 0035 000001fe
2022-03-10 16:21:04.806482 True [   90387.632453] 0003 0035 000001fe
2022-03-10 16:21:04.824336 True [   90387.649328] 0003 0035 000001fe
2022-03-10 16:21:04.843732 True [   90387.667085] 0003 0035 000001fe
2022-03-10 16:21:04.862319 True [   90387.683168] 0003 0035 000001fe
2022-03-10 16:21:04.876303 True [   90387.700077] 0003 0035 000001fe
2022-03-10 16:21:04.892267 True [   90387.717210] 0003 0035 00000205
2022-03-10 16:21:04.911156 True [   90387.733751] 0003 0035 0000020f
2022-03-10 16:21:05.249863 True [   90388.072656] 0003 0035 000002be
2022-03-10 16:21:05.264824 True [   90388.089615] 0003 0035 000002be
2022-03-10 16:21:05.281779 True [   90388.106532] 0003 0035 000002be
2022-03-10 16:21:05.297702 True [   90388.123564] 0003 0035 000002c3
2022-03-10 16:21:05.318648 True [   90388.140575] 0003 0035 000002c9
2022-03-10 16:21:05.334605 True [   90388.157467] 0003 0035 000002ce
2022-03-10 16:21:05.353614 True [   90388.174751] 0003 0035 000002d3
2022-03-10 16:21:05.365842 True [   90388.191192] 0003 0035 000002db
2022-03-10 16:21:05.642380 True [   90388.462597] 0003 0035 00000305
2022-03-10 16:21:05.658728 True [   90388.479198] 0003 0035 00000305
2022-03-10 16:21:05.672380 True [   90388.496076] 0003 0035 00000305
2022-03-10 16:21:05.689512 True [   90388.513093] 0003 0035 00000305
2022-03-10 16:21:05.704114 True [   90388.530109] 0003 0035 00000305
2022-03-10 16:21:05.724773 True [   90388.546977] 0003 0035 00000300
2022-03-10 16:21:05.739121 True [   90388.563905] 0003 0035 000002f8
2022-03-10 16:21:05.757250 True [   90388.580548] 0003 0035 000002ea
2022-03-10 16:21:06.252090 False [   90389.072142] 0003 0035 0000000f
2022-03-10 16:21:06.263061 False [   90389.089035] 0003 0035 0000000f
2022-03-10 16:21:06.280016 False [   90389.105900] 0003 0035 0000000f
2022-03-10 16:21:06.296956 False [   90389.122925] 0003 0035 0000001c
2022-03-10 16:21:06.314508 False [   90389.140136] 0003 0035 00000035
2022-03-10 16:21:06.334232 False [   90389.156864] 0003 0035 00000051
2022-03-10 16:21:06.351534 False [   90389.173697] 0003 0035 0000006c
2022-03-10 16:21:06.671783 False [   90389.495461] 0003 0035 0000000d
2022-03-10 16:21:06.686763 False [   90389.512454] 0003 0035 0000000d
2022-03-10 16:21:06.706055 False [   90389.529391] 0003 0035 0000000d
2022-03-10 16:21:06.721429 False [   90389.546158] 0003 0035 0000000d
2022-03-10 16:21:07.520425 True [   90390.342793] 0003 0035 00000264
2022-03-10 16:21:07.541223 True [   90390.365038] 0003 0035 00000264
2022-03-10 16:21:07.556049 True [   90390.377768] 0003 0035 00000264
2022-03-10 16:21:07.569254 True [   90390.392972] 0003 0035 00000264
