Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.7653129007762625 
    wm_size = [1200 1920] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 15:12:57.558206 False [   18554.649995] 0003 0036 0000026a
2022-03-16 15:12:57.576148 False [   18554.666987] 0003 0035 000003d1
2022-03-16 15:12:57.576148 False [   18554.666987] 0003 0036 00000267
2022-03-16 15:12:57.593485 False [   18554.684063] 0003 0035 000003cd
2022-03-16 15:12:57.593485 False [   18554.684063] 0003 0036 00000265
2022-03-16 15:12:57.610433 False [   18554.701054] 0003 0035 000003cd
2022-03-16 15:12:57.610433 False [   18554.701054] 0003 0036 00000265
2022-03-16 15:12:57.627908 False [   18554.718205] 0003 0035 000003c8
2022-03-16 15:12:57.627908 False [   18554.718205] 0003 0036 00000262
2022-03-16 15:12:57.643183 False [   18554.734659] 0003 0035 000003c4
2022-03-16 15:12:57.643183 False [   18554.734659] 0003 0036 0000025f
2022-03-16 15:12:57.660112 False [   18554.751635] 0003 0035 000003c0
2022-03-16 15:12:57.660112 False [   18554.751635] 0003 0036 0000025d
2022-03-16 15:12:57.677110 False [   18554.769323] 0003 0035 000003ba
2022-03-16 15:12:57.677110 False [   18554.769323] 0003 0036 0000025b
2022-03-16 15:12:57.694931 False [   18554.786303] 0003 0035 000003b2
2022-03-16 15:12:57.694931 False [   18554.786303] 0003 0036 00000259
2022-03-16 15:12:57.712082 False [   18554.802842] 0003 0035 000003a9
2022-03-16 15:12:57.712082 False [   18554.802842] 0003 0036 00000257
2022-03-16 15:12:57.726698 False [   18554.819450] 0003 0035 000003a0
2022-03-16 15:12:57.726698 False [   18554.819450] 0003 0036 00000254
2022-03-16 15:12:57.744622 False [   18554.836568] 0003 0035 00000398
2022-03-16 15:12:57.744622 False [   18554.836568] 0003 0036 00000252
2022-03-16 15:12:57.762502 False [   18554.853473] 0003 0035 00000390
2022-03-16 15:12:57.762502 False [   18554.853473] 0003 0036 00000250
2022-03-16 15:12:57.779318 False [   18554.870963] 0003 0035 00000389
2022-03-16 15:12:57.779318 False [   18554.870963] 0003 0036 0000024d
2022-03-16 15:12:57.796296 False [   18554.887926] 0003 0035 00000384
2022-03-16 15:12:57.796296 False [   18554.887926] 0003 0036 0000024b
2022-03-16 15:12:57.814156 False [   18554.905374] 0003 0035 00000380
2022-03-16 15:12:57.814156 False [   18554.905374] 0003 0036 00000249
2022-03-16 15:12:57.830165 False [   18554.921661] 0003 0035 0000037c
2022-03-16 15:12:57.830165 False [   18554.921661] 0003 0036 00000247
2022-03-16 15:12:57.846941 False [   18554.938698] 0003 0035 0000037c
2022-03-16 15:12:57.846941 False [   18554.938698] 0003 0036 00000247
2022-03-16 15:12:57.864957 False [   18554.955640] 0003 0035 00000377
2022-03-16 15:12:57.864957 False [   18554.955640] 0003 0036 00000245
2022-03-16 15:12:57.880923 False [   18554.972580] 0003 0035 00000377
2022-03-16 15:12:57.880923 False [   18554.972580] 0003 0036 00000245
2022-03-16 15:12:57.898173 False [   18554.989519] 0003 0035 00000377
2022-03-16 15:12:57.898173 False [   18554.989519] 0003 0036 00000245
2022-03-16 15:12:57.915349 False [   18555.006157] 0003 0035 00000373
2022-03-16 15:12:57.915349 False [   18555.006157] 0003 0036 00000243
2022-03-16 15:12:57.932157 False [   18555.023243] 0003 0035 00000373
