Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.6510293235592144 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 15:45:13.358866 False [   88236.227654] 0003 0035 0000023c
2022-03-10 15:45:13.375155 False [   88236.243596] 0003 0035 0000023c
2022-03-10 15:45:13.391655 False [   88236.260356] 0003 0035 0000023c
2022-03-10 15:45:13.409647 False [   88236.277635] 0003 0035 0000023c
2022-03-10 15:45:13.427322 False [   88236.295728] 0003 0035 0000023c
2022-03-10 15:45:13.442809 False [   88236.313100] 0003 0035 0000023c
2022-03-10 15:45:13.461021 False [   88236.329897] 0003 0035 0000023c
2022-03-10 15:45:13.477514 False [   88236.346444] 0003 0035 0000023c
2022-03-10 15:45:13.493067 False [   88236.362057] 0003 0035 0000023c
2022-03-10 15:45:13.510845 False [   88236.379244] 0003 0035 00000240
2022-03-10 15:45:13.527864 False [   88236.397003] 0003 0035 00000240
2022-03-10 15:45:13.544933 False [   88236.414299] 0003 0035 00000240
2022-03-10 15:45:13.561509 False [   88236.430801] 0003 0035 00000240
2022-03-10 15:45:13.577535 False [   88236.447072] 0003 0035 00000240
2022-03-10 15:45:13.594354 False [   88236.463264] 0003 0035 00000240
2022-03-10 15:45:13.613331 False [   88236.481976] 0003 0035 00000240
2022-03-10 15:45:13.628879 False [   88236.497663] 0003 0035 00000240
2022-03-10 15:45:13.646132 False [   88236.514697] 0003 0035 00000240
2022-03-10 15:45:16.475370 False [   88239.344756] 0003 0035 00000304
2022-03-10 15:45:16.493160 True [   88239.361856] 0003 0035 00000304
2022-03-10 15:45:16.509983 True [   88239.378826] 0003 0035 00000304
2022-03-10 15:45:16.526433 True [   88239.394767] 0003 0035 00000304
2022-03-10 15:45:16.543283 True [   88239.411811] 0003 0035 00000304
2022-03-10 15:45:16.559119 True [   88239.428813] 0003 0035 00000304
2022-03-10 15:45:47.410969 True [   88270.275669] 0003 0035 000002bf
2022-03-10 15:45:47.423877 True [   88270.291660] 0003 0035 000002bf
2022-03-10 15:45:47.444683 True [   88270.308836] 0003 0035 000002bf
2022-03-10 15:45:47.457184 True [   88270.325160] 0003 0035 000002bf
2022-03-10 15:45:47.474004 True [   88270.342190] 0003 0035 000002c9
2022-03-10 15:45:47.491943 True [   88270.359094] 0003 0035 000002d6
2022-03-10 15:45:47.509827 True [   88270.376187] 0003 0035 000002e5
