Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.6441488082621192 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:54:46.572728 True [    2420.110277] 0003 0036 000002fe
2022-04-06 14:54:46.581121 True [    2420.118466] 0003 0036 000002fa
2022-04-06 14:54:46.593398 True [    2420.126894] 0003 0036 000002f7
2022-04-06 14:54:46.598858 True [    2420.135060] 0003 0036 000002f4
2022-04-06 14:54:46.605571 True [    2420.143492] 0003 0035 000002b3
2022-04-06 14:54:46.605571 True [    2420.143492] 0003 0036 000002f0
2022-04-06 14:54:46.614418 True [    2420.151710] 0003 0035 000002b1
2022-04-06 14:54:46.614418 True [    2420.151710] 0003 0036 000002ed
2022-04-06 14:54:46.623775 True [    2420.160188] 0003 0035 000002af
2022-04-06 14:54:46.623775 True [    2420.160188] 0003 0036 000002e9
2022-04-06 14:54:46.631276 True [    2420.168413] 0003 0035 000002ae
2022-04-06 14:54:46.631276 False [    2420.168413] 0003 0036 000002e6
2022-04-06 14:54:46.638782 False [    2420.176711] 0003 0035 000002ad
2022-04-06 14:54:46.638782 False [    2420.176711] 0003 0036 000002e4
2022-04-06 14:54:46.647478 False [    2420.184952] 0003 0035 000002ac
2022-04-06 14:54:46.647478 False [    2420.184952] 0003 0036 000002e1
2022-04-06 14:54:46.656667 False [    2420.193375] 0003 0035 000002ab
2022-04-06 14:54:46.656667 False [    2420.193375] 0003 0036 000002df
2022-04-06 14:54:46.664655 False [    2420.201646] 0003 0035 000002aa
2022-04-06 14:54:46.664655 False [    2420.201646] 0003 0036 000002dd
2022-04-06 14:54:46.672369 False [    2420.209983] 0003 0036 000002db
2022-04-06 14:54:46.680339 False [    2420.218211] 0003 0035 000002a9
2022-04-06 14:54:46.680339 False [    2420.218211] 0003 0036 000002d9
2022-04-06 14:54:46.706399 False [    2420.243251] 0003 0035 000002a8
2022-04-06 14:54:46.706399 False [    2420.243251] 0003 0036 000002d7
2022-04-06 14:54:46.715472 False [    2420.251420] 0003 0036 000002d6
2022-04-06 14:54:46.723755 False [    2420.260152] 0003 0035 000002a7
2022-04-06 14:54:46.723755 False [    2420.260152] 0003 0036 000002d5
2022-04-06 14:54:46.729896 False [    2420.268072] 0003 0036 000002d4
2022-04-06 14:54:46.739852 False [    2420.276474] 0003 0036 000002d3
2022-04-06 14:54:46.746760 False [    2420.284673] 0003 0035 000002a6
2022-04-06 14:54:46.746760 False [    2420.284673] 0003 0036 000002d1
2022-04-06 14:54:46.763924 False [    2420.301272] 0003 0036 000002cf
2022-04-06 14:54:46.771881 False [    2420.309692] 0003 0036 000002ce
2022-04-06 14:54:46.782187 False [    2420.317882] 0003 0035 000002a5
2022-04-06 14:54:46.782187 False [    2420.317882] 0003 0036 000002cd
2022-04-06 14:54:46.788428 False [    2420.326336] 0003 0036 000002cb
2022-04-06 14:54:46.796958 False [    2420.334493] 0003 0035 000002a2
2022-04-06 14:54:46.796958 False [    2420.334493] 0003 0036 000002c8
2022-04-06 14:54:46.804822 False [    2420.342915] 0003 0035 000002a0
2022-04-06 14:54:46.804822 False [    2420.342915] 0003 0036 000002c4
2022-04-06 14:54:46.813421 False [    2420.351139] 0003 0035 0000029e
2022-04-06 14:54:46.813421 False [    2420.351139] 0003 0036 000002c1
2022-04-06 14:54:46.822256 False [    2420.359556] 0003 0035 0000029d
2022-04-06 14:54:46.822256 False [    2420.359556] 0003 0036 000002be
2022-04-06 14:54:46.829894 False [    2420.367744] 0003 0035 0000029b
2022-04-06 14:54:46.831571 False [    2420.367744] 0003 0036 000002bc
2022-04-06 14:54:46.847377 False [    2420.384367] 0003 0036 000002ba
2022-04-06 14:54:46.855196 False [    2420.392792] 0003 0035 0000029a
2022-04-06 14:54:46.855196 False [    2420.392792] 0003 0036 000002b8
2022-04-06 14:54:46.863826 False [    2420.400974] 0003 0036 000002b6
2022-04-06 14:54:46.872606 False [    2420.409401] 0003 0036 000002b5
2022-04-06 14:54:46.879853 False [    2420.417572] 0003 0035 00000299
2022-04-06 14:54:46.879853 False [    2420.417572] 0003 0036 000002b3
2022-04-06 14:54:46.888414 False [    2420.426025] 0003 0036 000002b2
2022-04-06 14:54:46.897588 False [    2420.434203] 0003 0036 000002b0
2022-04-06 14:54:46.906324 False [    2420.442698] 0003 0035 0000029a
2022-04-06 14:54:46.906324 False [    2420.442698] 0003 0036 000002af
2022-04-06 14:54:46.912593 False [    2420.450861] 0003 0036 000002ae
2022-04-06 14:54:46.930930 False [    2420.467470] 0003 0036 000002ac
2022-04-06 14:54:46.938748 False [    2420.475900] 0003 0036 000002ab
2022-04-06 14:54:46.946511 False [    2420.484166] 0003 0036 000002a9
2022-04-06 14:54:46.954629 False [    2420.492583] 0003 0035 00000299
2022-04-06 14:54:46.954629 False [    2420.492583] 0003 0036 000002a8
2022-04-06 14:54:46.963104 False [    2420.500782] 0003 0036 000002a6
2022-04-06 14:54:46.971169 False [    2420.509222] 0003 0035 0000029a
2022-04-06 14:54:46.979528 False [    2420.517318] 0003 0036 000002a5
2022-04-06 14:54:46.988248 False [    2420.525745] 0003 0035 0000029b
2022-04-06 14:54:46.995625 False [    2420.533969] 0003 0036 000002a4
2022-04-06 14:54:47.004891 False [    2420.542376] 0003 0036 000002a3
2022-04-06 14:54:47.029850 False [    2420.567114] 0003 0036 000002a2
2022-04-06 14:54:47.046080 False [    2420.583741] 0003 0035 0000029c
2022-04-06 14:54:47.079778 False [    2420.616967] 0003 0035 0000029d
2022-04-06 14:54:47.086963 False [    2420.625450] 0003 0035 0000029e
2022-04-06 14:54:47.086963 False [    2420.625450] 0003 0036 000002a3
2022-04-06 14:54:47.104527 False [    2420.642066] 0003 0035 000002a0
2022-04-06 14:54:47.104527 False [    2420.642066] 0003 0036 000002a5
2022-04-06 14:54:47.114492 False [    2420.650313] 0003 0035 000002a4
2022-04-06 14:54:47.114492 False [    2420.650313] 0003 0036 000002a9
2022-04-06 14:54:47.120923 False [    2420.658704] 0003 0035 000002a6
2022-04-06 14:54:47.120923 False [    2420.658704] 0003 0036 000002ac
2022-04-06 14:54:47.128783 False [    2420.666902] 0003 0035 000002a9
2022-04-06 14:54:47.128783 False [    2420.666902] 0003 0036 000002b1
2022-04-06 14:54:47.138543 False [    2420.675305] 0003 0035 000002ab
2022-04-06 14:54:47.138543 False [    2420.675305] 0003 0036 000002b6
2022-04-06 14:54:47.145814 False [    2420.683523] 0003 0035 000002ad
2022-04-06 14:54:47.145814 False [    2420.683523] 0003 0036 000002bb
2022-04-06 14:54:47.153925 False [    2420.691925] 0003 0035 000002b0
2022-04-06 14:54:47.153925 False [    2420.691925] 0003 0036 000002bf
2022-04-06 14:54:47.163599 False [    2420.700217] 0003 0035 000002b1
2022-04-06 14:54:47.163599 False [    2420.700217] 0003 0036 000002c4
2022-04-06 14:54:47.171742 False [    2420.708760] 0003 0035 000002b4
2022-04-06 14:54:47.171742 False [    2420.708760] 0003 0036 000002c8
2022-04-06 14:54:47.179329 False [    2420.716741] 0003 0035 000002b6
2022-04-06 14:54:47.179329 False [    2420.716741] 0003 0036 000002ce
2022-04-06 14:54:47.187078 False [    2420.725209] 0003 0035 000002b8
2022-04-06 14:54:47.187078 False [    2420.725209] 0003 0036 000002d4
2022-04-06 14:54:47.195880 False [    2420.733382] 0003 0035 000002ba
2022-04-06 14:54:47.195880 False [    2420.733382] 0003 0036 000002d9
2022-04-06 14:54:47.204235 False [    2420.741882] 0003 0035 000002bc
2022-04-06 14:54:47.204235 False [    2420.741882] 0003 0036 000002de
2022-04-06 14:54:47.212024 False [    2420.749991] 0003 0035 000002be
2022-04-06 14:54:47.212024 False [    2420.749991] 0003 0036 000002e4
2022-04-06 14:54:47.220784 False [    2420.758385] 0003 0035 000002c0
2022-04-06 14:54:47.220784 True [    2420.758385] 0003 0036 000002e9
2022-04-06 14:54:47.229895 True [    2420.766615] 0003 0035 000002c4
2022-04-06 14:54:47.229895 True [    2420.766615] 0003 0036 000002ef
2022-04-06 14:54:47.245918 True [    2420.783232] 0003 0035 000002c7
2022-04-06 14:54:47.245918 True [    2420.783232] 0003 0036 000002f5
2022-04-06 14:54:47.254694 True [    2420.791656] 0003 0035 000002ca
2022-04-06 14:54:47.254694 True [    2420.791656] 0003 0036 000002fb
2022-04-06 14:54:47.264001 True [    2420.799855] 0003 0035 000002cd
2022-04-06 14:54:47.264001 True [    2420.799855] 0003 0036 00000301
2022-04-06 14:54:47.270722 True [    2420.808343] 0003 0035 000002ce
2022-04-06 14:54:47.270722 True [    2420.808343] 0003 0036 00000305
2022-04-06 14:54:47.279253 True [    2420.816635] 0003 0035 000002d3
2022-04-06 14:54:47.279253 True [    2420.816635] 0003 0036 0000030c
2022-04-06 14:54:47.288458 True [    2420.824897] 0003 0035 000002d6
2022-04-06 14:54:47.288458 True [    2420.824897] 0003 0036 00000312
2022-04-06 14:54:47.296006 True [    2420.833087] 0003 0035 000002d8
2022-04-06 14:54:47.296006 True [    2420.833087] 0003 0036 00000318
2022-04-06 14:54:47.304318 True [    2420.841508] 0003 0036 0000031e
2022-04-06 14:54:47.311865 True [    2420.849728] 0003 0036 00000322
2022-04-06 14:54:47.320065 True [    2420.858131] 0003 0036 00000326
2022-04-06 14:54:47.328659 True [    2420.866329] 0003 0036 0000032a
2022-04-06 14:54:47.337197 True [    2420.874725] 0003 0035 000002db
2022-04-06 14:54:47.337197 True [    2420.874725] 0003 0036 0000032c
2022-04-06 14:54:47.345891 True [    2420.883056] 0003 0036 0000032e
2022-04-06 14:54:47.353284 True [    2420.891357] 0003 0035 000002dc
2022-04-06 14:54:47.353284 True [    2420.891357] 0003 0036 00000331
2022-04-06 14:54:47.361755 True [    2420.899531] 0003 0035 000002dd
2022-04-06 14:54:47.361755 True [    2420.899531] 0003 0036 00000332
2022-04-06 14:54:47.369858 True [    2420.907952] 0003 0035 000002de
2022-04-06 14:54:47.369858 True [    2420.907952] 0003 0036 00000335
2022-04-06 14:54:47.377808 True [    2420.916171] 0003 0035 000002df
2022-04-06 14:54:47.377808 True [    2420.916171] 0003 0036 00000336
2022-04-06 14:54:47.387188 True [    2420.924792] 0003 0036 00000339
2022-04-06 14:54:47.394994 True [    2420.932800] 0003 0035 000002e1
2022-04-06 14:54:47.394994 True [    2420.932800] 0003 0036 0000033c
2022-04-06 14:54:47.404262 True [    2420.941497] 0003 0035 000002e2
2022-04-06 14:54:47.404262 True [    2420.941497] 0003 0036 0000033f
2022-04-06 14:54:47.412058 True [    2420.949443] 0003 0035 000002e3
2022-04-06 14:54:47.412058 True [    2420.949443] 0003 0036 00000342
2022-04-06 14:54:47.420910 True [    2420.957857] 0003 0036 00000344
2022-04-06 14:54:47.428120 True [    2420.966071] 0003 0036 00000346
2022-04-06 14:54:47.436809 True [    2420.974459] 0003 0036 00000348
2022-04-06 14:54:47.444432 True [    2420.982672] 0003 0035 000002e4
2022-04-06 14:54:47.444432 True [    2420.982672] 0003 0036 0000034a
2022-04-06 14:54:47.453570 True [    2420.991063] 0003 0036 0000034b
2022-04-06 14:54:47.461931 True [    2420.999274] 0003 0036 0000034d
2022-04-06 14:54:47.469903 True [    2421.007705] 0003 0035 000002e5
2022-04-06 14:54:47.469903 True [    2421.007705] 0003 0036 0000034e
2022-04-06 14:54:47.478983 True [    2421.015881] 0003 0036 0000034f
2022-04-06 14:54:47.494455 True [    2421.032616] 0003 0036 00000351
2022-04-06 14:54:47.503302 True [    2421.041012] 0003 0035 000002e6
2022-04-06 14:54:47.503302 True [    2421.041012] 0003 0036 00000353
2022-04-06 14:54:47.511593 True [    2421.049147] 0003 0036 00000356
2022-04-06 14:54:47.518983 True [    2421.057525] 0003 0036 00000359
2022-04-06 14:54:47.527870 True [    2421.065761] 0003 0036 0000035a
2022-04-06 14:54:47.536783 True [    2421.074149] 0003 0036 0000035c
2022-04-06 14:54:47.546056 True [    2421.082453] 0003 0036 0000035d
2022-04-06 14:54:47.554126 True [    2421.090779] 0003 0035 000002e7
2022-04-06 14:54:47.554126 True [    2421.090779] 0003 0036 0000035e
2022-04-06 14:54:47.562159 True [    2421.099027] 0003 0036 0000035f
2022-04-06 14:54:47.568937 True [    2421.107414] 0003 0036 00000361
2022-04-06 14:54:47.577919 True [    2421.115645] 0003 0036 00000362
2022-04-06 14:54:47.586377 True [    2421.124055] 0003 0036 00000363
2022-04-06 14:54:47.611569 True [    2421.148796] 0003 0036 00000364
2022-04-06 14:54:47.654469 True [    2421.190434] 0003 0036 00000365
2022-04-06 14:54:47.678140 True [    2421.215222] 0003 0036 00000366
2022-04-06 14:54:47.702515 True [    2421.240355] 0003 0036 00000367
2022-04-06 14:54:47.728475 True [    2421.265182] 0003 0036 00000368
2022-04-06 14:54:47.735532 True [    2421.273602] 0003 0035 000002e6
2022-04-06 14:54:47.735532 True [    2421.273602] 0003 0036 00000369
2022-04-06 14:54:47.743577 True [    2421.281825] 0003 0035 000002e4
2022-04-06 14:54:47.754002 True [    2421.291244] 0003 0035 000002e3
2022-04-06 14:54:47.762130 True [    2421.298908] 0003 0035 000002e2
2022-04-06 14:54:47.762130 True [    2421.298908] 0003 0036 0000036a
2022-04-06 14:54:47.768984 True [    2421.306846] 0003 0035 000002e1
2022-04-06 14:54:47.777150 True [    2421.315051] 0003 0036 0000036b
2022-04-06 14:54:47.794177 True [    2421.331659] 0003 0035 000002e0
2022-04-06 14:54:47.801908 True [    2421.340174] 0003 0035 000002df
2022-04-06 14:54:47.819888 True [    2421.356666] 0003 0035 000002de
2022-04-06 14:54:47.819888 True [    2421.356666] 0003 0036 0000036c
2022-04-06 14:54:47.827131 True [    2421.364994] 0003 0035 000002dd
2022-04-06 14:54:47.836066 True [    2421.373501] 0003 0035 000002dc
2022-04-06 14:54:47.844004 True [    2421.381522] 0003 0035 000002db
2022-04-06 14:54:47.851895 True [    2421.389940] 0003 0035 000002da
2022-04-06 14:54:47.859874 True [    2421.398141] 0003 0035 000002d6
2022-04-06 14:54:47.868584 True [    2421.406562] 0003 0035 000002d3
2022-04-06 14:54:47.877270 True [    2421.414748] 0003 0035 000002d0
2022-04-06 14:54:47.885377 True [    2421.423242] 0003 0035 000002cd
2022-04-06 14:54:47.893879 True [    2421.431361] 0003 0035 000002cb
2022-04-06 14:54:47.901518 True [    2421.439779] 0003 0035 000002c9
2022-04-06 14:54:47.910904 True [    2421.447987] 0003 0035 000002c7
2022-04-06 14:54:47.927290 True [    2421.464719] 0003 0035 000002c5
2022-04-06 14:54:47.936530 True [    2421.473039] 0003 0035 000002c3
2022-04-06 14:54:47.942762 True [    2421.481343] 0003 0035 000002bd
2022-04-06 14:54:47.943767 True [    2421.481343] 0003 0036 0000036b
2022-04-06 14:54:47.951633 True [    2421.489692] 0003 0035 000002b8
2022-04-06 14:54:47.951633 True [    2421.489692] 0003 0036 0000036a
