Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.13546263185060836 
    wm_size = [1600 2560] 
    stim_amp = 4 
    baseline_stim = 1
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:22:11.865803 True [     724.286303] 0003 0036 00000405
2022-04-06 14:22:11.872435 True [     724.294577] 0003 0035 0000040c
2022-04-06 14:22:11.872435 True [     724.294577] 0003 0036 00000406
2022-04-06 14:22:11.881171 True [     724.302928] 0003 0036 00000407
2022-04-06 14:22:11.889418 True [     724.311199] 0003 0035 0000040d
2022-04-06 14:22:11.889418 True [     724.311199] 0003 0036 00000408
2022-04-06 14:22:11.907101 True [     724.327861] 0003 0035 0000040e
2022-04-06 14:22:11.907101 True [     724.327861] 0003 0036 00000409
2022-04-06 14:22:11.915453 True [     724.336423] 0003 0035 0000040f
2022-04-06 14:22:11.922544 True [     724.344572] 0003 0036 0000040a
2022-04-06 14:22:11.939652 True [     724.361314] 0003 0036 0000040b
2022-04-06 14:22:11.947311 True [     724.369643] 0003 0035 00000410
2022-04-06 14:22:11.966800 True [     724.386370] 0003 0035 00000411
2022-04-06 14:22:11.966800 True [     724.386370] 0003 0036 0000040c
2022-04-06 14:22:11.981476 True [     724.402975] 0003 0035 00000412
2022-04-06 14:22:11.997611 True [     724.419653] 0003 0036 0000040d
2022-04-06 14:22:12.005493 True [     724.427847] 0003 0035 00000413
2022-04-06 14:22:12.013602 True [     724.436292] 0003 0035 00000414
2022-04-06 14:22:12.022487 True [     724.444549] 0003 0035 00000415
2022-04-06 14:22:12.030886 True [     724.453005] 0003 0035 00000416
2022-04-06 14:22:12.047832 True [     724.469671] 0003 0035 00000418
2022-04-06 14:22:12.057612 True [     724.477919] 0003 0035 0000041a
2022-04-06 14:22:12.057612 True [     724.477919] 0003 0036 0000040c
2022-04-06 14:22:12.074506 True [     724.494543] 0003 0035 0000041c
2022-04-06 14:22:12.081921 True [     724.503024] 0003 0035 0000041d
2022-04-06 14:22:12.081921 True [     724.503024] 0003 0036 0000040b
2022-04-06 14:22:12.090829 True [     724.511190] 0003 0035 0000041f
2022-04-06 14:22:12.098572 True [     724.519645] 0003 0035 00000421
2022-04-06 14:22:12.098572 True [     724.519645] 0003 0036 0000040a
2022-04-06 14:22:12.106843 True [     724.527928] 0003 0035 00000422
2022-04-06 14:22:12.113581 True [     724.536328] 0003 0035 00000424
2022-04-06 14:22:12.113581 True [     724.536328] 0003 0036 00000409
2022-04-06 14:22:12.124203 True [     724.544595] 0003 0035 00000425
2022-04-06 14:22:12.131037 True [     724.552997] 0003 0035 00000427
2022-04-06 14:22:12.131037 True [     724.552997] 0003 0036 00000408
2022-04-06 14:22:12.140918 True [     724.561176] 0003 0035 00000428
2022-04-06 14:22:12.147883 True [     724.569634] 0003 0035 0000042a
2022-04-06 14:22:12.147883 True [     724.569634] 0003 0036 00000407
2022-04-06 14:22:12.155687 True [     724.577834] 0003 0035 0000042b
2022-04-06 14:22:12.155687 True [     724.577834] 0003 0036 00000406
2022-04-06 14:22:12.163733 True [     724.586284] 0003 0035 0000042d
2022-04-06 14:22:12.163733 True [     724.586284] 0003 0036 00000405
2022-04-06 14:22:12.172528 True [     724.594583] 0003 0035 0000042f
2022-04-06 14:22:12.181486 True [     724.602990] 0003 0035 00000430
2022-04-06 14:22:12.181486 True [     724.602990] 0003 0036 00000404
2022-04-06 14:22:12.188390 True [     724.611168] 0003 0035 00000431
2022-04-06 14:22:12.197988 True [     724.619665] 0003 0035 00000433
2022-04-06 14:22:12.197988 True [     724.619665] 0003 0036 00000403
2022-04-06 14:22:12.206002 True [     724.627871] 0003 0035 00000434
2022-04-06 14:22:12.206002 True [     724.627871] 0003 0036 00000402
2022-04-06 14:22:12.214578 True [     724.636307] 0003 0035 00000435
2022-04-06 14:22:12.224009 True [     724.644551] 0003 0035 00000436
2022-04-06 14:22:12.224009 True [     724.644551] 0003 0036 00000401
2022-04-06 14:22:12.230709 True [     724.652992] 0003 0035 00000437
2022-04-06 14:22:12.230709 True [     724.652992] 0003 0036 00000400
2022-04-06 14:22:12.238960 True [     724.661165] 0003 0035 00000438
2022-04-06 14:22:12.238960 True [     724.661165] 0003 0036 000003ff
2022-04-06 14:22:12.247274 True [     724.669634] 0003 0035 0000043a
2022-04-06 14:22:12.247274 True [     724.669634] 0003 0036 000003fe
2022-04-06 14:22:12.256018 True [     724.677885] 0003 0036 000003fd
2022-04-06 14:22:12.264486 True [     724.686410] 0003 0035 0000043c
2022-04-06 14:22:12.264486 True [     724.686410] 0003 0036 000003fc
2022-04-06 14:22:12.274340 True [     724.694550] 0003 0035 0000043d
2022-04-06 14:22:12.274340 True [     724.694550] 0003 0036 000003fa
2022-04-06 14:22:12.281293 True [     724.702992] 0003 0035 0000043e
2022-04-06 14:22:12.281293 True [     724.702992] 0003 0036 000003f9
2022-04-06 14:22:12.289875 True [     724.711253] 0003 0035 0000043f
2022-04-06 14:22:12.289875 True [     724.711253] 0003 0036 000003f8
2022-04-06 14:22:12.298138 False [     724.719622] 0003 0035 00000440
2022-04-06 14:22:12.298464 False [     724.719622] 0003 0036 000003f7
2022-04-06 14:22:12.307191 False [     724.727879] 0003 0035 00000441
2022-04-06 14:22:12.307191 False [     724.727879] 0003 0036 000003f5
2022-04-06 14:22:12.315170 False [     724.736381] 0003 0036 000003f4
2022-04-06 14:22:12.322466 False [     724.744597] 0003 0035 00000442
2022-04-06 14:22:12.322466 False [     724.744597] 0003 0036 000003f3
2022-04-06 14:22:12.330871 False [     724.753124] 0003 0035 00000443
2022-04-06 14:22:12.338875 False [     724.761185] 0003 0035 00000444
2022-04-06 14:22:12.348315 False [     724.769657] 0003 0036 000003f2
2022-04-06 14:22:12.364716 False [     724.786325] 0003 0036 000003f1
2022-04-06 14:22:12.374715 False [     724.794545] 0003 0035 00000446
2022-04-06 14:22:12.374715 False [     724.794545] 0003 0036 000003ec
2022-04-06 14:22:12.383875 False [     724.803029] 0003 0035 00000447
2022-04-06 14:22:12.383875 False [     724.803029] 0003 0036 000003e8
2022-04-06 14:22:12.390676 False [     724.811211] 0003 0036 000003e6
2022-04-06 14:22:12.398163 False [     724.819649] 0003 0035 00000448
2022-04-06 14:22:12.398163 False [     724.819649] 0003 0036 000003e3
2022-04-06 14:22:12.408380 False [     724.827886] 0003 0036 000003e2
2022-04-06 14:22:12.414486 False [     724.836358] 0003 0036 000003e0
2022-04-06 14:22:12.423480 False [     724.844623] 0003 0036 000003df
2022-04-06 14:22:12.431189 False [     724.853007] 0003 0036 000003da
2022-04-06 14:22:12.439407 False [     724.861254] 0003 0036 000003d5
2022-04-06 14:22:12.447443 False [     724.869696] 0003 0036 000003d1
2022-04-06 14:22:12.455695 False [     724.877877] 0003 0036 000003ce
2022-04-06 14:22:12.473620 False [     724.894685] 0003 0036 000003cb
2022-04-06 14:22:12.481367 False [     724.902995] 0003 0036 000003c8
2022-04-06 14:22:12.489601 False [     724.911242] 0003 0036 000003c6
2022-04-06 14:22:12.498057 False [     724.919713] 0003 0036 000003c4
2022-04-06 14:22:12.516078 False [     724.936465] 0003 0036 000003be
2022-04-06 14:22:12.522585 False [     724.944695] 0003 0036 000003b9
2022-04-06 14:22:12.530679 False [     724.953056] 0003 0036 000003b5
2022-04-06 14:22:12.539659 False [     724.961245] 0003 0036 000003b0
2022-04-06 14:22:12.547620 False [     724.969718] 0003 0036 000003ad
2022-04-06 14:22:12.555277 False [     724.977886] 0003 0036 000003aa
2022-04-06 14:22:12.564069 False [     724.986376] 0003 0036 000003a8
2022-04-06 14:22:12.572140 False [     724.994560] 0003 0036 000003a6
2022-04-06 14:22:12.580066 False [     725.003013] 0003 0036 000003a4
2022-04-06 14:22:12.588400 False [     725.011240] 0003 0036 000003a3
2022-04-06 14:22:12.598095 False [     725.019711] 0003 0036 000003a1
2022-04-06 14:22:12.605741 False [     725.027902] 0003 0036 000003a0
2022-04-06 14:22:12.613580 False [     725.036367] 0003 0036 0000039f
2022-04-06 14:22:12.623759 False [     725.044607] 0003 0036 0000039e
2022-04-06 14:22:12.631041 False [     725.053059] 0003 0036 0000039c
2022-04-06 14:22:12.639130 False [     725.061247] 0003 0036 0000039b
2022-04-06 14:22:12.648671 False [     725.069739] 0003 0036 0000039a
2022-04-06 14:22:12.656966 False [     725.077926] 0003 0036 00000399
2022-04-06 14:22:12.673408 False [     725.094816] 0003 0036 00000398
2022-04-06 14:22:12.680933 False [     725.103048] 0003 0035 00000447
2022-04-06 14:22:12.680933 False [     725.103048] 0003 0036 00000396
2022-04-06 14:22:12.689349 False [     725.111250] 0003 0035 00000446
2022-04-06 14:22:12.689349 False [     725.111250] 0003 0036 00000394
2022-04-06 14:22:12.697707 False [     725.119653] 0003 0035 00000445
2022-04-06 14:22:12.708724 False [     725.127926] 0003 0036 00000392
