Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.6310691985003918 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 17:09:48.299050 True [   25565.735404] 0003 0036 000000d9
2022-03-16 17:09:48.314520 True [   25565.751142] 0003 0035 00000236
2022-03-16 17:09:48.314520 True [   25565.751142] 0003 0036 000000d9
2022-03-16 17:09:48.331703 True [   25565.767835] 0003 0035 00000236
2022-03-16 17:09:48.331703 True [   25565.767835] 0003 0036 000000d9
2022-03-16 17:09:48.348681 True [   25565.784829] 0003 0035 00000236
2022-03-16 17:09:48.348681 True [   25565.784829] 0003 0036 000000d9
2022-03-16 17:09:48.364339 True [   25565.800953] 0003 0035 00000236
2022-03-16 17:09:48.364339 True [   25565.800953] 0003 0036 000000d9
2022-03-16 17:09:48.381290 True [   25565.818067] 0003 0035 00000236
2022-03-16 17:09:48.381290 True [   25565.818067] 0003 0036 000000d9
2022-03-16 17:09:48.398489 True [   25565.835013] 0003 0035 00000236
2022-03-16 17:09:48.398489 True [   25565.835013] 0003 0036 000000d9
2022-03-16 17:09:48.415347 True [   25565.851793] 0003 0035 00000232
2022-03-16 17:09:48.415347 True [   25565.851793] 0003 0036 000000d9
2022-03-16 17:09:48.923856 False [   25566.360404] 0003 0035 00000131
2022-03-16 17:09:48.923856 False [   25566.360404] 0003 0036 0000008a
2022-03-16 17:09:48.941126 False [   25566.377587] 0003 0035 00000131
2022-03-16 17:09:48.941126 False [   25566.377587] 0003 0036 0000008a
2022-03-16 17:09:48.958091 False [   25566.394615] 0003 0035 00000131
2022-03-16 17:09:48.958091 False [   25566.394615] 0003 0036 0000008a
2022-03-16 17:09:48.974571 False [   25566.411148] 0003 0035 00000131
2022-03-16 17:09:48.974571 False [   25566.411148] 0003 0036 0000008a
2022-03-16 17:09:48.990807 False [   25566.427803] 0003 0035 00000131
2022-03-16 17:09:48.993887 False [   25566.427803] 0003 0036 0000008a
2022-03-16 17:09:49.008618 False [   25566.444957] 0003 0035 00000131
2022-03-16 17:09:49.008618 False [   25566.444957] 0003 0036 0000008a
2022-03-16 17:10:03.220643 False [   25580.656905] 0003 0035 0000030c
2022-03-16 17:10:03.220643 False [   25580.656905] 0003 0036 00000286
2022-03-16 17:10:03.237839 False [   25580.673961] 0003 0035 0000030c
2022-03-16 17:10:03.237839 False [   25580.673961] 0003 0036 00000286
2022-03-16 17:10:03.254124 False [   25580.690437] 0003 0035 0000030c
2022-03-16 17:10:03.254124 False [   25580.690437] 0003 0036 00000286
2022-03-16 17:10:03.270051 False [   25580.706743] 0003 0035 0000030c
2022-03-16 17:10:03.271058 False [   25580.706743] 0003 0036 00000286
2022-03-16 17:10:03.287243 False [   25580.723457] 0003 0035 0000030c
2022-03-16 17:10:03.287243 False [   25580.723457] 0003 0036 00000286
2022-03-16 17:10:03.304622 False [   25580.740975] 0003 0035 00000313
2022-03-16 17:10:03.304622 False [   25580.740975] 0003 0036 00000286
2022-03-16 17:10:03.321177 False [   25580.757674] 0003 0035 00000323
2022-03-16 17:10:03.322182 False [   25580.757674] 0003 0036 00000284
2022-03-16 17:10:03.338678 False [   25580.774827] 0003 0035 00000335
2022-03-16 17:10:03.338678 False [   25580.774827] 0003 0036 00000280
2022-03-16 17:10:03.354687 False [   25580.791216] 0003 0035 00000348
2022-03-16 17:10:03.354687 False [   25580.791216] 0003 0036 0000027c
2022-03-16 17:10:03.370907 False [   25580.807906] 0003 0035 0000035e
