Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 3.121132051528857 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:17:23.758904 False [  146567.062421] 0003 0036 00000173
2022-04-02 14:17:23.915895 False [  146567.218769] 0003 0036 00000174
2022-04-02 14:17:23.939572 False [  146567.227540] 0003 0035 0000014f
2022-04-02 14:17:23.939572 False [  146567.227540] 0003 0036 00000175
2022-04-02 14:17:23.939572 False [  146567.235526] 0003 0036 00000176
2022-04-02 14:17:23.965785 False [  146567.243918] 0003 0036 00000177
2022-04-02 14:17:23.965785 False [  146567.253980] 0003 0035 00000150
2022-04-02 14:17:23.965785 False [  146567.253980] 0003 0036 00000179
2022-04-02 14:17:23.993753 False [  146567.260571] 0003 0035 00000151
2022-04-02 14:17:23.993753 False [  146567.269515] 0003 0035 00000152
2022-04-02 14:17:23.993753 False [  146567.269515] 0003 0036 0000017a
2022-04-02 14:17:23.993753 False [  146567.277368] 0003 0035 00000153
2022-04-02 14:17:23.993753 False [  146567.277368] 0003 0036 0000017b
2022-04-02 14:17:24.034418 False [  146567.285362] 0003 0035 00000154
2022-04-02 14:17:24.034418 False [  146567.285362] 0003 0036 0000017c
2022-04-02 14:17:24.034418 False [  146567.293861] 0003 0035 00000155
2022-04-02 14:17:24.034418 False [  146567.293861] 0003 0036 0000017d
2022-04-02 14:17:24.034418 False [  146567.302658] 0003 0035 00000156
2022-04-02 14:17:24.034418 False [  146567.302658] 0003 0036 0000017e
2022-04-02 14:17:24.034418 False [  146567.311443] 0003 0036 0000017f
2022-04-02 14:17:24.067465 False [  146567.322280] 0003 0035 00000158
2022-04-02 14:17:24.067465 False [  146567.322280] 0003 0036 00000180
2022-04-02 14:17:24.067465 False [  146567.330003] 0003 0035 00000159
2022-04-02 14:17:24.067465 False [  146567.330003] 0003 0036 00000181
2022-04-02 14:17:24.067465 False [  146567.335331] 0003 0035 0000015a
2022-04-02 14:17:24.067465 False [  146567.335331] 0003 0036 00000182
2022-04-02 14:17:24.067465 False [  146567.343615] 0003 0036 00000183
2022-04-02 14:17:24.067465 False [  146567.352946] 0003 0035 0000015c
2022-04-02 14:17:24.067465 False [  146567.352946] 0003 0036 00000184
2022-04-02 14:17:24.109890 False [  146567.360957] 0003 0035 0000015d
2022-04-02 14:17:24.109890 False [  146567.360957] 0003 0036 00000185
2022-04-02 14:17:24.109890 False [  146567.368387] 0003 0036 00000186
