Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.163244089264183 
    wm_size = [1200 1920] 
    stim_amp = 5 
    baseline_stim = 5
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:25:31.432242 False [   90654.252347] 0003 0035 0000048b
2022-03-10 16:25:32.267895 False [   90655.083625] 0003 0035 000004c3
2022-03-10 16:25:32.280591 False [   90655.099648] 0003 0035 000004c3
2022-03-10 16:25:32.298032 False [   90655.116726] 0003 0035 000004c3
2022-03-10 16:25:32.313753 False [   90655.133577] 0003 0035 000004c3
2022-03-10 16:25:32.330803 False [   90655.150283] 0003 0035 000004c3
2022-03-10 16:25:33.284549 False [   90656.099210] 0003 0035 0000034d
2022-03-10 16:25:33.300642 False [   90656.116234] 0003 0035 0000034d
2022-03-10 16:25:33.315866 False [   90656.133137] 0003 0035 0000034d
2022-03-10 16:25:33.331388 False [   90656.150244] 0003 0035 0000034d
2022-03-10 16:25:33.368213 False [   90656.183877] 0003 0035 0000034d
2022-03-10 16:25:35.572713 False [   90658.388406] 0003 0035 000000df
2022-03-10 16:25:35.584918 True [   90658.404429] 0003 0035 000000df
2022-03-10 16:25:35.606659 True [   90658.421965] 0003 0035 000000df
2022-03-10 16:25:35.621054 True [   90658.438571] 0003 0035 000000df
2022-03-10 16:25:35.635054 True [   90658.454618] 0003 0035 000000df
2022-03-10 16:25:35.653282 True [   90658.471820] 0003 0035 000000df
2022-03-10 16:25:35.670049 True [   90658.488283] 0003 0035 000000df
2022-03-10 16:25:36.787639 True [   90659.606977] 0003 0035 0000036b
2022-03-10 16:25:36.804980 False [   90659.623405] 0003 0035 0000036b
2022-03-10 16:25:36.820537 False [   90659.640128] 0003 0035 0000036b
2022-03-10 16:25:36.837201 False [   90659.657107] 0003 0035 0000036b
2022-03-10 16:25:36.854549 False [   90659.673994] 0003 0035 0000036b
2022-03-10 16:25:36.871173 False [   90659.690760] 0003 0035 0000036b
2022-03-10 16:25:38.466066 False [   90661.284325] 0003 0035 0000040b
2022-03-10 16:25:38.480802 False [   90661.300900] 0003 0035 0000040b
2022-03-10 16:25:38.499712 False [   90661.317760] 0003 0035 0000040b
2022-03-10 16:25:38.514422 False [   90661.334290] 0003 0035 0000040b
2022-03-10 16:25:38.531237 False [   90661.351228] 0003 0035 0000040b
2022-03-10 16:25:49.903238 False [   90672.720968] 0003 0035 000000eb
2022-03-10 16:25:49.917661 False [   90672.737070] 0003 0035 000000eb
2022-03-10 16:25:49.934930 False [   90672.753796] 0003 0035 000000eb
2022-03-10 16:25:49.952362 False [   90672.770856] 0003 0035 000000eb
2022-03-10 16:25:49.967996 False [   90672.788248] 0003 0035 000000eb
2022-03-10 16:25:49.985846 False [   90672.804669] 0003 0035 000000eb
2022-03-10 16:25:50.002395 False [   90672.821554] 0003 0035 000000eb
2022-03-10 16:25:50.021093 False [   90672.838448] 0003 0035 000000eb
2022-03-10 16:25:50.038420 False [   90672.855380] 0003 0035 000000eb
2022-03-10 16:25:50.052614 False [   90672.872584] 0003 0035 000000eb
2022-03-10 16:25:50.071298 False [   90672.889481] 0003 0035 000000eb
2022-03-10 16:25:50.087297 False [   90672.906372] 0003 0035 000000eb
2022-03-10 16:25:50.109089 False [   90672.923164] 0003 0035 000000eb
2022-03-10 16:25:50.120085 False [   90672.940123] 0003 0035 000000eb
2022-03-10 16:25:50.137772 False [   90672.957090] 0003 0035 000000eb
2022-03-10 16:25:50.154205 False [   90672.974122] 0003 0035 000000eb
2022-03-10 16:25:50.172886 False [   90672.991228] 0003 0035 000000eb
2022-03-10 16:25:50.190729 False [   90673.007962] 0003 0035 000000eb
2022-03-10 16:25:50.205596 False [   90673.024861] 0003 0035 000000eb
2022-03-10 16:25:50.224110 False [   90673.041780] 0003 0035 000000eb
2022-03-10 16:25:50.242467 False [   90673.058749] 0003 0035 000000eb
2022-03-10 16:25:50.256871 False [   90673.075985] 0003 0035 000000eb
2022-03-10 16:25:50.274249 False [   90673.092686] 0003 0035 000000eb
2022-03-10 16:25:50.292143 False [   90673.109577] 0003 0035 000000eb
2022-03-10 16:25:50.309322 False [   90673.126523] 0003 0035 000000eb
2022-03-10 16:25:50.323287 False [   90673.143397] 0003 0035 000000eb
2022-03-10 16:25:50.341386 False [   90673.160375] 0003 0035 000000eb
2022-03-10 16:25:50.359566 False [   90673.177625] 0003 0035 000000eb
2022-03-10 16:25:50.374733 False [   90673.194673] 0003 0035 000000eb
2022-03-10 16:25:50.394093 False [   90673.211766] 0003 0035 000000eb
2022-03-10 16:25:50.410661 False [   90673.228107] 0003 0035 000000eb
2022-03-10 16:25:50.428269 False [   90673.245063] 0003 0035 000000ef
2022-03-10 16:25:50.442914 False [   90673.262020] 0003 0035 000000ef
2022-03-10 16:25:50.460753 False [   90673.279462] 0003 0035 000000f3
2022-03-10 16:25:50.477347 False [   90673.295942] 0003 0035 000000f3
2022-03-10 16:25:50.496765 False [   90673.313038] 0003 0035 000000f3
2022-03-10 16:25:50.515719 False [   90673.329810] 0003 0035 000000f7
2022-03-10 16:25:50.530336 False [   90673.346742] 0003 0035 000000f7
2022-03-10 16:25:50.547650 False [   90673.363768] 0003 0035 000000f7
2022-03-10 16:25:50.562131 False [   90673.380851] 0003 0035 000000f7
2022-03-10 16:25:50.581623 False [   90673.397618] 0003 0035 000000f7
2022-03-10 16:25:50.595406 False [   90673.414571] 0003 0035 000000f7
2022-03-10 16:25:50.616229 False [   90673.431474] 0003 0035 000000f7
