Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 0.9984720627895423 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 1
        ===============================
2022-04-07 19:13:39.257014 False [   19948.501726] 0003 0036 00000786
2022-04-07 19:13:39.313215 False [   19948.510844] 0003 0035 000004e2
2022-04-07 19:13:39.313215 False [   19948.510844] 0003 0036 000007a1
2022-04-07 19:13:39.313215 False [   19948.520159] 0003 0036 000007be
2022-04-07 19:13:39.313215 False [   19948.529987] 0003 0035 000004e0
2022-04-07 19:13:39.313215 False [   19948.529987] 0003 0036 000007d9
2022-04-07 19:13:39.313215 False [   19948.540043] 0003 0035 000004df
2022-04-07 19:13:39.313215 False [   19948.540043] 0003 0036 000007f2
2022-04-07 19:13:39.313215 False [   19948.549914] 0003 0035 000004de
2022-04-07 19:13:39.313215 False [   19948.549914] 0003 0036 0000080a
2022-04-07 19:13:39.313215 False [   19948.559245] 0003 0035 000004dd
2022-04-07 19:13:39.313215 False [   19948.559245] 0003 0036 00000822
2022-04-07 19:13:39.338656 False [   19948.569390] 0003 0035 000004db
2022-04-07 19:13:39.338656 False [   19948.569390] 0003 0036 00000838
2022-04-07 19:13:39.338656 False [   19948.578178] 0003 0035 000004da
2022-04-07 19:13:39.338656 False [   19948.578178] 0003 0036 00000862
2022-04-07 19:13:39.338656 False [   19948.586364] 0003 0036 00000875
2022-04-07 19:13:39.338656 False [   19948.596846] 0003 0035 000004d9
2022-04-07 19:13:39.338656 False [   19948.596846] 0003 0036 00000880
2022-04-07 19:13:39.338656 False [   19948.606003] 0003 0036 00000892
2022-04-07 19:13:39.338656 False [   19948.616504] 0003 0036 0000089e
2022-04-07 19:13:39.352380 False [   19948.627303] 0003 0035 000004da
2022-04-07 19:13:39.352380 False [   19948.627303] 0003 0036 000008af
2022-04-07 19:13:39.352380 False [   19948.634551] 0003 0035 000004dc
2022-04-07 19:13:39.352380 False [   19948.634551] 0003 0036 000008cb
2022-04-07 19:13:39.352380 False [   19948.642728] 0003 0035 000004dd
2022-04-07 19:13:39.352380 False [   19948.642728] 0003 0036 000008d5
2022-04-07 19:13:39.359493 False [   19948.651136] 0003 0035 000004de
2022-04-07 19:13:39.359493 False [   19948.651136] 0003 0036 000008e2
2022-04-07 19:13:39.363747 False [   19948.659537] 0003 0036 000008ea
2022-04-07 19:13:39.380996 False [   19948.667869] 0003 0035 000004df
2022-04-07 19:13:39.380996 False [   19948.667869] 0003 0036 000008f6
2022-04-07 19:13:39.400803 False [   19948.676070] 0003 0035 000004e0
2022-04-07 19:13:39.400803 False [   19948.676070] 0003 0036 000008fe
2022-04-07 19:13:39.400803 False [   19948.684585] 0003 0035 000004e1
2022-04-07 19:13:39.400803 False [   19948.684585] 0003 0036 00000909
2022-04-07 19:13:39.454873 False [   19948.693004] 0003 0035 000004e2
2022-04-07 19:13:39.454873 False [   19948.693004] 0003 0036 00000911
2022-04-07 19:13:39.454873 False [   19948.703821] 0003 0036 0000091c
2022-04-07 19:13:39.486165 False [   19948.711076] 0003 0036 00000924
2022-04-07 19:13:39.486165 False [   19948.720596] 0003 0036 0000092f
2022-04-07 19:13:39.486165 False [   19948.732841] 0003 0036 00000936
2022-04-07 19:13:39.486165 False [   19948.741935] 0003 0036 00000941
2022-04-07 19:13:39.486165 False [   19948.749154] 0003 0036 00000949
2022-04-07 19:13:39.486165 False [   19948.758959] 0003 0036 0000094e
2022-04-07 19:13:39.486165 False [   19948.767708] 0003 0035 000004de
2022-04-07 19:13:39.486165 False [   19948.767708] 0003 0036 00000963
2022-04-07 19:13:39.856933 False [   19949.151658] 0003 0035 00000507
2022-04-07 19:13:39.856933 False [   19949.151658] 0003 0036 000001d8
2022-04-07 19:13:39.913136 False [   19949.166506] 0003 0035 00000505
2022-04-07 19:13:39.969694 False [   19949.179709] 0003 0035 00000501
2022-04-07 19:13:39.969694 False [   19949.179709] 0003 0036 000001da
2022-04-07 19:13:39.969694 False [   19949.186034] 0003 0035 000004fe
2022-04-07 19:13:39.969694 False [   19949.197018] 0003 0035 000004f0
2022-04-07 19:13:39.969694 False [   19949.206765] 0003 0035 000004e2
2022-04-07 19:13:39.969694 False [   19949.216761] 0003 0035 000004d1
2022-04-07 19:13:39.969694 False [   19949.216761] 0003 0036 000001d7
2022-04-07 19:13:40.018157 False [   19949.226661] 0003 0035 000004a6
