Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.6258923177968843 
    wm_size = [1200 1920] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 17:42:23.790782 False [   27521.189536] 0003 0036 0000025f
2022-03-16 17:42:23.805423 False [   27521.205642] 0003 0035 000003c4
2022-03-16 17:42:23.805423 False [   27521.205642] 0003 0036 0000025f
2022-03-16 17:42:23.823252 False [   27521.222811] 0003 0035 000003c4
2022-03-16 17:42:23.823252 False [   27521.222811] 0003 0036 0000025f
2022-03-16 17:42:23.840525 False [   27521.240092] 0003 0035 000003c4
2022-03-16 17:42:23.840525 False [   27521.240092] 0003 0036 0000025f
2022-03-16 17:42:23.857120 False [   27521.256953] 0003 0035 000003c4
2022-03-16 17:42:23.857120 False [   27521.256953] 0003 0036 0000025f
2022-03-16 17:42:23.873336 False [   27521.273895] 0003 0035 000003c4
2022-03-16 17:42:23.873336 False [   27521.273895] 0003 0036 0000025f
2022-03-16 17:42:23.890789 False [   27521.290682] 0003 0035 000003c4
2022-03-16 17:42:23.890789 False [   27521.290682] 0003 0036 0000025f
2022-03-16 17:42:23.907259 False [   27521.307497] 0003 0035 000003c2
2022-03-16 17:42:23.907259 False [   27521.307497] 0003 0036 0000025b
2022-03-16 17:42:24.570319 False [   27521.970663] 0003 0035 000004d7
2022-03-16 17:42:24.570319 False [   27521.970663] 0003 0036 00000032
2022-03-16 17:42:24.586474 False [   27521.987134] 0003 0035 000004d7
2022-03-16 17:42:24.586474 False [   27521.987134] 0003 0036 00000032
2022-03-16 17:42:24.603622 False [   27522.003442] 0003 0035 000004d7
2022-03-16 17:42:24.603622 False [   27522.003442] 0003 0036 00000032
2022-03-16 17:42:24.638478 False [   27522.038339] 0003 0035 000004d7
2022-03-16 17:42:24.638478 False [   27522.038339] 0003 0036 00000032
2022-03-16 17:42:24.653789 False [   27522.054548] 0003 0035 000004d7
2022-03-16 17:42:24.653789 False [   27522.054548] 0003 0036 00000032
2022-03-16 17:42:27.823422 False [   27525.223437] 0003 0035 000001fc
2022-03-16 17:42:27.823422 False [   27525.223437] 0003 0036 000002f9
2022-03-16 17:42:27.841594 False [   27525.241064] 0003 0035 000001fc
2022-03-16 17:42:27.841594 False [   27525.241064] 0003 0036 000002f9
2022-03-16 17:42:27.857398 False [   27525.257964] 0003 0035 000001fc
2022-03-16 17:42:27.857398 False [   27525.257964] 0003 0036 000002f9
2022-03-16 17:42:29.468143 False [   27526.868561] 0003 0035 000003cf
2022-03-16 17:42:29.468143 False [   27526.868561] 0003 0036 000000a7
2022-03-16 17:42:29.485474 False [   27526.885459] 0003 0035 000003cf
2022-03-16 17:42:29.485474 False [   27526.885459] 0003 0036 000000a7
2022-03-16 17:42:29.503100 False [   27526.903132] 0003 0035 000003cf
2022-03-16 17:42:29.503100 False [   27526.903132] 0003 0036 000000a7
2022-03-16 17:42:29.518774 False [   27526.919509] 0003 0035 000003cf
2022-03-16 17:42:29.518774 False [   27526.919509] 0003 0036 000000a7
2022-03-16 17:42:29.536618 False [   27526.936108] 0003 0035 000003cf
2022-03-16 17:42:29.536618 False [   27526.936108] 0003 0036 000000a7
2022-03-16 17:42:29.553014 False [   27526.953350] 0003 0035 000003cf
2022-03-16 17:42:29.553014 False [   27526.953350] 0003 0036 000000a7
2022-03-16 17:42:29.569380 False [   27526.970216] 0003 0035 000003cf
2022-03-16 17:42:29.569380 False [   27526.970216] 0003 0036 000000a7
