Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.929594021364127 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-03 19:15:23.728001 False [   71795.267380] 0003 0035 000001eb
2022-03-03 19:15:23.740958 False [   71795.284301] 0003 0035 000001e5
2022-03-03 19:15:23.759902 False [   71795.301335] 0003 0035 000001df
2022-03-03 19:15:23.775959 False [   71795.318190] 0003 0035 000001da
2022-03-03 19:15:23.792701 False [   71795.335121] 0003 0035 000001d4
2022-03-03 19:15:23.808852 False [   71795.351989] 0003 0035 000001cf
2022-03-03 19:15:23.827166 False [   71795.369893] 0003 0035 000001cb
2022-03-03 19:15:23.842653 False [   71795.385846] 0003 0035 000001c7
2022-03-03 19:15:23.860905 False [   71795.402761] 0003 0035 000001c7
2022-03-03 19:15:23.877917 False [   71795.419808] 0003 0035 000001c3
2022-03-03 19:15:23.893931 False [   71795.436685] 0003 0035 000001c3
2022-03-03 19:15:23.910490 False [   71795.453403] 0003 0035 000001c3
2022-03-03 19:15:29.090511 False [   71800.633210] 0003 0035 000000ef
2022-03-03 19:15:29.107273 False [   71800.649278] 0003 0035 000000ef
2022-03-03 19:15:29.123994 False [   71800.666590] 0003 0035 000000ef
2022-03-03 19:15:29.141587 False [   71800.682992] 0003 0035 000000ef
2022-03-03 19:15:29.157255 False [   71800.699953] 0003 0035 000000ef
2022-03-03 19:15:29.173731 False [   71800.717268] 0003 0035 000000ef
2022-03-03 19:15:29.190401 False [   71800.733865] 0003 0035 000000ef
2022-03-03 19:15:29.209276 False [   71800.750781] 0003 0035 000000ef
2022-03-03 19:15:29.227004 False [   71800.767673] 0003 0035 000000f6
2022-03-03 19:15:29.241678 False [   71800.784595] 0003 0035 000000ff
2022-03-03 19:15:29.258852 False [   71800.801667] 0003 0035 0000010a
2022-03-03 19:15:29.278039 False [   71800.818435] 0003 0035 00000115
2022-03-03 19:15:29.292993 False [   71800.835389] 0003 0035 00000120
2022-03-03 19:15:29.311054 False [   71800.852546] 0003 0035 00000129
2022-03-03 19:15:29.326744 False [   71800.869346] 0003 0035 00000131
2022-03-03 19:15:29.343704 False [   71800.886119] 0003 0035 00000138
2022-03-03 19:15:29.360439 False [   71800.903089] 0003 0035 0000013f
2022-03-03 19:15:29.377166 False [   71800.920001] 0003 0035 00000147
2022-03-03 19:15:29.395982 False [   71800.936983] 0003 0035 00000151
2022-03-03 19:15:29.410704 False [   71800.953939] 0003 0035 0000015b
2022-03-03 19:15:29.427089 False [   71800.970912] 0003 0035 00000165
2022-03-03 19:15:29.445134 False [   71800.987722] 0003 0035 0000016e
2022-03-03 19:15:29.461515 False [   71801.004666] 0003 0035 00000176
2022-03-03 19:15:29.482011 False [   71801.021623] 0003 0035 0000017d
2022-03-03 19:15:29.496913 False [   71801.038898] 0003 0035 00000184
2022-03-03 19:15:29.512693 False [   71801.055567] 0003 0035 0000018b
2022-03-03 19:15:29.532210 False [   71801.072481] 0003 0035 00000192
2022-03-03 19:15:29.546850 False [   71801.089540] 0003 0035 00000198
2022-03-03 19:15:29.563358 False [   71801.106217] 0003 0035 0000019e
2022-03-03 19:15:29.581045 False [   71801.123146] 0003 0035 000001a4
2022-03-03 19:15:29.600537 False [   71801.140153] 0003 0035 000001a9
2022-03-03 19:15:29.616399 False [   71801.156999] 0003 0035 000001ad
2022-03-03 19:15:29.633300 False [   71801.174052] 0003 0035 000001ad
2022-03-03 19:15:29.649961 False [   71801.190820] 0003 0035 000001b2
2022-03-03 19:15:29.666437 False [   71801.207756] 0003 0035 000001b6
2022-03-03 19:15:29.682443 False [   71801.224684] 0003 0035 000001b6
2022-03-03 19:15:29.699440 False [   71801.241833] 0003 0035 000001b6
2022-03-03 19:15:29.716665 False [   71801.258620] 0003 0035 000001bc
2022-03-03 19:15:29.732297 False [   71801.275488] 0003 0035 000001c3
2022-03-03 19:15:29.749058 False [   71801.292350] 0003 0035 000001cc
2022-03-03 19:15:29.768608 False [   71801.309372] 0003 0035 000001d5
2022-03-03 19:15:29.783285 False [   71801.326255] 0003 0035 000001de
2022-03-03 19:15:29.800054 False [   71801.343128] 0003 0035 000001e7
2022-03-03 19:15:29.817405 False [   71801.360244] 0003 0035 000001ef
2022-03-03 19:15:29.835881 False [   71801.377014] 0003 0035 000001f5
2022-03-03 19:15:29.850552 False [   71801.393932] 0003 0035 000001fa
2022-03-03 19:15:29.869569 False [   71801.410871] 0003 0035 000001ff
2022-03-03 19:15:29.886479 False [   71801.427807] 0003 0035 00000206
2022-03-03 19:15:29.903439 False [   71801.444736] 0003 0035 0000020e
2022-03-03 19:15:29.918707 False [   71801.461669] 0003 0035 00000218
2022-03-03 19:15:29.936934 False [   71801.478671] 0003 0035 00000223
2022-03-03 19:15:29.953418 False [   71801.495584] 0003 0035 0000022d
2022-03-03 19:15:29.969729 False [   71801.513187] 0003 0035 00000236
2022-03-03 19:15:29.989183 False [   71801.529629] 0003 0035 0000023e
2022-03-03 19:15:30.003952 False [   71801.546296] 0003 0035 00000245
2022-03-03 19:15:30.021687 False [   71801.563472] 0003 0035 0000024d
2022-03-03 19:15:30.040507 False [   71801.580210] 0003 0035 00000258
2022-03-03 19:15:30.054210 False [   71801.597507] 0003 0035 00000267
2022-03-03 19:15:30.072621 False [   71801.614003] 0003 0035 00000277
2022-03-03 19:15:30.089575 False [   71801.630975] 0003 0035 00000286
2022-03-03 19:15:30.106545 False [   71801.647915] 0003 0035 00000293
2022-03-03 19:15:30.124864 False [   71801.664774] 0003 0035 000002a0
2022-03-03 19:15:30.140290 False [   71801.681726] 0003 0035 000002aa
2022-03-03 19:15:30.158236 False [   71801.698878] 0003 0035 000002b4
2022-03-03 19:15:30.174999 False [   71801.716365] 0003 0035 000002bf
2022-03-03 19:15:30.190663 False [   71801.732647] 0003 0035 000002cb
2022-03-03 19:15:30.209345 False [   71801.750234] 0003 0035 000002d7
2022-03-03 19:15:30.225922 False [   71801.766332] 0003 0035 000002e4
2022-03-03 19:15:30.242406 False [   71801.783253] 0003 0035 000002f0
2022-03-03 19:15:30.257895 False [   71801.800217] 0003 0035 000002fb
2022-03-03 19:15:30.275737 False [   71801.817110] 0003 0035 00000309
2022-03-03 19:15:30.290692 False [   71801.833822] 0003 0035 0000031e
