Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.1520927405445303 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 13:33:19.796535 True [  143913.726164] 0003 0035 0000030f
2022-04-02 13:33:19.796535 True [  143913.726164] 0003 0036 000004b8
2022-04-02 13:33:19.804444 True [  143913.734496] 0003 0036 000004bd
2022-04-02 13:33:19.813409 True [  143913.742768] 0003 0036 000004c1
2022-04-02 13:33:19.821068 True [  143913.751233] 0003 0035 00000310
2022-04-02 13:33:19.821068 True [  143913.751233] 0003 0036 000004c9
2022-04-02 13:33:19.829537 True [  143913.759389] 0003 0035 00000311
2022-04-02 13:33:19.829537 True [  143913.759389] 0003 0036 000004cf
2022-04-02 13:33:19.837869 True [  143913.767769] 0003 0036 000004d3
2022-04-02 13:33:19.846191 True [  143913.776070] 0003 0035 00000312
2022-04-02 13:33:19.846191 True [  143913.776070] 0003 0036 000004dd
2022-04-02 13:33:19.854110 True [  143913.784508] 0003 0035 00000314
2022-04-02 13:33:19.854110 True [  143913.784508] 0003 0036 000004e6
2022-04-02 13:33:19.863100 True [  143913.792796] 0003 0035 00000315
2022-04-02 13:33:19.863100 True [  143913.792796] 0003 0036 000004ed
2022-04-02 13:33:19.871307 True [  143913.801036] 0003 0035 00000316
2022-04-02 13:33:19.871307 True [  143913.801036] 0003 0036 000004f1
2022-04-02 13:33:19.879292 True [  143913.809295] 0003 0035 00000317
2022-04-02 13:33:19.879292 True [  143913.809295] 0003 0036 000004fc
2022-04-02 13:33:19.886957 True [  143913.817735] 0003 0035 00000318
2022-04-02 13:33:19.886957 True [  143913.817735] 0003 0036 00000502
2022-04-02 13:33:19.895704 True [  143913.825957] 0003 0035 00000319
2022-04-02 13:33:19.895704 True [  143913.825957] 0003 0036 0000050d
2022-04-02 13:33:19.904095 True [  143913.834273] 0003 0035 0000031a
2022-04-02 13:33:19.904095 True [  143913.834273] 0003 0036 00000515
2022-04-02 13:33:19.912715 True [  143913.842541] 0003 0035 0000031c
2022-04-02 13:33:19.912715 True [  143913.842541] 0003 0036 00000520
2022-04-02 13:33:19.921294 True [  143913.850941] 0003 0036 00000527
2022-04-02 13:33:19.930636 True [  143913.859149] 0003 0035 0000031f
2022-04-02 13:33:19.930636 True [  143913.859149] 0003 0036 00000534
2022-04-02 13:33:19.937595 True [  143913.867477] 0003 0035 00000320
2022-04-02 13:33:19.939968 True [  143913.867477] 0003 0036 00000542
2022-04-02 13:33:19.947221 True [  143913.875724] 0003 0035 00000322
2022-04-02 13:33:19.947221 True [  143913.875724] 0003 0036 0000054f
