Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.7457779650029883 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:45:19.299841 False [  144633.218943] 0003 0036 000006d9
2022-04-02 13:45:19.299841 True [  144633.218943] 0003 0036 0000056c
2022-04-02 13:45:19.306211 True [  144633.227352] 0003 0035 00000241
2022-04-02 13:45:19.306211 False [  144633.227352] 0003 0036 000006de
2022-04-02 13:45:19.306211 True [  144633.227352] 0003 0036 0000056b
2022-04-02 13:45:19.315215 True [  144633.235691] 0003 0035 0000023e
2022-04-02 13:45:19.315215 False [  144633.235691] 0003 0036 000006e1
2022-04-02 13:45:19.315215 True [  144633.235691] 0003 0036 0000056a
2022-04-02 13:45:19.324627 True [  144633.244573] 0003 0035 0000023c
2022-04-02 13:45:19.324627 False [  144633.244573] 0003 0036 000006e4
2022-04-02 13:45:19.324627 True [  144633.244573] 0003 0036 00000569
2022-04-02 13:45:19.333952 True [  144633.252318] 0003 0035 0000023b
2022-04-02 13:45:19.333952 False [  144633.252318] 0003 0036 000006e6
2022-04-02 13:45:19.333952 True [  144633.252318] 0003 0036 00000568
2022-04-02 13:45:19.340115 True [  144633.260624] 0003 0035 00000239
2022-04-02 13:45:19.340115 False [  144633.260624] 0003 0036 000006e7
2022-04-02 13:45:19.340115 True [  144633.260624] 0003 0036 00000567
2022-04-02 13:45:19.349542 True [  144633.268592] 0003 0035 00000238
2022-04-02 13:45:19.349542 False [  144633.268592] 0003 0036 000006e8
2022-04-02 13:45:19.349542 True [  144633.268592] 0003 0036 00000566
2022-04-02 13:45:19.356195 False [  144633.277241] 0003 0036 000006eb
2022-04-02 13:45:19.366035 False [  144633.285237] 0003 0036 000006ed
2022-04-02 13:45:19.366035 False [  144633.285237] 0003 0035 00000338
2022-04-02 13:45:19.367291 True [  144633.285237] 0003 0036 00000565
2022-04-02 13:45:19.373175 False [  144633.293623] 0003 0036 000006f0
2022-04-02 13:45:19.373175 False [  144633.293623] 0003 0035 00000339
2022-04-02 13:45:19.382784 False [  144633.302107] 0003 0036 000006f1
2022-04-02 13:45:19.382784 False [  144633.302107] 0003 0035 0000033c
2022-04-02 13:45:19.382784 True [  144633.302107] 0003 0036 00000564
2022-04-02 13:45:19.390037 False [  144633.310526] 0003 0036 000006f3
2022-04-02 13:45:19.390037 False [  144633.310526] 0003 0035 0000033d
2022-04-02 13:45:19.400072 False [  144633.318627] 0003 0036 000006f4
2022-04-02 13:45:19.400072 False [  144633.318627] 0003 0035 0000033f
2022-04-02 13:45:19.407061 False [  144633.327436] 0003 0036 000006f5
2022-04-02 13:45:19.407061 False [  144633.327436] 0003 0035 00000340
2022-04-02 13:45:19.416023 False [  144633.335149] 0003 0036 000006f6
2022-04-02 13:45:19.424386 False [  144633.343777] 0003 0036 000006f7
2022-04-02 13:45:19.424386 False [  144633.343777] 0003 0035 00000341
2022-04-02 13:45:19.432642 False [  144633.351703] 0003 0035 00000342
2022-04-02 13:45:19.432642 True [  144633.351703] 0003 0036 00000563
2022-04-02 13:45:19.440563 False [  144633.360326] 0003 0036 000006f8
2022-04-02 13:45:19.440563 False [  144633.360326] 0003 0035 00000343
2022-04-02 13:45:19.448189 False [  144633.368363] 0003 0036 000006f9
2022-04-02 13:45:19.464912 False [  144633.384954] 0003 0036 000006fa
2022-04-02 13:45:19.498127 False [  144633.418350] 0003 0035 00000239
2022-04-02 13:45:19.498127 False [  144633.418350] 0003 0036 000006fe
2022-04-02 13:45:21.282914 False [  144635.196953] 0003 0035 00000620
2022-04-02 13:45:21.282914 False [  144635.196953] 0003 0036 000008aa
2022-04-02 13:45:21.311948 False [  144635.229315] 0003 0035 0000061f
2022-04-02 13:45:21.311948 False [  144635.229315] 0003 0036 000008a6
2022-04-02 13:45:24.497171 False [  144638.413623] 0003 0035 000000d6
2022-04-02 13:45:24.497171 False [  144638.413623] 0003 0036 0000038f
2022-04-02 13:45:24.677904 False [  144638.594906] 0003 0035 000000d7
2022-04-02 13:45:24.677904 False [  144638.594906] 0003 0036 00000391
2022-04-02 13:45:24.684299 False [  144638.603211] 0003 0035 000000d8
2022-04-02 13:45:24.684299 False [  144638.603211] 0003 0036 00000393
2022-04-02 13:45:24.691905 False [  144638.611828] 0003 0035 000000da
2022-04-02 13:45:24.691905 False [  144638.611828] 0003 0036 00000395
2022-04-02 13:45:24.700425 False [  144638.619846] 0003 0035 000000dc
2022-04-02 13:45:24.700425 False [  144638.619846] 0003 0036 00000398
2022-04-02 13:45:24.709869 False [  144638.628916] 0003 0035 000000de
2022-04-02 13:45:24.709869 False [  144638.628916] 0003 0036 0000039a
2022-04-02 13:45:24.716539 False [  144638.636515] 0003 0035 000000e1
2022-04-02 13:45:24.716539 False [  144638.636515] 0003 0036 0000039e
2022-04-02 13:45:24.724968 False [  144638.645011] 0003 0035 000000e5
