Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 0.28999394807826 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 18:54:32.569247 False [   18801.883147] 0003 0036 0000018d
2022-04-07 18:54:32.577226 False [   18801.891393] 0003 0035 000000fc
2022-04-07 18:54:32.577226 False [   18801.891393] 0003 0036 0000018a
2022-04-07 18:54:32.585204 False [   18801.899726] 0003 0035 000000ee
2022-04-07 18:54:32.585204 False [   18801.899726] 0003 0036 00000186
2022-04-07 18:54:32.594181 False [   18801.907993] 0003 0035 000000e5
2022-04-07 18:54:32.594181 False [   18801.907993] 0003 0036 00000184
2022-04-07 18:54:32.604154 False [   18801.916374] 0003 0035 000000d9
2022-04-07 18:54:32.604154 False [   18801.916374] 0003 0036 00000181
2022-04-07 18:54:32.612133 False [   18801.924644] 0003 0035 000000d1
2022-04-07 18:54:32.612133 False [   18801.924644] 0003 0036 0000017e
2022-04-07 18:54:32.619114 False [   18801.933101] 0003 0035 000000cb
2022-04-07 18:54:32.628090 False [   18801.941592] 0003 0035 000000c3
2022-04-07 18:54:32.628090 False [   18801.941592] 0003 0036 0000017b
2022-04-07 18:54:32.635989 False [   18801.949713] 0003 0035 000000bd
2022-04-07 18:54:32.635989 False [   18801.949713] 0003 0036 00000179
2022-04-07 18:54:32.644127 False [   18801.957968] 0003 0035 000000b9
2022-04-07 18:54:32.644127 False [   18801.957968] 0003 0036 00000178
2022-04-07 18:54:32.652029 False [   18801.966262] 0003 0035 000000b6
2022-04-07 18:54:32.652029 False [   18801.966262] 0003 0036 00000177
2022-04-07 18:54:32.663353 False [   18801.975755] 0003 0035 000000b3
2022-04-07 18:54:32.669343 False [   18801.982965] 0003 0035 000000b2
2022-04-07 18:54:32.669343 False [   18801.982965] 0003 0036 00000176
2022-04-07 18:54:32.675904 False [   18801.991062] 0003 0035 000000b1
2022-04-07 18:54:32.686423 False [   18801.999645] 0003 0035 000000b0
2022-04-07 18:54:32.693519 False [   18802.007729] 0003 0036 00000175
2022-04-07 18:54:32.704347 False [   18802.016111] 0003 0035 000000af
2022-04-07 18:54:32.730197 False [   18802.041219] 0003 0035 000000ae
2022-04-07 18:54:32.794623 False [   18802.099853] 0003 0035 000000b2
2022-04-07 18:54:32.794623 False [   18802.099853] 0003 0036 00000179
2022-04-07 18:54:32.803488 False [   18802.107698] 0003 0035 000000b4
2022-04-07 18:54:32.803488 False [   18802.107698] 0003 0036 0000017d
2022-04-07 18:54:32.813145 False [   18802.116259] 0003 0035 000000bc
2022-04-07 18:54:32.813145 False [   18802.116259] 0003 0036 00000186
2022-04-07 18:54:32.813145 False [   18802.124112] 0003 0035 000000c1
2022-04-07 18:54:32.813145 False [   18802.124112] 0003 0036 0000018c
2022-04-07 18:54:32.822331 False [   18802.132623] 0003 0035 000000cc
2022-04-07 18:54:32.822331 False [   18802.132623] 0003 0036 0000019a
2022-04-07 18:54:32.827328 False [   18802.140728] 0003 0035 000000d2
2022-04-07 18:54:32.827328 False [   18802.140728] 0003 0036 000001a2
2022-04-07 18:54:32.834217 False [   18802.149067] 0003 0035 000000dc
2022-04-07 18:54:32.834217 False [   18802.149067] 0003 0036 000001b1
2022-04-07 18:54:32.843239 False [   18802.157183] 0003 0035 000000e1
2022-04-07 18:54:32.843239 False [   18802.157183] 0003 0036 000001ba
2022-04-07 18:54:32.852532 False [   18802.165613] 0003 0035 000000eb
2022-04-07 18:54:32.852532 False [   18802.165613] 0003 0036 000001cf
2022-04-07 18:54:32.860212 False [   18802.173876] 0003 0035 000000f1
2022-04-07 18:54:32.860212 False [   18802.173876] 0003 0036 000001da
2022-04-07 18:54:32.868524 False [   18802.182398] 0003 0035 000000fa
2022-04-07 18:54:32.868524 False [   18802.182398] 0003 0036 000001ed
2022-04-07 18:54:32.877369 False [   18802.190528] 0003 0035 00000102
2022-04-07 18:54:32.877369 False [   18802.190528] 0003 0036 00000201
2022-04-07 18:54:32.884062 False [   18802.199128] 0003 0035 00000109
2022-04-07 18:54:32.884062 False [   18802.199128] 0003 0036 00000214
2022-04-07 18:54:32.891464 False [   18802.207272] 0003 0035 0000010f
2022-04-07 18:54:32.891464 False [   18802.207272] 0003 0036 00000228
2022-04-07 18:54:32.899859 False [   18802.215787] 0003 0035 00000116
2022-04-07 18:54:32.899859 False [   18802.215787] 0003 0036 0000023e
2022-04-07 18:54:32.908373 False [   18802.223829] 0003 0035 0000011c
2022-04-07 18:54:32.908373 False [   18802.223829] 0003 0036 00000253
2022-04-07 18:54:32.919515 False [   18802.233248] 0003 0035 00000122
2022-04-07 18:54:32.919515 False [   18802.233248] 0003 0036 0000026c
2022-04-07 18:54:32.927248 False [   18802.240636] 0003 0035 00000127
2022-04-07 18:54:32.927248 False [   18802.240636] 0003 0036 00000286
2022-04-07 18:54:32.934156 False [   18802.248847] 0003 0035 0000012e
2022-04-07 18:54:32.934156 False [   18802.248847] 0003 0036 000002a4
2022-04-07 18:54:32.941345 False [   18802.257028] 0003 0035 00000134
2022-04-07 18:54:32.941345 False [   18802.257028] 0003 0036 000002c0
2022-04-07 18:54:32.958146 False [   18802.265535] 0003 0035 00000139
2022-04-07 18:54:32.958146 False [   18802.265535] 0003 0036 000002dd
2022-04-07 18:54:32.961653 False [   18802.273687] 0003 0035 0000013d
2022-04-07 18:54:32.961653 False [   18802.273687] 0003 0036 000002fa
2022-04-07 18:54:32.967321 False [   18802.282253] 0003 0035 00000141
2022-04-07 18:54:32.967321 False [   18802.282253] 0003 0036 0000031d
2022-04-07 18:54:32.977260 False [   18802.290239] 0003 0035 00000145
2022-04-07 18:54:32.977260 False [   18802.290239] 0003 0036 0000033c
2022-04-07 18:54:32.984187 False [   18802.298661] 0003 0035 0000014a
2022-04-07 18:54:32.984187 False [   18802.298661] 0003 0036 0000035e
2022-04-07 18:54:32.993546 False [   18802.306965] 0003 0035 0000014d
2022-04-07 18:54:32.993546 False [   18802.306965] 0003 0036 0000037e
2022-04-07 18:54:33.001497 False [   18802.315371] 0003 0035 00000150
2022-04-07 18:54:33.001497 False [   18802.315371] 0003 0036 0000039f
2022-04-07 18:54:33.012604 False [   18802.323615] 0003 0035 00000153
2022-04-07 18:54:33.012604 False [   18802.323615] 0003 0036 000003bf
2022-04-07 18:54:33.016495 False [   18802.332314] 0003 0035 00000156
2022-04-07 18:54:33.016495 True [   18802.332314] 0003 0036 000003e3
2022-04-07 18:54:33.027515 True [   18802.340438] 0003 0035 00000158
2022-04-07 18:54:33.028510 True [   18802.340438] 0003 0036 00000402
2022-04-07 18:54:33.037190 True [   18802.348606] 0003 0036 0000041f
2022-04-07 18:54:33.043944 True [   18802.356766] 0003 0036 0000043d
2022-04-07 18:54:33.055101 True [   18802.365256] 0003 0035 00000159
2022-04-07 18:54:33.055101 True [   18802.365256] 0003 0036 0000045f
2022-04-07 18:54:33.060680 True [   18802.373460] 0003 0035 00000158
2022-04-07 18:54:33.060680 True [   18802.373460] 0003 0036 00000481
2022-04-07 18:54:33.066622 True [   18802.381730] 0003 0035 00000157
2022-04-07 18:54:33.066622 True [   18802.381730] 0003 0036 000004a1
2022-04-07 18:54:33.075954 True [   18802.390256] 0003 0035 00000156
2022-04-07 18:54:33.075954 True [   18802.390256] 0003 0036 000004c4
2022-04-07 18:54:33.084719 True [   18802.398392] 0003 0035 00000154
2022-04-07 18:54:33.084719 True [   18802.398392] 0003 0036 000004eb
2022-04-07 18:54:33.092344 True [   18802.406618] 0003 0035 00000152
2022-04-07 18:54:33.092344 True [   18802.406618] 0003 0036 00000511
2022-04-07 18:54:33.100247 True [   18802.415176] 0003 0035 0000014f
2022-04-07 18:54:33.100247 True [   18802.415176] 0003 0036 0000053d
2022-04-07 18:54:33.109723 True [   18802.423307] 0003 0035 0000014c
2022-04-07 18:54:33.109723 True [   18802.423307] 0003 0036 00000567
2022-04-07 18:54:33.116221 True [   18802.431666] 0003 0035 00000148
2022-04-07 18:54:33.116221 True [   18802.431666] 0003 0036 00000590
2022-04-07 18:54:33.124303 True [   18802.439854] 0003 0035 00000144
2022-04-07 18:54:33.124303 True [   18802.439854] 0003 0036 000005b7
2022-04-07 18:54:33.133340 True [   18802.448815] 0003 0035 00000141
2022-04-07 18:54:33.133340 True [   18802.448815] 0003 0036 000005de
2022-04-07 18:54:33.141129 True [   18802.456362] 0003 0035 0000013d
2022-04-07 18:54:33.141129 False [   18802.456362] 0003 0036 00000604
2022-04-07 18:54:33.152103 False [   18802.465474] 0003 0035 0000013b
2022-04-07 18:54:33.152103 False [   18802.465474] 0003 0036 00000627
2022-04-07 18:54:33.159096 False [   18802.473128] 0003 0035 00000138
2022-04-07 18:54:33.160080 False [   18802.473128] 0003 0036 00000648
2022-04-07 18:54:33.167996 False [   18802.481503] 0003 0035 00000134
2022-04-07 18:54:33.167996 False [   18802.481503] 0003 0036 00000663
2022-04-07 18:54:33.176805 False [   18802.489659] 0003 0035 00000130
2022-04-07 18:54:33.176805 False [   18802.489659] 0003 0036 0000067c
2022-04-07 18:54:33.185116 False [   18802.498102] 0003 0035 0000012e
2022-04-07 18:54:33.185116 False [   18802.498102] 0003 0036 00000698
2022-04-07 18:54:33.192844 False [   18802.506278] 0003 0035 0000012b
2022-04-07 18:54:33.193349 False [   18802.506278] 0003 0036 000006b0
2022-04-07 18:54:33.202736 False [   18802.515028] 0003 0035 00000128
2022-04-07 18:54:33.202736 False [   18802.515028] 0003 0036 000006ca
2022-04-07 18:54:33.208383 False [   18802.522976] 0003 0035 00000125
2022-04-07 18:54:33.208383 False [   18802.522976] 0003 0036 000006e3
2022-04-07 18:54:33.216687 False [   18802.531340] 0003 0035 00000122
