Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.063607798508635 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:57:13.509767 False [  145347.417456] 0003 0036 000001c4
2022-04-02 13:57:13.609133 False [  145347.514388] 0003 0035 000000db
2022-04-02 13:57:13.609133 False [  145347.514388] 0003 0036 000001c5
2022-04-02 13:57:13.627181 False [  145347.531028] 0003 0035 000000dc
2022-04-02 13:57:13.627181 False [  145347.531028] 0003 0036 000001c6
2022-04-02 13:57:13.641836 False [  145347.547718] 0003 0035 000000dd
2022-04-02 13:57:13.641836 False [  145347.547718] 0003 0036 000001c7
2022-04-02 13:57:13.648246 False [  145347.556104] 0003 0035 000000de
2022-04-02 13:57:13.648246 False [  145347.556104] 0003 0036 000001c8
2022-04-02 13:57:13.656919 False [  145347.564279] 0003 0035 000000df
2022-04-02 13:57:13.656919 False [  145347.564279] 0003 0036 000001ca
2022-04-02 13:57:13.663072 False [  145347.572765] 0003 0035 000000e0
2022-04-02 13:57:13.674602 False [  145347.581407] 0003 0035 000000e1
2022-04-02 13:57:13.674602 False [  145347.581407] 0003 0036 000001cb
2022-04-02 13:57:13.682980 False [  145347.589441] 0003 0035 000000e2
2022-04-02 13:57:13.682980 False [  145347.589441] 0003 0036 000001cc
2022-04-02 13:57:13.690277 False [  145347.597772] 0003 0035 000000e4
2022-04-02 13:57:13.690277 False [  145347.597772] 0003 0036 000001cd
2022-04-02 13:57:13.699080 False [  145347.605965] 0003 0036 000001ce
2022-04-02 13:57:13.707518 False [  145347.614458] 0003 0035 000000e5
2022-04-02 13:57:13.707518 False [  145347.614458] 0003 0036 000001cf
2022-04-02 13:57:13.716580 False [  145347.622597] 0003 0035 000000e6
2022-04-02 13:57:13.722303 False [  145347.630799] 0003 0035 000000e7
2022-04-02 13:57:13.722303 False [  145347.630799] 0003 0036 000001d0
2022-04-02 13:57:13.732601 False [  145347.639200] 0003 0035 000000e8
2022-04-02 13:57:13.732601 False [  145347.639200] 0003 0036 000001d1
2022-04-02 13:57:13.740178 False [  145347.647470] 0003 0036 000001d2
2022-04-02 13:57:13.746615 False [  145347.655881] 0003 0035 000000e9
2022-04-02 13:57:13.746615 False [  145347.655881] 0003 0036 000001d3
2022-04-02 13:57:13.755339 False [  145347.664295] 0003 0035 000000ea
2022-04-02 13:57:13.755339 False [  145347.664295] 0003 0036 000001d4
2022-04-02 13:57:13.765503 False [  145347.672620] 0003 0035 000000eb
2022-04-02 13:57:13.765503 False [  145347.672620] 0003 0036 000001d5
2022-04-02 13:57:13.783229 False [  145347.689058] 0003 0035 000000ec
2022-04-02 13:57:13.790438 False [  145347.697281] 0003 0035 000000ed
2022-04-02 13:57:13.790438 False [  145347.697281] 0003 0036 000001d6
2022-04-02 13:57:13.801099 False [  145347.705742] 0003 0035 000000ee
2022-04-02 13:57:13.801099 False [  145347.705742] 0003 0036 000001d7
2022-04-02 13:57:13.808151 False [  145347.714078] 0003 0035 000000ef
2022-04-02 13:57:13.808151 False [  145347.714078] 0003 0036 000001d8
2022-04-02 13:57:13.815833 False [  145347.722492] 0003 0035 000000f0
2022-04-02 13:57:13.815833 False [  145347.722492] 0003 0036 000001da
2022-04-02 13:57:13.822076 False [  145347.730579] 0003 0035 000000f1
2022-04-02 13:57:13.832958 False [  145347.739192] 0003 0035 000000f2
2022-04-02 13:57:13.832958 False [  145347.739192] 0003 0036 000001dc
2022-04-02 13:57:13.840626 False [  145347.747172] 0003 0035 000000f3
2022-04-02 13:57:13.840626 False [  145347.747172] 0003 0036 000001de
2022-04-02 13:57:13.848901 False [  145347.755570] 0003 0035 000000f5
