Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.8362420199827487 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:46:47.228978 False [  159130.311630] 0003 0035 00000139
2022-04-02 17:46:47.228978 False [  159130.311630] 0003 0036 00000520
2022-04-02 17:46:47.283999 False [  159130.323140] 0003 0035 0000013d
2022-04-02 17:46:47.283999 False [  159130.323140] 0003 0036 0000051a
2022-04-02 17:46:47.283999 False [  159130.335859] 0003 0035 00000143
2022-04-02 17:46:47.283999 False [  159130.335859] 0003 0036 00000514
2022-04-02 17:46:47.283999 False [  159130.347915] 0003 0035 0000014e
2022-04-02 17:46:47.283999 False [  159130.347915] 0003 0036 00000508
2022-04-02 17:46:47.283999 False [  159130.357926] 0003 0035 00000153
2022-04-02 17:46:47.283999 False [  159130.357926] 0003 0036 00000503
2022-04-02 17:46:47.283999 False [  159130.369183] 0003 0035 00000157
2022-04-02 17:46:47.283999 False [  159130.369183] 0003 0036 000004ff
2022-04-02 17:46:47.283999 False [  159130.379487] 0003 0035 0000015f
2022-04-02 17:46:47.283999 False [  159130.379487] 0003 0036 000004f5
2022-04-02 17:46:47.307183 False [  159130.390542] 0003 0035 00000164
2022-04-02 17:46:47.307183 False [  159130.390542] 0003 0036 000004ef
2022-04-02 17:46:47.307183 False [  159130.400175] 0003 0035 00000168
2022-04-02 17:46:47.307183 False [  159130.400175] 0003 0036 000004e9
2022-04-02 17:46:47.307183 False [  159130.410903] 0003 0035 0000016d
2022-04-02 17:46:47.307183 False [  159130.410903] 0003 0036 000004e2
2022-04-02 17:46:47.307183 False [  159130.420998] 0003 0035 00000176
2022-04-02 17:46:47.307183 False [  159130.420998] 0003 0036 000004d5
2022-04-02 17:46:47.307183 False [  159130.426426] 0003 0035 0000017c
2022-04-02 17:46:47.307183 False [  159130.426426] 0003 0036 000004cf
2022-04-02 17:46:47.307183 False [  159130.436036] 0003 0035 00000181
2022-04-02 17:46:47.307183 False [  159130.436036] 0003 0036 000004c8
2022-04-02 17:46:47.353640 False [  159130.443521] 0003 0035 00000186
2022-04-02 17:46:47.353640 False [  159130.443521] 0003 0036 000004c1
2022-04-02 17:46:47.353640 True [  159130.453009] 0003 0035 0000018c
2022-04-02 17:46:47.353640 False [  159130.453009] 0003 0036 000004b9
2022-04-02 17:46:47.390029 True [  159130.459627] 0003 0035 00000192
2022-04-02 17:46:47.390029 False [  159130.459627] 0003 0036 000004b1
2022-04-02 17:46:47.390029 True [  159130.468178] 0003 0035 00000197
2022-04-02 17:46:47.390029 True [  159130.468178] 0003 0036 000004a9
2022-04-02 17:46:47.390029 True [  159130.478699] 0003 0035 0000019e
2022-04-02 17:46:47.390029 True [  159130.478699] 0003 0036 000004a1
2022-04-02 17:46:47.390029 True [  159130.489247] 0003 0035 000001a3
2022-04-02 17:46:47.390029 True [  159130.489247] 0003 0036 00000498
2022-04-02 17:46:47.390029 True [  159130.497533] 0003 0035 000001a8
2022-04-02 17:46:47.390029 True [  159130.497533] 0003 0036 0000048f
2022-04-02 17:46:47.390029 True [  159130.505861] 0003 0035 000001af
2022-04-02 17:46:47.390029 True [  159130.505861] 0003 0036 00000484
2022-04-02 17:46:47.447778 True [  159130.515446] 0003 0035 000001b4
2022-04-02 17:46:47.447778 True [  159130.515446] 0003 0036 00000479
2022-04-02 17:46:47.447778 True [  159130.523540] 0003 0035 000001b9
2022-04-02 17:46:47.447778 True [  159130.523540] 0003 0036 0000046f
2022-04-02 17:46:47.447778 True [  159130.534524] 0003 0035 000001be
2022-04-02 17:46:47.447778 True [  159130.534524] 0003 0036 00000464
2022-04-02 17:46:47.447778 True [  159130.543025] 0003 0035 000001c6
2022-04-02 17:46:47.447778 True [  159130.543025] 0003 0036 0000044f
2022-04-02 17:46:47.507858 True [  159130.553553] 0003 0035 000001ca
2022-04-02 17:46:47.507858 False [  159130.553553] 0003 0036 00000442
2022-04-02 17:46:47.507858 True [  159130.561983] 0003 0035 000001cf
2022-04-02 17:46:47.507858 False [  159130.561983] 0003 0036 00000436
2022-04-02 17:46:47.507858 True [  159130.571332] 0003 0035 000001d4
2022-04-02 17:46:47.507858 False [  159130.571332] 0003 0036 00000429
2022-04-02 17:46:47.507858 False [  159130.581190] 0003 0035 000001d9
2022-04-02 17:46:47.508812 False [  159130.590513] 0003 0036 0000040e
2022-04-02 17:46:47.508812 False [  159130.599211] 0003 0035 000001e5
2022-04-02 17:46:47.508812 False [  159130.599211] 0003 0036 00000400
2022-04-02 17:46:47.538582 False [  159130.608930] 0003 0035 000001eb
2022-04-02 17:46:47.538582 False [  159130.608930] 0003 0036 000003f3
2022-04-02 17:46:47.538582 False [  159130.618718] 0003 0035 000001f2
2022-04-02 17:46:47.538582 False [  159130.618718] 0003 0036 000003e6
2022-04-02 17:46:47.538582 True [  159130.627603] 0003 0035 00000201
2022-04-02 17:46:47.538582 True [  159130.658487] 0003 0035 00000215
