Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.6624202323168413 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:16:11.092763 False [     363.520368] 0003 0035 0000035e
2022-04-06 14:16:11.101832 False [     363.528695] 0003 0035 00000360
2022-04-06 14:16:11.101832 False [     363.528695] 0003 0036 00000354
2022-04-06 14:16:11.109956 False [     363.536834] 0003 0035 00000361
2022-04-06 14:16:11.117137 False [     363.545320] 0003 0035 00000363
2022-04-06 14:16:11.126620 False [     363.553473] 0003 0035 00000364
2022-04-06 14:16:11.133434 False [     363.561951] 0003 0035 00000365
2022-04-06 14:16:11.141933 False [     363.570176] 0003 0035 00000367
2022-04-06 14:16:11.159230 False [     363.586901] 0003 0035 00000369
2022-04-06 14:16:11.167310 False [     363.595328] 0003 0035 0000036b
2022-04-06 14:16:11.167310 False [     363.595328] 0003 0036 00000353
2022-04-06 14:16:11.175685 False [     363.603555] 0003 0035 0000036c
2022-04-06 14:16:11.183262 False [     363.611984] 0003 0035 0000036e
2022-04-06 14:16:11.200678 False [     363.628707] 0003 0035 00000370
2022-04-06 14:16:11.208805 False [     363.636867] 0003 0035 00000371
2022-04-06 14:16:11.216961 False [     363.645372] 0003 0035 00000372
2022-04-06 14:16:11.226493 False [     363.653528] 0003 0035 00000373
2022-04-06 14:16:11.234249 False [     363.661931] 0003 0035 00000374
2022-04-06 14:16:11.242740 False [     363.670206] 0003 0035 00000375
2022-04-06 14:16:11.251364 False [     363.678709] 0003 0035 00000376
2022-04-06 14:16:11.259725 False [     363.686880] 0003 0035 00000377
2022-04-06 14:16:11.266396 False [     363.695338] 0003 0035 00000378
2022-04-06 14:16:11.275350 False [     363.703598] 0003 0035 00000379
2022-04-06 14:16:11.292861 False [     363.720422] 0003 0035 0000037a
2022-04-06 14:16:11.301690 False [     363.728707] 0003 0035 0000037c
2022-04-06 14:16:11.317256 False [     363.745329] 0003 0035 0000037d
2022-04-06 14:16:11.325886 False [     363.753587] 0003 0035 0000037f
2022-04-06 14:16:11.333730 False [     363.762006] 0003 0035 00000380
2022-04-06 14:16:11.342153 False [     363.770388] 0003 0035 00000381
2022-04-06 14:16:11.350094 False [     363.778686] 0003 0035 00000382
