Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.5157115037091708 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:46:38.757426 True [  144712.675481] 0003 0036 00000576
2022-04-02 13:46:38.757426 True [  144712.675481] 0003 0036 00000460
2022-04-02 13:46:38.766864 True [  144712.684654] 0003 0035 000002d2
2022-04-02 13:46:38.766864 True [  144712.684654] 0003 0036 00000577
2022-04-02 13:46:38.766864 True [  144712.684654] 0003 0035 0000034b
2022-04-02 13:46:38.766864 True [  144712.684654] 0003 0036 0000045f
2022-04-02 13:46:38.774477 True [  144712.692184] 0003 0035 000002d1
2022-04-02 13:46:38.774477 True [  144712.692184] 0003 0036 00000578
2022-04-02 13:46:38.791982 True [  144712.709057] 0003 0035 000002cf
2022-04-02 13:46:38.791982 True [  144712.709057] 0003 0036 0000057a
2022-04-02 13:46:38.791982 True [  144712.709057] 0003 0035 0000034c
2022-04-02 13:46:38.791982 True [  144712.709057] 0003 0036 0000045e
2022-04-02 13:46:38.798979 True [  144712.717152] 0003 0035 000002cd
2022-04-02 13:46:38.798979 True [  144712.717152] 0003 0036 0000057b
2022-04-02 13:46:38.798979 True [  144712.717152] 0003 0035 0000034d
2022-04-02 13:46:38.798979 True [  144712.717152] 0003 0036 0000045c
2022-04-02 13:46:38.807257 True [  144712.725380] 0003 0035 000002cb
2022-04-02 13:46:38.808254 True [  144712.725380] 0003 0036 0000057c
2022-04-02 13:46:38.808254 True [  144712.725380] 0003 0035 0000034e
2022-04-02 13:46:38.808254 True [  144712.725380] 0003 0036 0000045b
2022-04-02 13:46:38.815603 True [  144712.733956] 0003 0035 000002ca
2022-04-02 13:46:38.815603 True [  144712.733956] 0003 0036 0000057e
2022-04-02 13:46:38.815603 True [  144712.733956] 0003 0036 0000045a
2022-04-02 13:46:38.823923 True [  144712.741997] 0003 0035 000002c8
2022-04-02 13:46:38.823923 True [  144712.741997] 0003 0036 0000057f
2022-04-02 13:46:38.823923 True [  144712.741997] 0003 0035 0000034f
2022-04-02 13:46:38.823923 True [  144712.741997] 0003 0036 00000459
2022-04-02 13:46:38.832877 True [  144712.750818] 0003 0035 000002c6
2022-04-02 13:46:38.832877 True [  144712.750818] 0003 0036 00000458
2022-04-02 13:46:38.841040 True [  144712.758580] 0003 0035 000002c5
2022-04-02 13:46:38.841040 True [  144712.758580] 0003 0036 00000581
2022-04-02 13:46:38.841040 True [  144712.758580] 0003 0035 00000350
2022-04-02 13:46:38.841040 True [  144712.758580] 0003 0036 00000457
2022-04-02 13:46:38.848903 True [  144712.767003] 0003 0035 000002c3
2022-04-02 13:46:38.848903 True [  144712.767003] 0003 0036 00000582
2022-04-02 13:46:38.848903 True [  144712.767003] 0003 0036 00000456
2022-04-02 13:46:38.857452 True [  144712.775189] 0003 0035 000002c0
2022-04-02 13:46:38.857452 True [  144712.775189] 0003 0036 00000585
2022-04-02 13:46:38.857452 True [  144712.775189] 0003 0035 00000351
2022-04-02 13:46:38.857452 True [  144712.775189] 0003 0036 00000455
2022-04-02 13:46:38.876852 True [  144712.791928] 0003 0035 000002bd
2022-04-02 13:46:38.876852 True [  144712.791928] 0003 0036 00000586
2022-04-02 13:46:38.876852 True [  144712.791928] 0003 0035 00000352
2022-04-02 13:46:38.876852 True [  144712.791928] 0003 0036 00000454
2022-04-02 13:46:38.881747 True [  144712.800377] 0003 0035 000002bb
2022-04-02 13:46:38.881747 True [  144712.800377] 0003 0036 00000589
2022-04-02 13:46:38.881747 True [  144712.800377] 0003 0036 00000453
2022-04-02 13:46:38.889962 True [  144712.808477] 0003 0035 000002b8
2022-04-02 13:46:38.889962 True [  144712.808477] 0003 0036 0000058a
2022-04-02 13:46:38.889962 True [  144712.808477] 0003 0036 00000452
2022-04-02 13:46:38.897941 True [  144712.816980] 0003 0035 000002b6
2022-04-02 13:46:38.897941 True [  144712.816980] 0003 0036 0000058c
2022-04-02 13:46:38.897941 True [  144712.816980] 0003 0035 00000353
2022-04-02 13:46:38.897941 True [  144712.816980] 0003 0036 00000450
2022-04-02 13:46:38.906986 True [  144712.825153] 0003 0035 000002b4
2022-04-02 13:46:38.906986 True [  144712.825153] 0003 0036 0000058e
2022-04-02 13:46:38.906986 True [  144712.825153] 0003 0035 00000354
2022-04-02 13:46:38.906986 True [  144712.825153] 0003 0036 0000044f
2022-04-02 13:46:38.914962 True [  144712.833581] 0003 0035 000002b2
2022-04-02 13:46:38.914962 True [  144712.833581] 0003 0036 0000058f
2022-04-02 13:46:38.914962 True [  144712.833581] 0003 0036 0000044e
2022-04-02 13:46:38.923438 True [  144712.841801] 0003 0035 000002b1
2022-04-02 13:46:38.923438 True [  144712.841801] 0003 0035 00000355
2022-04-02 13:46:38.923438 True [  144712.841801] 0003 0036 0000044d
2022-04-02 13:46:38.933443 True [  144712.850602] 0003 0035 000002b0
2022-04-02 13:46:38.933443 True [  144712.850602] 0003 0036 00000590
2022-04-02 13:46:38.933443 True [  144712.850602] 0003 0036 0000044b
2022-04-02 13:46:38.940876 True [  144712.858424] 0003 0035 000002af
2022-04-02 13:46:38.940876 True [  144712.858424] 0003 0036 00000591
2022-04-02 13:46:38.940876 True [  144712.858424] 0003 0035 00000356
2022-04-02 13:46:38.940876 True [  144712.858424] 0003 0036 0000044a
2022-04-02 13:46:38.955954 True [  144712.875018] 0003 0035 000002ad
2022-04-02 13:46:38.955954 True [  144712.875018] 0003 0036 00000592
2022-04-02 13:46:38.955954 True [  144712.875018] 0003 0035 00000357
2022-04-02 13:46:38.955954 True [  144712.875018] 0003 0036 00000449
2022-04-02 13:46:38.964106 True [  144712.883818] 0003 0035 000002ac
2022-04-02 13:46:38.964106 True [  144712.883818] 0003 0036 00000593
2022-04-02 13:46:38.964106 True [  144712.883818] 0003 0035 00000358
2022-04-02 13:46:38.964106 True [  144712.883818] 0003 0036 00000447
2022-04-02 13:46:38.973628 True [  144712.891552] 0003 0035 000002ab
2022-04-02 13:46:38.973628 True [  144712.891552] 0003 0036 00000594
2022-04-02 13:46:38.973628 True [  144712.891552] 0003 0035 00000359
2022-04-02 13:46:38.973628 True [  144712.891552] 0003 0036 00000445
2022-04-02 13:46:38.983708 True [  144712.900393] 0003 0035 000002aa
2022-04-02 13:46:38.983708 True [  144712.900393] 0003 0036 00000595
2022-04-02 13:46:38.983708 True [  144712.900393] 0003 0035 0000035a
2022-04-02 13:46:38.983708 True [  144712.900393] 0003 0036 00000444
2022-04-02 13:46:38.990058 True [  144712.908740] 0003 0035 000002a9
2022-04-02 13:46:38.990058 True [  144712.908740] 0003 0035 0000035b
2022-04-02 13:46:38.990058 True [  144712.908740] 0003 0036 00000443
2022-04-02 13:46:38.997905 True [  144712.916853] 0003 0035 000002a7
2022-04-02 13:46:38.997905 True [  144712.916853] 0003 0036 00000596
2022-04-02 13:46:38.997905 True [  144712.916853] 0003 0035 0000035c
2022-04-02 13:46:38.997905 True [  144712.916853] 0003 0036 00000442
2022-04-02 13:46:39.006944 True [  144712.925096] 0003 0035 000002a6
2022-04-02 13:46:39.006944 True [  144712.925096] 0003 0036 00000440
2022-04-02 13:46:39.014573 True [  144712.933474] 0003 0035 000002a5
2022-04-02 13:46:39.014573 True [  144712.933474] 0003 0036 00000598
2022-04-02 13:46:39.014573 True [  144712.933474] 0003 0035 0000035d
2022-04-02 13:46:39.014573 True [  144712.933474] 0003 0036 0000043f
2022-04-02 13:46:39.022581 True [  144712.941492] 0003 0035 000002a3
2022-04-02 13:46:39.022581 True [  144712.941492] 0003 0036 00000599
2022-04-02 13:46:39.022581 True [  144712.941492] 0003 0035 0000035e
2022-04-02 13:46:39.022581 True [  144712.941492] 0003 0036 0000043e
2022-04-02 13:46:39.031752 True [  144712.949878] 0003 0035 000002a2
2022-04-02 13:46:39.031752 True [  144712.949878] 0003 0036 0000059a
2022-04-02 13:46:39.031752 True [  144712.949878] 0003 0035 0000035f
2022-04-02 13:46:39.031752 True [  144712.949878] 0003 0036 0000043d
2022-04-02 13:46:39.041455 True [  144712.958038] 0003 0035 000002a0
2022-04-02 13:46:39.041455 True [  144712.958038] 0003 0035 00000360
2022-04-02 13:46:39.041455 True [  144712.958038] 0003 0036 0000043b
2022-04-02 13:46:39.048883 True [  144712.966717] 0003 0035 0000029f
2022-04-02 13:46:39.048883 True [  144712.966717] 0003 0036 0000059b
2022-04-02 13:46:39.048883 True [  144712.966717] 0003 0035 00000361
2022-04-02 13:46:39.048883 True [  144712.966717] 0003 0036 0000043a
2022-04-02 13:46:39.056772 True [  144712.974992] 0003 0035 0000029e
2022-04-02 13:46:39.056772 True [  144712.974992] 0003 0035 00000362
2022-04-02 13:46:39.056772 True [  144712.974992] 0003 0036 00000439
2022-04-02 13:46:39.066744 True [  144712.983837] 0003 0035 0000029c
2022-04-02 13:46:39.066744 True [  144712.983837] 0003 0036 0000059d
2022-04-02 13:46:39.066744 True [  144712.983837] 0003 0035 00000363
2022-04-02 13:46:39.066744 True [  144712.983837] 0003 0036 00000437
2022-04-02 13:46:39.074668 True [  144712.991290] 0003 0035 0000029b
2022-04-02 13:46:39.074668 True [  144712.991290] 0003 0036 0000059e
2022-04-02 13:46:39.075665 True [  144712.991290] 0003 0036 00000436
2022-04-02 13:46:39.082762 True [  144712.999850] 0003 0035 0000029a
2022-04-02 13:46:39.082762 True [  144712.999850] 0003 0036 0000059f
2022-04-02 13:46:39.082762 True [  144712.999850] 0003 0035 00000364
2022-04-02 13:46:39.082762 True [  144712.999850] 0003 0036 00000434
2022-04-02 13:46:39.090695 True [  144713.007927] 0003 0035 00000298
2022-04-02 13:46:39.090695 True [  144713.007927] 0003 0036 000005a0
2022-04-02 13:46:39.090695 True [  144713.007927] 0003 0035 00000365
2022-04-02 13:46:39.097917 True [  144713.016539] 0003 0035 00000297
2022-04-02 13:46:39.097917 True [  144713.016539] 0003 0035 00000366
2022-04-02 13:46:39.097917 True [  144713.016539] 0003 0036 00000432
2022-04-02 13:46:39.105763 True [  144713.024578] 0003 0035 00000296
2022-04-02 13:46:39.105763 True [  144713.024578] 0003 0036 000005a1
2022-04-02 13:46:39.105763 True [  144713.024578] 0003 0035 00000367
2022-04-02 13:46:39.105763 True [  144713.024578] 0003 0036 00000431
2022-04-02 13:46:39.114556 True [  144713.033141] 0003 0035 00000294
2022-04-02 13:46:39.114556 True [  144713.033141] 0003 0036 000005a3
2022-04-02 13:46:39.114556 True [  144713.033141] 0003 0036 0000042f
2022-04-02 13:46:39.124510 True [  144713.041342] 0003 0036 000005a4
2022-04-02 13:46:39.124510 True [  144713.041342] 0003 0035 00000369
2022-04-02 13:46:39.124510 True [  144713.041342] 0003 0036 0000042e
2022-04-02 13:46:39.132096 True [  144713.049538] 0003 0035 00000292
2022-04-02 13:46:39.132096 True [  144713.049538] 0003 0035 0000036a
