Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.48737622266180847 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:06:02.767328 True [   18139.867398] 0003 0036 000001f4
2022-03-16 15:06:02.783650 True [   18139.883834] 0003 0035 0000039c
2022-03-16 15:06:02.783650 True [   18139.883834] 0003 0036 000001f4
2022-03-16 15:06:02.801349 True [   18139.901466] 0003 0035 000003a5
2022-03-16 15:06:02.801349 True [   18139.901466] 0003 0036 000001f4
2022-03-16 15:06:02.817343 True [   18139.917837] 0003 0035 000003ac
2022-03-16 15:06:02.817343 True [   18139.917837] 0003 0036 000001f4
2022-03-16 15:06:02.834837 True [   18139.934890] 0003 0035 000003b2
2022-03-16 15:06:02.834837 True [   18139.934890] 0003 0036 000001f4
2022-03-16 15:06:02.852083 True [   18139.951927] 0003 0035 000003b6
2022-03-16 15:06:02.852083 True [   18139.951927] 0003 0036 000001f4
2022-03-16 15:06:02.868582 True [   18139.969012] 0003 0035 000003b6
2022-03-16 15:06:02.868582 True [   18139.969012] 0003 0036 000001f4
2022-03-16 15:06:02.886280 True [   18139.986219] 0003 0035 000003ba
2022-03-16 15:06:02.886280 True [   18139.986219] 0003 0036 000001f4
2022-03-16 15:06:02.902563 True [   18140.002742] 0003 0035 000003ba
2022-03-16 15:06:02.902563 True [   18140.002742] 0003 0036 000001f4
2022-03-16 15:06:02.919072 True [   18140.019611] 0003 0035 000003ba
2022-03-16 15:06:02.919072 True [   18140.019611] 0003 0036 000001f4
2022-03-16 15:06:02.937505 True [   18140.037483] 0003 0035 000003ba
2022-03-16 15:06:02.937505 True [   18140.037483] 0003 0036 000001f4
2022-03-16 15:06:02.953527 True [   18140.053972] 0003 0035 000003ba
2022-03-16 15:06:02.953527 True [   18140.053972] 0003 0036 000001f4
2022-03-16 15:06:02.971051 True [   18140.070790] 0003 0035 000003ba
2022-03-16 15:06:02.971051 True [   18140.070790] 0003 0036 000001f4
2022-03-16 15:06:02.986620 True [   18140.087272] 0003 0035 000003be
2022-03-16 15:06:02.986620 True [   18140.087272] 0003 0036 000001f2
2022-03-16 15:06:03.004471 True [   18140.104399] 0003 0035 000003be
2022-03-16 15:06:03.004471 True [   18140.104399] 0003 0036 000001f2
2022-03-16 15:06:03.021225 True [   18140.121486] 0003 0035 000003be
2022-03-16 15:06:03.022236 True [   18140.121486] 0003 0036 000001f2
2022-03-16 15:06:03.038484 True [   18140.138479] 0003 0035 000003be
2022-03-16 15:06:03.038484 True [   18140.138479] 0003 0036 000001f2
2022-03-16 15:06:03.054561 True [   18140.154632] 0003 0035 000003be
2022-03-16 15:06:03.054561 True [   18140.154632] 0003 0036 000001f2
2022-03-16 15:06:03.071841 True [   18140.171939] 0003 0035 000003be
2022-03-16 15:06:03.071841 True [   18140.171939] 0003 0036 000001f2
2022-03-16 15:06:03.088817 True [   18140.189057] 0003 0035 000003be
2022-03-16 15:06:03.088817 True [   18140.189057] 0003 0036 000001f2
2022-03-16 15:06:03.105851 True [   18140.206057] 0003 0035 000003be
2022-03-16 15:06:03.105851 True [   18140.206057] 0003 0036 000001f2
2022-03-16 15:06:03.122385 True [   18140.222740] 0003 0035 000003be
2022-03-16 15:06:03.122385 True [   18140.222740] 0003 0036 000001f2
2022-03-16 15:06:03.141313 True [   18140.239033] 0003 0035 000003be
2022-03-16 15:06:03.141313 True [   18140.239033] 0003 0036 000001f2
2022-03-16 15:06:03.156723 True [   18140.256973] 0003 0035 000003be
2022-03-16 15:06:03.156723 True [   18140.256973] 0003 0036 000001f2
2022-03-16 15:06:03.173122 True [   18140.273010] 0003 0035 000003be
2022-03-16 15:06:03.173122 True [   18140.273010] 0003 0036 000001f2
2022-03-16 15:06:03.190640 True [   18140.290716] 0003 0035 000003be
2022-03-16 15:06:03.190640 True [   18140.290716] 0003 0036 000001f2
2022-03-16 15:06:03.206984 True [   18140.306714] 0003 0035 000003be
2022-03-16 15:06:03.206984 True [   18140.306714] 0003 0036 000001f2
2022-03-16 15:06:03.224910 True [   18140.324666] 0003 0035 000003be
2022-03-16 15:06:03.224910 True [   18140.324666] 0003 0036 000001f2
2022-03-16 15:06:03.241464 True [   18140.341201] 0003 0035 000003be
2022-03-16 15:06:03.241464 True [   18140.341201] 0003 0036 000001f2
2022-03-16 15:06:03.258860 True [   18140.358573] 0003 0035 000003be
2022-03-16 15:06:03.258860 True [   18140.358573] 0003 0036 000001f2
2022-03-16 15:06:03.274052 True [   18140.374775] 0003 0035 000003be
2022-03-16 15:06:03.274052 True [   18140.374775] 0003 0036 000001f2
2022-03-16 15:06:03.309950 True [   18140.410197] 0003 0035 000003be
2022-03-16 15:06:03.309950 True [   18140.410197] 0003 0036 000001f2
2022-03-16 15:06:03.343716 True [   18140.443651] 0003 0035 000003be
2022-03-16 15:06:03.343716 True [   18140.443651] 0003 0036 000001f2
2022-03-16 15:06:03.343716 True [   18140.443651] 0003 0035 000003ca
2022-03-16 15:06:03.343716 True [   18140.443651] 0003 0036 0000012b
2022-03-16 15:06:03.360680 True [   18140.460481] 0003 0035 000003c0
2022-03-16 15:06:03.360680 True [   18140.460481] 0003 0036 000001ee
2022-03-16 15:06:03.360680 True [   18140.460481] 0003 0035 000003ca
2022-03-16 15:06:03.360680 False [   18140.460481] 0003 0036 000000ee
2022-03-16 15:06:03.376927 False [   18140.476693] 0003 0035 000003c0
2022-03-16 15:06:03.376927 True [   18140.476693] 0003 0036 000001ee
2022-03-16 15:06:03.376927 True [   18140.476693] 0003 0035 000003cc
2022-03-16 15:06:03.376927 False [   18140.476693] 0003 0036 0000009c
2022-03-16 15:06:03.393905 False [   18140.494029] 0003 0035 000003c0
2022-03-16 15:06:03.393905 True [   18140.494029] 0003 0036 000001ee
2022-03-16 15:06:03.409472 True [   18140.510340] 0003 0035 000003c0
2022-03-16 15:06:03.410470 True [   18140.510340] 0003 0036 000001ee
2022-03-16 15:06:03.427828 True [   18140.527178] 0003 0035 000003c0
2022-03-16 15:06:03.427828 True [   18140.527178] 0003 0036 000001ee
2022-03-16 15:06:03.446795 True [   18140.544329] 0003 0035 000003c4
2022-03-16 15:06:03.447845 True [   18140.544329] 0003 0036 000001ec
2022-03-16 15:06:03.461792 True [   18140.561655] 0003 0035 000003c4
2022-03-16 15:06:03.461792 True [   18140.561655] 0003 0036 000001ec
2022-03-16 15:06:03.477129 True [   18140.577818] 0003 0035 000003c8
2022-03-16 15:06:03.477129 True [   18140.577818] 0003 0036 000001ec
2022-03-16 15:06:03.494527 True [   18140.594668] 0003 0035 000003c8
2022-03-16 15:06:03.494527 True [   18140.594668] 0003 0036 000001ec
2022-03-16 15:06:03.510558 True [   18140.611427] 0003 0035 000003c8
2022-03-16 15:06:03.510558 True [   18140.611427] 0003 0036 000001ec
2022-03-16 15:06:03.528207 True [   18140.629104] 0003 0035 000003cd
2022-03-16 15:06:03.529207 True [   18140.629104] 0003 0036 000001ea
2022-03-16 15:06:03.546117 True [   18140.645497] 0003 0035 000003cd
2022-03-16 15:06:03.546117 True [   18140.645497] 0003 0036 000001ea
2022-03-16 15:06:03.562239 True [   18140.662550] 0003 0035 000003d2
2022-03-16 15:06:03.562239 True [   18140.662550] 0003 0036 000001ea
2022-03-16 15:06:03.580301 True [   18140.679821] 0003 0035 000003d9
2022-03-16 15:06:03.580301 True [   18140.679821] 0003 0036 000001ea
2022-03-16 15:06:03.595718 True [   18140.696233] 0003 0035 000003e2
2022-03-16 15:06:03.595718 True [   18140.696233] 0003 0036 000001ea
