Data num,Time,coolSlider,electricSlider,flutterSlider,itchSlider,maintactileSlider,motorSlider,naturalSlider,numbSlider,painSlider,phantomSlider,pressureSlider,prickSlider,pulseSlider,sharpSlider,shockSlider,tempSlider,tickleSlider,tingleSlider,touchSlider,urgeSlider,vibrationSlider
0,17:27:59,,,,,5.0,1.9,-2.9,,4.4,0.0,,5.0,,,,0.0,,,,,5.0
1,17:30:20,,,,,0.0,0.0,5.0,,0.0,0.0,,,,,,0.0,,,,,
2,17:31:10,,,,,5.0,5.0,0.0,,0.0,0.0,,,,,,0.0,,,,,
3,17:31:10,,,,,5.0,5.0,0.0,,0.0,0.0,,,,,,0.0,,,,,
4,17:31:26,,,,,5.0,5.0,0.0,,0.0,0.0,,,,,,0.0,,,,,
5,17:31:26,,,,,5.0,5.0,0.0,,0.0,0.0,,,,,,0.0,,,,,
6,17:32:50,,,,,3.2,5.0,1.1,,0.0,0.0,,,,,,0.0,,5.0,,,5.0
7,17:52:41,,,,,2.1,5.0,2.8,,0.0,0.0,,,,,,0.0,,5.0,,,5.0
