Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.550935600110032 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 14:33:17.391761 False [  147520.677296] 0003 0036 00000111
2022-04-02 14:33:17.538101 False [  147520.749015] 0003 0036 00000113
2022-04-02 14:33:17.654170 False [  147520.773146] 0003 0036 00000114
2022-04-02 14:33:17.654170 False [  147520.797186] 0003 0035 000000ea
2022-04-02 14:33:17.654170 False [  147520.797186] 0003 0036 00000121
2022-04-02 14:33:17.654170 False [  147520.811291] 0003 0035 000000ee
2022-04-02 14:33:17.654170 False [  147520.811291] 0003 0036 00000125
2022-04-02 14:33:17.654170 False [  147520.826199] 0003 0035 000000f3
2022-04-02 14:33:17.654170 False [  147520.826199] 0003 0036 0000012b
2022-04-02 14:33:17.654170 False [  147520.841507] 0003 0035 000000f9
2022-04-02 14:33:17.654170 False [  147520.841507] 0003 0036 00000133
2022-04-02 14:33:17.722772 False [  147520.855604] 0003 0035 00000101
2022-04-02 14:33:17.722772 False [  147520.855604] 0003 0036 00000139
2022-04-02 14:33:17.722772 False [  147520.868386] 0003 0035 00000104
2022-04-02 14:33:17.722772 False [  147520.868386] 0003 0036 0000013c
2022-04-02 14:33:17.722772 False [  147520.880942] 0003 0035 0000010b
2022-04-02 14:33:17.722772 False [  147520.880942] 0003 0036 00000144
2022-04-02 14:33:17.722772 False [  147520.897020] 0003 0035 0000010f
2022-04-02 14:33:17.722772 False [  147520.897020] 0003 0036 00000147
2022-04-02 14:33:17.722772 False [  147520.915515] 0003 0035 0000011a
2022-04-02 14:33:17.722772 False [  147520.915515] 0003 0036 00000155
2022-04-02 14:33:17.722772 False [  147520.930982] 0003 0035 0000011e
2022-04-02 14:33:17.722772 False [  147520.930982] 0003 0036 00000159
2022-04-02 14:33:17.722772 False [  147520.945893] 0003 0035 00000121
2022-04-02 14:33:17.722772 False [  147520.945893] 0003 0036 0000015d
2022-04-02 14:33:17.722772 False [  147520.959236] 0003 0035 00000126
2022-04-02 14:33:17.722772 False [  147520.959236] 0003 0036 00000163
2022-04-02 14:33:17.756207 False [  147520.967533] 0003 0035 0000012b
2022-04-02 14:33:17.756207 False [  147520.967533] 0003 0036 0000016b
2022-04-02 14:33:17.756207 False [  147520.980533] 0003 0035 0000012e
2022-04-02 14:33:17.756207 False [  147520.980533] 0003 0036 0000016e
2022-04-02 14:33:17.756207 False [  147520.993149] 0003 0035 00000130
2022-04-02 14:33:17.756207 False [  147520.993149] 0003 0036 00000170
2022-04-02 14:33:17.756207 False [  147521.007301] 0003 0035 00000134
2022-04-02 14:33:17.756207 False [  147521.007301] 0003 0036 00000177
2022-04-02 14:33:17.756207 False [  147521.015673] 0003 0035 00000139
2022-04-02 14:33:17.756207 False [  147521.015673] 0003 0036 0000017e
2022-04-02 14:33:17.756207 False [  147521.024339] 0003 0035 0000013b
2022-04-02 14:33:17.756207 False [  147521.024339] 0003 0036 00000181
2022-04-02 14:33:17.787985 False [  147521.031684] 0003 0035 0000013d
2022-04-02 14:33:17.787985 False [  147521.031684] 0003 0036 00000184
2022-04-02 14:33:17.787985 False [  147521.042329] 0003 0035 0000013f
2022-04-02 14:33:17.787985 False [  147521.042329] 0003 0036 00000187
2022-04-02 14:33:17.787985 False [  147521.050303] 0003 0035 00000141
2022-04-02 14:33:17.787985 False [  147521.050303] 0003 0036 00000189
2022-04-02 14:33:17.787985 False [  147521.060728] 0003 0035 00000143
2022-04-02 14:33:17.787985 False [  147521.060728] 0003 0036 0000018d
2022-04-02 14:33:17.849327 False [  147521.065134] 0003 0035 00000145
2022-04-02 14:33:17.849327 False [  147521.065134] 0003 0036 00000190
2022-04-02 14:33:17.849327 False [  147521.076192] 0003 0035 00000147
2022-04-02 14:33:17.849327 False [  147521.076192] 0003 0036 00000194
2022-04-02 14:33:17.849327 False [  147521.081718] 0003 0035 0000014a
2022-04-02 14:33:17.849327 False [  147521.081718] 0003 0036 00000197
2022-04-02 14:33:17.849327 False [  147521.092703] 0003 0035 0000014c
2022-04-02 14:33:17.849327 False [  147521.092703] 0003 0036 00000199
2022-04-02 14:33:17.937078 False [  147521.107268] 0003 0035 0000014d
2022-04-02 14:33:17.937078 False [  147521.107268] 0003 0036 0000019b
2022-04-02 14:33:17.938091 False [  147521.117480] 0003 0035 00000151
2022-04-02 14:33:17.938091 False [  147521.117480] 0003 0036 000001a4
2022-04-02 14:33:17.938091 False [  147521.123635] 0003 0035 00000153
2022-04-02 14:33:17.938091 False [  147521.123635] 0003 0036 000001a9
2022-04-02 14:33:17.938091 False [  147521.131475] 0003 0035 00000156
2022-04-02 14:33:17.938091 False [  147521.131475] 0003 0036 000001ad
2022-04-02 14:33:17.938091 False [  147521.142925] 0003 0035 00000158
2022-04-02 14:33:17.938091 False [  147521.142925] 0003 0036 000001b1
2022-04-02 14:33:17.938091 False [  147521.151125] 0003 0035 0000015a
2022-04-02 14:33:17.938091 False [  147521.151125] 0003 0036 000001b5
2022-04-02 14:33:18.044003 False [  147521.162822] 0003 0035 0000015c
2022-04-02 14:33:18.044003 False [  147521.162822] 0003 0036 000001b9
2022-04-02 14:33:18.044003 False [  147521.176794] 0003 0035 0000015e
2022-04-02 14:33:18.044003 False [  147521.176794] 0003 0036 000001be
2022-04-02 14:33:18.044003 False [  147521.188627] 0003 0035 00000163
2022-04-02 14:33:18.044003 False [  147521.188627] 0003 0036 000001c6
2022-04-02 14:33:18.044003 False [  147521.201607] 0003 0035 00000165
2022-04-02 14:33:18.044003 False [  147521.201607] 0003 0036 000001ca
2022-04-02 14:33:18.044003 False [  147521.214363] 0003 0035 00000168
2022-04-02 14:33:18.044003 False [  147521.214363] 0003 0036 000001d2
2022-04-02 14:33:18.044003 False [  147521.228190] 0003 0035 00000169
2022-04-02 14:33:18.044003 False [  147521.228190] 0003 0036 000001d5
2022-04-02 14:33:18.044003 False [  147521.242417] 0003 0035 0000016d
2022-04-02 14:33:18.044003 False [  147521.242417] 0003 0036 000001dc
2022-04-02 14:33:18.139386 False [  147521.254147] 0003 0035 00000171
2022-04-02 14:33:18.139386 False [  147521.254147] 0003 0036 000001e5
2022-04-02 14:33:18.139386 False [  147521.266878] 0003 0035 00000173
2022-04-02 14:33:18.139386 False [  147521.266878] 0003 0036 000001e8
2022-04-02 14:33:18.139386 False [  147521.281514] 0003 0035 00000176
2022-04-02 14:33:18.139386 False [  147521.281514] 0003 0036 000001ef
2022-04-02 14:33:18.139386 False [  147521.293213] 0003 0035 0000017a
2022-04-02 14:33:18.139386 False [  147521.293213] 0003 0036 000001f5
2022-04-02 14:33:18.139386 False [  147521.306309] 0003 0035 0000017b
