Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.151432695729367 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:13:55.282969 False [   18612.372335] 0003 0036 00000259
2022-03-16 15:13:55.297307 False [   18612.388519] 0003 0035 0000045f
2022-03-16 15:13:55.297307 False [   18612.388519] 0003 0036 00000259
2022-03-16 15:13:55.314276 False [   18612.406057] 0003 0035 0000045f
2022-03-16 15:13:55.314276 False [   18612.406057] 0003 0036 00000259
2022-03-16 15:13:55.330921 False [   18612.422119] 0003 0035 0000045f
2022-03-16 15:13:55.330921 False [   18612.422119] 0003 0036 00000259
2022-03-16 15:13:55.348532 False [   18612.438885] 0003 0035 0000045f
2022-03-16 15:13:55.348532 False [   18612.438885] 0003 0036 00000259
2022-03-16 15:13:55.364467 False [   18612.455063] 0003 0035 0000045f
2022-03-16 15:13:55.364467 False [   18612.455063] 0003 0036 00000259
2022-03-16 15:13:55.381962 False [   18612.471870] 0003 0035 0000045f
2022-03-16 15:13:55.381962 False [   18612.471870] 0003 0036 00000259
2022-03-16 15:13:55.789637 False [   18612.880095] 0003 0035 00000423
2022-03-16 15:13:55.789637 False [   18612.880095] 0003 0036 00000245
2022-03-16 15:13:55.805034 False [   18612.896193] 0003 0035 00000423
2022-03-16 15:13:55.805034 False [   18612.896193] 0003 0036 00000245
2022-03-16 15:13:55.822508 False [   18612.913495] 0003 0035 00000423
2022-03-16 15:13:55.822508 False [   18612.913495] 0003 0036 00000245
2022-03-16 15:13:55.839597 False [   18612.930903] 0003 0035 00000423
2022-03-16 15:13:55.839597 False [   18612.930903] 0003 0036 00000245
2022-03-16 15:13:55.856390 False [   18612.947160] 0003 0035 00000423
2022-03-16 15:13:55.856390 False [   18612.947160] 0003 0036 00000245
2022-03-16 15:13:55.856390 False [   18612.947160] 0003 0035 00000423
2022-03-16 15:13:55.856390 False [   18612.947160] 0003 0036 000000f2
2022-03-16 15:13:55.873348 False [   18612.963909] 0003 0035 00000423
2022-03-16 15:13:55.873348 False [   18612.963909] 0003 0036 00000245
2022-03-16 15:13:55.873348 False [   18612.963909] 0003 0035 00000423
