Mode = area stim
    verts = 22 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.5177620144684285 
    wm_size = [1200 1920] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 17:43:37.211968 False [   27594.610800] 0003 0036 0000028c
2022-03-16 17:43:37.228112 False [   27594.626906] 0003 0035 00000383
2022-03-16 17:43:37.228112 False [   27594.626906] 0003 0036 0000028c
2022-03-16 17:43:37.244525 False [   27594.643884] 0003 0035 00000383
2022-03-16 17:43:37.244525 False [   27594.643884] 0003 0036 0000028c
2022-03-16 17:43:37.261459 False [   27594.660930] 0003 0035 00000383
2022-03-16 17:43:37.261459 False [   27594.660930] 0003 0036 0000028c
2022-03-16 17:43:37.279335 False [   27594.677464] 0003 0035 00000383
2022-03-16 17:43:37.279335 False [   27594.677464] 0003 0036 0000028c
2022-03-16 17:43:37.837933 False [   27595.236822] 0003 0035 000003b5
2022-03-16 17:43:37.837933 False [   27595.236822] 0003 0036 00000276
2022-03-16 17:43:37.854869 False [   27595.253900] 0003 0035 000003b5
2022-03-16 17:43:37.854869 False [   27595.253900] 0003 0036 00000276
2022-03-16 17:43:37.871512 False [   27595.270901] 0003 0035 000003b5
2022-03-16 17:43:37.871512 False [   27595.270901] 0003 0036 00000276
2022-03-16 17:43:37.889382 False [   27595.287833] 0003 0035 000003b5
2022-03-16 17:43:37.889382 False [   27595.287833] 0003 0036 00000276
2022-03-16 17:43:37.906167 False [   27595.304910] 0003 0035 000003b5
2022-03-16 17:43:37.906167 False [   27595.304910] 0003 0036 00000276
2022-03-16 17:43:37.923424 False [   27595.321792] 0003 0035 000003b5
2022-03-16 17:43:37.923424 False [   27595.321792] 0003 0036 00000276
2022-03-16 17:43:37.940992 False [   27595.338832] 0003 0035 000003b5
2022-03-16 17:43:37.940992 False [   27595.338832] 0003 0036 00000276
2022-03-16 17:43:37.956295 False [   27595.355409] 0003 0035 000003b5
2022-03-16 17:43:37.956295 False [   27595.355409] 0003 0036 00000276
2022-03-16 17:43:37.973619 False [   27595.372587] 0003 0035 000003b5
2022-03-16 17:43:37.973619 False [   27595.372587] 0003 0036 00000276
2022-03-16 17:43:37.990790 False [   27595.389277] 0003 0035 000003b5
2022-03-16 17:43:37.990790 False [   27595.389277] 0003 0036 00000276
2022-03-16 17:43:38.007388 False [   27595.406546] 0003 0035 000003b5
2022-03-16 17:43:38.007388 False [   27595.406546] 0003 0036 00000276
2022-03-16 17:43:38.024550 False [   27595.423148] 0003 0035 000003b5
2022-03-16 17:43:38.024550 False [   27595.423148] 0003 0036 00000276
2022-03-16 17:43:38.041449 False [   27595.440904] 0003 0035 000003ae
2022-03-16 17:43:38.041449 False [   27595.440904] 0003 0036 00000272
2022-03-16 17:43:38.057288 False [   27595.457013] 0003 0035 000003a9
2022-03-16 17:43:38.058292 False [   27595.457013] 0003 0036 0000026e
2022-03-16 17:43:38.074761 False [   27595.474007] 0003 0035 000003a3
2022-03-16 17:43:38.074761 False [   27595.474007] 0003 0036 0000026a
2022-03-16 17:43:38.091542 False [   27595.490900] 0003 0035 0000039d
2022-03-16 17:43:38.091542 False [   27595.490900] 0003 0036 00000267
2022-03-16 17:43:38.109352 False [   27595.508366] 0003 0035 00000397
2022-03-16 17:43:38.109352 False [   27595.508366] 0003 0036 00000265
2022-03-16 17:43:38.126004 False [   27595.525221] 0003 0035 00000392
2022-03-16 17:43:38.126004 False [   27595.525221] 0003 0036 00000263
2022-03-16 17:43:38.142827 False [   27595.542401] 0003 0035 0000038e
2022-03-16 17:43:38.142827 False [   27595.542401] 0003 0036 00000261
2022-03-16 17:43:38.160599 False [   27595.558696] 0003 0035 0000038a
2022-03-16 17:43:38.160599 False [   27595.558696] 0003 0036 0000025f
2022-03-16 17:43:38.177447 False [   27595.576097] 0003 0035 00000386
2022-03-16 17:43:38.177447 False [   27595.576097] 0003 0036 0000025d
2022-03-16 17:43:38.193801 False [   27595.592888] 0003 0035 00000386
2022-03-16 17:43:38.193801 False [   27595.592888] 0003 0036 0000025d
2022-03-16 17:43:38.210848 False [   27595.609854] 0003 0035 00000382
2022-03-16 17:43:38.210848 True [   27595.609854] 0003 0036 0000025b
2022-03-16 17:43:38.227543 True [   27595.626511] 0003 0035 00000382
2022-03-16 17:43:38.227777 True [   27595.626511] 0003 0036 0000025b
2022-03-16 17:43:38.244742 True [   27595.643504] 0003 0035 0000037e
2022-03-16 17:43:38.244742 True [   27595.643504] 0003 0036 00000258
2022-03-16 17:43:38.261379 True [   27595.660822] 0003 0035 0000037e
2022-03-16 17:43:38.261379 True [   27595.660822] 0003 0036 00000258
2022-03-16 17:43:38.278475 True [   27595.677744] 0003 0035 0000037e
2022-03-16 17:43:38.278475 True [   27595.677744] 0003 0036 00000258
2022-03-16 17:43:38.296745 True [   27595.694362] 0003 0035 00000379
2022-03-16 17:43:38.296745 True [   27595.694362] 0003 0036 00000254
2022-03-16 17:43:38.312400 True [   27595.711523] 0003 0035 00000376
2022-03-16 17:43:38.312400 True [   27595.711523] 0003 0036 00000250
2022-03-16 17:43:38.330706 True [   27595.728593] 0003 0035 00000376
2022-03-16 17:43:38.330706 True [   27595.728593] 0003 0036 00000250
2022-03-16 17:43:38.346432 True [   27595.745533] 0003 0035 00000373
2022-03-16 17:43:38.346432 True [   27595.745533] 0003 0036 0000024c
2022-03-16 17:43:38.362417 True [   27595.762636] 0003 0035 00000373
2022-03-16 17:43:38.362417 True [   27595.762636] 0003 0036 0000024c
2022-03-16 17:43:38.380020 True [   27595.779153] 0003 0035 00000373
2022-03-16 17:43:38.380020 True [   27595.779153] 0003 0036 0000024c
2022-03-16 17:43:38.396779 True [   27595.796202] 0003 0035 00000373
2022-03-16 17:43:38.396779 True [   27595.796202] 0003 0036 0000024c
2022-03-16 17:43:38.413588 True [   27595.813034] 0003 0035 00000373
2022-03-16 17:43:38.415076 True [   27595.813034] 0003 0036 0000024c
2022-03-16 17:43:38.433190 True [   27595.829956] 0003 0035 00000373
2022-03-16 17:43:38.433190 True [   27595.829956] 0003 0036 0000024c
2022-03-16 17:43:38.449922 True [   27595.847622] 0003 0035 00000373
2022-03-16 17:43:38.449922 True [   27595.847622] 0003 0036 0000024c
2022-03-16 17:43:38.465061 True [   27595.864390] 0003 0035 00000371
2022-03-16 17:43:38.465061 True [   27595.864390] 0003 0036 00000248
2022-03-16 17:43:38.481676 True [   27595.881012] 0003 0035 00000371
2022-03-16 17:43:38.481676 True [   27595.881012] 0003 0036 00000248
2022-03-16 17:43:38.498273 True [   27595.897643] 0003 0035 00000371
2022-03-16 17:43:38.498273 True [   27595.897643] 0003 0036 00000248
2022-03-16 17:43:38.515580 True [   27595.914704] 0003 0035 00000371
2022-03-16 17:43:38.515580 True [   27595.914704] 0003 0036 00000248
2022-03-16 17:43:38.532744 True [   27595.931644] 0003 0035 00000371
2022-03-16 17:43:38.532744 True [   27595.931644] 0003 0036 00000248
2022-03-16 17:43:38.552341 True [   27595.948934] 0003 0035 00000371
2022-03-16 17:43:38.552341 True [   27595.948934] 0003 0036 00000248
2022-03-16 17:43:38.567406 True [   27595.965706] 0003 0035 00000371
2022-03-16 17:43:38.567835 True [   27595.965706] 0003 0036 00000248
2022-03-16 17:43:38.583956 True [   27595.982740] 0003 0035 00000371
2022-03-16 17:43:38.584714 True [   27595.982740] 0003 0036 00000248
2022-03-16 17:43:38.600915 True [   27595.999572] 0003 0035 00000371
2022-03-16 17:43:38.601925 True [   27595.999572] 0003 0036 00000248
2022-03-16 17:43:38.617730 True [   27596.016564] 0003 0035 00000371
2022-03-16 17:43:38.617730 True [   27596.016564] 0003 0036 00000248
2022-03-16 17:43:38.636347 True [   27596.033983] 0003 0035 00000371
2022-03-16 17:43:38.638075 True [   27596.033983] 0003 0036 00000248
2022-03-16 17:43:38.638075 True [   27596.033983] 0003 0035 0000036b
2022-03-16 17:43:38.638075 True [   27596.033983] 0003 0036 00000135
2022-03-16 17:43:38.651987 True [   27596.051313] 0003 0035 00000371
2022-03-16 17:43:38.651987 True [   27596.051313] 0003 0036 00000248
2022-03-16 17:43:38.652981 True [   27596.051313] 0003 0035 0000036b
2022-03-16 17:43:38.652981 True [   27596.051313] 0003 0036 000000e7
2022-03-16 17:43:38.684432 True [   27596.084182] 0003 0035 00000371
2022-03-16 17:43:38.684432 True [   27596.084182] 0003 0036 00000248
2022-03-16 17:43:38.701124 True [   27596.100965] 0003 0035 0000036f
2022-03-16 17:43:38.701124 True [   27596.100965] 0003 0036 00000244
2022-03-16 17:43:38.720701 True [   27596.118249] 0003 0035 0000036f
2022-03-16 17:43:38.720701 True [   27596.118249] 0003 0036 00000244
2022-03-16 17:43:38.735470 True [   27596.134916] 0003 0035 0000036f
2022-03-16 17:43:38.735470 True [   27596.134916] 0003 0036 00000244
2022-03-16 17:43:38.752284 True [   27596.151892] 0003 0035 0000036f
2022-03-16 17:43:38.752284 True [   27596.151892] 0003 0036 00000240
2022-03-16 17:43:38.769867 True [   27596.168741] 0003 0035 0000036f
2022-03-16 17:43:38.769867 True [   27596.168741] 0003 0036 00000240
2022-03-16 17:43:38.786972 True [   27596.185990] 0003 0035 0000036f
2022-03-16 17:43:38.786972 True [   27596.185990] 0003 0036 00000240
2022-03-16 17:43:38.804527 True [   27596.203030] 0003 0035 0000036f
2022-03-16 17:43:38.804527 True [   27596.203030] 0003 0036 00000240
2022-03-16 17:43:38.804527 True [   27596.203030] 0003 0035 0000036c
2022-03-16 17:43:38.804527 False [   27596.203030] 0003 0036 000000b2
2022-03-16 17:43:38.820672 False [   27596.219951] 0003 0035 0000036f
2022-03-16 17:43:38.821677 True [   27596.219951] 0003 0036 00000240
2022-03-16 17:43:38.821677 True [   27596.219951] 0003 0035 0000036c
2022-03-16 17:43:38.822683 False [   27596.219951] 0003 0036 0000007e
2022-03-16 17:43:38.837512 False [   27596.236891] 0003 0035 0000036f
2022-03-16 17:43:38.837512 True [   27596.236891] 0003 0036 00000240
2022-03-16 17:43:38.854727 True [   27596.253805] 0003 0035 0000036f
2022-03-16 17:43:38.854971 True [   27596.253805] 0003 0036 00000240
2022-03-16 17:43:38.871892 True [   27596.270461] 0003 0035 0000036f
2022-03-16 17:43:38.871892 True [   27596.270461] 0003 0036 00000240
2022-03-16 17:43:38.889360 True [   27596.287454] 0003 0035 0000036d
2022-03-16 17:43:38.889360 True [   27596.287454] 0003 0036 0000023c
2022-03-16 17:43:38.906150 True [   27596.304552] 0003 0035 0000036d
2022-03-16 17:43:38.906150 True [   27596.304552] 0003 0036 0000023c
2022-03-16 17:43:38.921920 True [   27596.321367] 0003 0035 0000036d
2022-03-16 17:43:38.921920 True [   27596.321367] 0003 0036 0000023c
2022-03-16 17:43:38.939456 True [   27596.338520] 0003 0035 0000036d
2022-03-16 17:43:38.939456 True [   27596.338520] 0003 0036 0000023c
2022-03-16 17:43:38.956853 True [   27596.355087] 0003 0035 0000036d
2022-03-16 17:43:38.956853 True [   27596.355087] 0003 0036 00000238
2022-03-16 17:43:38.973903 True [   27596.372132] 0003 0035 0000036d
2022-03-16 17:43:38.973903 True [   27596.372132] 0003 0036 00000238
2022-03-16 17:43:38.991103 True [   27596.389822] 0003 0035 0000036d
2022-03-16 17:43:38.991103 True [   27596.389822] 0003 0036 00000238
2022-03-16 17:43:39.009352 True [   27596.406704] 0003 0035 0000036d
2022-03-16 17:43:39.009352 True [   27596.406704] 0003 0036 00000238
2022-03-16 17:43:39.023341 True [   27596.422883] 0003 0035 0000036d
2022-03-16 17:43:39.024310 True [   27596.422883] 0003 0036 00000238
2022-03-16 17:43:39.040965 True [   27596.440149] 0003 0035 0000036d
2022-03-16 17:43:39.040965 True [   27596.440149] 0003 0036 00000238
2022-03-16 17:43:39.060026 True [   27596.457505] 0003 0035 0000036a
2022-03-16 17:43:39.060026 True [   27596.457505] 0003 0036 00000234
2022-03-16 17:43:39.074511 True [   27596.473772] 0003 0035 0000036a
2022-03-16 17:43:39.074511 True [   27596.473772] 0003 0036 00000234
2022-03-16 17:43:39.092814 True [   27596.491348] 0003 0035 0000036a
2022-03-16 17:43:39.092814 True [   27596.491348] 0003 0036 00000230
2022-03-16 17:43:39.108368 True [   27596.507843] 0003 0035 0000036a
2022-03-16 17:43:39.108368 True [   27596.507843] 0003 0036 00000230
2022-03-16 17:43:39.126261 True [   27596.525417] 0003 0035 0000036a
2022-03-16 17:43:39.126261 True [   27596.525417] 0003 0036 00000230
2022-03-16 17:43:39.142622 True [   27596.541741] 0003 0035 0000036a
2022-03-16 17:43:39.142622 True [   27596.541741] 0003 0036 00000230
2022-03-16 17:43:39.159277 True [   27596.558483] 0003 0035 0000036a
2022-03-16 17:43:39.159277 True [   27596.558483] 0003 0036 00000230
2022-03-16 17:43:39.177006 True [   27596.575417] 0003 0035 0000036a
2022-03-16 17:43:39.177006 True [   27596.575417] 0003 0036 00000230
2022-03-16 17:43:39.193542 True [   27596.592540] 0003 0035 0000036a
2022-03-16 17:43:39.193542 True [   27596.592540] 0003 0036 00000230
2022-03-16 17:43:39.210798 True [   27596.609862] 0003 0035 0000036a
2022-03-16 17:43:39.210798 True [   27596.609862] 0003 0036 00000230
2022-03-16 17:43:39.227102 True [   27596.626383] 0003 0035 0000036a
2022-03-16 17:43:39.227102 True [   27596.626383] 0003 0036 00000230
2022-03-16 17:43:39.244640 True [   27596.643565] 0003 0035 0000036a
2022-03-16 17:43:39.244640 True [   27596.643565] 0003 0036 00000230
2022-03-16 17:43:39.260750 True [   27596.659902] 0003 0035 0000036a
2022-03-16 17:43:39.260750 True [   27596.659902] 0003 0036 00000230
2022-03-16 17:43:43.347903 True [   27600.746144] 0003 0035 0000041f
2022-03-16 17:43:43.347903 False [   27600.746144] 0003 0036 0000023d
2022-03-16 17:43:43.363234 False [   27600.762165] 0003 0035 0000041f
2022-03-16 17:43:43.363234 False [   27600.762165] 0003 0036 0000023d
2022-03-16 17:43:43.380668 False [   27600.778622] 0003 0035 0000041f
2022-03-16 17:43:43.380668 False [   27600.778622] 0003 0036 0000023d
2022-03-16 17:43:43.396483 False [   27600.795068] 0003 0035 0000041f
2022-03-16 17:43:43.396483 False [   27600.795068] 0003 0036 0000023d
2022-03-16 17:43:43.413433 False [   27600.811890] 0003 0035 0000041f
2022-03-16 17:43:43.414538 False [   27600.811890] 0003 0036 0000023d
2022-03-16 17:43:43.432047 False [   27600.829391] 0003 0035 0000041f
2022-03-16 17:43:43.432047 False [   27600.829391] 0003 0036 0000023d
2022-03-16 17:43:43.448161 False [   27600.845634] 0003 0035 0000041f
