Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.1358826546336123 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 14:21:57.899335 False [  146841.197737] 0003 0036 00000144
2022-04-02 14:21:58.038578 False [  146841.329428] 0003 0035 000000fb
2022-04-02 14:21:58.038578 False [  146841.329428] 0003 0036 00000146
2022-04-02 14:21:58.063687 False [  146841.337098] 0003 0035 000000fc
2022-04-02 14:21:58.063687 False [  146841.337098] 0003 0036 00000147
2022-04-02 14:21:58.063687 False [  146841.345551] 0003 0035 000000fd
2022-04-02 14:21:58.063687 False [  146841.345551] 0003 0036 00000148
2022-04-02 14:21:58.129561 False [  146841.353953] 0003 0035 000000fe
2022-04-02 14:21:58.129561 False [  146841.353953] 0003 0036 0000014a
2022-04-02 14:21:58.129561 False [  146841.362201] 0003 0035 000000ff
2022-04-02 14:21:58.129561 False [  146841.362201] 0003 0036 0000014c
2022-04-02 14:21:58.129561 False [  146841.372393] 0003 0035 00000101
2022-04-02 14:21:58.129561 False [  146841.372393] 0003 0036 0000014d
2022-04-02 14:21:58.129561 False [  146841.378677] 0003 0036 0000014e
2022-04-02 14:21:58.129561 False [  146841.391141] 0003 0035 00000102
2022-04-02 14:21:58.129561 False [  146841.391141] 0003 0036 00000150
2022-04-02 14:21:58.193081 False [  146841.400495] 0003 0035 00000104
2022-04-02 14:21:58.193081 False [  146841.400495] 0003 0036 00000151
2022-04-02 14:21:58.193081 False [  146841.411413] 0003 0036 00000152
2022-04-02 14:21:58.193081 False [  146841.422231] 0003 0035 00000105
2022-04-02 14:21:58.193081 False [  146841.422231] 0003 0036 00000154
2022-04-02 14:21:58.193081 False [  146841.433468] 0003 0035 00000108
2022-04-02 14:21:58.193081 False [  146841.433468] 0003 0036 00000155
2022-04-02 14:21:58.193081 False [  146841.443564] 0003 0036 00000157
2022-04-02 14:21:58.217622 False [  146841.455511] 0003 0035 00000109
2022-04-02 14:21:58.217622 False [  146841.455511] 0003 0036 00000158
2022-04-02 14:21:58.217622 False [  146841.466890] 0003 0035 0000010b
2022-04-02 14:21:58.217622 False [  146841.466890] 0003 0036 00000159
2022-04-02 14:21:58.217622 False [  146841.478229] 0003 0036 0000015a
2022-04-02 14:21:58.217622 False [  146841.491421] 0003 0035 0000010c
2022-04-02 14:21:58.217622 False [  146841.491421] 0003 0036 0000015c
2022-04-02 14:21:58.217622 False [  146841.497003] 0003 0035 0000010f
2022-04-02 14:21:58.217622 False [  146841.497003] 0003 0036 0000015e
2022-04-02 14:21:58.229442 False [  146841.511791] 0003 0035 00000110
2022-04-02 14:21:58.229442 False [  146841.511791] 0003 0036 0000015f
2022-04-02 14:21:58.229442 False [  146841.522321] 0003 0035 00000111
2022-04-02 14:21:58.229442 False [  146841.522321] 0003 0036 00000160
2022-04-02 14:21:58.229442 False [  146841.532365] 0003 0035 00000112
2022-04-02 14:21:58.229442 False [  146841.532365] 0003 0036 00000162
2022-04-02 14:21:58.291629 False [  146841.545054] 0003 0035 00000113
2022-04-02 14:21:58.291629 False [  146841.545054] 0003 0036 00000163
2022-04-02 14:21:58.310210 False [  146841.553308] 0003 0035 00000114
2022-04-02 14:21:58.310210 False [  146841.553308] 0003 0036 00000164
2022-04-02 14:21:58.310210 False [  146841.563826] 0003 0035 00000115
2022-04-02 14:21:58.310210 False [  146841.563826] 0003 0036 00000166
2022-04-02 14:21:58.310210 False [  146841.575284] 0003 0035 00000116
2022-04-02 14:21:58.310210 False [  146841.575284] 0003 0036 00000167
2022-04-02 14:21:58.310210 False [  146841.587792] 0003 0035 00000117
2022-04-02 14:21:58.310210 False [  146841.587792] 0003 0036 00000169
2022-04-02 14:21:58.310210 False [  146841.596400] 0003 0035 00000119
2022-04-02 14:21:58.310210 False [  146841.596400] 0003 0036 0000016b
2022-04-02 14:21:58.310210 False [  146841.603814] 0003 0035 0000011a
2022-04-02 14:21:58.310210 False [  146841.603814] 0003 0036 0000016c
2022-04-02 14:21:58.368490 False [  146841.611588] 0003 0036 0000016e
2022-04-02 14:21:58.368490 False [  146841.624178] 0003 0035 0000011b
2022-04-02 14:21:58.368490 False [  146841.624178] 0003 0036 0000016f
2022-04-02 14:21:58.444255 False [  146841.633133] 0003 0035 0000011c
2022-04-02 14:21:58.444255 False [  146841.633133] 0003 0036 00000170
2022-04-02 14:21:58.444255 False [  146841.641265] 0003 0035 0000011d
2022-04-02 14:21:58.444255 False [  146841.641265] 0003 0036 00000172
2022-04-02 14:21:58.444255 False [  146841.651138] 0003 0036 00000173
2022-04-02 14:21:58.444255 False [  146841.661221] 0003 0035 0000011e
2022-04-02 14:21:58.444255 False [  146841.661221] 0003 0036 00000175
2022-04-02 14:21:58.444255 False [  146841.671689] 0003 0035 00000121
2022-04-02 14:21:58.444255 False [  146841.671689] 0003 0036 00000179
2022-04-02 14:21:58.444255 False [  146841.681103] 0003 0036 0000017a
2022-04-02 14:21:58.514456 False [  146841.691623] 0003 0035 00000122
2022-04-02 14:21:58.514456 False [  146841.691623] 0003 0036 0000017d
2022-04-02 14:21:58.514456 False [  146841.703269] 0003 0035 00000123
2022-04-02 14:21:58.514456 False [  146841.703269] 0003 0036 0000017e
2022-04-02 14:21:58.514456 False [  146841.715253] 0003 0035 00000126
2022-04-02 14:21:58.515443 False [  146841.715253] 0003 0036 00000184
