Mode = area stim
    verts = 4 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.6510293235592144 
    wm_size = [1200 1920] 
    stim_amp = 4 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 15:34:47.556524 True [   87610.438307] 0003 0035 00000348
2022-03-10 15:34:47.572670 True [   87610.455040] 0003 0035 00000348
2022-03-10 15:34:47.589527 True [   87610.471894] 0003 0035 00000348
2022-03-10 15:34:47.607096 True [   87610.488749] 0003 0035 00000348
2022-03-10 15:35:04.462441 True [   87627.343418] 0003 0035 000002d0
2022-03-10 15:35:04.479264 False [   87627.361051] 0003 0035 000002d0
2022-03-10 15:35:04.496483 False [   87627.377154] 0003 0035 000002d0
2022-03-10 15:35:04.512314 False [   87627.393993] 0003 0035 000002d0
2022-03-10 15:35:04.531992 False [   87627.410898] 0003 0035 000002d0
2022-03-10 15:35:04.546360 False [   87627.427754] 0003 0035 000002d0
2022-03-10 15:35:04.563200 False [   87627.444684] 0003 0035 000002d0
2022-03-10 15:35:04.579676 False [   87627.461427] 0003 0035 000002d0
2022-03-10 15:36:30.926121 False [   87713.805309] 0003 0035 000001fa
2022-03-10 15:36:30.942612 True [   87713.822020] 0003 0035 000001fa
2022-03-10 15:36:30.959325 True [   87713.838698] 0003 0035 000001fa
2022-03-10 15:36:30.974987 True [   87713.855594] 0003 0035 000001fa
2022-03-10 15:36:30.993306 True [   87713.872210] 0003 0035 000001fa
2022-03-10 15:36:31.009331 True [   87713.889073] 0003 0035 000001fa
2022-03-10 15:36:31.026824 True [   87713.905738] 0003 0035 000001fa
2022-03-10 15:36:32.533336 True [   87715.413430] 0003 0035 0000023c
2022-03-10 15:36:32.550263 False [   87715.430110] 0003 0035 0000023c
2022-03-10 15:36:32.566599 False [   87715.446153] 0003 0035 0000023c
2022-03-10 15:36:32.583874 False [   87715.463857] 0003 0035 0000023c
2022-03-10 15:36:32.600371 False [   87715.480166] 0003 0035 0000023c
2022-03-10 15:36:32.617806 False [   87715.496936] 0003 0035 0000023c
2022-03-10 15:36:32.634267 False [   87715.513869] 0003 0035 0000023c
2022-03-10 15:36:32.653129 False [   87715.531580] 0003 0035 0000023c
2022-03-10 15:36:32.668325 False [   87715.548099] 0003 0035 0000023c
2022-03-10 15:36:32.684487 False [   87715.564623] 0003 0035 0000023c
2022-03-10 15:36:32.702238 False [   87715.581666] 0003 0035 0000023c
2022-03-10 15:36:32.719223 False [   87715.598480] 0003 0035 0000023c
2022-03-10 15:36:32.736386 False [   87715.615642] 0003 0035 0000023c
2022-03-10 15:36:32.752528 False [   87715.632413] 0003 0035 0000023c
2022-03-10 15:36:32.768928 False [   87715.649264] 0003 0035 0000023c
2022-03-10 15:36:32.786072 False [   87715.666193] 0003 0035 0000023c
2022-03-10 15:36:32.804058 False [   87715.683169] 0003 0035 0000023c
2022-03-10 15:36:32.819794 False [   87715.700120] 0003 0035 0000023c
2022-03-10 15:36:32.837470 False [   87715.717195] 0003 0035 0000023c
2022-03-10 15:36:32.854161 False [   87715.733898] 0003 0035 0000023c
2022-03-10 15:36:32.870793 False [   87715.750791] 0003 0035 0000023c
2022-03-10 15:36:32.888523 False [   87715.767757] 0003 0035 0000023c
2022-03-10 15:36:32.905160 False [   87715.784765] 0003 0035 0000023c
2022-03-10 15:36:32.921792 False [   87715.801645] 0003 0035 0000023c
2022-03-10 15:36:32.941738 False [   87715.819740] 0003 0035 0000023c
2022-03-10 15:36:32.955086 False [   87715.835419] 0003 0035 0000023c
2022-03-10 15:36:32.972470 False [   87715.852356] 0003 0035 0000023c
2022-03-10 15:36:32.989744 False [   87715.869358] 0003 0035 0000023c
2022-03-10 15:36:33.006255 False [   87715.886248] 0003 0035 0000023c
2022-03-10 15:36:33.023268 False [   87715.903139] 0003 0035 0000023c
2022-03-10 15:36:33.040084 False [   87715.920237] 0003 0035 0000023c
2022-03-10 15:36:33.056981 False [   87715.936947] 0003 0035 0000023c
2022-03-10 15:36:33.074038 False [   87715.953892] 0003 0035 0000023c
2022-03-10 15:36:33.090624 False [   87715.970815] 0003 0035 0000023c
2022-03-10 15:36:33.109353 False [   87715.987956] 0003 0035 0000023c
2022-03-10 15:36:33.125929 False [   87716.004747] 0003 0035 0000023c
2022-03-10 15:36:33.142878 False [   87716.021655] 0003 0035 0000023c
2022-03-10 15:36:33.159363 False [   87716.039348] 0003 0035 0000023c
2022-03-10 15:36:33.175156 False [   87716.055447] 0003 0035 0000023c
2022-03-10 15:36:33.193143 False [   87716.072931] 0003 0035 0000023c
2022-03-10 15:36:33.209368 False [   87716.089319] 0003 0035 0000023c
2022-03-10 15:36:33.226052 False [   87716.106267] 0003 0035 0000023c
2022-03-10 15:36:33.243758 False [   87716.123120] 0003 0035 0000023c
2022-03-10 15:36:33.260434 False [   87716.140081] 0003 0035 0000023c
2022-03-10 15:36:33.277088 False [   87716.156952] 0003 0035 0000023c
2022-03-10 15:36:33.294786 False [   87716.174005] 0003 0035 0000023c
2022-03-10 15:36:33.311438 False [   87716.190881] 0003 0035 0000023c
2022-03-10 15:36:33.329395 False [   87716.207717] 0003 0035 0000023c
2022-03-10 15:36:33.347339 False [   87716.224606] 0003 0035 0000023c
2022-03-10 15:36:33.633129 False [   87716.512683] 0003 0035 00000212
2022-03-10 15:36:33.651651 False [   87716.529328] 0003 0035 00000212
2022-03-10 15:36:33.666791 False [   87716.546982] 0003 0035 00000212
2022-03-10 15:36:33.684458 False [   87716.563690] 0003 0035 00000212
2022-03-10 15:36:33.699978 False [   87716.580270] 0003 0035 00000212
2022-03-10 15:36:33.717596 False [   87716.597315] 0003 0035 00000212
2022-03-10 15:36:33.734349 False [   87716.614339] 0003 0035 00000212
2022-03-10 15:36:33.754172 False [   87716.631634] 0003 0035 00000212
2022-03-10 15:36:33.768661 False [   87716.647995] 0003 0035 00000212
2022-03-10 15:36:33.785235 False [   87716.664766] 0003 0035 00000212
2022-03-10 15:36:33.801893 False [   87716.681706] 0003 0035 00000212
2022-03-10 15:36:33.820039 False [   87716.698814] 0003 0035 00000212
2022-03-10 15:36:33.836992 False [   87716.715800] 0003 0035 00000212
2022-03-10 15:36:33.854016 False [   87716.732477] 0003 0035 00000212
2022-03-10 15:36:33.869630 False [   87716.749362] 0003 0035 00000212
2022-03-10 15:36:33.886129 False [   87716.766221] 0003 0035 00000212
2022-03-10 15:36:33.904033 False [   87716.783281] 0003 0035 00000212
2022-03-10 15:36:33.920708 False [   87716.800157] 0003 0035 00000212
2022-03-10 15:36:33.938493 False [   87716.817992] 0003 0035 00000212
2022-03-10 15:36:33.954315 False [   87716.834013] 0003 0035 00000212
2022-03-10 15:36:33.971770 False [   87716.851170] 0003 0035 00000212
2022-03-10 15:36:33.988545 False [   87716.868592] 0003 0035 00000212
2022-03-10 15:36:34.007505 False [   87716.884875] 0003 0035 00000212
2022-03-10 15:36:34.021380 False [   87716.901764] 0003 0035 00000212
2022-03-10 15:36:34.039558 False [   87716.919163] 0003 0035 00000212
2022-03-10 15:36:34.055516 False [   87716.935777] 0003 0035 00000212
2022-03-10 15:36:34.072740 False [   87716.952697] 0003 0035 00000212
2022-03-10 15:36:34.089601 False [   87716.969397] 0003 0035 00000216
2022-03-10 15:36:34.107602 False [   87716.986601] 0003 0035 0000021b
2022-03-10 15:36:34.122933 False [   87717.003212] 0003 0035 00000221
2022-03-10 15:36:34.140321 False [   87717.020199] 0003 0035 00000227
2022-03-10 15:36:34.157566 False [   87717.037694] 0003 0035 0000022d
2022-03-10 15:36:34.173934 False [   87717.053956] 0003 0035 00000232
2022-03-10 15:36:34.190731 False [   87717.070872] 0003 0035 00000237
2022-03-10 15:36:34.207585 False [   87717.087855] 0003 0035 0000023b
2022-03-10 15:36:34.225285 False [   87717.104898] 0003 0035 0000023e
2022-03-10 15:36:34.242182 False [   87717.122246] 0003 0035 00000241
2022-03-10 15:36:34.258233 False [   87717.138617] 0003 0035 00000245
2022-03-10 15:36:34.275458 False [   87717.155532] 0003 0035 00000248
2022-03-10 15:36:34.292349 True [   87717.172438] 0003 0035 0000024c
2022-03-10 15:36:34.309468 True [   87717.189487] 0003 0035 0000024f
2022-03-10 15:36:34.327105 True [   87717.206695] 0003 0035 00000252
2022-03-10 15:36:34.344768 True [   87717.223357] 0003 0035 00000256
2022-03-10 15:36:34.361330 True [   87717.240830] 0003 0035 00000258
2022-03-10 15:36:34.377212 True [   87717.257170] 0003 0035 0000025a
2022-03-10 15:36:34.393976 True [   87717.274037] 0003 0035 0000025c
2022-03-10 15:36:34.411065 True [   87717.290948] 0003 0035 0000025e
2022-03-10 15:36:34.428104 True [   87717.307804] 0003 0035 0000025e
2022-03-10 15:36:34.446066 True [   87717.324761] 0003 0035 0000025e
2022-03-10 15:36:34.461308 True [   87717.341644] 0003 0035 0000025e
2022-03-10 15:36:34.478700 True [   87717.358621] 0003 0035 0000025e
2022-03-10 15:36:34.495924 True [   87717.375588] 0003 0035 0000025e
2022-03-10 15:36:34.512440 True [   87717.392525] 0003 0035 0000025e
2022-03-10 15:36:34.529966 True [   87717.409399] 0003 0035 0000025e
2022-03-10 15:36:34.546856 True [   87717.426754] 0003 0035 00000260
2022-03-10 15:36:34.563532 True [   87717.443175] 0003 0035 00000260
2022-03-10 15:36:34.582095 True [   87717.460172] 0003 0035 00000260
2022-03-10 15:36:34.596897 True [   87717.477132] 0003 0035 00000260
2022-03-10 15:36:34.613431 True [   87717.494076] 0003 0035 00000260
2022-03-10 15:36:34.631375 True [   87717.510941] 0003 0035 00000260
2022-03-10 15:36:34.648689 True [   87717.528520] 0003 0035 00000260
2022-03-10 15:36:34.665162 True [   87717.544730] 0003 0035 00000260
2022-03-10 15:36:34.681899 True [   87717.561886] 0003 0035 00000260
