Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.4034589733288429 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 14:03:32.204703 False [  145726.102478] 0003 0036 00000114
2022-04-02 14:03:32.314612 False [  145726.201039] 0003 0036 00000115
2022-04-02 14:03:32.317957 False [  145726.209453] 0003 0035 000000d6
2022-04-02 14:03:32.317957 False [  145726.209453] 0003 0036 00000116
2022-04-02 14:03:32.317957 False [  145726.217638] 0003 0035 000000d7
2022-04-02 14:03:32.317957 False [  145726.217638] 0003 0036 00000118
2022-04-02 14:03:32.325900 False [  145726.226466] 0003 0035 000000d9
2022-04-02 14:03:32.325900 False [  145726.226466] 0003 0036 0000011a
2022-04-02 14:03:32.331386 False [  145726.234369] 0003 0035 000000da
2022-04-02 14:03:32.331386 False [  145726.234369] 0003 0036 0000011c
2022-04-02 14:03:32.340245 False [  145726.242567] 0003 0035 000000dc
2022-04-02 14:03:32.340245 False [  145726.242567] 0003 0036 0000011f
2022-04-02 14:03:32.347010 False [  145726.250858] 0003 0035 000000dd
2022-04-02 14:03:32.347010 False [  145726.250858] 0003 0036 00000121
2022-04-02 14:03:32.355961 False [  145726.259283] 0003 0035 000000df
2022-04-02 14:03:32.355961 False [  145726.259283] 0003 0036 00000124
2022-04-02 14:03:32.364075 False [  145726.267896] 0003 0035 000000e1
2022-04-02 14:03:32.364075 False [  145726.267896] 0003 0036 00000127
2022-04-02 14:03:32.374755 False [  145726.275885] 0003 0035 000000e3
2022-04-02 14:03:32.374755 False [  145726.275885] 0003 0036 0000012a
2022-04-02 14:03:32.383613 False [  145726.284154] 0003 0035 000000e4
2022-04-02 14:03:32.383613 False [  145726.284154] 0003 0036 0000012c
2022-04-02 14:03:32.392211 False [  145726.292533] 0003 0035 000000e6
2022-04-02 14:03:32.392211 False [  145726.292533] 0003 0036 0000012f
2022-04-02 14:03:32.399849 False [  145726.300688] 0003 0035 000000e8
2022-04-02 14:03:32.399849 False [  145726.300688] 0003 0036 00000130
2022-04-02 14:03:32.410006 False [  145726.309168] 0003 0036 00000133
2022-04-02 14:03:32.416956 False [  145726.317337] 0003 0035 000000ea
2022-04-02 14:03:32.416956 False [  145726.317337] 0003 0036 00000135
2022-04-02 14:03:32.423003 False [  145726.325882] 0003 0035 000000eb
2022-04-02 14:03:32.423003 False [  145726.325882] 0003 0036 00000136
2022-04-02 14:03:32.432474 False [  145726.333962] 0003 0035 000000ec
2022-04-02 14:03:32.432474 False [  145726.333962] 0003 0036 00000139
2022-04-02 14:03:32.440635 False [  145726.342319] 0003 0035 000000ee
2022-04-02 14:03:32.440635 False [  145726.342319] 0003 0036 0000013a
2022-04-02 14:03:32.448870 False [  145726.350557] 0003 0035 000000ef
2022-04-02 14:03:32.448870 False [  145726.350557] 0003 0036 0000013d
2022-04-02 14:03:32.458925 False [  145726.358954] 0003 0036 0000013f
2022-04-02 14:03:32.464672 False [  145726.367198] 0003 0035 000000f0
2022-04-02 14:03:32.464672 False [  145726.367198] 0003 0036 00000140
2022-04-02 14:03:32.474835 False [  145726.375553] 0003 0035 000000f2
2022-04-02 14:03:32.474835 False [  145726.375553] 0003 0036 00000142
2022-04-02 14:03:32.482752 False [  145726.383774] 0003 0036 00000143
2022-04-02 14:03:32.490427 False [  145726.392466] 0003 0035 000000f3
2022-04-02 14:03:32.490427 False [  145726.392466] 0003 0036 00000144
2022-04-02 14:03:32.499359 False [  145726.400723] 0003 0035 000000f4
2022-04-02 14:03:32.499359 False [  145726.400723] 0003 0036 00000145
2022-04-02 14:03:32.509549 False [  145726.408954] 0003 0035 000000f6
2022-04-02 14:03:32.509549 False [  145726.408954] 0003 0036 00000147
