Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.7882221502565199 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 19:37:24.912177 0 [   34761.944390] 0003 0036 00000804
2022-03-16 19:37:24.920248 0 [   34761.952399] 0003 0036 000007ff
2022-03-16 19:37:24.929240 0 [   34761.960789] 0003 0036 000007fb
2022-03-16 19:37:24.936209 0 [   34761.969227] 0003 0036 000007f7
2022-03-16 19:37:24.946032 0 [   34761.977406] 0003 0036 000007f3
2022-03-16 19:37:24.954173 0 [   34761.985655] 0003 0036 000007ef
2022-03-16 19:37:24.961144 0 [   34761.993950] 0003 0036 000007ea
2022-03-16 19:37:24.970243 0 [   34762.002186] 0003 0036 000007e7
2022-03-16 19:37:24.978213 0 [   34762.011306] 0003 0036 000007e3
2022-03-16 19:37:24.989295 0 [   34762.019094] 0003 0036 000007df
2022-03-16 19:37:24.995285 0 [   34762.027226] 0003 0036 000007dc
2022-03-16 19:37:25.004636 0 [   34762.035527] 0003 0036 000007d8
2022-03-16 19:37:25.012403 0 [   34762.043959] 0003 0036 000007d4
2022-03-16 19:37:25.019982 0 [   34762.052390] 0003 0036 000007cf
2022-03-16 19:37:25.028861 0 [   34762.060546] 0003 0036 000007ca
2022-03-16 19:37:25.037879 0 [   34762.068766] 0003 0036 000007c5
2022-03-16 19:37:25.044408 0 [   34762.077137] 0003 0036 000007c0
2022-03-16 19:37:25.054221 0 [   34762.085507] 0003 0036 000007bc
2022-03-16 19:37:25.062859 0 [   34762.094081] 0003 0036 000007b7
2022-03-16 19:37:25.069327 0 [   34762.101995] 0003 0036 000007b2
2022-03-16 19:37:25.077227 0 [   34762.111152] 0003 0036 000007ae
2022-03-16 19:37:25.086827 0 [   34762.118617] 0003 0036 000007aa
2022-03-16 19:37:25.095554 0 [   34762.127238] 0003 0036 000007a5
2022-03-16 19:37:25.102437 0 [   34762.135344] 0003 0036 000007a0
2022-03-16 19:37:25.111450 0 [   34762.144053] 0003 0036 0000079c
2022-03-16 19:37:25.120445 0 [   34762.151911] 0003 0036 00000797
2022-03-16 19:37:25.127411 0 [   34762.160338] 0003 0036 00000791
2022-03-16 19:37:25.136518 0 [   34762.168607] 0003 0036 0000078d
2022-03-16 19:37:25.145011 0 [   34762.176988] 0003 0036 00000787
2022-03-16 19:37:25.154617 0 [   34762.185166] 0003 0036 00000782
2022-03-16 19:37:25.160794 0 [   34762.193503] 0003 0036 0000077e
2022-03-16 19:37:25.168586 0 [   34762.201772] 0003 0036 0000077a
2022-03-16 19:37:25.179108 0 [   34762.210188] 0003 0036 00000775
2022-03-16 19:37:25.187028 0 [   34762.218375] 0003 0036 00000772
2022-03-16 19:37:25.196517 0 [   34762.227347] 0003 0036 0000076d
2022-03-16 19:37:25.206501 0 [   34762.235029] 0003 0036 00000767
2022-03-16 19:37:25.210503 0 [   34762.243428] 0003 0036 00000760
2022-03-16 19:37:25.220110 0 [   34762.251610] 0003 0036 0000075a
2022-03-16 19:37:25.226699 0 [   34762.260523] 0003 0036 00000755
2022-03-16 19:37:25.236975 0 [   34762.268260] 0003 0036 0000074f
2022-03-16 19:37:25.243785 0 [   34762.276960] 0003 0036 0000074b
2022-03-16 19:37:25.255223 0 [   34762.284876] 0003 0036 00000746
2022-03-16 19:37:25.264669 0 [   34762.293412] 0003 0036 00000743
2022-03-16 19:37:25.271363 0 [   34762.301495] 0003 0036 0000073f
2022-03-16 19:37:25.278726 0 [   34762.309921] 0003 0036 0000073a
2022-03-16 19:37:25.286676 0 [   34762.318080] 0003 0036 00000736
2022-03-16 19:37:25.294468 0 [   34762.326898] 0003 0036 00000731
2022-03-16 19:37:25.302548 0 [   34762.334771] 0003 0036 0000072d
2022-03-16 19:37:25.310530 0 [   34762.343350] 0003 0036 00000727
2022-03-16 19:37:25.318474 0 [   34762.351288] 0003 0036 00000721
2022-03-16 19:37:25.327035 0 [   34762.360058] 0003 0036 0000071c
2022-03-16 19:37:25.335144 0 [   34762.368000] 0003 0036 00000718
2022-03-16 19:37:25.343550 0 [   34762.376658] 0003 0036 00000713
2022-03-16 19:37:25.351716 0 [   34762.384583] 0003 0036 0000070f
2022-03-16 19:37:25.361391 0 [   34762.393013] 0003 0036 0000070b
2022-03-16 19:37:25.371660 0 [   34762.401211] 0003 0036 00000706
2022-03-16 19:37:25.378767 0 [   34762.409618] 0003 0036 00000702
2022-03-16 19:37:25.386157 0 [   34762.417827] 0003 0036 000006fd
2022-03-16 19:37:25.393321 0 [   34762.426469] 0003 0036 000006f7
2022-03-16 19:37:25.404552 0 [   34762.434460] 0003 0036 000006f1
2022-03-16 19:37:25.413864 0 [   34762.443341] 0003 0036 000006ed
2022-03-16 19:37:25.419609 0 [   34762.451061] 0003 0036 000006e8
2022-03-16 19:37:25.426860 0 [   34762.459904] 0003 0036 000006e5
2022-03-16 19:37:25.437243 0 [   34762.467719] 0003 0036 000006e1
2022-03-16 19:37:25.444383 0 [   34762.476364] 0003 0036 000006de
2022-03-16 19:37:25.453612 0 [   34762.484347] 0003 0036 000006da
2022-03-16 19:37:25.460877 0 [   34762.492863] 0003 0036 000006d6
2022-03-16 19:37:25.469825 0 [   34762.500930] 0003 0036 000006d3
2022-03-16 19:37:25.477675 0 [   34762.510144] 0003 0036 000006cf
2022-03-16 19:37:25.486367 0 [   34762.517493] 0003 0036 000006cc
2022-03-16 19:37:25.493351 0 [   34762.526229] 0003 0036 000006c8
2022-03-16 19:37:25.501937 0 [   34762.534221] 0003 0036 000006c3
2022-03-16 19:37:25.511778 0 [   34762.542642] 0003 0036 000006bf
2022-03-16 19:37:25.518470 0 [   34762.550871] 0003 0036 000006ba
2022-03-16 19:37:25.527451 0 [   34762.559220] 0003 0036 000006b5
2022-03-16 19:37:25.535141 0 [   34762.567420] 0003 0036 000006b0
2022-03-16 19:37:25.545793 0 [   34762.575836] 0003 0036 000006ac
2022-03-16 19:37:25.552147 0 [   34762.584056] 0003 0036 000006a8
2022-03-16 19:37:25.560087 0 [   34762.592445] 0003 0036 000006a4
2022-03-16 19:37:25.569924 0 [   34762.600630] 0003 0036 0000069f
2022-03-16 19:37:25.577807 0 [   34762.609159] 0003 0036 0000069b
2022-03-16 19:37:25.587762 0 [   34762.617255] 0003 0036 00000698
2022-03-16 19:37:25.593524 0 [   34762.625696] 0003 0036 00000694
2022-03-16 19:37:25.602323 0 [   34762.633890] 0003 0036 00000690
2022-03-16 19:37:25.611143 0 [   34762.642280] 0003 0036 0000068c
2022-03-16 19:37:25.619064 0 [   34762.650519] 0003 0036 00000688
2022-03-16 19:37:25.627484 0 [   34762.658951] 0003 0036 00000684
2022-03-16 19:37:25.634776 0 [   34762.667212] 0003 0036 0000067f
2022-03-16 19:37:25.642364 0 [   34762.675526] 0003 0036 0000067b
2022-03-16 19:37:25.651207 0 [   34762.683732] 0003 0036 00000676
2022-03-16 19:37:25.659093 0 [   34762.692148] 0003 0036 00000673
2022-03-16 19:37:25.668325 0 [   34762.700361] 0003 0036 0000066f
2022-03-16 19:37:25.675248 0 [   34762.708725] 0003 0036 0000066b
2022-03-16 19:37:25.684800 0 [   34762.716950] 0003 0036 00000668
2022-03-16 19:37:25.694360 0 [   34762.725383] 0003 0036 00000665
2022-03-16 19:37:25.701337 0 [   34762.733591] 0003 0036 00000662
2022-03-16 19:37:25.708352 0 [   34762.742010] 0003 0036 0000065e
2022-03-16 19:37:25.719387 0 [   34762.750199] 0003 0036 0000065b
2022-03-16 19:37:25.724906 0 [   34762.758585] 0003 0036 00000656
2022-03-16 19:37:25.735019 0 [   34762.766814] 0003 0036 00000652
2022-03-16 19:37:25.742422 0 [   34762.775256] 0003 0036 0000064e
2022-03-16 19:37:25.750644 0 [   34762.783486] 0003 0036 0000064a
2022-03-16 19:37:25.759357 0 [   34762.791864] 0003 0036 00000646
2022-03-16 19:37:25.770955 0 [   34762.800176] 0003 0036 00000643
2022-03-16 19:37:25.777322 0 [   34762.808561] 0003 0036 0000063f
2022-03-16 19:37:25.786250 0 [   34762.816672] 0003 0036 0000063b
2022-03-16 19:37:25.792396 0 [   34762.825130] 0003 0036 00000638
2022-03-16 19:37:25.801508 0 [   34762.833317] 0003 0036 00000635
2022-03-16 19:37:25.809502 0 [   34762.841726] 0003 0036 00000632
2022-03-16 19:37:25.816940 0 [   34762.850035] 0003 0036 0000062f
2022-03-16 19:37:25.826123 0 [   34762.858351] 0003 0036 0000062a
2022-03-16 19:37:25.834997 0 [   34762.866607] 0003 0036 00000627
2022-03-16 19:37:25.844375 0 [   34762.874989] 0003 0036 00000622
2022-03-16 19:37:25.854088 0 [   34762.883180] 0003 0036 0000061d
2022-03-16 19:37:25.860580 0 [   34762.891581] 0003 0036 00000619
2022-03-16 19:37:25.868562 0 [   34762.899869] 0003 0036 00000614
2022-03-16 19:37:25.874882 0 [   34762.908257] 0003 0036 00000610
2022-03-16 19:37:25.884522 0 [   34762.916366] 0003 0036 0000060d
2022-03-16 19:37:25.892348 0 [   34762.924829] 0003 0036 0000060a
2022-03-16 19:37:25.900515 0 [   34762.933017] 0003 0036 00000606
2022-03-16 19:37:25.910482 0 [   34762.941438] 0003 0036 00000603
2022-03-16 19:37:25.917414 0 [   34762.949643] 0003 0036 000005ff
2022-03-16 19:37:25.925715 0 [   34762.958025] 0003 0036 000005fe
2022-03-16 19:37:25.935211 0 [   34762.966260] 0003 0036 000005fb
2022-03-16 19:37:25.941460 0 [   34762.974664] 0003 0036 000005f9
2022-03-16 19:37:25.950857 0 [   34762.982931] 0003 0036 000005f5
2022-03-16 19:37:25.960796 0 [   34762.991391] 0003 0036 000005f3
2022-03-16 19:37:25.968731 0 [   34762.999593] 0003 0036 000005ef
2022-03-16 19:37:25.975035 0 [   34763.007914] 0003 0036 000005ec
2022-03-16 19:37:25.984772 0 [   34763.016093] 0003 0036 000005e9
2022-03-16 19:37:25.993657 0 [   34763.024602] 0003 0036 000005e6
2022-03-16 19:37:26.000106 0 [   34763.032750] 0003 0036 000005e2
2022-03-16 19:37:26.009377 0 [   34763.041085] 0003 0036 000005de
2022-03-16 19:37:26.019159 0 [   34763.049392] 0003 0036 000005db
2022-03-16 19:37:26.025653 0 [   34763.057724] 0003 0036 000005d8
2022-03-16 19:37:26.034786 0 [   34763.065904] 0003 0036 000005d5
2022-03-16 19:37:26.041444 0 [   34763.074326] 0003 0036 000005d2
2022-03-16 19:37:26.051472 0 [   34763.082624] 0003 0036 000005cf
2022-03-16 19:37:26.058209 0 [   34763.090975] 0003 0036 000005ce
2022-03-16 19:37:26.066674 0 [   34763.099199] 0003 0036 000005cb
2022-03-16 19:37:26.074263 0 [   34763.107560] 0003 0036 000005c9
2022-03-16 19:37:26.084514 0 [   34763.116034] 0003 0036 000005c7
2022-03-16 19:37:26.091478 0 [   34763.124258] 0003 0036 000005c3
2022-03-16 19:37:26.100350 0 [   34763.132373] 0003 0036 000005c1
2022-03-16 19:37:26.107322 0 [   34763.140815] 0003 0036 000005be
2022-03-16 19:37:26.119298 0 [   34763.149092] 0003 0036 000005bc
2022-03-16 19:37:26.124677 0 [   34763.157479] 0003 0036 000005ba
2022-03-16 19:37:26.134572 0 [   34763.165623] 0003 0036 000005b7
2022-03-16 19:37:26.140879 0 [   34763.174077] 0003 0036 000005b5
2022-03-16 19:37:26.150928 0 [   34763.182321] 0003 0036 000005b1
2022-03-16 19:37:26.159263 0 [   34763.190782] 0003 0036 000005ae
2022-03-16 19:37:26.166845 0 [   34763.198934] 0003 0036 000005ab
2022-03-16 19:37:26.174065 0 [   34763.207302] 0003 0036 000005a8
2022-03-16 19:37:26.183658 0 [   34763.215503] 0003 0036 000005a5
2022-03-16 19:37:26.191914 0 [   34763.223948] 0003 0036 000005a3
2022-03-16 19:37:26.200210 0 [   34763.232130] 0003 0036 000005a0
2022-03-16 19:37:26.207979 0 [   34763.240600] 0003 0036 0000059d
2022-03-16 19:37:26.216624 0 [   34763.249179] 0003 0036 0000059a
2022-03-16 19:37:26.226422 0 [   34763.257200] 0003 0036 00000599
2022-03-16 19:37:26.235222 0 [   34763.265456] 0003 0036 00000596
2022-03-16 19:37:26.241257 0 [   34763.273776] 0003 0036 00000594
2022-03-16 19:37:26.249619 0 [   34763.281991] 0003 0036 00000592
2022-03-16 19:37:26.259591 0 [   34763.290448] 0003 0036 0000058f
2022-03-16 19:37:26.266487 0 [   34763.298622] 0003 0036 0000058e
2022-03-16 19:37:26.274625 0 [   34763.307017] 0003 0036 0000058a
2022-03-16 19:37:26.282753 0 [   34763.315278] 0003 0036 00000587
2022-03-16 19:37:26.292731 0 [   34763.323706] 0003 0036 00000584
2022-03-16 19:37:26.300707 0 [   34763.331846] 0003 0036 00000581
2022-03-16 19:37:26.309706 0 [   34763.340295] 0003 0036 0000057e
2022-03-16 19:37:26.316207 0 [   34763.348510] 0003 0036 0000057a
2022-03-16 19:37:26.324626 0 [   34763.356923] 0003 0036 00000577
2022-03-16 19:37:26.334243 0 [   34763.365135] 0003 0036 00000574
2022-03-16 19:37:26.342643 0 [   34763.373500] 0003 0036 00000570
2022-03-16 19:37:26.352043 0 [   34763.381718] 0003 0036 0000056e
2022-03-16 19:37:26.359930 0 [   34763.390144] 0003 0036 0000056a
2022-03-16 19:37:26.366929 0 [   34763.398380] 0003 0036 00000567
2022-03-16 19:37:26.375089 0 [   34763.406709] 0003 0036 00000564
2022-03-16 19:37:26.381956 0 [   34763.414973] 0003 0036 00000562
2022-03-16 19:37:26.392107 0 [   34763.423400] 0003 0036 0000055f
2022-03-16 19:37:26.399231 0 [   34763.431627] 0003 0036 0000055b
2022-03-16 19:37:26.407599 0 [   34763.439998] 0003 0036 00000558
2022-03-16 19:37:26.416655 0 [   34763.448285] 0003 0036 00000554
2022-03-16 19:37:26.424145 0 [   34763.456673] 0003 0036 00000551
2022-03-16 19:37:26.434348 0 [   34763.464826] 0003 0036 0000054e
2022-03-16 19:37:26.440864 0 [   34763.473254] 0003 0036 0000054a
2022-03-16 19:37:26.449628 0 [   34763.481489] 0003 0036 00000548
2022-03-16 19:37:26.457972 0 [   34763.489822] 0003 0036 00000544
2022-03-16 19:37:26.465873 0 [   34763.498044] 0003 0036 00000540
2022-03-16 19:37:26.474346 0 [   34763.506475] 0003 0036 0000053e
2022-03-16 19:37:26.482265 0 [   34763.514669] 0003 0036 0000053a
2022-03-16 19:37:26.491258 0 [   34763.523084] 0003 0036 00000538
2022-03-16 19:37:26.500217 0 [   34763.531376] 0003 0036 00000535
2022-03-16 19:37:26.506201 0 [   34763.539802] 0003 0036 00000534
2022-03-16 19:37:26.517209 0 [   34763.547958] 0003 0036 00000531
2022-03-16 19:37:26.524156 0 [   34763.556302] 0003 0036 0000052f
2022-03-16 19:37:26.534141 0 [   34763.564534] 0003 0036 0000052d
2022-03-16 19:37:26.541093 0 [   34763.572961] 0003 0036 0000052b
2022-03-16 19:37:26.549398 0 [   34763.581199] 0003 0036 00000529
2022-03-16 19:37:26.557388 0 [   34763.589550] 0003 0036 00000527
2022-03-16 19:37:26.566633 0 [   34763.597770] 0003 0036 00000526
2022-03-16 19:37:26.574379 0 [   34763.606161] 0003 0036 00000524
2022-03-16 19:37:26.583162 0 [   34763.614401] 0003 0036 00000522
2022-03-16 19:37:26.592005 0 [   34763.622822] 0003 0036 00000520
2022-03-16 19:37:26.599245 0 [   34763.631036] 0003 0036 0000051e
2022-03-16 19:37:26.607201 0 [   34763.639443] 0003 0036 0000051b
2022-03-16 19:37:26.614976 0 [   34763.647668] 0003 0036 0000051a
2022-03-16 19:37:26.623452 0 [   34763.656076] 0003 0036 00000517
2022-03-16 19:37:26.632229 0 [   34763.664263] 0003 0036 00000515
2022-03-16 19:37:26.641152 0 [   34763.672787] 0003 0036 00000513
2022-03-16 19:37:26.649574 0 [   34763.680889] 0003 0036 00000510
2022-03-16 19:37:26.658777 0 [   34763.689257] 0003 0036 0000050d
2022-03-16 19:37:26.668191 0 [   34763.697463] 0003 0036 0000050b
2022-03-16 19:37:26.674170 0 [   34763.705891] 0003 0036 00000508
2022-03-16 19:37:26.682148 0 [   34763.714084] 0003 0036 00000506
2022-03-16 19:37:26.691124 0 [   34763.722499] 0003 0036 00000504
2022-03-16 19:37:26.699035 0 [   34763.730706] 0003 0036 00000502
2022-03-16 19:37:26.708992 0 [   34763.739145] 0003 0036 00000500
2022-03-16 19:37:26.716760 0 [   34763.747306] 0003 0036 000004ff
