Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.7129622096586834 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:58:46.791942 True [    2660.325123] 0003 0036 00000405
2022-04-06 14:58:46.808755 True [    2660.341823] 0003 0035 0000043a
2022-04-06 14:58:46.808755 True [    2660.341823] 0003 0036 00000404
2022-04-06 14:58:47.001356 True [    2660.534375] 0003 0035 00000439
2022-04-06 14:58:47.008841 True [    2660.541205] 0003 0035 00000438
2022-04-06 14:58:47.015099 True [    2660.549377] 0003 0035 00000437
2022-04-06 14:58:47.015099 True [    2660.549377] 0003 0036 00000405
2022-04-06 14:58:47.023723 True [    2660.557832] 0003 0035 00000436
2022-04-06 14:58:47.023723 True [    2660.557832] 0003 0036 00000406
2022-04-06 14:58:47.031684 True [    2660.565995] 0003 0035 00000435
2022-04-06 14:58:47.031684 True [    2660.565995] 0003 0036 00000407
2022-04-06 14:58:47.042214 True [    2660.574468] 0003 0035 00000433
2022-04-06 14:58:47.042214 True [    2660.574468] 0003 0036 00000409
2022-04-06 14:58:47.049784 True [    2660.582621] 0003 0036 0000040a
2022-04-06 14:58:47.055758 True [    2660.591055] 0003 0035 00000430
2022-04-06 14:58:47.055758 True [    2660.591055] 0003 0036 0000040c
2022-04-06 14:58:47.066824 True [    2660.599199] 0003 0035 0000042e
2022-04-06 14:58:47.066824 True [    2660.599199] 0003 0036 0000040f
2022-04-06 14:58:47.074636 True [    2660.607746] 0003 0035 0000042b
2022-04-06 14:58:47.074636 True [    2660.607746] 0003 0036 00000412
2022-04-06 14:58:47.082963 True [    2660.615922] 0003 0035 00000429
2022-04-06 14:58:47.082963 True [    2660.615922] 0003 0036 00000415
2022-04-06 14:58:47.092563 True [    2660.624318] 0003 0035 00000426
2022-04-06 14:58:47.092563 True [    2660.624318] 0003 0036 00000419
2022-04-06 14:58:47.099654 True [    2660.632573] 0003 0035 00000422
2022-04-06 14:58:47.099654 True [    2660.632573] 0003 0036 0000041e
2022-04-06 14:58:47.109448 True [    2660.640883] 0003 0035 0000041f
2022-04-06 14:58:47.109448 True [    2660.640883] 0003 0036 00000421
2022-04-06 14:58:47.115765 True [    2660.649073] 0003 0035 0000041c
2022-04-06 14:58:47.115765 True [    2660.649073] 0003 0036 00000425
2022-04-06 14:58:47.124989 True [    2660.658885] 0003 0035 00000418
