Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.6857856942090075 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 18:19:52.230495 False [  161115.297219] 0003 0035 000000f0
2022-04-02 18:19:52.230495 False [  161115.297219] 0003 0036 00000442
2022-04-02 18:19:52.230495 False [  161115.308439] 0003 0035 000000f2
2022-04-02 18:19:52.230495 False [  161115.308439] 0003 0036 00000446
2022-04-02 18:19:52.230495 False [  161115.314774] 0003 0035 000000f3
2022-04-02 18:19:52.230495 False [  161115.314774] 0003 0036 0000044f
2022-04-02 18:19:52.230495 False [  161115.319328] 0003 0035 000000f6
2022-04-02 18:19:52.230495 False [  161115.319328] 0003 0036 0000045c
2022-04-02 18:19:52.240172 False [  161115.334183] 0003 0035 000000f8
2022-04-02 18:19:52.240172 False [  161115.334183] 0003 0036 0000046c
2022-04-02 18:19:52.407921 False [  161115.375963] 0003 0035 00000105
2022-04-02 18:19:52.407921 False [  161115.375963] 0003 0036 000004d2
2022-04-02 18:19:52.407921 False [  161115.394649] 0003 0035 0000010b
2022-04-02 18:19:52.407921 False [  161115.394649] 0003 0036 0000050d
2022-04-02 18:19:52.626360 False [  161115.402348] 0003 0036 0000051c
2022-04-02 18:19:52.626360 False [  161115.430221] 0003 0036 00000538
2022-04-02 18:19:52.626360 False [  161115.457337] 0003 0036 0000053c
2022-04-02 18:19:52.626360 False [  161115.485034] 0003 0036 0000053a
2022-04-02 18:19:52.626360 False [  161115.513074] 0003 0035 0000010f
2022-04-02 18:19:52.626360 False [  161115.513074] 0003 0036 00000504
2022-04-02 18:19:52.925296 False [  161115.533211] 0003 0035 00000111
2022-04-02 18:19:52.925296 False [  161115.533211] 0003 0036 000004db
2022-04-02 18:19:52.925296 False [  161115.549231] 0003 0035 0000010f
2022-04-02 18:19:52.925296 False [  161115.549231] 0003 0036 000004ac
2022-04-02 18:19:52.925296 False [  161115.554968] 0003 0035 0000010c
2022-04-02 18:19:52.925296 False [  161115.554968] 0003 0036 00000482
2022-04-02 18:19:52.925296 False [  161115.561948] 0003 0035 0000010b
2022-04-02 18:19:52.925296 False [  161115.561948] 0003 0036 00000475
2022-04-02 18:19:52.925296 False [  161115.568596] 0003 0036 0000046d
2022-04-02 18:19:52.925296 False [  161115.593758] 0003 0035 00000109
2022-04-02 18:19:52.925296 False [  161115.593758] 0003 0036 0000044a
2022-04-02 18:19:52.925296 False [  161115.615823] 0003 0036 00000445
2022-04-02 18:19:52.925296 False [  161115.642301] 0003 0035 0000010a
2022-04-02 18:19:52.925296 False [  161115.642301] 0003 0036 00000446
2022-04-02 18:19:52.925296 False [  161115.670281] 0003 0035 00000111
2022-04-02 18:19:52.925296 False [  161115.670281] 0003 0036 0000046b
2022-04-02 18:19:52.925296 False [  161115.695229] 0003 0035 0000011f
2022-04-02 18:19:52.925296 False [  161115.695229] 0003 0036 000004b6
2022-04-02 18:19:52.925296 False [  161115.720387] 0003 0035 00000129
2022-04-02 18:19:52.925296 False [  161115.720387] 0003 0036 000004ee
2022-04-02 18:19:52.925296 False [  161115.749336] 0003 0035 00000130
2022-04-02 18:19:52.925296 False [  161115.749336] 0003 0036 00000515
2022-04-02 18:19:53.182486 False [  161115.779126] 0003 0035 00000133
2022-04-02 18:19:53.182486 False [  161115.779126] 0003 0036 00000526
2022-04-02 18:19:53.182486 False [  161115.808703] 0003 0036 00000525
2022-04-02 18:19:53.182486 False [  161115.837119] 0003 0035 0000012c
2022-04-02 18:19:53.182486 False [  161115.837119] 0003 0036 000004f4
2022-04-02 18:19:53.182486 False [  161115.865009] 0003 0035 00000124
2022-04-02 18:19:53.182486 False [  161115.865009] 0003 0036 000004aa
2022-04-02 18:19:53.182486 False [  161115.898619] 0003 0035 0000011f
2022-04-02 18:19:53.182486 False [  161115.898619] 0003 0036 00000482
2022-04-02 18:19:53.182486 False [  161115.928488] 0003 0035 0000011d
2022-04-02 18:19:53.182486 False [  161115.928488] 0003 0036 00000474
2022-04-02 18:19:53.182486 False [  161115.961034] 0003 0035 0000011f
2022-04-02 18:19:53.182486 False [  161115.961034] 0003 0036 00000471
2022-04-02 18:19:53.182486 False [  161115.991427] 0003 0035 0000012e
2022-04-02 18:19:53.182486 False [  161115.991427] 0003 0036 00000493
2022-04-02 18:19:53.182486 False [  161116.022180] 0003 0035 0000013b
2022-04-02 18:19:53.182486 False [  161116.022180] 0003 0036 000004c4
2022-04-02 18:19:53.182486 False [  161116.049844] 0003 0035 00000147
2022-04-02 18:19:53.182486 False [  161116.049844] 0003 0036 000004f9
2022-04-02 18:19:53.246940 False [  161116.073972] 0003 0035 0000014a
2022-04-02 18:19:53.246940 False [  161116.073972] 0003 0036 00000509
2022-04-02 18:19:53.246940 False [  161116.097807] 0003 0035 0000014b
2022-04-02 18:19:53.246940 False [  161116.097807] 0003 0036 0000050a
2022-04-02 18:19:53.246940 False [  161116.126124] 0003 0036 00000506
2022-04-02 18:19:53.246940 False [  161116.155092] 0003 0035 00000144
2022-04-02 18:19:53.246940 False [  161116.155092] 0003 0036 000004c7
2022-04-02 18:19:53.246940 False [  161116.182662] 0003 0035 0000013d
2022-04-02 18:19:53.246940 False [  161116.182662] 0003 0036 00000496
2022-04-02 18:19:53.246940 False [  161116.207695] 0003 0035 0000013a
2022-04-02 18:19:53.246940 False [  161116.207695] 0003 0036 00000482
2022-04-02 18:19:53.246940 False [  161116.229033] 0003 0035 00000139
2022-04-02 18:19:53.246940 False [  161116.229033] 0003 0036 0000047d
2022-04-02 18:19:53.246940 False [  161116.254219] 0003 0035 0000013e
2022-04-02 18:19:53.247946 False [  161116.254219] 0003 0036 00000477
2022-04-02 18:19:53.247946 False [  161116.281384] 0003 0035 00000148
2022-04-02 18:19:53.247946 False [  161116.281384] 0003 0036 00000488
2022-04-02 18:19:53.247946 False [  161116.306473] 0003 0035 00000155
2022-04-02 18:19:53.247946 False [  161116.306473] 0003 0036 000004b1
2022-04-02 18:19:53.461274 False [  161116.335501] 0003 0035 00000161
2022-04-02 18:19:53.461274 False [  161116.335501] 0003 0036 000004de
2022-04-02 18:19:53.743807 False [  161116.374879] 0003 0035 0000016d
2022-04-02 18:19:53.743807 False [  161116.374879] 0003 0036 00000511
2022-04-02 18:19:53.743807 False [  161116.399509] 0003 0035 0000016f
2022-04-02 18:19:53.743807 False [  161116.399509] 0003 0036 00000512
2022-04-02 18:19:53.743807 False [  161116.423114] 0003 0036 00000511
2022-04-02 18:19:53.743807 False [  161116.448229] 0003 0036 000004f1
2022-04-02 18:19:53.743807 False [  161116.477882] 0003 0036 000004c4
2022-04-02 18:19:53.743807 False [  161116.512938] 0003 0036 00000498
2022-04-02 18:19:53.743807 False [  161116.537476] 0003 0035 00000173
2022-04-02 18:19:53.743807 False [  161116.537476] 0003 0036 0000048f
2022-04-02 18:19:53.743807 False [  161116.559748] 0003 0035 00000174
2022-04-02 18:19:53.743807 False [  161116.559748] 0003 0036 00000494
2022-04-02 18:19:53.743807 False [  161116.584880] 0003 0035 00000179
2022-04-02 18:19:53.743807 False [  161116.584880] 0003 0036 000004ae
2022-04-02 18:19:53.924445 False [  161116.609861] 0003 0035 0000017e
2022-04-02 18:19:53.924445 False [  161116.609861] 0003 0036 000004d1
2022-04-02 18:19:53.924445 False [  161116.640979] 0003 0035 00000182
2022-04-02 18:19:53.924445 False [  161116.640979] 0003 0036 000004f6
2022-04-02 18:19:53.924445 False [  161116.665379] 0003 0035 00000184
2022-04-02 18:19:53.924445 False [  161116.665379] 0003 0036 00000511
2022-04-02 18:19:53.924445 False [  161116.692092] 0003 0036 00000514
2022-04-02 18:19:53.924445 False [  161116.720789] 0003 0036 0000050e
2022-04-02 18:19:53.924445 False [  161116.751585] 0003 0035 00000181
2022-04-02 18:19:53.924445 False [  161116.751585] 0003 0036 000004ee
2022-04-02 18:19:53.924445 False [  161116.778361] 0003 0035 0000017d
2022-04-02 18:19:53.925343 False [  161116.778361] 0003 0036 000004c4
2022-04-02 18:19:53.925343 False [  161116.807857] 0003 0035 0000017b
2022-04-02 18:19:53.925343 False [  161116.807857] 0003 0036 000004a1
2022-04-02 18:19:53.925343 False [  161116.836480] 0003 0036 00000490
