Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.6441488082621192 
    wm_size = [1600 2560] 
    stim_amp = 5 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-06 14:48:31.137919 True [    2044.681299] 0003 0036 00000610
2022-04-06 14:48:31.146200 True [    2044.689592] 0003 0036 0000060f
2022-04-06 14:48:31.172950 True [    2044.715493] 0003 0036 0000060e
2022-04-06 14:48:31.187759 True [    2044.731174] 0003 0036 0000060d
2022-04-06 14:48:31.207192 True [    2044.748476] 0003 0036 0000060c
2022-04-06 14:48:31.212723 True [    2044.755806] 0003 0036 0000060b
2022-04-06 14:48:31.222077 True [    2044.765687] 0003 0036 0000060a
2022-04-06 14:48:31.245825 True [    2044.789335] 0003 0035 0000037f
2022-04-06 14:48:31.245825 True [    2044.789335] 0003 0036 00000609
2022-04-06 14:48:31.255180 True [    2044.798749] 0003 0036 00000608
2022-04-06 14:48:31.271910 True [    2044.814842] 0003 0036 00000607
2022-04-06 14:48:31.278292 True [    2044.822216] 0003 0036 00000606
2022-04-06 14:48:31.288004 True [    2044.831072] 0003 0036 00000605
2022-04-06 14:48:31.303704 True [    2044.847632] 0003 0036 00000604
2022-04-06 14:48:31.329152 True [    2044.872102] 0003 0036 00000603
2022-04-06 14:48:31.345647 True [    2044.888899] 0003 0036 00000602
2022-04-06 14:48:31.355590 True [    2044.898989] 0003 0036 00000601
2022-04-06 14:48:31.362056 True [    2044.905490] 0003 0036 00000600
2022-04-06 14:48:31.379142 True [    2044.922546] 0003 0036 000005ff
2022-04-06 14:48:31.421028 True [    2044.963894] 0003 0036 000005fe
2022-04-06 14:48:31.438738 True [    2044.981808] 0003 0036 000005fd
2022-04-06 14:48:31.453723 True [    2044.996985] 0003 0036 000005fc
2022-04-06 14:48:31.488768 True [    2045.031575] 0003 0036 000005fb
2022-04-06 14:48:31.520682 True [    2045.063291] 0003 0036 000005fa
2022-04-06 14:48:31.554349 True [    2045.096545] 0003 0036 000005f9
2022-04-06 14:48:31.561704 True [    2045.104799] 0003 0035 00000380
2022-04-06 14:48:31.586678 True [    2045.129763] 0003 0035 00000382
2022-04-06 14:48:31.595809 True [    2045.137956] 0003 0035 00000384
2022-04-06 14:48:31.603586 True [    2045.146396] 0003 0035 00000386
2022-04-06 14:48:31.610756 True [    2045.154563] 0003 0035 00000387
2022-04-06 14:48:31.619670 True [    2045.163108] 0003 0035 00000389
2022-04-06 14:48:31.628068 True [    2045.171183] 0003 0035 0000038a
2022-04-06 14:48:31.636255 True [    2045.179630] 0003 0035 0000038b
2022-04-06 14:48:31.653799 True [    2045.196249] 0003 0035 0000038d
2022-04-06 14:48:31.653799 True [    2045.196249] 0003 0036 000005fa
2022-04-06 14:48:31.661672 True [    2045.204574] 0003 0035 0000038e
2022-04-06 14:48:31.661672 True [    2045.204574] 0003 0036 000005fb
2022-04-06 14:48:31.678056 True [    2045.221076] 0003 0035 0000038f
2022-04-06 14:48:31.678056 True [    2045.221076] 0003 0036 000005fc
2022-04-06 14:48:31.685965 True [    2045.229485] 0003 0035 00000391
2022-04-06 14:48:31.685965 True [    2045.229485] 0003 0036 000005fe
2022-04-06 14:48:31.694930 True [    2045.237665] 0003 0035 00000392
2022-04-06 14:48:31.694930 True [    2045.237665] 0003 0036 000005ff
2022-04-06 14:48:31.710959 True [    2045.254377] 0003 0035 00000393
2022-04-06 14:48:31.710959 True [    2045.254377] 0003 0036 00000600
2022-04-06 14:48:31.719893 True [    2045.262748] 0003 0035 00000394
2022-04-06 14:48:31.719893 True [    2045.262748] 0003 0036 00000602
2022-04-06 14:48:31.728087 True [    2045.270920] 0003 0035 00000395
2022-04-06 14:48:31.728087 True [    2045.270920] 0003 0036 00000605
2022-04-06 14:48:31.735929 True [    2045.279363] 0003 0035 00000396
2022-04-06 14:48:31.735929 True [    2045.279363] 0003 0036 00000608
2022-04-06 14:48:31.745336 True [    2045.287562] 0003 0035 00000398
2022-04-06 14:48:31.745336 True [    2045.287562] 0003 0036 0000060a
2022-04-06 14:48:31.753013 True [    2045.295984] 0003 0035 00000399
2022-04-06 14:48:31.753721 True [    2045.295984] 0003 0036 0000060d
2022-04-06 14:48:31.761987 True [    2045.304152] 0003 0036 0000060f
2022-04-06 14:48:31.769836 True [    2045.312617] 0003 0035 0000039a
2022-04-06 14:48:31.769836 True [    2045.312617] 0003 0036 00000610
2022-04-06 14:48:31.777783 True [    2045.320872] 0003 0035 0000039b
2022-04-06 14:48:31.777783 True [    2045.320872] 0003 0036 00000612
2022-04-06 14:48:31.786128 True [    2045.329246] 0003 0035 0000039c
2022-04-06 14:48:31.786128 True [    2045.329246] 0003 0036 00000614
2022-04-06 14:48:31.804570 True [    2045.345921] 0003 0035 0000039d
2022-04-06 14:48:31.804570 True [    2045.345921] 0003 0036 00000616
2022-04-06 14:48:31.810677 True [    2045.353992] 0003 0036 0000061a
2022-04-06 14:48:31.819601 True [    2045.362460] 0003 0035 0000039e
2022-04-06 14:48:31.819601 True [    2045.362460] 0003 0036 0000061e
2022-04-06 14:48:31.827611 True [    2045.370631] 0003 0035 0000039f
2022-04-06 14:48:31.827611 True [    2045.370631] 0003 0036 00000621
2022-04-06 14:48:31.835875 True [    2045.379089] 0003 0035 000003a1
2022-04-06 14:48:31.835875 True [    2045.379089] 0003 0036 00000624
2022-04-06 14:48:31.844112 True [    2045.387298] 0003 0035 000003a4
2022-04-06 14:48:31.844112 True [    2045.387298] 0003 0036 00000626
2022-04-06 14:48:31.853735 True [    2045.395694] 0003 0036 00000629
2022-04-06 14:48:31.860681 True [    2045.403884] 0003 0035 000003a5
2022-04-06 14:48:31.860681 True [    2045.403884] 0003 0036 0000062b
2022-04-06 14:48:31.870123 True [    2045.412410] 0003 0035 000003a6
2022-04-06 14:48:31.870123 True [    2045.412410] 0003 0036 0000062d
2022-04-06 14:48:31.878259 True [    2045.420725] 0003 0035 000003a7
2022-04-06 14:48:31.878259 True [    2045.420725] 0003 0036 0000062f
2022-04-06 14:48:31.885690 True [    2045.428973] 0003 0035 000003a8
2022-04-06 14:48:31.886694 True [    2045.428973] 0003 0036 00000630
2022-04-06 14:48:31.893933 True [    2045.437172] 0003 0035 000003a9
2022-04-06 14:48:31.893933 True [    2045.437172] 0003 0036 00000632
2022-04-06 14:48:31.904010 True [    2045.445577] 0003 0035 000003aa
2022-04-06 14:48:31.904010 True [    2045.445577] 0003 0036 00000634
2022-04-06 14:48:31.911705 True [    2045.453746] 0003 0035 000003ab
2022-04-06 14:48:31.911705 True [    2045.453746] 0003 0036 00000635
2022-04-06 14:48:31.929101 True [    2045.470574] 0003 0036 00000637
2022-04-06 14:48:31.936413 True [    2045.478807] 0003 0035 000003ac
2022-04-06 14:48:31.936413 True [    2045.478807] 0003 0036 00000639
2022-04-06 14:48:31.945374 True [    2045.487043] 0003 0035 000003ae
2022-04-06 14:48:31.945374 True [    2045.487043] 0003 0036 0000063d
2022-04-06 14:48:31.953537 True [    2045.495422] 0003 0035 000003b2
2022-04-06 14:48:31.953537 True [    2045.495422] 0003 0036 00000643
2022-04-06 14:48:31.974449 True [    2045.512073] 0003 0036 0000064a
2022-04-06 14:48:31.977521 True [    2045.520431] 0003 0036 00000650
2022-04-06 14:48:31.985767 True [    2045.528657] 0003 0035 000003b3
2022-04-06 14:48:31.985767 True [    2045.528657] 0003 0036 00000655
2022-04-06 14:48:31.994307 True [    2045.536869] 0003 0035 000003b4
2022-04-06 14:48:31.994307 True [    2045.536869] 0003 0036 00000659
2022-04-06 14:48:32.001876 True [    2045.545298] 0003 0036 0000065c
2022-04-06 14:48:32.010888 True [    2045.553440] 0003 0035 000003b7
2022-04-06 14:48:32.010888 True [    2045.553440] 0003 0036 0000065e
2022-04-06 14:48:32.028386 True [    2045.570116] 0003 0035 000003b9
2022-04-06 14:48:32.028386 True [    2045.570116] 0003 0036 00000661
2022-04-06 14:48:32.034685 True [    2045.578502] 0003 0035 000003bb
2022-04-06 14:48:32.036488 True [    2045.578502] 0003 0036 00000663
2022-04-06 14:48:32.051704 True [    2045.595194] 0003 0035 000003bd
2022-04-06 14:48:32.053707 True [    2045.595194] 0003 0036 00000666
2022-04-06 14:48:32.061733 True [    2045.603303] 0003 0035 000003be
2022-04-06 14:48:32.061733 True [    2045.603303] 0003 0036 00000668
2022-04-06 14:48:32.068182 True [    2045.611748] 0003 0035 000003c0
2022-04-06 14:48:32.068182 True [    2045.611748] 0003 0036 0000066b
2022-04-06 14:48:32.076729 True [    2045.619969] 0003 0035 000003c1
2022-04-06 14:48:32.076729 True [    2045.619969] 0003 0036 0000066e
2022-04-06 14:48:32.085189 True [    2045.628393] 0003 0035 000003c2
2022-04-06 14:48:32.085189 True [    2045.628393] 0003 0036 00000670
2022-04-06 14:48:32.093156 True [    2045.636621] 0003 0035 000003c4
2022-04-06 14:48:32.093156 True [    2045.636621] 0003 0036 00000673
2022-04-06 14:48:32.101726 True [    2045.645014] 0003 0036 00000675
2022-04-06 14:48:32.109326 True [    2045.653170] 0003 0035 000003c5
2022-04-06 14:48:32.109326 True [    2045.653170] 0003 0036 00000677
2022-04-06 14:48:32.118129 True [    2045.661646] 0003 0035 000003c6
2022-04-06 14:48:32.118129 True [    2045.661646] 0003 0036 00000679
2022-04-06 14:48:32.135725 True [    2045.678245] 0003 0035 000003c7
2022-04-06 14:48:32.135725 True [    2045.678245] 0003 0036 0000067c
2022-04-06 14:48:32.143656 True [    2045.686430] 0003 0036 0000067e
2022-04-06 14:48:32.151383 True [    2045.694839] 0003 0035 000003c8
2022-04-06 14:48:32.151383 True [    2045.694839] 0003 0036 0000067f
2022-04-06 14:48:32.160678 True [    2045.702991] 0003 0036 00000680
2022-04-06 14:48:32.167961 True [    2045.711462] 0003 0035 000003c9
2022-04-06 14:48:32.167961 True [    2045.711462] 0003 0036 00000681
2022-04-06 14:48:32.176508 True [    2045.719620] 0003 0036 00000683
2022-04-06 14:48:32.193651 True [    2045.736342] 0003 0035 000003ca
2022-04-06 14:48:32.193651 True [    2045.736342] 0003 0036 00000684
2022-04-06 14:48:32.218632 True [    2045.761368] 0003 0035 000003cc
2022-04-06 14:48:32.218632 True [    2045.761368] 0003 0036 0000068e
2022-04-06 14:48:32.227596 True [    2045.769516] 0003 0035 000003ce
2022-04-06 14:48:32.227596 True [    2045.769516] 0003 0036 00000694
2022-04-06 14:48:32.234169 True [    2045.777939] 0003 0035 000003cf
2022-04-06 14:48:32.234169 True [    2045.777939] 0003 0036 00000699
2022-04-06 14:48:32.243230 True [    2045.786109] 0003 0036 0000069e
2022-04-06 14:48:32.251087 True [    2045.794584] 0003 0035 000003d0
2022-04-06 14:48:32.251087 True [    2045.794584] 0003 0036 000006a1
2022-04-06 14:48:32.259513 True [    2045.802822] 0003 0036 000006a2
2022-04-06 14:48:32.267509 True [    2045.811207] 0003 0036 000006a4
2022-04-06 14:48:32.276251 True [    2045.819361] 0003 0035 000003d1
2022-04-06 14:48:32.284550 True [    2045.827819] 0003 0036 000006a6
2022-04-06 14:48:32.292691 True [    2045.835978] 0003 0036 000006a8
2022-04-06 14:48:32.301873 True [    2045.844525] 0003 0035 000003d2
2022-04-06 14:48:32.301873 True [    2045.844525] 0003 0036 000006aa
2022-04-06 14:48:32.308797 True [    2045.852623] 0003 0036 000006ab
2022-04-06 14:48:32.318117 True [    2045.861058] 0003 0036 000006ad
2022-04-06 14:48:32.325852 True [    2045.869223] 0003 0036 000006af
2022-04-06 14:48:32.333610 True [    2045.877688] 0003 0036 000006b0
2022-04-06 14:48:32.342730 True [    2045.885835] 0003 0036 000006b1
2022-04-06 14:48:32.350913 True [    2045.894287] 0003 0035 000003d3
2022-04-06 14:48:32.350913 True [    2045.894287] 0003 0036 000006b2
2022-04-06 14:48:32.359097 True [    2045.902459] 0003 0036 000006b3
2022-04-06 14:48:32.368042 True [    2045.910899] 0003 0036 000006b4
2022-04-06 14:48:32.376213 True [    2045.919076] 0003 0035 000003d6
2022-04-06 14:48:32.376213 True [    2045.919076] 0003 0036 000006ba
2022-04-06 14:48:32.383564 True [    2045.927525] 0003 0036 000006bf
2022-04-06 14:48:32.392481 True [    2045.935696] 0003 0036 000006c4
2022-04-06 14:48:32.400757 True [    2045.944151] 0003 0035 000003d7
2022-04-06 14:48:32.400757 True [    2045.944151] 0003 0036 000006c6
2022-04-06 14:48:32.410180 True [    2045.952322] 0003 0035 000003d8
2022-04-06 14:48:32.410180 True [    2045.952322] 0003 0036 000006c8
2022-04-06 14:48:32.418015 True [    2045.960870] 0003 0035 000003d9
2022-04-06 14:48:32.418015 True [    2045.960870] 0003 0036 000006ca
2022-04-06 14:48:32.426187 True [    2045.968928] 0003 0036 000006cc
2022-04-06 14:48:32.433543 True [    2045.977377] 0003 0036 000006ce
2022-04-06 14:48:32.442860 True [    2045.985588] 0003 0036 000006cf
2022-04-06 14:48:32.450128 True [    2045.994027] 0003 0036 000006d0
2022-04-06 14:48:32.459145 True [    2046.002185] 0003 0035 000003da
2022-04-06 14:48:32.459145 True [    2046.002185] 0003 0036 000006d2
2022-04-06 14:48:32.467168 True [    2046.010615] 0003 0036 000006d4
2022-04-06 14:48:32.476463 True [    2046.018956] 0003 0035 000003d9
2022-04-06 14:48:32.476463 True [    2046.018956] 0003 0036 000006d5
2022-04-06 14:48:32.483492 True [    2046.027254] 0003 0036 000006d8
2022-04-06 14:48:32.492118 True [    2046.035426] 0003 0036 000006da
2022-04-06 14:48:32.499991 True [    2046.043868] 0003 0036 000006dc
2022-04-06 14:48:32.509100 True [    2046.052040] 0003 0036 000006df
2022-04-06 14:48:32.517879 True [    2046.060650] 0003 0036 000006e1
2022-04-06 14:48:32.526182 True [    2046.068666] 0003 0036 000006e3
2022-04-06 14:48:32.533272 True [    2046.077092] 0003 0036 000006e4
2022-04-06 14:48:32.542353 True [    2046.085264] 0003 0036 000006e6
2022-04-06 14:48:32.550691 True [    2046.093728] 0003 0036 000006e7
2022-04-06 14:48:32.558144 True [    2046.101907] 0003 0036 000006e8
2022-04-06 14:48:32.567755 True [    2046.110331] 0003 0036 000006e9
