Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.6745057391461673 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:43:33.801199 False [  158936.910201] 0003 0035 000004fe
2022-04-02 17:43:33.801199 False [  158936.920086] 0003 0035 000004fd
2022-04-02 17:43:33.801199 False [  158936.930540] 0003 0035 000004fc
2022-04-02 17:43:33.806479 False [  158936.944908] 0003 0035 000004fb
2022-04-02 17:43:33.820979 False [  158936.971745] 0003 0035 000004fa
2022-04-02 17:43:33.832276 False [  158936.978709] 0003 0035 000004f9
2022-04-02 17:43:33.889797 False [  158936.995010] 0003 0035 000004f7
2022-04-02 17:43:33.906762 False [  158937.006917] 0003 0035 000004f6
2022-04-02 17:43:33.906762 False [  158937.016490] 0003 0035 000004f4
2022-04-02 17:43:33.906762 False [  158937.025719] 0003 0035 000004f3
2022-04-02 17:43:33.906762 False [  158937.034307] 0003 0035 000004f1
2022-04-02 17:43:33.906762 False [  158937.043977] 0003 0035 000004f0
2022-04-02 17:43:33.929099 False [  158937.061287] 0003 0035 000004ed
2022-04-02 17:43:33.937361 False [  158937.071237] 0003 0035 000004ec
2022-04-02 17:43:33.951026 False [  158937.086616] 0003 0035 000004eb
2022-04-02 17:43:33.955289 False [  158937.094550] 0003 0035 000004ea
2022-04-02 17:43:33.968206 False [  158937.111404] 0003 0035 000004e9
2022-04-02 17:43:34.018287 False [  158937.145673] 0003 0035 000004e8
2022-04-02 17:43:34.087949 False [  158937.161147] 0003 0035 000004e7
2022-04-02 17:43:34.087949 False [  158937.173391] 0003 0035 000004e6
2022-04-02 17:43:34.102122 False [  158937.183175] 0003 0035 000004e4
2022-04-02 17:43:34.102122 False [  158937.183175] 0003 0036 0000049c
2022-04-02 17:43:34.102122 False [  158937.191212] 0003 0035 000004e2
2022-04-02 17:43:34.102122 False [  158937.201803] 0003 0035 000004e0
2022-04-02 17:43:34.102122 False [  158937.213508] 0003 0035 000004de
2022-04-02 17:43:34.102122 False [  158937.223509] 0003 0035 000004dc
2022-04-02 17:43:34.102122 False [  158937.233124] 0003 0035 000004db
2022-04-02 17:43:34.106506 True [  158937.243285] 0003 0035 000004da
2022-04-02 17:43:34.157944 True [  158937.261183] 0003 0035 000004d9
