Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 2.8140703829898075 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:51:34.394981 False [  145008.308189] 0003 0036 000001e8
2022-04-02 13:51:34.623117 False [  145008.533231] 0003 0035 0000013b
2022-04-02 13:51:34.623117 False [  145008.533231] 0003 0036 000001e9
2022-04-02 13:51:34.627909 False [  145008.540456] 0003 0036 000001ea
2022-04-02 13:51:34.634934 False [  145008.547967] 0003 0035 0000013c
2022-04-02 13:51:34.641690 False [  145008.556602] 0003 0035 0000013d
2022-04-02 13:51:34.641690 False [  145008.556602] 0003 0036 000001eb
2022-04-02 13:51:34.652489 False [  145008.565070] 0003 0036 000001ec
2022-04-02 13:51:34.658945 False [  145008.573021] 0003 0035 0000013e
2022-04-02 13:51:34.668561 False [  145008.581708] 0003 0036 000001ed
2022-04-02 13:51:34.677582 False [  145008.590174] 0003 0035 0000013f
2022-04-02 13:51:34.677582 False [  145008.590174] 0003 0036 000001ee
2022-04-02 13:51:34.684452 False [  145008.597845] 0003 0035 00000140
2022-04-02 13:51:34.684452 False [  145008.597845] 0003 0036 000001ef
2022-04-02 13:51:34.694813 False [  145008.606461] 0003 0035 00000141
2022-04-02 13:51:34.694813 False [  145008.606461] 0003 0036 000001f0
2022-04-02 13:51:34.704563 False [  145008.616815] 0003 0036 000001f1
2022-04-02 13:51:34.719934 False [  145008.632459] 0003 0035 00000142
2022-04-02 13:51:34.719934 False [  145008.632459] 0003 0036 000001f2
2022-04-02 13:51:34.728724 False [  145008.639497] 0003 0035 00000143
2022-04-02 13:51:34.729894 False [  145008.639497] 0003 0036 000001f3
2022-04-02 13:51:34.733063 False [  145008.647797] 0003 0035 00000144
2022-04-02 13:51:34.733063 False [  145008.647797] 0003 0036 000001f4
2022-04-02 13:51:34.745845 False [  145008.656307] 0003 0036 000001f5
2022-04-02 13:51:34.752721 False [  145008.664394] 0003 0035 00000145
2022-04-02 13:51:34.761035 False [  145008.673332] 0003 0036 000001f6
2022-04-02 13:51:34.769269 False [  145008.681288] 0003 0035 00000146
2022-04-02 13:51:34.769269 False [  145008.681288] 0003 0036 000001f7
2022-04-02 13:51:34.777802 False [  145008.689800] 0003 0035 00000147
2022-04-02 13:51:34.777802 False [  145008.689800] 0003 0036 000001f9
2022-04-02 13:51:34.784817 False [  145008.697657] 0003 0035 00000148
2022-04-02 13:51:34.793254 False [  145008.706545] 0003 0036 000001fa
2022-04-02 13:51:34.801706 False [  145008.714606] 0003 0035 0000014a
2022-04-02 13:51:34.801706 False [  145008.714606] 0003 0036 000001fc
2022-04-02 13:51:34.809414 False [  145008.722686] 0003 0035 0000014b
2022-04-02 13:51:34.809414 False [  145008.722686] 0003 0036 000001fd
2022-04-02 13:51:34.819095 False [  145008.732357] 0003 0035 0000014c
2022-04-02 13:51:34.819095 False [  145008.732357] 0003 0036 000001fe
2022-04-02 13:51:34.825702 False [  145008.739319] 0003 0035 0000014d
2022-04-02 13:51:34.825702 False [  145008.739319] 0003 0036 000001ff
2022-04-02 13:51:34.835220 False [  145008.747488] 0003 0035 0000014e
2022-04-02 13:51:34.835220 False [  145008.747488] 0003 0036 00000201
2022-04-02 13:51:34.843301 False [  145008.755994] 0003 0035 0000014f
2022-04-02 13:51:34.843301 False [  145008.755994] 0003 0036 00000202
2022-04-02 13:51:34.850084 False [  145008.764077] 0003 0036 00000203
2022-04-02 13:51:34.858545 False [  145008.773539] 0003 0035 00000150
2022-04-02 13:51:34.858545 False [  145008.773539] 0003 0036 00000205
2022-04-02 13:51:34.867357 False [  145008.781610] 0003 0035 00000151
2022-04-02 13:51:34.867357 False [  145008.781610] 0003 0036 00000206
2022-04-02 13:51:34.876769 False [  145008.789213] 0003 0035 00000152
2022-04-02 13:51:34.883171 False [  145008.797583] 0003 0035 00000153
2022-04-02 13:51:34.883171 False [  145008.797583] 0003 0036 00000208
2022-04-02 13:51:34.893462 False [  145008.806710] 0003 0036 00000209
2022-04-02 13:51:34.901874 False [  145008.813997] 0003 0035 00000155
2022-04-02 13:51:34.901874 False [  145008.813997] 0003 0036 0000020b
2022-04-02 13:51:34.908100 False [  145008.822374] 0003 0035 00000156
2022-04-02 13:51:34.908100 False [  145008.822374] 0003 0036 0000020c
2022-04-02 13:51:34.918464 False [  145008.832172] 0003 0036 0000020d
2022-04-02 13:51:34.925725 False [  145008.839105] 0003 0035 00000158
2022-04-02 13:51:34.925725 False [  145008.839105] 0003 0036 0000020f
2022-04-02 13:51:34.936125 False [  145008.848129] 0003 0035 00000159
2022-04-02 13:51:34.936125 False [  145008.848129] 0003 0036 00000210
2022-04-02 13:51:34.942737 False [  145008.855596] 0003 0035 0000015a
2022-04-02 13:51:34.942737 False [  145008.855596] 0003 0036 00000212
2022-04-02 13:51:34.951660 False [  145008.863822] 0003 0035 0000015b
2022-04-02 13:51:34.951660 False [  145008.863822] 0003 0036 00000213
2022-04-02 13:51:34.959370 False [  145008.873482] 0003 0035 0000015d
2022-04-02 13:51:34.959370 False [  145008.873482] 0003 0036 00000215
2022-04-02 13:51:34.966221 False [  145008.880826] 0003 0036 00000216
2022-04-02 13:51:34.976691 False [  145008.890323] 0003 0035 0000015f
2022-04-02 13:51:34.976691 False [  145008.890323] 0003 0036 00000219
2022-04-02 13:51:34.985099 False [  145008.897414] 0003 0035 00000160
2022-04-02 13:51:34.992248 False [  145008.906464] 0003 0035 00000161
2022-04-02 13:51:34.992248 False [  145008.906464] 0003 0036 0000021c
2022-04-02 13:51:35.000026 False [  145008.913759] 0003 0035 00000163
2022-04-02 13:51:35.000026 False [  145008.913759] 0003 0036 0000021e
2022-04-02 13:51:35.009347 False [  145008.922410] 0003 0035 00000165
2022-04-02 13:51:35.010344 False [  145008.922410] 0003 0036 00000220
2022-04-02 13:51:35.016808 False [  145008.930388] 0003 0035 00000166
2022-04-02 13:51:35.016808 False [  145008.930388] 0003 0036 00000222
2022-04-02 13:51:35.025536 False [  145008.938926] 0003 0035 00000168
2022-04-02 13:51:35.025536 False [  145008.938926] 0003 0036 00000224
2022-04-02 13:51:35.033786 False [  145008.946949] 0003 0035 00000169
2022-04-02 13:51:35.033786 False [  145008.946949] 0003 0036 00000227
2022-04-02 13:51:35.043963 False [  145008.956852] 0003 0035 0000016b
2022-04-02 13:51:35.043963 False [  145008.956852] 0003 0036 00000229
2022-04-02 13:51:35.050088 False [  145008.963719] 0003 0035 0000016c
2022-04-02 13:51:35.050088 False [  145008.963719] 0003 0036 0000022b
2022-04-02 13:51:35.060113 False [  145008.972974] 0003 0035 0000016e
2022-04-02 13:51:35.060113 False [  145008.972974] 0003 0036 0000022d
2022-04-02 13:51:35.066811 False [  145008.980368] 0003 0035 0000016f
2022-04-02 13:51:35.066811 False [  145008.980368] 0003 0036 0000022f
2022-04-02 13:51:35.077713 False [  145008.989102] 0003 0035 00000171
2022-04-02 13:51:35.077713 False [  145008.989102] 0003 0036 00000232
2022-04-02 13:51:35.084614 False [  145008.996879] 0003 0035 00000173
2022-04-02 13:51:35.084614 False [  145008.996879] 0003 0036 00000234
2022-04-02 13:51:35.092352 False [  145009.005320] 0003 0035 00000174
2022-04-02 13:51:35.092352 False [  145009.005320] 0003 0036 00000237
2022-04-02 13:51:35.102320 False [  145009.013486] 0003 0035 00000176
2022-04-02 13:51:35.102320 False [  145009.013486] 0003 0036 00000239
2022-04-02 13:51:35.109820 False [  145009.021941] 0003 0036 0000023b
2022-04-02 13:51:35.116797 False [  145009.030113] 0003 0035 00000179
2022-04-02 13:51:35.116797 False [  145009.030113] 0003 0036 0000023e
2022-04-02 13:51:35.126050 False [  145009.038775] 0003 0035 0000017a
2022-04-02 13:51:35.126050 False [  145009.038775] 0003 0036 0000023f
2022-04-02 13:51:35.134000 False [  145009.046814] 0003 0035 0000017c
2022-04-02 13:51:35.134000 False [  145009.046814] 0003 0036 00000241
2022-04-02 13:51:35.142687 False [  145009.055705] 0003 0035 0000017d
2022-04-02 13:51:35.142687 False [  145009.055705] 0003 0036 00000243
2022-04-02 13:51:35.152076 False [  145009.063383] 0003 0035 0000017e
2022-04-02 13:51:35.152076 False [  145009.063383] 0003 0036 00000245
2022-04-02 13:51:35.159369 False [  145009.072180] 0003 0035 0000017f
2022-04-02 13:51:35.159369 False [  145009.072180] 0003 0036 00000247
2022-04-02 13:51:35.166858 False [  145009.079996] 0003 0035 00000181
2022-04-02 13:51:35.166858 False [  145009.079996] 0003 0036 00000249
2022-04-02 13:51:35.175717 False [  145009.088849] 0003 0035 00000182
2022-04-02 13:51:35.175717 False [  145009.088849] 0003 0036 0000024a
2022-04-02 13:51:35.183262 False [  145009.096769] 0003 0035 00000183
2022-04-02 13:51:35.183262 False [  145009.096769] 0003 0036 0000024c
2022-04-02 13:51:35.193151 False [  145009.106273] 0003 0035 00000184
2022-04-02 13:51:35.193151 False [  145009.106273] 0003 0036 0000024e
2022-04-02 13:51:35.201103 False [  145009.113212] 0003 0035 00000185
2022-04-02 13:51:35.201103 False [  145009.113212] 0003 0036 0000024f
2022-04-02 13:51:35.208877 False [  145009.121663] 0003 0035 00000186
2022-04-02 13:51:35.208877 False [  145009.121663] 0003 0036 00000250
