Mode = area stim
    verts = 4 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.14700834812125765 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 14:46:50.423780 False [    1943.968761] 0003 0035 00000424
2022-04-06 14:46:50.431626 False [    1943.976547] 0003 0036 0000039c
2022-04-06 14:46:50.439856 False [    1943.985171] 0003 0035 00000425
2022-04-06 14:46:50.447701 False [    1943.993096] 0003 0035 00000426
2022-04-06 14:46:50.458230 False [    1944.003055] 0003 0035 00000428
2022-04-06 14:46:50.464647 False [    1944.009730] 0003 0035 0000042b
2022-04-06 14:46:50.475012 False [    1944.019582] 0003 0035 0000042d
2022-04-06 14:46:50.481866 False [    1944.026528] 0003 0035 0000042f
2022-04-06 14:46:50.492125 False [    1944.036496] 0003 0035 00000430
2022-04-06 14:46:50.498016 False [    1944.042980] 0003 0035 00000431
2022-04-06 14:46:50.508372 False [    1944.052812] 0003 0035 00000436
2022-04-06 14:46:50.508372 False [    1944.052812] 0003 0036 0000039d
2022-04-06 14:46:50.515155 False [    1944.059641] 0003 0035 0000043a
2022-04-06 14:46:50.515155 False [    1944.059641] 0003 0036 0000039e
2022-04-06 14:46:50.524080 False [    1944.068438] 0003 0035 0000043d
2022-04-06 14:46:50.524080 False [    1944.068438] 0003 0036 0000039f
2022-04-06 14:46:50.531189 False [    1944.076295] 0003 0035 0000043f
2022-04-06 14:46:50.541667 False [    1944.086203] 0003 0035 00000441
2022-04-06 14:46:50.548261 False [    1944.092883] 0003 0035 00000442
2022-04-06 14:46:50.558043 False [    1944.102619] 0003 0035 00000444
2022-04-06 14:46:50.573692 False [    1944.118220] 0003 0035 00000446
2022-04-06 14:46:50.573692 False [    1944.118220] 0003 0036 000003a1
2022-04-06 14:46:50.581104 False [    1944.126102] 0003 0035 00000448
2022-04-06 14:46:50.581104 False [    1944.126102] 0003 0036 000003a2
2022-04-06 14:46:50.593482 False [    1944.135867] 0003 0036 000003a3
2022-04-06 14:46:50.597942 False [    1944.142980] 0003 0035 00000449
2022-04-06 14:46:50.599261 False [    1944.142980] 0003 0036 000003a4
2022-04-06 14:46:50.607165 False [    1944.151897] 0003 0035 0000044c
2022-04-06 14:46:50.608278 False [    1944.151897] 0003 0036 000003a5
2022-04-06 14:46:50.615130 False [    1944.159504] 0003 0035 0000044f
2022-04-06 14:46:50.615130 False [    1944.159504] 0003 0036 000003a7
2022-04-06 14:46:50.625005 False [    1944.168930] 0003 0035 00000451
2022-04-06 14:46:50.625005 False [    1944.168930] 0003 0036 000003a8
2022-04-06 14:46:50.633336 False [    1944.176194] 0003 0035 00000453
2022-04-06 14:46:50.633336 False [    1944.176194] 0003 0036 000003a9
2022-04-06 14:46:50.640705 False [    1944.184769] 0003 0035 00000454
2022-04-06 14:46:50.640705 False [    1944.184769] 0003 0036 000003aa
2022-04-06 14:46:50.648407 False [    1944.192570] 0003 0035 00000456
2022-04-06 14:46:50.648407 False [    1944.192570] 0003 0036 000003ab
2022-04-06 14:46:50.657506 False [    1944.202366] 0003 0035 00000457
2022-04-06 14:46:50.658469 False [    1944.202366] 0003 0036 000003ad
2022-04-06 14:46:50.664725 False [    1944.209185] 0003 0035 00000458
2022-04-06 14:46:50.664725 False [    1944.209185] 0003 0036 000003af
2022-04-06 14:46:50.674125 False [    1944.218807] 0003 0035 00000459
2022-04-06 14:46:50.682109 False [    1944.225813] 0003 0035 0000045a
2022-04-06 14:46:50.682109 False [    1944.225813] 0003 0036 000003b0
2022-04-06 14:46:50.690657 False [    1944.234449] 0003 0036 000003b1
2022-04-06 14:46:50.697206 False [    1944.242425] 0003 0035 0000045b
2022-04-06 14:46:50.698884 False [    1944.242425] 0003 0036 000003b2
2022-04-06 14:46:50.706250 False [    1944.251117] 0003 0036 000003b3
2022-04-06 14:46:50.716391 False [    1944.259126] 0003 0035 0000045c
2022-04-06 14:46:50.723266 False [    1944.267503] 0003 0036 000003b4
2022-04-06 14:46:50.741367 False [    1944.284134] 0003 0035 0000045d
2022-04-06 14:46:50.748371 False [    1944.292355] 0003 0036 000003b5
2022-04-06 14:46:50.875037 False [    1944.417020] 0003 0035 0000045b
2022-04-06 14:46:50.876041 False [    1944.417020] 0003 0036 000003b4
2022-04-06 14:46:50.881696 False [    1944.425279] 0003 0035 00000459
2022-04-06 14:46:50.889862 False [    1944.433676] 0003 0035 00000457
2022-04-06 14:46:50.889862 False [    1944.433676] 0003 0036 000003b3
2022-04-06 14:46:50.898274 False [    1944.441863] 0003 0035 00000456
2022-04-06 14:46:50.898274 False [    1944.441863] 0003 0036 000003b2
2022-04-06 14:46:50.907064 False [    1944.450300] 0003 0035 0000044f
2022-04-06 14:46:50.907064 False [    1944.450300] 0003 0036 000003b1
2022-04-06 14:46:50.914884 False [    1944.458436] 0003 0035 0000044a
2022-04-06 14:46:50.914884 False [    1944.458436] 0003 0036 000003b0
2022-04-06 14:46:50.921554 False [    1944.466914] 0003 0035 00000446
2022-04-06 14:46:50.922472 False [    1944.466914] 0003 0036 000003af
2022-04-06 14:46:50.931057 False [    1944.475075] 0003 0035 00000442
2022-04-06 14:46:50.931057 False [    1944.475075] 0003 0036 000003ae
2022-04-06 14:46:50.938668 False [    1944.483611] 0003 0035 0000043e
2022-04-06 14:46:50.939671 False [    1944.483611] 0003 0036 000003ad
2022-04-06 14:46:50.946882 False [    1944.491685] 0003 0035 0000043c
2022-04-06 14:46:50.948025 False [    1944.491685] 0003 0036 000003ac
2022-04-06 14:46:50.955967 False [    1944.500266] 0003 0035 00000434
2022-04-06 14:46:50.955967 False [    1944.500266] 0003 0036 000003aa
2022-04-06 14:46:50.964898 False [    1944.508358] 0003 0035 0000042f
2022-04-06 14:46:50.964898 False [    1944.508358] 0003 0036 000003a9
2022-04-06 14:46:50.971872 False [    1944.516775] 0003 0035 0000042b
2022-04-06 14:46:50.971872 False [    1944.516775] 0003 0036 000003a8
2022-04-06 14:46:50.980718 False [    1944.524962] 0003 0035 00000428
