Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.882655844763039 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-06 13:50:57.974528 False [  230089.341244] 0003 0035 000005a6
2022-04-06 13:50:57.974528 False [  230089.341244] 0003 0036 000004ee
2022-04-06 13:50:57.984185 False [  230089.350072] 0003 0035 000005a2
2022-04-06 13:50:57.984185 False [  230089.350072] 0003 0036 000004e7
2022-04-06 13:50:57.993926 False [  230089.358272] 0003 0035 0000059c
2022-04-06 13:50:57.993926 False [  230089.358272] 0003 0036 000004e1
2022-04-06 13:50:57.993926 False [  230089.358272] 0003 0035 000005b9
2022-04-06 13:50:57.993926 False [  230089.358272] 0003 0036 000005aa
2022-04-06 13:50:57.999837 False [  230089.366241] 0003 0035 00000599
2022-04-06 13:50:57.999837 False [  230089.366241] 0003 0036 000004dd
2022-04-06 13:50:58.008862 False [  230089.374552] 0003 0035 00000596
2022-04-06 13:50:58.008862 False [  230089.374552] 0003 0036 000004da
2022-04-06 13:50:58.017937 False [  230089.382989] 0003 0035 00000592
2022-04-06 13:50:58.017937 False [  230089.382989] 0003 0036 000004d5
2022-04-06 13:50:58.025104 False [  230089.391158] 0003 0035 0000058f
2022-04-06 13:50:58.025104 False [  230089.391158] 0003 0036 000004d3
2022-04-06 13:50:58.032989 False [  230089.399623] 0003 0035 0000058d
2022-04-06 13:50:58.032989 False [  230089.399623] 0003 0036 000004cf
2022-04-06 13:50:58.041456 False [  230089.407876] 0003 0035 0000058a
2022-04-06 13:50:58.041456 False [  230089.407876] 0003 0036 000004cd
2022-04-06 13:50:58.049837 False [  230089.416290] 0003 0035 00000588
2022-04-06 13:50:58.049837 False [  230089.416290] 0003 0036 000004ca
2022-04-06 13:50:58.058003 False [  230089.424643] 0003 0035 00000586
2022-04-06 13:50:58.058003 False [  230089.424643] 0003 0036 000004c9
2022-04-06 13:50:58.066586 False [  230089.432937] 0003 0035 00000585
2022-04-06 13:50:58.066586 False [  230089.432937] 0003 0036 000004c7
2022-04-06 13:50:58.074673 False [  230089.441022] 0003 0035 00000584
2022-04-06 13:50:58.074673 False [  230089.441022] 0003 0036 000004c4
2022-04-06 13:50:58.082876 False [  230089.449489] 0003 0035 00000583
2022-04-06 13:50:58.082876 False [  230089.449489] 0003 0036 000004c3
2022-04-06 13:50:58.091120 False [  230089.457661] 0003 0035 00000582
2022-04-06 13:50:58.092291 False [  230089.457661] 0003 0036 000004c1
2022-04-06 13:50:58.100928 False [  230089.466146] 0003 0036 000004c0
2022-04-06 13:50:58.108836 False [  230089.474459] 0003 0036 000004bf
2022-04-06 13:50:58.117595 False [  230089.483121] 0003 0035 00000581
2022-04-06 13:50:58.117595 False [  230089.483121] 0003 0036 000004be
2022-04-06 13:50:58.117595 False [  230089.483121] 0003 0035 000005b8
2022-04-06 13:50:58.126964 False [  230089.490961] 0003 0036 000004bd
2022-04-06 13:50:58.126964 False [  230089.490961] 0003 0035 000005b6
2022-04-06 13:50:58.133819 False [  230089.499661] 0003 0035 00000580
2022-04-06 13:50:58.133819 False [  230089.499661] 0003 0035 000005b5
2022-04-06 13:50:58.142114 False [  230089.507697] 0003 0036 000004bc
2022-04-06 13:50:58.142114 False [  230089.507697] 0003 0035 000005b4
2022-04-06 13:50:58.149792 False [  230089.516053] 0003 0036 000004bb
2022-04-06 13:50:58.158987 False [  230089.524249] 0003 0035 000005b3
2022-04-06 13:50:58.167554 False [  230089.532765] 0003 0035 0000057f
2022-04-06 13:50:58.167554 False [  230089.532765] 0003 0036 000004ba
2022-04-06 13:50:58.167554 False [  230089.532765] 0003 0035 000005b2
2022-04-06 13:50:58.175042 False [  230089.540884] 0003 0035 000005b1
2022-04-06 13:50:58.184256 False [  230089.549261] 0003 0036 000004b9
2022-04-06 13:50:58.184256 False [  230089.549261] 0003 0036 000005ab
2022-04-06 13:50:58.199704 False [  230089.565794] 0003 0035 000005b0
2022-04-06 13:50:58.217872 False [  230089.582637] 0003 0035 000005af
2022-04-06 13:50:58.226614 False [  230089.590981] 0003 0036 000004b8
2022-04-06 13:50:58.242018 False [  230089.607365] 0003 0035 000005ae
2022-04-06 13:50:58.259827 False [  230089.624100] 0003 0036 000004b7
2022-04-06 13:50:58.276376 False [  230089.640860] 0003 0035 000005ad
2022-04-06 13:50:58.292636 False [  230089.657288] 0003 0036 000004b6
2022-04-06 13:50:58.308394 False [  230089.673868] 0003 0036 000004b5
2022-04-06 13:50:58.316926 False [  230089.682476] 0003 0036 000004b4
2022-04-06 13:50:58.333328 False [  230089.698866] 0003 0035 0000057e
2022-04-06 13:50:58.349796 False [  230089.715986] 0003 0036 000004b3
2022-04-06 13:50:58.367050 False [  230089.732175] 0003 0035 0000057d
2022-04-06 13:50:58.375277 False [  230089.740667] 0003 0036 000004b2
2022-04-06 13:50:58.425281 False [  230089.790229] 0003 0035 0000057c
2022-04-06 13:51:00.841459 False [  230092.208049] 0003 0035 0000053c
2022-04-06 13:51:00.841459 False [  230092.208049] 0003 0036 000002fc
2022-04-06 13:51:00.890745 False [  230092.257930] 0003 0036 000002fd
2022-04-06 13:51:00.899008 False [  230092.266115] 0003 0035 0000053b
2022-04-06 13:51:00.899008 False [  230092.266115] 0003 0036 000002fe
2022-04-06 13:51:00.907884 False [  230092.274581] 0003 0036 00000300
2022-04-06 13:51:00.916146 False [  230092.282886] 0003 0036 00000303
2022-04-06 13:51:00.924653 False [  230092.291339] 0003 0035 0000053a
2022-04-06 13:51:00.924653 False [  230092.291339] 0003 0036 00000305
2022-04-06 13:51:00.932808 False [  230092.299437] 0003 0035 00000539
2022-04-06 13:51:00.932808 False [  230092.299437] 0003 0036 00000307
2022-04-06 13:51:00.941055 False [  230092.307843] 0003 0035 00000538
2022-04-06 13:51:00.941055 False [  230092.307843] 0003 0036 0000030a
2022-04-06 13:51:00.949494 False [  230092.316109] 0003 0035 00000537
2022-04-06 13:51:00.949494 False [  230092.316109] 0003 0036 0000030c
2022-04-06 13:51:00.958463 False [  230092.324854] 0003 0036 0000030e
2022-04-06 13:51:00.966144 False [  230092.332680] 0003 0036 0000030f
2022-04-06 13:51:00.975163 False [  230092.341138] 0003 0036 00000311
2022-04-06 13:51:00.983085 False [  230092.349398] 0003 0036 00000313
2022-04-06 13:51:00.991450 False [  230092.357703] 0003 0036 00000314
2022-04-06 13:51:00.999264 False [  230092.366002] 0003 0036 00000315
2022-04-06 13:51:01.008387 False [  230092.374564] 0003 0036 00000316
2022-04-06 13:51:01.016778 False [  230092.382937] 0003 0036 00000317
2022-04-06 13:51:01.025682 False [  230092.390977] 0003 0035 00000536
2022-04-06 13:51:01.025682 False [  230092.390977] 0003 0036 00000319
2022-04-06 13:51:01.033046 False [  230092.399301] 0003 0036 0000031a
2022-04-06 13:51:01.041340 False [  230092.408129] 0003 0036 0000031b
2022-04-06 13:51:01.051935 False [  230092.415837] 0003 0036 0000031c
2022-04-06 13:51:01.059058 False [  230092.424607] 0003 0035 00000535
2022-04-06 13:51:01.059058 False [  230092.424607] 0003 0036 0000031d
2022-04-06 13:51:01.067643 False [  230092.432785] 0003 0036 0000031f
2022-04-06 13:51:01.084863 False [  230092.449090] 0003 0036 00000320
2022-04-06 13:51:01.091575 False [  230092.457865] 0003 0035 00000534
2022-04-06 13:51:01.092562 False [  230092.457865] 0003 0036 00000321
2022-04-06 13:51:01.099946 False [  230092.466062] 0003 0036 00000322
2022-04-06 13:51:01.108817 False [  230092.474276] 0003 0036 00000323
2022-04-06 13:51:01.117498 False [  230092.482229] 0003 0036 00000324
2022-04-06 13:51:01.134601 False [  230092.499426] 0003 0036 00000325
2022-04-06 13:51:01.142568 False [  230092.508074] 0003 0036 00000326
2022-04-06 13:51:01.151035 False [  230092.515529] 0003 0035 00000533
2022-04-06 13:51:01.151035 False [  230092.515529] 0003 0036 00000327
2022-04-06 13:51:01.158861 False [  230092.524275] 0003 0036 00000328
2022-04-06 13:51:01.174440 False [  230092.540785] 0003 0036 0000032a
2022-04-06 13:51:01.183276 False [  230092.549015] 0003 0035 00000532
2022-04-06 13:51:01.184312 False [  230092.549015] 0003 0036 0000032b
2022-04-06 13:51:01.192476 False [  230092.557255] 0003 0036 0000032c
2022-04-06 13:51:01.200500 False [  230092.565362] 0003 0035 00000531
2022-04-06 13:51:01.200500 False [  230092.565362] 0003 0036 0000032e
2022-04-06 13:51:01.209015 False [  230092.573792] 0003 0036 00000330
2022-04-06 13:51:01.216931 False [  230092.582229] 0003 0036 00000331
2022-04-06 13:51:01.225987 False [  230092.591260] 0003 0035 00000530
2022-04-06 13:51:01.225987 False [  230092.591260] 0003 0036 00000332
2022-04-06 13:51:01.232962 False [  230092.598856] 0003 0036 00000334
2022-04-06 13:51:01.241083 False [  230092.607063] 0003 0036 00000335
2022-04-06 13:51:01.251490 False [  230092.615738] 0003 0036 00000336
2022-04-06 13:51:01.258894 False [  230092.624036] 0003 0036 00000338
2022-04-06 13:51:01.266929 False [  230092.632306] 0003 0036 00000339
2022-04-06 13:51:01.276949 False [  230092.641128] 0003 0036 0000033a
2022-04-06 13:51:01.282203 False [  230092.648772] 0003 0036 0000033b
2022-04-06 13:51:01.291568 False [  230092.656995] 0003 0036 0000033c
2022-04-06 13:51:01.300966 False [  230092.665647] 0003 0036 0000033d
