Mode = area stim
    verts = 22 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.7726106076863695 
    wm_size = [1200 1920] 
    stim_amp = 5 
    baseline_stim = 4
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:32:22.685836 False [   91065.496673] 0003 0035 00000131
2022-03-10 16:32:22.703585 False [   91065.514360] 0003 0035 00000131
2022-03-10 16:32:22.719978 False [   91065.530956] 0003 0035 00000131
2022-03-10 16:32:22.735795 False [   91065.547447] 0003 0035 00000131
2022-03-10 16:32:22.752366 False [   91065.564473] 0003 0035 00000131
2022-03-10 16:32:22.770579 False [   91065.581538] 0003 0035 00000131
2022-03-10 16:32:22.788704 False [   91065.598332] 0003 0035 00000131
2022-03-10 16:32:22.805986 False [   91065.615352] 0003 0035 00000131
2022-03-10 16:32:22.820739 False [   91065.632263] 0003 0035 00000131
2022-03-10 16:32:22.844428 False [   91065.649245] 0003 0035 00000131
2022-03-10 16:32:22.857044 False [   91065.666934] 0003 0035 00000131
2022-03-10 16:32:22.875720 False [   91065.683173] 0003 0035 00000131
2022-03-10 16:32:22.891574 False [   91065.700122] 0003 0035 00000131
2022-03-10 16:32:22.907742 False [   91065.716980] 0003 0035 00000131
2022-03-10 16:32:22.923954 False [   91065.734334] 0003 0035 00000131
2022-03-10 16:32:22.940279 False [   91065.750886] 0003 0035 00000131
2022-03-10 16:32:22.956369 False [   91065.767808] 0003 0035 00000131
2022-03-10 16:32:22.976034 False [   91065.784789] 0003 0035 00000131
2022-03-10 16:32:22.991614 False [   91065.802144] 0003 0035 00000133
2022-03-10 16:32:23.007817 False [   91065.818724] 0003 0035 00000133
2022-03-10 16:32:23.027412 False [   91065.835642] 0003 0035 00000133
2022-03-10 16:32:23.041306 False [   91065.852572] 0003 0035 00000133
2022-03-10 16:32:23.059011 False [   91065.869571] 0003 0035 00000133
2022-03-10 16:32:23.075500 False [   91065.886547] 0003 0035 00000133
2022-03-10 16:32:23.092583 False [   91065.903506] 0003 0035 00000133
2022-03-10 16:32:23.111948 False [   91065.920640] 0003 0035 00000133
2022-03-10 16:32:23.127791 False [   91065.937422] 0003 0035 00000133
2022-03-10 16:32:23.143319 False [   91065.954305] 0003 0035 00000133
2022-03-10 16:32:23.160816 False [   91065.971254] 0003 0035 00000133
2022-03-10 16:32:23.177697 False [   91065.988278] 0003 0035 00000133
2022-03-10 16:32:23.196839 False [   91066.005616] 0003 0035 00000133
