Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.8598711945403295 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:43:24.899519 True [  144518.819965] 0003 0036 000004da
2022-04-02 13:43:24.906062 True [  144518.828093] 0003 0035 0000010f
2022-04-02 13:43:24.914923 True [  144518.836530] 0003 0035 00000113
2022-04-02 13:43:24.923224 True [  144518.844747] 0003 0035 00000118
2022-04-02 13:43:24.931536 True [  144518.853137] 0003 0035 0000011d
2022-04-02 13:43:24.939295 True [  144518.861492] 0003 0035 00000121
2022-04-02 13:43:24.948750 True [  144518.869890] 0003 0035 00000125
2022-04-02 13:43:24.955968 True [  144518.877978] 0003 0035 00000129
2022-04-02 13:43:24.955968 True [  144518.877978] 0003 0036 000004d9
2022-04-02 13:43:24.963883 True [  144518.886486] 0003 0035 0000012e
2022-04-02 13:43:24.973339 True [  144518.894725] 0003 0035 00000132
2022-04-02 13:43:24.973339 True [  144518.894725] 0003 0036 000004d8
2022-04-02 13:43:24.981390 True [  144518.903030] 0003 0035 00000136
2022-04-02 13:43:24.990531 True [  144518.911736] 0003 0035 00000139
2022-04-02 13:43:24.998123 True [  144518.919660] 0003 0035 0000013d
2022-04-02 13:43:25.006575 True [  144518.928135] 0003 0035 00000140
2022-04-02 13:43:25.006575 True [  144518.928135] 0003 0036 000004d7
2022-04-02 13:43:25.015160 True [  144518.936715] 0003 0035 00000143
2022-04-02 13:43:25.024487 True [  144518.944622] 0003 0035 00000146
2022-04-02 13:43:25.031749 True [  144518.952874] 0003 0035 00000148
2022-04-02 13:43:25.031749 True [  144518.952874] 0003 0036 000004d6
2022-04-02 13:43:25.040641 True [  144518.961522] 0003 0035 0000014b
2022-04-02 13:43:25.048395 True [  144518.969799] 0003 0035 0000014d
2022-04-02 13:43:25.057822 True [  144518.978211] 0003 0035 0000014f
2022-04-02 13:43:25.065116 True [  144518.986347] 0003 0035 00000152
2022-04-02 13:43:25.073471 True [  144518.994568] 0003 0035 00000154
2022-04-02 13:43:25.082008 True [  144519.003590] 0003 0035 00000156
2022-04-02 13:43:25.089537 True [  144519.011053] 0003 0035 00000159
2022-04-02 13:43:25.098819 True [  144519.019629] 0003 0035 0000015b
2022-04-02 13:43:25.106922 True [  144519.028002] 0003 0035 0000015d
2022-04-02 13:43:25.114781 True [  144519.036824] 0003 0035 00000160
2022-04-02 13:43:25.122822 True [  144519.044290] 0003 0035 00000162
2022-04-02 13:43:25.130808 True [  144519.052870] 0003 0035 00000165
2022-04-02 13:43:25.139336 True [  144519.061367] 0003 0035 00000167
2022-04-02 13:43:25.148204 True [  144519.070117] 0003 0035 00000169
2022-04-02 13:43:25.148204 True [  144519.070117] 0003 0036 000004d7
2022-04-02 13:43:25.157124 True [  144519.078033] 0003 0035 0000016c
2022-04-02 13:43:25.163869 True [  144519.086039] 0003 0035 0000016e
2022-04-02 13:43:25.163869 True [  144519.086039] 0003 0036 000004d8
2022-04-02 13:43:25.172067 True [  144519.094309] 0003 0035 00000170
2022-04-02 13:43:25.181164 True [  144519.103063] 0003 0035 00000172
2022-04-02 13:43:25.181164 True [  144519.103063] 0003 0036 000004d9
2022-04-02 13:43:25.190180 True [  144519.111145] 0003 0035 00000174
2022-04-02 13:43:25.197141 True [  144519.119936] 0003 0035 00000176
2022-04-02 13:43:25.206169 True [  144519.127729] 0003 0035 00000177
2022-04-02 13:43:25.213844 True [  144519.136166] 0003 0035 00000179
2022-04-02 13:43:25.213844 True [  144519.136166] 0003 0036 000004da
2022-04-02 13:43:25.222794 True [  144519.144057] 0003 0035 0000017a
2022-04-02 13:43:25.231040 True [  144519.152492] 0003 0035 0000017c
2022-04-02 13:43:25.239218 True [  144519.160852] 0003 0035 0000017e
2022-04-02 13:43:25.247855 True [  144519.169454] 0003 0035 0000017f
2022-04-02 13:43:25.255901 True [  144519.177316] 0003 0035 00000181
2022-04-02 13:43:25.264545 True [  144519.185962] 0003 0035 00000182
2022-04-02 13:43:25.272875 True [  144519.193859] 0003 0035 00000184
2022-04-02 13:43:25.272875 True [  144519.193859] 0003 0036 000004db
2022-04-02 13:43:25.281164 True [  144519.202629] 0003 0035 00000185
2022-04-02 13:43:25.288899 True [  144519.210532] 0003 0035 00000187
2022-04-02 13:43:25.298134 True [  144519.219806] 0003 0035 00000189
2022-04-02 13:43:25.298134 True [  144519.219806] 0003 0036 000004dc
2022-04-02 13:43:25.305417 True [  144519.227099] 0003 0035 0000018b
2022-04-02 13:43:25.314240 True [  144519.235733] 0003 0035 0000018d
2022-04-02 13:43:25.322532 True [  144519.243754] 0003 0035 0000018f
2022-04-02 13:43:25.322532 True [  144519.243754] 0003 0036 000004dd
2022-04-02 13:43:25.330589 True [  144519.252195] 0003 0035 00000191
2022-04-02 13:43:25.339872 True [  144519.260905] 0003 0035 00000193
2022-04-02 13:43:25.339872 True [  144519.260905] 0003 0036 000004de
2022-04-02 13:43:25.347173 True [  144519.269233] 0003 0035 00000195
2022-04-02 13:43:25.355725 True [  144519.276963] 0003 0035 00000197
