Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.6807939182022242 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:20:42.727242 True [  157565.897433] 0003 0035 00000510
2022-04-02 17:20:42.727242 True [  157565.897433] 0003 0036 00000459
2022-04-02 17:20:42.735146 True [  157565.905543] 0003 0035 0000050f
2022-04-02 17:20:42.743420 True [  157565.913913] 0003 0035 0000050d
2022-04-02 17:20:42.743420 True [  157565.913913] 0003 0036 00000458
2022-04-02 17:20:42.751707 True [  157565.922165] 0003 0035 0000050c
2022-04-02 17:20:42.761109 True [  157565.930913] 0003 0035 00000509
2022-04-02 17:20:42.770593 True [  157565.938785] 0003 0035 00000507
2022-04-02 17:20:42.778304 True [  157565.947211] 0003 0035 00000504
2022-04-02 17:20:42.778304 True [  157565.947211] 0003 0036 00000459
2022-04-02 17:20:42.786935 True [  157565.955658] 0003 0035 00000501
2022-04-02 17:20:42.786935 True [  157565.955658] 0003 0036 0000045a
2022-04-02 17:20:42.795263 True [  157565.963827] 0003 0035 000004fd
2022-04-02 17:20:42.795263 True [  157565.963827] 0003 0036 0000045b
2022-04-02 17:20:42.803717 True [  157565.972094] 0003 0035 000004fa
2022-04-02 17:20:42.803717 True [  157565.972094] 0003 0036 0000045c
2022-04-02 17:20:42.811863 True [  157565.980623] 0003 0035 000004f7
2022-04-02 17:20:42.811863 True [  157565.980623] 0003 0036 0000045e
2022-04-02 17:20:42.819385 True [  157565.988645] 0003 0035 000004f5
2022-04-02 17:20:42.819385 True [  157565.988645] 0003 0036 0000045f
2022-04-02 17:20:42.826391 True [  157565.997064] 0003 0035 000004f3
2022-04-02 17:20:42.826391 True [  157565.997064] 0003 0036 00000461
2022-04-02 17:20:42.836218 True [  157566.005254] 0003 0035 000004f0
2022-04-02 17:20:42.836218 True [  157566.005254] 0003 0036 00000463
2022-04-02 17:20:42.845300 True [  157566.013733] 0003 0035 000004ef
2022-04-02 17:20:42.845300 True [  157566.013733] 0003 0036 00000464
2022-04-02 17:20:42.851706 True [  157566.021918] 0003 0035 000004ec
2022-04-02 17:20:42.851706 True [  157566.021918] 0003 0036 00000466
2022-04-02 17:20:42.866882 True [  157566.030259] 0003 0035 000004eb
2022-04-02 17:20:42.866882 True [  157566.030259] 0003 0036 00000468
2022-04-02 17:20:42.870665 True [  157566.038531] 0003 0035 000004e9
2022-04-02 17:20:42.870665 True [  157566.038531] 0003 0036 00000469
2022-04-02 17:20:42.878557 True [  157566.046883] 0003 0036 0000046a
2022-04-02 17:20:42.884893 True [  157566.055208] 0003 0035 000004e7
2022-04-02 17:20:42.884893 True [  157566.055208] 0003 0036 0000046b
2022-04-02 17:20:42.893809 True [  157566.063863] 0003 0035 000004e6
2022-04-02 17:20:42.893809 True [  157566.063863] 0003 0036 0000046c
2022-04-02 17:20:42.901676 True [  157566.071688] 0003 0035 000004e5
2022-04-02 17:20:42.911037 True [  157566.081117] 0003 0036 0000046d
2022-04-02 17:20:42.920687 True [  157566.088440] 0003 0035 000004e4
2022-04-02 17:20:42.925646 True [  157566.096770] 0003 0036 0000046e
2022-04-02 17:20:42.935177 True [  157566.104990] 0003 0035 000004e3
2022-04-02 17:20:42.952661 True [  157566.122462] 0003 0035 000004e2
2022-04-02 17:20:42.994247 True [  157566.164452] 0003 0035 000004e1
2022-04-02 17:20:43.012629 True [  157566.180361] 0003 0035 000004e0
2022-04-02 17:20:43.027529 True [  157566.196775] 0003 0035 000004df
2022-04-02 17:20:43.044638 True [  157566.213686] 0003 0035 000004de
2022-04-02 17:20:43.094314 True [  157566.264178] 0003 0035 000004dd
2022-04-02 17:20:43.136870 True [  157566.304719] 0003 0035 000004dc
2022-04-02 17:20:43.168619 True [  157566.338266] 0003 0035 000004db
2022-04-02 17:20:43.234764 True [  157566.404060] 0003 0035 000004da
2022-04-02 17:20:43.495913 True [  157566.661768] 0003 0035 000004db
2022-04-02 17:20:43.500820 True [  157566.670059] 0003 0035 000004dc
2022-04-02 17:20:43.518247 True [  157566.686656] 0003 0035 000004de
2022-04-02 17:20:43.518247 True [  157566.686656] 0003 0036 0000046f
2022-04-02 17:20:43.525224 True [  157566.695069] 0003 0035 000004df
2022-04-02 17:20:43.525224 True [  157566.695069] 0003 0036 00000470
2022-04-02 17:20:43.532874 True [  157566.703262] 0003 0035 000004e2
2022-04-02 17:20:43.532874 True [  157566.703262] 0003 0036 00000471
2022-04-02 17:20:43.544369 True [  157566.711688] 0003 0035 000004e5
2022-04-02 17:20:43.544369 True [  157566.711688] 0003 0036 00000474
2022-04-02 17:20:43.550502 True [  157566.719885] 0003 0035 000004ea
2022-04-02 17:20:43.550502 True [  157566.719885] 0003 0036 00000475
2022-04-02 17:20:43.559265 True [  157566.728338] 0003 0035 000004ed
2022-04-02 17:20:43.559265 True [  157566.728338] 0003 0036 00000477
2022-04-02 17:20:43.567119 True [  157566.736593] 0003 0035 000004f1
2022-04-02 17:20:43.567119 True [  157566.736593] 0003 0036 00000479
2022-04-02 17:20:43.574275 True [  157566.745017] 0003 0035 000004f3
2022-04-02 17:20:43.574275 True [  157566.745017] 0003 0036 0000047a
2022-04-02 17:20:43.582445 True [  157566.753116] 0003 0035 000004f7
2022-04-02 17:20:43.582445 True [  157566.753116] 0003 0036 0000047c
2022-04-02 17:20:43.590723 True [  157566.761534] 0003 0035 000004f9
2022-04-02 17:20:43.590723 True [  157566.761534] 0003 0036 0000047e
2022-04-02 17:20:43.600471 True [  157566.769731] 0003 0035 000004fb
2022-04-02 17:20:43.610614 True [  157566.778197] 0003 0035 000004fe
2022-04-02 17:20:43.610614 True [  157566.778197] 0003 0036 0000047f
2022-04-02 17:20:43.615406 True [  157566.786351] 0003 0035 000004ff
2022-04-02 17:20:43.615406 True [  157566.786351] 0003 0036 00000480
2022-04-02 17:20:43.625300 True [  157566.794758] 0003 0035 00000501
2022-04-02 17:20:43.625300 True [  157566.794758] 0003 0036 00000481
2022-04-02 17:20:43.634372 True [  157566.802956] 0003 0035 00000503
2022-04-02 17:20:43.643954 True [  157566.811437] 0003 0035 00000504
2022-04-02 17:20:43.643954 True [  157566.811437] 0003 0036 00000482
