Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.0635945770633684 
    wm_size = [1600 2560] 
    stim_amp = 3 
    baseline_stim = 2
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 17:37:47.792256 False [  158590.873782] 0003 0036 000004ca
2022-04-02 17:37:47.792256 False [  158590.881967] 0003 0036 000004c7
2022-04-02 17:37:47.792256 False [  158590.891346] 0003 0036 000004c3
2022-04-02 17:37:47.792256 False [  158590.900640] 0003 0036 000004bf
2022-04-02 17:37:47.792256 False [  158590.909823] 0003 0036 000004b9
2022-04-02 17:37:47.796233 False [  158590.918307] 0003 0036 000004b4
2022-04-02 17:37:47.796233 False [  158590.928421] 0003 0036 000004a9
2022-04-02 17:37:47.796233 False [  158590.937905] 0003 0035 00000539
2022-04-02 17:37:47.796233 False [  158590.937905] 0003 0036 0000049f
2022-04-02 17:37:47.796233 False [  158590.946167] 0003 0035 00000538
2022-04-02 17:37:47.796233 True [  158590.946167] 0003 0036 00000495
2022-04-02 17:37:47.796233 False [  158590.949018] 0003 0036 0000048b
2022-04-02 17:37:47.848253 False [  158590.957268] 0003 0036 00000482
2022-04-02 17:37:47.897782 False [  158590.967311] 0003 0036 00000479
2022-04-02 17:37:47.897782 False [  158590.976579] 0003 0035 00000537
2022-04-02 17:37:47.897782 False [  158590.976579] 0003 0036 00000471
2022-04-02 17:37:47.897782 False [  158590.981732] 0003 0036 00000468
2022-04-02 17:37:47.897782 False [  158590.991125] 0003 0036 00000460
2022-04-02 17:37:47.897782 False [  158590.999299] 0003 0035 00000536
2022-04-02 17:37:47.897782 False [  158590.999299] 0003 0036 0000045a
2022-04-02 17:37:47.897782 False [  158591.006823] 0003 0035 00000535
2022-04-02 17:37:47.897782 False [  158591.006823] 0003 0036 00000453
2022-04-02 17:37:47.897782 False [  158591.015308] 0003 0035 00000534
2022-04-02 17:37:47.897782 False [  158591.015308] 0003 0036 0000044d
2022-04-02 17:37:47.948679 False [  158591.023361] 0003 0036 00000444
2022-04-02 17:37:47.948679 False [  158591.032432] 0003 0035 00000532
2022-04-02 17:37:47.948679 False [  158591.032432] 0003 0036 0000043d
2022-04-02 17:37:47.948679 False [  158591.042193] 0003 0035 00000531
2022-04-02 17:37:47.948679 False [  158591.042193] 0003 0036 00000437
2022-04-02 17:37:47.948679 False [  158591.049875] 0003 0035 00000530
2022-04-02 17:37:47.948679 False [  158591.049875] 0003 0036 00000432
2022-04-02 17:37:47.948679 False [  158591.056707] 0003 0036 0000042f
2022-04-02 17:37:47.975734 False [  158591.066215] 0003 0035 0000052f
2022-04-02 17:37:47.975734 False [  158591.066215] 0003 0036 0000042d
2022-04-02 17:37:47.975734 False [  158591.073836] 0003 0035 0000052e
2022-04-02 17:37:47.975734 False [  158591.073836] 0003 0036 0000042b
2022-04-02 17:37:47.975734 False [  158591.081434] 0003 0036 00000429
2022-04-02 17:37:47.975734 False [  158591.089861] 0003 0035 0000052d
2022-04-02 17:37:47.975734 False [  158591.098053] 0003 0036 00000427
2022-04-02 17:37:47.979717 False [  158591.108579] 0003 0036 00000426
2022-04-02 17:37:47.979717 False [  158591.117912] 0003 0036 00000425
2022-04-02 17:37:47.979717 False [  158591.126230] 0003 0036 00000424
2022-04-02 17:37:48.053658 False [  158591.157553] 0003 0036 00000423
2022-04-02 17:37:48.096899 False [  158591.166947] 0003 0035 0000052a
2022-04-02 17:37:48.096899 False [  158591.166947] 0003 0036 0000042b
2022-04-02 17:37:48.096899 False [  158591.175836] 0003 0035 00000529
2022-04-02 17:37:48.096899 False [  158591.175836] 0003 0036 00000432
2022-04-02 17:37:48.096899 False [  158591.182663] 0003 0035 00000527
2022-04-02 17:37:48.096899 False [  158591.182663] 0003 0036 00000436
2022-04-02 17:37:48.096899 False [  158591.190450] 0003 0035 00000526
2022-04-02 17:37:48.096899 False [  158591.190450] 0003 0036 00000439
2022-04-02 17:37:48.096899 False [  158591.199046] 0003 0035 00000525
2022-04-02 17:37:48.096899 False [  158591.199046] 0003 0036 0000043b
2022-04-02 17:37:48.096899 False [  158591.208036] 0003 0035 00000523
2022-04-02 17:37:48.096899 False [  158591.208036] 0003 0036 00000442
2022-04-02 17:37:48.112997 False [  158591.214885] 0003 0035 00000521
2022-04-02 17:37:48.112997 False [  158591.214885] 0003 0036 00000448
2022-04-02 17:37:48.112997 False [  158591.223851] 0003 0035 0000051f
2022-04-02 17:37:48.112997 False [  158591.223851] 0003 0036 0000044e
2022-04-02 17:37:48.112997 False [  158591.231022] 0003 0035 0000051e
2022-04-02 17:37:48.112997 False [  158591.231022] 0003 0036 00000452
2022-04-02 17:37:48.112997 False [  158591.239461] 0003 0035 0000051c
2022-04-02 17:37:48.112997 False [  158591.239461] 0003 0036 00000456
2022-04-02 17:37:48.112997 False [  158591.248316] 0003 0035 0000051b
2022-04-02 17:37:48.112997 False [  158591.248316] 0003 0036 0000045a
2022-04-02 17:37:48.157287 False [  158591.256853] 0003 0035 0000051a
2022-04-02 17:37:48.157287 False [  158591.256853] 0003 0036 0000045c
2022-04-02 17:37:48.157287 False [  158591.264418] 0003 0035 00000519
2022-04-02 17:37:48.157287 False [  158591.264418] 0003 0036 0000045e
2022-04-02 17:37:48.157287 False [  158591.272722] 0003 0036 00000460
2022-04-02 17:37:48.157287 False [  158591.282114] 0003 0035 00000518
2022-04-02 17:37:48.157287 False [  158591.282114] 0003 0036 00000461
2022-04-02 17:37:48.160808 False [  158591.290762] 0003 0035 00000517
2022-04-02 17:37:48.160808 False [  158591.290762] 0003 0036 00000462
2022-04-02 17:37:48.160808 False [  158591.298329] 0003 0036 00000463
2022-04-02 17:37:48.160808 False [  158591.306822] 0003 0036 00000464
2022-04-02 17:37:48.310342 False [  158591.413929] 0003 0035 00000516
2022-04-02 17:37:48.310342 False [  158591.424589] 0003 0035 00000515
2022-04-02 17:37:48.338348 False [  158591.443372] 0003 0035 00000514
2022-04-02 17:37:48.338348 False [  158591.456578] 0003 0036 00000465
2022-04-02 17:37:48.338348 False [  158591.465818] 0003 0035 00000513
2022-04-02 17:37:48.338348 False [  158591.465818] 0003 0036 00000469
2022-04-02 17:37:48.387404 False [  158591.472381] 0003 0036 0000046d
2022-04-02 17:37:48.387404 False [  158591.481870] 0003 0035 00000512
2022-04-02 17:37:48.387404 True [  158591.481870] 0003 0036 00000471
2022-04-02 17:37:48.387404 True [  158591.489658] 0003 0035 00000510
2022-04-02 17:37:48.387404 True [  158591.496934] 0003 0036 00000478
2022-04-02 17:37:48.387404 True [  158591.505360] 0003 0035 0000050c
2022-04-02 17:37:48.387404 True [  158591.505360] 0003 0036 0000047b
2022-04-02 17:37:48.422796 True [  158591.513612] 0003 0035 0000050a
2022-04-02 17:37:48.422796 True [  158591.513612] 0003 0036 0000047e
2022-04-02 17:37:48.422796 True [  158591.522095] 0003 0035 00000509
2022-04-02 17:37:48.422796 True [  158591.522095] 0003 0036 00000482
2022-04-02 17:37:48.422796 True [  158591.530370] 0003 0035 00000507
2022-04-02 17:37:48.422796 True [  158591.530370] 0003 0036 00000485
2022-04-02 17:37:48.422796 True [  158591.538649] 0003 0035 00000506
2022-04-02 17:37:48.422796 True [  158591.538649] 0003 0036 00000487
2022-04-02 17:37:48.422796 True [  158591.546829] 0003 0035 00000505
2022-04-02 17:37:48.422796 True [  158591.546829] 0003 0036 00000489
2022-04-02 17:37:48.446481 True [  158591.555300] 0003 0035 00000504
2022-04-02 17:37:48.446481 True [  158591.555300] 0003 0036 0000048f
2022-04-02 17:37:48.446481 True [  158591.563428] 0003 0035 00000502
2022-04-02 17:37:48.446481 True [  158591.563428] 0003 0036 00000495
2022-04-02 17:37:48.446481 True [  158591.571937] 0003 0036 00000499
2022-04-02 17:37:48.446481 True [  158591.582137] 0003 0035 00000501
2022-04-02 17:37:48.446481 True [  158591.582137] 0003 0036 0000049c
2022-04-02 17:37:48.450280 True [  158591.589985] 0003 0036 0000049e
2022-04-02 17:37:48.450280 True [  158591.597499] 0003 0035 000004ff
2022-04-02 17:37:48.450280 True [  158591.597499] 0003 0036 000004a6
2022-04-02 17:37:48.480398 True [  158591.613249] 0003 0035 000004fe
2022-04-02 17:37:48.480398 True [  158591.613249] 0003 0036 000004ab
2022-04-02 17:37:48.564277 True [  158591.621713] 0003 0036 000004af
2022-04-02 17:37:48.564277 True [  158591.631378] 0003 0035 000004fd
2022-04-02 17:37:48.564277 True [  158591.631378] 0003 0036 000004b3
2022-04-02 17:37:48.564277 True [  158591.639850] 0003 0036 000004b5
2022-04-02 17:37:48.564277 True [  158591.649318] 0003 0035 000004fc
2022-04-02 17:37:48.564277 True [  158591.649318] 0003 0036 000004b7
2022-04-02 17:37:48.564277 True [  158591.657902] 0003 0036 000004b8
2022-04-02 17:37:48.584483 True [  158591.667612] 0003 0035 000004fb
2022-04-02 17:37:48.584483 True [  158591.667612] 0003 0036 000004bf
2022-04-02 17:37:48.584483 True [  158591.675715] 0003 0035 000004f9
2022-04-02 17:37:48.584483 True [  158591.675715] 0003 0036 000004c5
2022-04-02 17:37:48.584483 True [  158591.680344] 0003 0035 000004f7
2022-04-02 17:37:48.584483 True [  158591.680344] 0003 0036 000004ca
