Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 1.495991105833941 
    wm_size = [1200 1920] 
    stim_amp = 3 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 15:08:30.894098 False [   18287.991125] 0003 0036 00000226
2022-03-16 15:08:30.909916 False [   18288.007360] 0003 0035 000003c6
2022-03-16 15:08:30.910922 False [   18288.007360] 0003 0036 00000226
2022-03-16 15:08:30.926362 False [   18288.024090] 0003 0035 000003c6
2022-03-16 15:08:30.926362 False [   18288.024090] 0003 0036 00000226
2022-03-16 15:08:30.944429 False [   18288.042281] 0003 0035 000003c6
2022-03-16 15:08:30.944429 False [   18288.042281] 0003 0036 00000226
2022-03-16 15:08:30.961964 False [   18288.058622] 0003 0035 000003c6
2022-03-16 15:08:30.961964 False [   18288.058622] 0003 0036 00000226
2022-03-16 15:08:30.977080 False [   18288.074439] 0003 0035 000003c6
2022-03-16 15:08:30.977080 False [   18288.074439] 0003 0036 00000226
2022-03-16 15:08:30.995172 False [   18288.091438] 0003 0035 000003c6
2022-03-16 15:08:30.996185 False [   18288.091438] 0003 0036 00000226
2022-03-16 15:08:31.011852 False [   18288.108758] 0003 0035 000003c6
2022-03-16 15:08:31.011852 False [   18288.108758] 0003 0036 00000226
2022-03-16 15:08:31.027953 False [   18288.125632] 0003 0035 000003c6
2022-03-16 15:08:31.027953 False [   18288.125632] 0003 0036 00000226
2022-03-16 15:08:31.045589 False [   18288.142392] 0003 0035 000003c6
2022-03-16 15:08:31.045589 False [   18288.142392] 0003 0036 00000226
2022-03-16 15:08:31.060699 False [   18288.158871] 0003 0035 000003c6
2022-03-16 15:08:31.062694 False [   18288.158871] 0003 0036 00000226
2022-03-16 15:08:31.079649 False [   18288.175672] 0003 0035 000003c6
2022-03-16 15:08:31.079649 False [   18288.175672] 0003 0036 00000226
2022-03-16 15:08:31.097156 False [   18288.193206] 0003 0035 000003c6
2022-03-16 15:08:31.097156 False [   18288.193206] 0003 0036 00000226
2022-03-16 15:08:31.112650 False [   18288.210325] 0003 0035 000003c2
2022-03-16 15:08:31.112650 False [   18288.210325] 0003 0036 00000226
2022-03-16 15:08:31.129497 False [   18288.226841] 0003 0035 000003b9
2022-03-16 15:08:31.129497 False [   18288.226841] 0003 0036 00000226
2022-03-16 15:08:31.146474 False [   18288.243474] 0003 0035 000003ae
2022-03-16 15:08:31.146474 False [   18288.243474] 0003 0036 00000224
2022-03-16 15:08:31.164213 False [   18288.261100] 0003 0035 000003a3
2022-03-16 15:08:31.164213 False [   18288.261100] 0003 0036 00000224
2022-03-16 15:08:31.181117 True [   18288.278003] 0003 0035 00000398
2022-03-16 15:08:31.182124 True [   18288.278003] 0003 0036 00000222
2022-03-16 15:08:31.197847 True [   18288.294267] 0003 0035 0000038f
2022-03-16 15:08:31.197847 True [   18288.294267] 0003 0036 00000220
2022-03-16 15:08:31.213323 True [   18288.311386] 0003 0035 00000387
2022-03-16 15:08:31.213323 True [   18288.311386] 0003 0036 00000220
2022-03-16 15:08:31.232351 True [   18288.329555] 0003 0035 00000381
2022-03-16 15:08:31.232351 True [   18288.329555] 0003 0036 0000021e
2022-03-16 15:08:31.248357 True [   18288.345423] 0003 0035 0000037d
2022-03-16 15:08:31.248357 True [   18288.345423] 0003 0036 0000021e
2022-03-16 15:08:31.264592 True [   18288.362878] 0003 0035 00000379
2022-03-16 15:08:31.265601 True [   18288.362878] 0003 0036 0000021e
2022-03-16 15:08:31.282636 True [   18288.379927] 0003 0035 00000379
2022-03-16 15:08:31.282636 True [   18288.379927] 0003 0036 0000021e
2022-03-16 15:08:31.299728 True [   18288.396851] 0003 0035 00000374
2022-03-16 15:08:31.299728 True [   18288.396851] 0003 0036 0000021e
2022-03-16 15:08:31.316150 True [   18288.413057] 0003 0035 00000374
2022-03-16 15:08:31.316150 True [   18288.413057] 0003 0036 0000021e
2022-03-16 15:08:31.333392 True [   18288.430439] 0003 0035 00000374
2022-03-16 15:08:31.333392 True [   18288.430439] 0003 0036 0000021e
2022-03-16 15:08:31.349274 True [   18288.446578] 0003 0035 00000370
2022-03-16 15:08:31.349274 True [   18288.446578] 0003 0036 0000021c
2022-03-16 15:08:31.366297 True [   18288.463897] 0003 0035 00000370
2022-03-16 15:08:31.367280 True [   18288.463897] 0003 0036 0000021c
2022-03-16 15:08:31.384242 True [   18288.480968] 0003 0035 0000036c
2022-03-16 15:08:31.384242 True [   18288.480968] 0003 0036 0000021c
2022-03-16 15:08:31.402178 True [   18288.499173] 0003 0035 0000036c
2022-03-16 15:08:31.402178 True [   18288.499173] 0003 0036 0000021c
2022-03-16 15:08:31.433649 True [   18288.531455] 0003 0035 0000036c
2022-03-16 15:08:31.434664 True [   18288.531455] 0003 0036 0000021c
2022-03-16 15:08:31.451917 True [   18288.548933] 0003 0035 0000036c
2022-03-16 15:08:31.451917 True [   18288.548933] 0003 0036 0000021c
2022-03-16 15:08:31.468596 True [   18288.565494] 0003 0035 00000368
2022-03-16 15:08:31.468596 True [   18288.565494] 0003 0036 0000021c
2022-03-16 15:08:31.484734 True [   18288.582750] 0003 0035 00000368
2022-03-16 15:08:31.485819 True [   18288.582750] 0003 0036 0000021c
2022-03-16 15:08:31.501362 True [   18288.599148] 0003 0035 00000368
2022-03-16 15:08:31.501362 True [   18288.599148] 0003 0036 0000021c
2022-03-16 15:08:31.518903 True [   18288.616646] 0003 0035 00000368
2022-03-16 15:08:31.518903 True [   18288.616646] 0003 0036 0000021c
2022-03-16 15:08:31.535723 True [   18288.633770] 0003 0035 00000368
2022-03-16 15:08:31.535723 True [   18288.633770] 0003 0036 0000021c
2022-03-16 15:08:31.552384 True [   18288.650320] 0003 0035 00000368
2022-03-16 15:08:31.552384 True [   18288.650320] 0003 0036 0000021c
2022-03-16 15:08:31.570340 True [   18288.667915] 0003 0035 00000368
2022-03-16 15:08:31.571356 True [   18288.667915] 0003 0036 0000021c
2022-03-16 15:08:31.587734 True [   18288.684083] 0003 0035 00000368
2022-03-16 15:08:31.587734 True [   18288.684083] 0003 0036 0000021c
2022-03-16 15:08:31.604447 True [   18288.701705] 0003 0035 00000368
2022-03-16 15:08:31.604447 True [   18288.701705] 0003 0036 0000021c
2022-03-16 15:08:31.621089 True [   18288.718453] 0003 0035 00000368
2022-03-16 15:08:31.621089 True [   18288.718453] 0003 0036 0000021c
2022-03-16 15:08:31.638656 True [   18288.735374] 0003 0035 00000364
2022-03-16 15:08:31.638656 True [   18288.735374] 0003 0036 0000021c
2022-03-16 15:08:31.654346 True [   18288.751402] 0003 0035 00000364
2022-03-16 15:08:31.654346 True [   18288.751402] 0003 0036 0000021c
2022-03-16 15:08:31.671457 True [   18288.769079] 0003 0035 00000364
2022-03-16 15:08:31.672456 True [   18288.769079] 0003 0036 0000021c
2022-03-16 15:08:31.688338 True [   18288.785512] 0003 0035 00000364
2022-03-16 15:08:31.688338 True [   18288.785512] 0003 0036 0000021c
2022-03-16 15:08:31.704967 True [   18288.802250] 0003 0035 00000364
2022-03-16 15:08:31.704967 True [   18288.802250] 0003 0036 0000021c
2022-03-16 15:08:31.722267 True [   18288.819565] 0003 0035 00000364
2022-03-16 15:08:31.722267 True [   18288.819565] 0003 0036 0000021c
2022-03-16 15:08:31.738643 True [   18288.836078] 0003 0035 00000364
2022-03-16 15:08:31.738643 True [   18288.836078] 0003 0036 0000021c
2022-03-16 15:08:31.755997 True [   18288.854057] 0003 0035 00000364
2022-03-16 15:08:31.755997 True [   18288.854057] 0003 0036 0000021c
2022-03-16 15:08:31.772833 True [   18288.870766] 0003 0035 00000364
2022-03-16 15:08:31.772833 True [   18288.870766] 0003 0036 0000021c
2022-03-16 15:08:31.790736 True [   18288.887640] 0003 0035 00000364
2022-03-16 15:08:31.791754 True [   18288.887640] 0003 0036 0000021c
2022-03-16 15:08:31.809331 True [   18288.904641] 0003 0035 00000364
2022-03-16 15:08:31.809331 True [   18288.904641] 0003 0036 0000021c
2022-03-16 15:08:31.825189 True [   18288.922149] 0003 0035 00000364
2022-03-16 15:08:31.825189 True [   18288.922149] 0003 0036 0000021c
2022-03-16 15:08:31.841206 True [   18288.937672] 0003 0035 00000364
2022-03-16 15:08:31.841206 True [   18288.937672] 0003 0036 0000021c
2022-03-16 15:08:31.858347 True [   18288.955440] 0003 0035 00000364
2022-03-16 15:08:31.858347 True [   18288.955440] 0003 0036 0000021c
2022-03-16 15:08:31.874381 True [   18288.971891] 0003 0035 00000364
2022-03-16 15:08:31.874381 True [   18288.971891] 0003 0036 0000021c
2022-03-16 15:08:31.892787 True [   18288.989519] 0003 0035 00000364
2022-03-16 15:08:31.892787 True [   18288.989519] 0003 0036 0000021c
2022-03-16 15:08:31.909513 True [   18289.006162] 0003 0035 00000364
2022-03-16 15:08:31.909513 True [   18289.006162] 0003 0036 0000021c
2022-03-16 15:08:31.925638 True [   18289.023050] 0003 0035 00000364
2022-03-16 15:08:31.925638 True [   18289.023050] 0003 0036 0000021c
2022-03-16 15:08:31.943262 True [   18289.039982] 0003 0035 00000364
2022-03-16 15:08:31.943262 True [   18289.039982] 0003 0036 0000021c
2022-03-16 15:08:31.959868 True [   18289.056252] 0003 0035 00000364
2022-03-16 15:08:31.959868 True [   18289.056252] 0003 0036 0000021c
2022-03-16 15:08:31.976931 True [   18289.074056] 0003 0035 00000364
2022-03-16 15:08:31.976931 True [   18289.074056] 0003 0036 0000021c
2022-03-16 15:08:31.995377 True [   18289.090427] 0003 0035 00000364
2022-03-16 15:08:31.996375 True [   18289.090427] 0003 0036 0000021c
2022-03-16 15:08:32.010736 True [   18289.107492] 0003 0035 00000364
2022-03-16 15:08:32.010736 True [   18289.107492] 0003 0036 0000021c
2022-03-16 15:08:32.026693 True [   18289.124520] 0003 0035 00000364
2022-03-16 15:08:32.026693 True [   18289.124520] 0003 0036 0000021c
2022-03-16 15:08:32.044506 True [   18289.141474] 0003 0035 00000364
2022-03-16 15:08:32.044506 True [   18289.141474] 0003 0036 0000021c
2022-03-16 15:08:32.061751 True [   18289.158405] 0003 0035 00000364
2022-03-16 15:08:32.061751 True [   18289.158405] 0003 0036 0000021c
2022-03-16 15:08:32.077891 True [   18289.175003] 0003 0035 00000364
2022-03-16 15:08:32.077891 True [   18289.175003] 0003 0036 0000021c
2022-03-16 15:08:32.094399 True [   18289.192289] 0003 0035 00000364
2022-03-16 15:08:32.095411 True [   18289.192289] 0003 0036 0000021c
2022-03-16 15:08:32.111814 True [   18289.209479] 0003 0035 00000364
2022-03-16 15:08:32.111814 True [   18289.209479] 0003 0036 0000021c
2022-03-16 15:08:32.135550 True [   18289.226184] 0003 0035 00000360
2022-03-16 15:08:32.135550 True [   18289.226184] 0003 0036 0000021c
2022-03-16 15:08:32.145113 True [   18289.242494] 0003 0035 00000360
2022-03-16 15:08:32.145113 True [   18289.242494] 0003 0036 0000021c
2022-03-16 15:08:32.162111 True [   18289.259384] 0003 0035 00000360
2022-03-16 15:08:32.162111 True [   18289.259384] 0003 0036 0000021c
2022-03-16 15:08:32.179647 True [   18289.276550] 0003 0035 00000360
2022-03-16 15:08:32.179647 True [   18289.276550] 0003 0036 0000021c
2022-03-16 15:08:32.196776 True [   18289.294297] 0003 0035 00000360
2022-03-16 15:08:32.196776 True [   18289.294297] 0003 0036 0000021c
2022-03-16 15:08:32.213379 True [   18289.310976] 0003 0035 00000360
2022-03-16 15:08:32.213379 True [   18289.310976] 0003 0036 0000021c
2022-03-16 15:08:32.229369 True [   18289.327080] 0003 0035 0000035b
2022-03-16 15:08:32.230333 True [   18289.327080] 0003 0036 0000021c
2022-03-16 15:08:32.247086 True [   18289.343981] 0003 0035 00000356
2022-03-16 15:08:32.247086 True [   18289.343981] 0003 0036 0000021c
2022-03-16 15:08:32.264033 True [   18289.361053] 0003 0035 00000350
2022-03-16 15:08:32.264033 True [   18289.361053] 0003 0036 0000021a
2022-03-16 15:08:32.281530 True [   18289.378823] 0003 0035 0000034b
2022-03-16 15:08:32.281530 True [   18289.378823] 0003 0036 0000021a
2022-03-16 15:08:32.298188 True [   18289.395603] 0003 0035 00000345
2022-03-16 15:08:32.298188 True [   18289.395603] 0003 0036 0000021a
2022-03-16 15:08:32.313797 True [   18289.411936] 0003 0035 0000033f
2022-03-16 15:08:32.314796 True [   18289.411936] 0003 0036 0000021a
2022-03-16 15:08:32.332517 True [   18289.429541] 0003 0035 00000339
2022-03-16 15:08:32.332517 True [   18289.429541] 0003 0036 0000021a
2022-03-16 15:08:32.348655 True [   18289.446096] 0003 0035 00000334
2022-03-16 15:08:32.348655 True [   18289.446096] 0003 0036 0000021a
2022-03-16 15:08:32.365563 True [   18289.462842] 0003 0035 00000330
2022-03-16 15:08:32.366171 True [   18289.462842] 0003 0036 0000021a
2022-03-16 15:08:32.382801 True [   18289.479719] 0003 0035 0000032c
2022-03-16 15:08:32.382801 True [   18289.479719] 0003 0036 0000021a
2022-03-16 15:08:32.400874 True [   18289.497254] 0003 0035 0000032c
2022-03-16 15:08:32.400874 True [   18289.497254] 0003 0036 0000021a
2022-03-16 15:08:32.416837 True [   18289.514092] 0003 0035 0000032c
2022-03-16 15:08:32.416837 True [   18289.514092] 0003 0036 0000021a
2022-03-16 15:08:32.433592 True [   18289.530701] 0003 0035 00000328
2022-03-16 15:08:32.433592 True [   18289.530701] 0003 0036 0000021a
2022-03-16 15:08:32.451092 True [   18289.548227] 0003 0035 00000328
2022-03-16 15:08:32.451092 True [   18289.548227] 0003 0036 0000021a
2022-03-16 15:08:32.467707 True [   18289.564931] 0003 0035 00000324
2022-03-16 15:08:32.467707 True [   18289.564931] 0003 0036 0000021a
2022-03-16 15:08:32.484313 True [   18289.581291] 0003 0035 00000324
2022-03-16 15:08:32.484313 True [   18289.581291] 0003 0036 0000021a
2022-03-16 15:08:32.502330 True [   18289.599247] 0003 0035 00000324
2022-03-16 15:08:32.502330 True [   18289.599247] 0003 0036 0000021a
2022-03-16 15:08:32.518323 True [   18289.615870] 0003 0035 00000320
2022-03-16 15:08:32.518323 True [   18289.615870] 0003 0036 0000021a
2022-03-16 15:08:32.535166 True [   18289.632240] 0003 0035 0000031c
2022-03-16 15:08:32.535166 True [   18289.632240] 0003 0036 00000218
2022-03-16 15:08:32.552384 True [   18289.649807] 0003 0035 0000031c
2022-03-16 15:08:32.552384 True [   18289.649807] 0003 0036 00000218
2022-03-16 15:08:32.569012 True [   18289.666517] 0003 0035 00000318
2022-03-16 15:08:32.569963 True [   18289.666517] 0003 0036 00000218
2022-03-16 15:08:32.585319 True [   18289.683381] 0003 0035 00000318
2022-03-16 15:08:32.585319 True [   18289.683381] 0003 0036 00000218
2022-03-16 15:08:32.604416 True [   18289.700670] 0003 0035 00000318
2022-03-16 15:08:32.604416 True [   18289.700670] 0003 0036 00000218
2022-03-16 15:08:32.619853 True [   18289.717417] 0003 0035 00000318
2022-03-16 15:08:32.619853 True [   18289.717417] 0003 0036 00000218
2022-03-16 15:08:32.636666 True [   18289.734329] 0003 0035 00000314
2022-03-16 15:08:32.636666 True [   18289.734329] 0003 0036 00000218
2022-03-16 15:08:32.654543 True [   18289.751216] 0003 0035 00000314
2022-03-16 15:08:32.654543 True [   18289.751216] 0003 0036 00000218
2022-03-16 15:08:32.669843 True [   18289.767509] 0003 0035 0000030f
2022-03-16 15:08:32.670841 True [   18289.767509] 0003 0036 00000218
2022-03-16 15:08:32.687775 True [   18289.784995] 0003 0035 0000030b
2022-03-16 15:08:32.687775 True [   18289.784995] 0003 0036 00000218
2022-03-16 15:08:32.705255 True [   18289.801988] 0003 0035 00000306
2022-03-16 15:08:32.705255 True [   18289.801988] 0003 0036 00000218
2022-03-16 15:08:32.721708 True [   18289.818931] 0003 0035 00000301
2022-03-16 15:08:32.721708 True [   18289.818931] 0003 0036 00000218
2022-03-16 15:08:32.739834 True [   18289.835733] 0003 0035 000002fa
2022-03-16 15:08:32.739834 True [   18289.835733] 0003 0036 00000216
