Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 0.5690930576673584 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-03-16 15:22:42.121627 False [   19139.197759] 0003 0035 000004e7
2022-03-16 15:22:42.121627 False [   19139.197759] 0003 0036 00000076
2022-03-16 15:22:42.134668 False [   19139.214659] 0003 0035 000004e7
2022-03-16 15:22:42.134668 False [   19139.214659] 0003 0036 00000076
2022-03-16 15:22:42.151600 False [   19139.231176] 0003 0035 000004e7
2022-03-16 15:22:42.151600 False [   19139.231176] 0003 0036 00000076
2022-03-16 15:22:42.167556 False [   19139.247419] 0003 0035 000004e7
2022-03-16 15:22:42.167556 False [   19139.247419] 0003 0036 00000076
2022-03-16 15:22:42.476536 False [   19139.553786] 0003 0035 000004e7
2022-03-16 15:22:42.476536 False [   19139.553786] 0003 0036 00000060
2022-03-16 15:22:42.490951 False [   19139.570775] 0003 0035 000004e7
2022-03-16 15:22:42.490951 False [   19139.570775] 0003 0036 00000060
2022-03-16 15:22:42.513679 False [   19139.587465] 0003 0035 000004e7
2022-03-16 15:22:42.513679 False [   19139.587465] 0003 0036 00000060
2022-03-16 15:22:42.524717 False [   19139.603780] 0003 0035 000004e7
2022-03-16 15:22:42.524717 False [   19139.603780] 0003 0036 00000060
2022-03-16 15:22:42.540614 False [   19139.620882] 0003 0035 000004e7
2022-03-16 15:22:42.540614 False [   19139.620882] 0003 0036 00000060
2022-03-16 15:22:42.556613 False [   19139.637253] 0003 0035 000004e7
2022-03-16 15:22:42.556613 False [   19139.637253] 0003 0036 00000060
2022-03-16 15:22:42.576218 False [   19139.653659] 0003 0035 000004e7
2022-03-16 15:22:42.576218 False [   19139.653659] 0003 0036 00000060
2022-03-16 15:22:42.953455 False [   19140.028690] 0003 0035 000004f4
2022-03-16 15:22:42.954452 False [   19140.028690] 0003 0036 00000065
2022-03-16 15:22:42.969343 False [   19140.045089] 0003 0035 000004f4
2022-03-16 15:22:42.969343 False [   19140.045089] 0003 0036 00000065
2022-03-16 15:22:42.986284 False [   19140.062136] 0003 0035 000004f4
2022-03-16 15:22:42.986284 False [   19140.062136] 0003 0036 00000065
2022-03-16 15:22:42.998865 False [   19140.078536] 0003 0035 000004f4
2022-03-16 15:22:42.998865 False [   19140.078536] 0003 0036 00000065
2022-03-16 15:22:43.015742 False [   19140.095948] 0003 0035 000004f4
2022-03-16 15:22:43.015742 False [   19140.095948] 0003 0036 00000065
2022-03-16 15:22:43.035001 False [   19140.112350] 0003 0035 000004f4
2022-03-16 15:22:43.035001 False [   19140.112350] 0003 0036 00000065
2022-03-16 15:22:43.049094 False [   19140.128685] 0003 0035 000004f4
2022-03-16 15:22:43.049094 False [   19140.128685] 0003 0036 00000065
2022-03-16 15:22:43.612485 False [   19140.689450] 0003 0035 00000494
2022-03-16 15:22:43.612485 False [   19140.689450] 0003 0036 000002ad
2022-03-16 15:22:43.625037 False [   19140.705316] 0003 0035 00000494
2022-03-16 15:22:43.625037 False [   19140.705316] 0003 0036 000002ad
2022-03-16 15:22:43.642333 False [   19140.722503] 0003 0035 00000494
2022-03-16 15:22:43.642333 False [   19140.722503] 0003 0036 000002ad
2022-03-16 15:22:43.662508 False [   19140.738532] 0003 0035 00000494
2022-03-16 15:22:43.662508 False [   19140.738532] 0003 0036 000002ad
2022-03-16 15:22:43.676041 False [   19140.755359] 0003 0035 00000494
2022-03-16 15:22:43.676041 False [   19140.755359] 0003 0036 000002ad
2022-03-16 15:22:43.691977 False [   19140.771836] 0003 0035 00000494
2022-03-16 15:22:43.691977 False [   19140.771836] 0003 0036 000002ad
2022-03-16 15:22:44.035311 False [   19141.112815] 0003 0035 0000049a
2022-03-16 15:22:44.035311 False [   19141.112815] 0003 0036 0000024a
2022-03-16 15:22:44.051565 False [   19141.128812] 0003 0035 0000049a
2022-03-16 15:22:44.051565 False [   19141.128812] 0003 0036 0000024a
2022-03-16 15:22:44.068507 False [   19141.144703] 0003 0035 0000049a
2022-03-16 15:22:44.068507 False [   19141.144703] 0003 0036 0000024a
2022-03-16 15:22:44.081472 False [   19141.162308] 0003 0035 0000049a
2022-03-16 15:22:44.085461 False [   19141.162308] 0003 0036 0000024a
2022-03-16 15:22:44.098477 False [   19141.178349] 0003 0035 0000049a
2022-03-16 15:22:44.098764 False [   19141.178349] 0003 0036 0000024a
2022-03-16 15:22:44.608736 False [   19141.688771] 0003 0035 0000041a
2022-03-16 15:22:44.609741 False [   19141.688771] 0003 0036 00000293
2022-03-16 15:22:44.626898 False [   19141.705478] 0003 0035 0000041a
2022-03-16 15:22:44.626898 False [   19141.705478] 0003 0036 00000293
2022-03-16 15:22:44.641926 False [   19141.721790] 0003 0035 0000041a
2022-03-16 15:22:44.641926 False [   19141.721790] 0003 0036 00000293
2022-03-16 15:22:44.658472 False [   19141.738354] 0003 0035 0000041a
2022-03-16 15:22:44.658472 False [   19141.738354] 0003 0036 00000293
2022-03-16 15:22:44.677445 False [   19141.754290] 0003 0035 0000041a
2022-03-16 15:22:44.677445 False [   19141.754290] 0003 0036 00000293
2022-03-16 15:22:44.694304 False [   19141.772120] 0003 0035 0000041a
2022-03-16 15:22:44.694304 False [   19141.772120] 0003 0036 00000293
2022-03-16 15:22:45.000758 False [   19142.077726] 0003 0035 00000497
2022-03-16 15:22:45.000758 False [   19142.077726] 0003 0036 00000206
2022-03-16 15:22:45.014243 False [   19142.094015] 0003 0035 00000497
2022-03-16 15:22:45.014243 False [   19142.094015] 0003 0036 00000206
2022-03-16 15:22:45.030209 False [   19142.110703] 0003 0035 00000497
2022-03-16 15:22:45.030209 False [   19142.110703] 0003 0036 00000206
2022-03-16 15:22:45.047492 False [   19142.127617] 0003 0035 00000497
2022-03-16 15:22:45.047492 False [   19142.127617] 0003 0036 00000206
2022-03-16 15:22:45.067562 False [   19142.144774] 0003 0035 00000497
2022-03-16 15:22:45.067562 False [   19142.144774] 0003 0036 00000206
2022-03-16 15:22:45.080954 False [   19142.160839] 0003 0035 00000497
2022-03-16 15:22:45.080954 False [   19142.160839] 0003 0036 00000206
2022-03-16 15:22:45.626097 False [   19142.705119] 0003 0035 000004cc
2022-03-16 15:22:45.626097 False [   19142.705119] 0003 0036 00000190
2022-03-16 15:22:45.639819 False [   19142.719988] 0003 0035 000004cc
2022-03-16 15:22:45.639819 False [   19142.719988] 0003 0036 00000190
2022-03-16 15:22:45.656472 False [   19142.737191] 0003 0035 000004cc
2022-03-16 15:22:45.657470 False [   19142.737191] 0003 0036 00000190
2022-03-16 15:22:45.677783 False [   19142.756234] 0003 0035 000004cc
2022-03-16 15:22:45.677783 False [   19142.756234] 0003 0036 00000190
2022-03-16 15:22:45.695242 False [   19142.771012] 0003 0035 000004cc
2022-03-16 15:22:45.695242 False [   19142.771012] 0003 0036 00000190
2022-03-16 15:22:45.710513 False [   19142.787899] 0003 0035 000004cc
2022-03-16 15:22:45.710513 False [   19142.787899] 0003 0036 00000190
2022-03-16 15:22:46.053112 True [   19143.128521] 0003 0035 000003bb
2022-03-16 15:22:46.053112 True [   19143.128521] 0003 0036 00000116
2022-03-16 15:22:46.063842 True [   19143.143955] 0003 0035 000003bb
2022-03-16 15:22:46.063842 True [   19143.143955] 0003 0036 00000116
2022-03-16 15:22:46.086341 True [   19143.160919] 0003 0035 000003bb
2022-03-16 15:22:46.086341 True [   19143.160919] 0003 0036 00000116
2022-03-16 15:22:46.101516 True [   19143.178045] 0003 0035 000003bb
2022-03-16 15:22:46.101516 True [   19143.178045] 0003 0036 00000116
2022-03-16 15:22:46.115928 True [   19143.193998] 0003 0035 000003bb
2022-03-16 15:22:46.115928 True [   19143.193998] 0003 0036 00000116
2022-03-16 15:22:46.132503 True [   19143.211653] 0003 0035 000003bb
2022-03-16 15:22:46.132503 True [   19143.211653] 0003 0036 00000116
2022-03-16 15:22:46.147151 True [   19143.228496] 0003 0035 000003bb
2022-03-16 15:22:46.148183 True [   19143.228496] 0003 0036 00000116
2022-03-16 15:22:46.965816 False [   19144.043269] 0003 0035 0000047c
2022-03-16 15:22:46.965816 False [   19144.043269] 0003 0036 0000013d
2022-03-16 15:22:46.982783 False [   19144.058908] 0003 0035 0000047c
2022-03-16 15:22:46.982783 False [   19144.058908] 0003 0036 0000013d
2022-03-16 15:22:46.995400 False [   19144.075714] 0003 0035 0000047c
2022-03-16 15:22:46.995400 False [   19144.075714] 0003 0036 0000013d
2022-03-16 15:22:47.013815 False [   19144.093892] 0003 0035 0000047c
2022-03-16 15:22:47.013815 False [   19144.093892] 0003 0036 0000013d
2022-03-16 15:22:47.030455 False [   19144.110704] 0003 0035 0000047c
2022-03-16 15:22:47.030455 False [   19144.110704] 0003 0036 0000013d
2022-03-16 15:22:47.050338 False [   19144.126301] 0003 0035 0000047c
2022-03-16 15:22:47.050338 False [   19144.126301] 0003 0036 0000013d
2022-03-16 15:22:47.067816 False [   19144.143283] 0003 0035 0000047c
2022-03-16 15:22:47.067816 False [   19144.143283] 0003 0036 0000013d
2022-03-16 15:22:49.741831 False [   19146.821446] 0003 0035 0000007e
2022-03-16 15:22:49.742792 False [   19146.821446] 0003 0036 0000008d
2022-03-16 15:22:49.761956 False [   19146.837515] 0003 0035 0000007e
2022-03-16 15:22:49.762952 False [   19146.837515] 0003 0036 0000008d
2022-03-16 15:22:49.773600 False [   19146.853260] 0003 0035 0000007e
2022-03-16 15:22:49.773600 False [   19146.853260] 0003 0036 0000008d
2022-03-16 15:22:49.792611 False [   19146.870832] 0003 0035 0000007e
2022-03-16 15:22:49.792611 False [   19146.870832] 0003 0036 0000008d
2022-03-16 15:22:49.807697 False [   19146.888233] 0003 0035 0000007e
2022-03-16 15:22:49.807697 False [   19146.888233] 0003 0036 0000008d
2022-03-16 15:22:49.828243 False [   19146.904805] 0003 0035 0000007e
2022-03-16 15:22:49.828243 False [   19146.904805] 0003 0036 0000008d
2022-03-16 15:22:49.841055 False [   19146.921688] 0003 0035 0000007e
2022-03-16 15:22:49.841055 False [   19146.921688] 0003 0036 0000008d
2022-03-16 15:22:49.860756 False [   19146.938156] 0003 0035 0000007e
2022-03-16 15:22:49.860756 False [   19146.938156] 0003 0036 0000008d
2022-03-16 15:22:49.875019 False [   19146.954871] 0003 0035 00000082
2022-03-16 15:22:49.875019 False [   19146.954871] 0003 0036 0000008d
2022-03-16 15:22:49.890978 False [   19146.971788] 0003 0035 00000088
2022-03-16 15:22:49.890978 False [   19146.971788] 0003 0036 0000008d
2022-03-16 15:22:49.909816 False [   19146.989731] 0003 0035 0000008f
2022-03-16 15:22:49.909816 False [   19146.989731] 0003 0036 0000008d
2022-03-16 15:22:49.926711 False [   19147.006278] 0003 0035 00000097
2022-03-16 15:22:49.926711 False [   19147.006278] 0003 0036 0000008d
2022-03-16 15:22:49.944520 False [   19147.023351] 0003 0035 000000a0
2022-03-16 15:22:49.944520 False [   19147.023351] 0003 0036 0000008b
2022-03-16 15:22:49.960930 False [   19147.039579] 0003 0035 000000aa
2022-03-16 15:22:49.960930 False [   19147.039579] 0003 0036 0000008b
2022-03-16 15:22:49.976158 False [   19147.056953] 0003 0035 000000b3
2022-03-16 15:22:49.977170 False [   19147.056953] 0003 0036 0000008b
2022-03-16 15:22:49.994106 False [   19147.073415] 0003 0035 000000ba
2022-03-16 15:22:49.994106 False [   19147.073415] 0003 0036 0000008b
2022-03-16 15:22:50.010156 False [   19147.090373] 0003 0035 000000c0
2022-03-16 15:22:50.010156 False [   19147.090373] 0003 0036 0000008b
2022-03-16 15:22:50.027329 False [   19147.107590] 0003 0035 000000c0
2022-03-16 15:22:50.027329 False [   19147.107590] 0003 0036 0000008b
2022-03-16 15:22:50.047214 False [   19147.124279] 0003 0035 000000c0
2022-03-16 15:22:50.047214 False [   19147.124279] 0003 0036 0000008b
2022-03-16 15:22:50.061808 False [   19147.141468] 0003 0035 000000c0
2022-03-16 15:22:50.061808 False [   19147.141468] 0003 0036 0000008b
2022-03-16 15:22:50.081799 False [   19147.158624] 0003 0035 000000c0
2022-03-16 15:22:50.081799 False [   19147.158624] 0003 0036 0000008b
2022-03-16 15:22:50.094182 False [   19147.175056] 0003 0035 000000c3
2022-03-16 15:22:50.094182 False [   19147.175056] 0003 0036 00000090
2022-03-16 15:22:50.117040 False [   19147.191960] 0003 0035 000000c5
2022-03-16 15:22:50.118036 False [   19147.191960] 0003 0036 00000094
2022-03-16 15:22:50.128889 False [   19147.209487] 0003 0035 000000c5
2022-03-16 15:22:50.134884 False [   19147.209487] 0003 0036 00000098
2022-03-16 15:22:50.151322 False [   19147.227372] 0003 0035 000000c5
2022-03-16 15:22:50.151322 False [   19147.227372] 0003 0036 00000098
2022-03-16 15:22:50.164266 False [   19147.242834] 0003 0035 000000c7
2022-03-16 15:22:50.164266 False [   19147.242834] 0003 0036 0000009d
2022-03-16 15:22:50.179226 False [   19147.259787] 0003 0035 000000ca
2022-03-16 15:22:50.179226 False [   19147.259787] 0003 0036 000000a1
2022-03-16 15:22:50.198257 False [   19147.276731] 0003 0035 000000cd
2022-03-16 15:22:50.198257 False [   19147.276731] 0003 0036 000000a5
2022-03-16 15:22:50.215209 False [   19147.293704] 0003 0035 000000d0
2022-03-16 15:22:50.215209 False [   19147.293704] 0003 0036 000000a9
2022-03-16 15:22:50.232038 False [   19147.310816] 0003 0035 000000d5
2022-03-16 15:22:50.232038 False [   19147.310816] 0003 0036 000000ad
2022-03-16 15:22:50.247893 False [   19147.327971] 0003 0035 000000da
2022-03-16 15:22:50.247893 False [   19147.327971] 0003 0036 000000b0
2022-03-16 15:22:50.264211 False [   19147.344564] 0003 0035 000000e3
2022-03-16 15:22:50.264211 False [   19147.344564] 0003 0036 000000b3
2022-03-16 15:22:50.286408 False [   19147.361454] 0003 0035 000000f1
2022-03-16 15:22:50.286408 False [   19147.361454] 0003 0036 000000b5
2022-03-16 15:22:50.302144 False [   19147.378624] 0003 0035 00000103
2022-03-16 15:22:50.302144 False [   19147.378624] 0003 0036 000000b5
2022-03-16 15:22:50.318807 False [   19147.395586] 0003 0035 00000115
2022-03-16 15:22:50.318807 False [   19147.395586] 0003 0036 000000b5
2022-03-16 15:22:50.332294 False [   19147.412476] 0003 0035 0000012b
2022-03-16 15:22:50.333261 False [   19147.412476] 0003 0036 000000b5
2022-03-16 15:22:50.351194 False [   19147.429958] 0003 0035 00000147
2022-03-16 15:22:50.351194 False [   19147.429958] 0003 0036 000000b5
2022-03-16 15:22:50.366741 False [   19147.446892] 0003 0035 00000164
2022-03-16 15:22:50.366741 False [   19147.446892] 0003 0036 000000b2
2022-03-16 15:22:50.384708 False [   19147.463102] 0003 0035 00000180
2022-03-16 15:22:50.385690 False [   19147.463102] 0003 0036 000000b0
2022-03-16 15:22:50.400327 False [   19147.480151] 0003 0035 0000019a
2022-03-16 15:22:50.400327 False [   19147.480151] 0003 0036 000000ad
2022-03-16 15:22:50.422912 False [   19147.498264] 0003 0035 000001b2
2022-03-16 15:22:50.422912 False [   19147.498264] 0003 0036 000000ab
2022-03-16 15:22:50.434837 False [   19147.514301] 0003 0035 000001c9
2022-03-16 15:22:50.434837 False [   19147.514301] 0003 0036 000000a8
2022-03-16 15:22:50.455436 False [   19147.531612] 0003 0035 000001e1
2022-03-16 15:22:50.455436 False [   19147.531612] 0003 0036 000000a5
2022-03-16 15:22:50.472364 False [   19147.547889] 0003 0035 000001fe
2022-03-16 15:22:50.472364 False [   19147.547889] 0003 0036 000000a2
2022-03-16 15:22:50.488240 False [   19147.565536] 0003 0035 0000021b
2022-03-16 15:22:50.488240 False [   19147.565536] 0003 0036 0000009e
2022-03-16 15:22:50.501757 False [   19147.582123] 0003 0035 00000237
2022-03-16 15:22:50.502743 False [   19147.582123] 0003 0036 0000009a
2022-03-16 15:22:50.519216 False [   19147.599102] 0003 0035 00000253
2022-03-16 15:22:50.520214 False [   19147.599102] 0003 0036 00000097
2022-03-16 15:22:50.540206 False [   19147.616394] 0003 0035 0000026d
2022-03-16 15:22:50.540206 False [   19147.616394] 0003 0036 00000094
2022-03-16 15:22:50.557314 False [   19147.633081] 0003 0035 00000285
2022-03-16 15:22:50.557314 False [   19147.633081] 0003 0036 00000091
2022-03-16 15:22:50.573337 False [   19147.649640] 0003 0035 0000029d
2022-03-16 15:22:50.574335 False [   19147.649640] 0003 0036 0000008e
2022-03-16 15:22:50.590868 False [   19147.666770] 0003 0035 000002b7
2022-03-16 15:22:50.591853 False [   19147.666770] 0003 0036 0000008c
2022-03-16 15:22:50.607215 False [   19147.683510] 0003 0035 000002d1
2022-03-16 15:22:50.608215 False [   19147.683510] 0003 0036 0000008a
2022-03-16 15:22:50.620393 False [   19147.700969] 0003 0035 000002ec
2022-03-16 15:22:50.621399 False [   19147.700969] 0003 0036 0000008a
2022-03-16 15:22:50.639731 False [   19147.717974] 0003 0035 0000030a
2022-03-16 15:22:50.639731 False [   19147.717974] 0003 0036 00000088
2022-03-16 15:22:50.654383 False [   19147.734158] 0003 0035 00000327
2022-03-16 15:22:50.654383 False [   19147.734158] 0003 0036 00000088
2022-03-16 15:22:50.676404 False [   19147.752078] 0003 0035 00000344
2022-03-16 15:22:50.676404 False [   19147.752078] 0003 0036 00000086
2022-03-16 15:22:50.689106 False [   19147.768349] 0003 0035 00000363
2022-03-16 15:22:50.689106 False [   19147.768349] 0003 0036 00000084
2022-03-16 15:22:50.708144 False [   19147.785653] 0003 0035 00000380
2022-03-16 15:22:50.708144 False [   19147.785653] 0003 0036 00000082
2022-03-16 15:22:50.723876 False [   19147.802303] 0003 0035 0000039b
2022-03-16 15:22:50.723876 False [   19147.802303] 0003 0036 00000080
2022-03-16 15:22:50.741973 False [   19147.819565] 0003 0035 000003b3
2022-03-16 15:22:50.741973 False [   19147.819565] 0003 0036 0000007e
2022-03-16 15:22:50.756562 False [   19147.836498] 0003 0035 000003c9
2022-03-16 15:22:50.756562 False [   19147.836498] 0003 0036 0000007e
2022-03-16 15:22:50.773517 False [   19147.853318] 0003 0035 000003dd
2022-03-16 15:22:50.773517 False [   19147.853318] 0003 0036 0000007c
2022-03-16 15:22:50.793599 False [   19147.870554] 0003 0035 000003ef
2022-03-16 15:22:50.793599 False [   19147.870554] 0003 0036 0000007c
2022-03-16 15:22:50.811915 False [   19147.887348] 0003 0035 000003fe
2022-03-16 15:22:50.811915 False [   19147.887348] 0003 0036 0000007c
2022-03-16 15:22:50.828513 False [   19147.903975] 0003 0035 0000040b
2022-03-16 15:22:50.828513 False [   19147.903975] 0003 0036 0000007c
2022-03-16 15:22:50.841157 False [   19147.920514] 0003 0035 00000414
2022-03-16 15:22:50.841157 False [   19147.920514] 0003 0036 0000007c
2022-03-16 15:22:50.858676 False [   19147.937501] 0003 0035 0000041b
2022-03-16 15:22:50.858676 False [   19147.937501] 0003 0036 0000007c
2022-03-16 15:22:50.880349 False [   19147.955177] 0003 0035 0000041f
2022-03-16 15:22:50.880349 False [   19147.955177] 0003 0036 0000007c
2022-03-16 15:22:50.893963 False [   19147.971313] 0003 0035 00000423
2022-03-16 15:22:50.893963 False [   19147.971313] 0003 0036 0000007f
2022-03-16 15:22:50.910962 False [   19147.988931] 0003 0035 00000426
2022-03-16 15:22:50.910962 False [   19147.988931] 0003 0036 00000083
2022-03-16 15:22:50.930303 False [   19148.005581] 0003 0035 00000428
2022-03-16 15:22:50.930303 False [   19148.005581] 0003 0036 00000089
2022-03-16 15:22:50.942144 False [   19148.022180] 0003 0035 00000428
2022-03-16 15:22:50.942144 False [   19148.022180] 0003 0036 00000090
2022-03-16 15:22:50.959060 False [   19148.039210] 0003 0035 00000428
2022-03-16 15:22:50.959060 False [   19148.039210] 0003 0036 00000098
2022-03-16 15:22:50.977943 False [   19148.057117] 0003 0035 00000428
2022-03-16 15:22:50.977943 False [   19148.057117] 0003 0036 000000a1
2022-03-16 15:22:50.996292 False [   19148.073057] 0003 0035 00000428
2022-03-16 15:22:50.997293 False [   19148.073057] 0003 0036 000000aa
2022-03-16 15:22:51.012207 False [   19148.090052] 0003 0035 00000428
2022-03-16 15:22:51.012207 False [   19148.090052] 0003 0036 000000b3
2022-03-16 15:22:51.027850 False [   19148.107409] 0003 0035 00000428
2022-03-16 15:22:51.027850 False [   19148.107409] 0003 0036 000000bb
2022-03-16 15:22:51.044223 False [   19148.124077] 0003 0035 00000428
2022-03-16 15:22:51.044223 False [   19148.124077] 0003 0036 000000c1
2022-03-16 15:22:51.060051 False [   19148.140832] 0003 0035 00000428
2022-03-16 15:22:51.060051 False [   19148.140832] 0003 0036 000000c6
2022-03-16 15:22:51.081182 False [   19148.158333] 0003 0035 00000428
2022-03-16 15:22:51.081182 False [   19148.158333] 0003 0036 000000cb
2022-03-16 15:22:51.094896 False [   19148.174901] 0003 0035 00000428
2022-03-16 15:22:51.094896 False [   19148.174901] 0003 0036 000000cb
2022-03-16 15:22:51.113254 False [   19148.192433] 0003 0035 0000042b
2022-03-16 15:22:51.114252 False [   19148.192433] 0003 0036 000000cf
2022-03-16 15:22:51.133526 False [   19148.209021] 0003 0035 0000042b
2022-03-16 15:22:51.133526 False [   19148.209021] 0003 0036 000000cf
2022-03-16 15:22:51.145333 False [   19148.225518] 0003 0035 0000042f
2022-03-16 15:22:51.146319 False [   19148.225518] 0003 0036 000000d2
2022-03-16 15:22:51.166099 False [   19148.242398] 0003 0035 0000042f
