Mode = area stim
        verts = 5 
        radius = 550 
        center = (800, 1280) 
        first_angle = 2.978599830169037 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 2
        ===============================
2022-04-07 18:34:58.301173 False [   17627.632914] 0003 0035 00000529
2022-04-07 18:34:58.301173 False [   17627.632914] 0003 0036 00000406
2022-04-07 18:34:58.308822 False [   17627.641445] 0003 0035 00000528
2022-04-07 18:34:58.308822 False [   17627.641445] 0003 0036 00000415
2022-04-07 18:34:58.316744 False [   17627.649231] 0003 0035 00000527
2022-04-07 18:34:58.316744 False [   17627.649231] 0003 0036 00000424
2022-04-07 18:34:58.326207 False [   17627.658187] 0003 0035 00000525
2022-04-07 18:34:58.326207 False [   17627.658187] 0003 0036 00000433
2022-04-07 18:34:58.331901 False [   17627.665562] 0003 0036 00000440
2022-04-07 18:34:58.342300 False [   17627.674015] 0003 0035 00000523
2022-04-07 18:34:58.342300 False [   17627.674015] 0003 0036 0000044f
2022-04-07 18:34:58.351731 False [   17627.683061] 0003 0035 00000522
2022-04-07 18:34:58.351731 False [   17627.683061] 0003 0036 0000045e
2022-04-07 18:34:58.357105 False [   17627.690402] 0003 0036 0000046b
2022-04-07 18:34:58.366990 False [   17627.699209] 0003 0036 00000478
2022-04-07 18:34:58.377050 False [   17627.708395] 0003 0035 00000521
2022-04-07 18:34:58.377050 False [   17627.708395] 0003 0036 00000485
2022-04-07 18:34:58.383471 False [   17627.715438] 0003 0035 00000520
2022-04-07 18:34:58.383471 False [   17627.715438] 0003 0036 00000491
2022-04-07 18:34:58.393180 False [   17627.725069] 0003 0036 00000499
2022-04-07 18:34:58.400834 False [   17627.732814] 0003 0036 000004a7
2022-04-07 18:34:58.408813 False [   17627.740768] 0003 0035 0000051f
2022-04-07 18:34:58.408813 False [   17627.740768] 0003 0036 000004b6
2022-04-07 18:34:58.416826 False [   17627.748969] 0003 0035 00000520
2022-04-07 18:34:58.416826 False [   17627.748969] 0003 0036 000004c4
2022-04-07 18:34:58.425589 False [   17627.758078] 0003 0036 000004ce
2022-04-07 18:34:58.433437 False [   17627.766025] 0003 0036 000004db
2022-04-07 18:34:58.443623 False [   17627.774921] 0003 0035 00000521
2022-04-07 18:34:58.443623 False [   17627.774921] 0003 0036 000004ea
2022-04-07 18:34:58.449765 False [   17627.781935] 0003 0036 000004f9
2022-04-07 18:34:58.457123 False [   17627.790156] 0003 0035 00000522
2022-04-07 18:34:58.457123 False [   17627.790156] 0003 0036 00000505
2022-04-07 18:34:58.467103 False [   17627.799104] 0003 0036 00000512
