Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.840082097153223 
        wm_size = [1600 2560] 
        stim_amp = 4 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 18:38:36.573309 False [   17845.901250] 0003 0036 0000031d
2022-04-07 18:38:36.578704 False [   17845.909690] 0003 0035 0000057f
2022-04-07 18:38:36.578704 False [   17845.909690] 0003 0036 0000032a
2022-04-07 18:38:36.588226 False [   17845.918005] 0003 0036 00000337
2022-04-07 18:38:36.596701 False [   17845.926360] 0003 0036 00000345
2022-04-07 18:38:36.604859 False [   17845.934482] 0003 0036 00000352
2022-04-07 18:38:36.611956 False [   17845.942972] 0003 0036 0000035a
2022-04-07 18:38:36.622669 False [   17845.951166] 0003 0035 00000580
2022-04-07 18:38:36.622669 False [   17845.951166] 0003 0036 00000368
2022-04-07 18:38:36.630876 False [   17845.959625] 0003 0035 0000057f
2022-04-07 18:38:36.630876 False [   17845.959625] 0003 0036 00000376
2022-04-07 18:38:36.638549 False [   17845.967757] 0003 0036 00000380
2022-04-07 18:38:36.645811 False [   17845.976275] 0003 0036 0000038c
2022-04-07 18:38:36.655453 False [   17845.984508] 0003 0036 00000394
2022-04-07 18:38:36.662892 False [   17845.992872] 0003 0036 000003a2
2022-04-07 18:38:36.671629 False [   17846.001006] 0003 0036 000003af
2022-04-07 18:38:36.680825 False [   17846.009423] 0003 0036 000003b8
2022-04-07 18:38:36.688837 False [   17846.017611] 0003 0036 000003c3
2022-04-07 18:38:36.695367 False [   17846.026144] 0003 0036 000003ca
2022-04-07 18:38:36.704903 False [   17846.034248] 0003 0035 00000580
2022-04-07 18:38:36.704903 False [   17846.034248] 0003 0036 000003d7
2022-04-07 18:38:36.713929 False [   17846.042740] 0003 0035 00000581
2022-04-07 18:38:36.713929 False [   17846.042740] 0003 0036 000003e5
2022-04-07 18:38:36.721815 False [   17846.050853] 0003 0035 00000582
2022-04-07 18:38:36.721815 False [   17846.050853] 0003 0036 000003ee
2022-04-07 18:38:36.728740 False [   17846.059283] 0003 0036 000003f9
2022-04-07 18:38:36.738934 False [   17846.067537] 0003 0035 00000583
2022-04-07 18:38:36.738934 False [   17846.067537] 0003 0036 00000400
2022-04-07 18:38:36.746208 False [   17846.075977] 0003 0035 00000584
2022-04-07 18:38:36.746208 False [   17846.075977] 0003 0036 0000040c
2022-04-07 18:38:36.754889 False [   17846.084231] 0003 0035 00000585
2022-04-07 18:38:36.754889 False [   17846.084231] 0003 0036 00000418
2022-04-07 18:38:36.761975 False [   17846.092592] 0003 0035 00000586
2022-04-07 18:38:36.761975 False [   17846.092592] 0003 0036 00000420
2022-04-07 18:38:36.770885 False [   17846.100953] 0003 0036 0000042a
2022-04-07 18:38:36.780356 False [   17846.109256] 0003 0036 00000432
2022-04-07 18:38:36.786273 False [   17846.117358] 0003 0035 00000587
2022-04-07 18:38:36.786273 False [   17846.117358] 0003 0036 0000043c
2022-04-07 18:38:36.794581 False [   17846.125808] 0003 0036 00000444
2022-04-07 18:38:36.806117 False [   17846.133991] 0003 0035 00000588
2022-04-07 18:38:36.806117 False [   17846.133991] 0003 0036 00000450
2022-04-07 18:38:36.812943 False [   17846.142470] 0003 0036 0000045a
2022-04-07 18:38:36.822896 False [   17846.150651] 0003 0035 00000589
2022-04-07 18:38:36.822896 False [   17846.150651] 0003 0036 00000462
2022-04-07 18:38:36.829708 False [   17846.159052] 0003 0036 00000468
2022-04-07 18:38:36.837277 False [   17846.167256] 0003 0036 00000472
2022-04-07 18:38:36.845626 False [   17846.175691] 0003 0036 00000479
2022-04-07 18:38:36.855101 False [   17846.183867] 0003 0036 00000484
2022-04-07 18:38:36.861633 False [   17846.192288] 0003 0036 0000048c
2022-04-07 18:38:36.872545 False [   17846.200754] 0003 0036 00000494
2022-04-07 18:38:36.880156 False [   17846.208905] 0003 0036 0000049b
2022-04-07 18:38:36.888944 False [   17846.217157] 0003 0036 000004a4
2022-04-07 18:38:36.894185 False [   17846.225612] 0003 0036 000004ac
2022-04-07 18:38:36.903472 False [   17846.233757] 0003 0036 000004b8
2022-04-07 18:38:36.912705 False [   17846.242251] 0003 0036 000004c1
2022-04-07 18:38:36.921202 False [   17846.250299] 0003 0035 00000588
2022-04-07 18:38:36.921202 False [   17846.250299] 0003 0036 000004ca
2022-04-07 18:38:36.928780 False [   17846.258792] 0003 0035 00000587
2022-04-07 18:38:36.928780 False [   17846.258792] 0003 0036 000004d2
2022-04-07 18:38:36.937282 False [   17846.266999] 0003 0035 00000586
2022-04-07 18:38:36.937282 False [   17846.266999] 0003 0036 000004dc
2022-04-07 18:38:36.945463 False [   17846.275441] 0003 0035 00000585
2022-04-07 18:38:36.945463 False [   17846.275441] 0003 0036 000004ea
2022-04-07 18:38:36.953950 False [   17846.283613] 0003 0035 00000583
2022-04-07 18:38:36.953950 False [   17846.283613] 0003 0036 000004f2
2022-04-07 18:38:36.963158 False [   17846.292140] 0003 0035 00000580
2022-04-07 18:38:36.963158 False [   17846.292140] 0003 0036 000004ff
2022-04-07 18:38:36.970778 False [   17846.300349] 0003 0035 0000057e
2022-04-07 18:38:36.970778 False [   17846.300349] 0003 0036 00000505
2022-04-07 18:38:36.979906 False [   17846.308711] 0003 0035 0000057c
2022-04-07 18:38:36.979906 False [   17846.308711] 0003 0036 0000050e
2022-04-07 18:38:36.988243 False [   17846.316970] 0003 0035 0000057a
2022-04-07 18:38:36.988243 False [   17846.316970] 0003 0036 0000051b
2022-04-07 18:38:36.996190 False [   17846.325320] 0003 0035 00000578
2022-04-07 18:38:36.996190 False [   17846.325320] 0003 0036 00000524
2022-04-07 18:38:37.004368 False [   17846.333445] 0003 0035 00000577
2022-04-07 18:38:37.004368 False [   17846.333445] 0003 0036 0000052f
2022-04-07 18:38:37.012500 False [   17846.341904] 0003 0035 00000575
2022-04-07 18:38:37.012500 False [   17846.341904] 0003 0036 00000535
2022-04-07 18:38:37.020733 False [   17846.350124] 0003 0035 00000572
2022-04-07 18:38:37.020733 False [   17846.350124] 0003 0036 00000542
2022-04-07 18:38:37.030507 False [   17846.358523] 0003 0035 00000570
2022-04-07 18:38:37.030507 False [   17846.358523] 0003 0036 0000054a
2022-04-07 18:38:37.038451 False [   17846.366695] 0003 0035 0000056e
2022-04-07 18:38:37.038451 False [   17846.366695] 0003 0036 00000557
2022-04-07 18:38:37.045380 False [   17846.375128] 0003 0035 0000056d
2022-04-07 18:38:37.045380 False [   17846.375128] 0003 0036 0000055f
2022-04-07 18:38:37.055500 False [   17846.383285] 0003 0035 0000056a
2022-04-07 18:38:37.055500 False [   17846.383285] 0003 0036 0000056a
2022-04-07 18:38:37.062902 False [   17846.391765] 0003 0035 00000569
2022-04-07 18:38:37.062902 False [   17846.391765] 0003 0036 00000572
2022-04-07 18:38:37.071117 False [   17846.399994] 0003 0035 00000568
2022-04-07 18:38:37.071117 False [   17846.399994] 0003 0036 0000057e
2022-04-07 18:38:37.078075 False [   17846.408333] 0003 0035 00000566
2022-04-07 18:38:37.078075 False [   17846.408333] 0003 0036 0000058a
