Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 3.083491420835297 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-16 19:47:17.036562 True [   35354.057371] 0003 0036 000005fb
2022-03-16 19:47:17.042348 True [   35354.065614] 0003 0035 000003bc
2022-03-16 19:47:17.042348 True [   35354.065614] 0003 0036 000005e0
2022-03-16 19:47:17.051440 True [   35354.074276] 0003 0035 000003b9
2022-03-16 19:47:17.051440 True [   35354.074276] 0003 0036 000005c8
2022-03-16 19:47:17.059358 True [   35354.082230] 0003 0035 000003b6
2022-03-16 19:47:17.059358 True [   35354.082230] 0003 0036 000005ac
2022-03-16 19:47:17.067138 True [   35354.090895] 0003 0035 000003b2
2022-03-16 19:47:17.067138 True [   35354.090895] 0003 0036 00000592
2022-03-16 19:47:17.075057 True [   35354.098841] 0003 0035 000003af
2022-03-16 19:47:17.075057 True [   35354.098841] 0003 0036 00000576
2022-03-16 19:47:17.085563 True [   35354.108115] 0003 0035 000003ad
2022-03-16 19:47:17.085563 True [   35354.108115] 0003 0036 0000055d
2022-03-16 19:47:17.092745 True [   35354.115461] 0003 0035 000003ab
2022-03-16 19:47:17.092745 True [   35354.115461] 0003 0036 0000053a
2022-03-16 19:47:17.100469 True [   35354.124298] 0003 0035 000003a7
2022-03-16 19:47:17.100469 True [   35354.124298] 0003 0036 0000051c
2022-03-16 19:47:17.111718 True [   35354.132071] 0003 0035 000003a5
2022-03-16 19:47:17.111718 True [   35354.132071] 0003 0036 000004ff
2022-03-16 19:47:17.117800 True [   35354.140645] 0003 0035 000003a0
2022-03-16 19:47:17.117800 True [   35354.140645] 0003 0036 000004db
2022-03-16 19:47:17.127358 True [   35354.148752] 0003 0035 0000039d
2022-03-16 19:47:17.127358 True [   35354.148752] 0003 0036 000004b9
2022-03-16 19:47:17.134559 True [   35354.157169] 0003 0035 00000399
2022-03-16 19:47:17.134559 True [   35354.157169] 0003 0036 00000494
2022-03-16 19:47:17.142276 True [   35354.165497] 0003 0035 00000397
2022-03-16 19:47:17.142276 True [   35354.165497] 0003 0036 00000471
2022-03-16 19:47:17.152191 True [   35354.173859] 0003 0035 00000394
2022-03-16 19:47:17.152191 True [   35354.173859] 0003 0036 0000044e
2022-03-16 19:47:17.158970 True [   35354.182046] 0003 0035 00000392
2022-03-16 19:47:17.158970 True [   35354.182046] 0003 0036 0000042a
2022-03-16 19:47:17.166900 True [   35354.190458] 0003 0035 00000391
2022-03-16 19:47:17.166900 True [   35354.190458] 0003 0036 00000409
2022-03-16 19:47:17.174881 True [   35354.198611] 0003 0036 000003ea
2022-03-16 19:47:17.185065 True [   35354.207808] 0003 0035 00000390
2022-03-16 19:47:17.185065 True [   35354.207808] 0003 0036 000003cf
2022-03-16 19:47:17.191331 True [   35354.215253] 0003 0036 000003b6
2022-03-16 19:47:17.201782 True [   35354.224059] 0003 0035 0000038f
2022-03-16 19:47:17.201782 True [   35354.224059] 0003 0036 00000397
2022-03-16 19:47:17.208936 True [   35354.231955] 0003 0036 0000037e
2022-03-16 19:47:17.217508 True [   35354.240964] 0003 0036 00000364
2022-03-16 19:47:17.225246 True [   35354.248547] 0003 0035 00000390
2022-03-16 19:47:17.225246 False [   35354.248547] 0003 0036 0000034d
2022-03-16 19:47:17.235233 False [   35354.257221] 0003 0035 00000391
2022-03-16 19:47:17.235991 False [   35354.257221] 0003 0036 00000335
2022-03-16 19:47:17.240889 False [   35354.265084] 0003 0036 0000031e
2022-03-16 19:47:17.252598 False [   35354.274336] 0003 0035 00000392
2022-03-16 19:47:17.252598 False [   35354.274336] 0003 0036 00000308
