Mode = area stim
        verts = 4 
        radius = 550 
        center = (800, 1280) 
        first_angle = 1.012688321241467 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = stim
        sense_zone = 0
        task_code = 1
        ===============================
2022-04-07 18:55:26.019546 False [   18855.330676] 0003 0036 00000102
2022-04-07 18:55:26.026259 False [   18855.338954] 0003 0035 00000225
2022-04-07 18:55:26.026259 False [   18855.338954] 0003 0036 00000101
2022-04-07 18:55:26.035003 False [   18855.347372] 0003 0035 00000215
2022-04-07 18:55:26.035003 False [   18855.347372] 0003 0036 00000100
2022-04-07 18:55:26.042574 False [   18855.355484] 0003 0035 00000205
2022-04-07 18:55:26.042574 False [   18855.355484] 0003 0036 000000ff
2022-04-07 18:55:26.054363 False [   18855.363950] 0003 0035 000001f3
2022-04-07 18:55:26.060693 False [   18855.372182] 0003 0035 000001e2
2022-04-07 18:55:26.060693 False [   18855.372182] 0003 0036 000000fe
2022-04-07 18:55:26.066995 False [   18855.380624] 0003 0035 000001d2
2022-04-07 18:55:26.066995 False [   18855.380624] 0003 0036 000000fd
2022-04-07 18:55:26.076546 False [   18855.388735] 0003 0035 000001c1
2022-04-07 18:55:26.076546 False [   18855.388735] 0003 0036 000000fc
2022-04-07 18:55:26.083655 False [   18855.397169] 0003 0035 000001b0
2022-04-07 18:55:26.083655 False [   18855.397169] 0003 0036 000000fa
2022-04-07 18:55:26.094349 False [   18855.405425] 0003 0035 000001a6
2022-04-07 18:55:26.094349 False [   18855.405425] 0003 0036 000000f9
2022-04-07 18:55:26.102990 False [   18855.413822] 0003 0035 00000193
2022-04-07 18:55:26.108048 False [   18855.422030] 0003 0035 00000188
2022-04-07 18:55:26.108048 False [   18855.422030] 0003 0036 000000f8
2022-04-07 18:55:26.118039 False [   18855.430407] 0003 0035 00000175
2022-04-07 18:55:26.118039 False [   18855.430407] 0003 0036 000000f6
2022-04-07 18:55:26.124304 False [   18855.438575] 0003 0035 00000169
2022-04-07 18:55:26.124304 False [   18855.438575] 0003 0036 000000f5
2022-04-07 18:55:26.136071 False [   18855.447161] 0003 0035 0000015a
2022-04-07 18:55:26.144818 False [   18855.455242] 0003 0035 0000014f
2022-04-07 18:55:26.148091 False [   18855.463718] 0003 0035 00000140
2022-04-07 18:55:26.148091 False [   18855.463718] 0003 0036 000000f4
2022-04-07 18:55:26.160985 False [   18855.472050] 0003 0035 00000136
2022-04-07 18:55:26.167819 False [   18855.480352] 0003 0035 00000128
2022-04-07 18:55:26.178073 False [   18855.488490] 0003 0035 0000011f
2022-04-07 18:55:26.185315 False [   18855.496911] 0003 0035 00000112
2022-04-07 18:55:26.194069 False [   18855.505051] 0003 0035 0000010a
2022-04-07 18:55:26.202274 False [   18855.513532] 0003 0035 000000fd
2022-04-07 18:55:26.211066 False [   18855.522036] 0003 0035 000000f5
2022-04-07 18:55:26.218334 False [   18855.530232] 0003 0035 000000eb
2022-04-07 18:55:26.227112 False [   18855.538281] 0003 0035 000000e5
2022-04-07 18:55:26.236361 False [   18855.546793] 0003 0035 000000e0
2022-04-07 18:55:26.250087 False [   18855.555098] 0003 0035 000000d7
2022-04-07 18:55:26.264227 False [   18855.563395] 0003 0035 000000d1
2022-04-07 18:55:26.275320 False [   18855.571563] 0003 0035 000000cc
2022-04-07 18:55:26.275320 False [   18855.580047] 0003 0035 000000c8
2022-04-07 18:55:26.277100 False [   18855.588169] 0003 0035 000000c6
2022-04-07 18:55:26.285620 False [   18855.596695] 0003 0035 000000c1
2022-04-07 18:55:26.293416 False [   18855.604842] 0003 0035 000000be
2022-04-07 18:55:26.302040 False [   18855.613294] 0003 0035 000000bb
2022-04-07 18:55:26.309741 False [   18855.621362] 0003 0035 000000b9
2022-04-07 18:55:26.316812 False [   18855.629834] 0003 0035 000000b6
2022-04-07 18:55:26.326443 False [   18855.638022] 0003 0035 000000b5
2022-04-07 18:55:26.341794 False [   18855.646864] 0003 0035 000000b4
2022-04-07 18:55:26.350690 False [   18855.654666] 0003 0035 000000b3
2022-04-07 18:55:26.354905 False [   18855.663102] 0003 0035 000000b2
2022-04-07 18:55:26.368037 False [   18855.681455] 0003 0035 000000b1
2022-04-07 18:55:26.388095 False [   18855.697883] 0003 0035 000000b0
2022-04-07 18:55:26.410873 False [   18855.721676] 0003 0035 000000af
2022-04-07 18:55:26.416996 False [   18855.729736] 0003 0035 000000b0
2022-04-07 18:55:26.416996 False [   18855.729736] 0003 0036 000000f7
2022-04-07 18:55:26.426618 False [   18855.737895] 0003 0036 000000f9
2022-04-07 18:55:26.435612 False [   18855.746701] 0003 0035 000000b1
2022-04-07 18:55:26.435612 False [   18855.746701] 0003 0036 000000fb
2022-04-07 18:55:26.444186 False [   18855.754512] 0003 0036 000000fd
2022-04-07 18:55:26.451169 False [   18855.763063] 0003 0035 000000b5
2022-04-07 18:55:26.451169 False [   18855.763063] 0003 0036 00000108
2022-04-07 18:55:26.456881 False [   18855.771015] 0003 0035 000000b7
2022-04-07 18:55:26.456881 False [   18855.771015] 0003 0036 0000010f
2022-04-07 18:55:26.465339 False [   18855.779480] 0003 0035 000000bb
2022-04-07 18:55:26.465339 False [   18855.779480] 0003 0036 00000119
2022-04-07 18:55:26.472854 False [   18855.787693] 0003 0035 000000be
2022-04-07 18:55:26.472854 False [   18855.787693] 0003 0036 0000011f
2022-04-07 18:55:26.482394 False [   18855.796052] 0003 0035 000000c0
2022-04-07 18:55:26.482394 False [   18855.796052] 0003 0036 00000128
2022-04-07 18:55:26.492474 False [   18855.804395] 0003 0035 000000c2
2022-04-07 18:55:26.492474 False [   18855.804395] 0003 0036 00000132
2022-04-07 18:55:26.500598 False [   18855.812638] 0003 0035 000000c4
2022-04-07 18:55:26.500598 False [   18855.812638] 0003 0036 0000013c
2022-04-07 18:55:26.506091 False [   18855.820970] 0003 0035 000000c6
2022-04-07 18:55:26.506091 False [   18855.820970] 0003 0036 00000146
2022-04-07 18:55:26.516597 False [   18855.829322] 0003 0035 000000c7
2022-04-07 18:55:26.516597 False [   18855.829322] 0003 0036 00000150
2022-04-07 18:55:26.524543 False [   18855.837503] 0003 0035 000000c9
2022-04-07 18:55:26.524543 False [   18855.837503] 0003 0036 00000158
2022-04-07 18:55:26.532523 False [   18855.845897] 0003 0036 00000163
2022-04-07 18:55:26.539107 False [   18855.854136] 0003 0035 000000ca
2022-04-07 18:55:26.539107 False [   18855.854136] 0003 0036 0000016e
2022-04-07 18:55:26.550200 False [   18855.862515] 0003 0035 000000cb
2022-04-07 18:55:26.550200 False [   18855.862515] 0003 0036 00000179
2022-04-07 18:55:26.557079 False [   18855.870685] 0003 0036 00000185
2022-04-07 18:55:26.566004 False [   18855.879298] 0003 0036 00000194
2022-04-07 18:55:26.574824 False [   18855.887262] 0003 0036 000001a2
2022-04-07 18:55:26.592311 False [   18855.895759] 0003 0036 000001af
2022-04-07 18:55:26.600329 False [   18855.903923] 0003 0036 000001bd
2022-04-07 18:55:26.608125 False [   18855.912507] 0003 0036 000001cc
2022-04-07 18:55:26.616996 False [   18855.920776] 0003 0035 000000cc
2022-04-07 18:55:26.616996 False [   18855.920776] 0003 0036 000001da
2022-04-07 18:55:26.623145 False [   18855.929014] 0003 0036 000001e8
2022-04-07 18:55:26.625286 False [   18855.937179] 0003 0035 000000ce
2022-04-07 18:55:26.625286 False [   18855.937179] 0003 0036 000001f6
2022-04-07 18:55:26.631441 False [   18855.945569] 0003 0035 000000cf
2022-04-07 18:55:26.631441 False [   18855.945569] 0003 0036 00000206
2022-04-07 18:55:26.642996 False [   18855.953758] 0003 0036 00000214
2022-04-07 18:55:26.647982 False [   18855.962334] 0003 0035 000000d1
2022-04-07 18:55:26.647982 False [   18855.962334] 0003 0036 00000223
2022-04-07 18:55:26.657089 False [   18855.970361] 0003 0035 000000d2
2022-04-07 18:55:26.657089 False [   18855.970361] 0003 0036 00000231
2022-04-07 18:55:26.666996 False [   18855.978853] 0003 0036 00000242
2022-04-07 18:55:26.675119 False [   18855.986990] 0003 0035 000000d3
2022-04-07 18:55:26.675119 False [   18855.986990] 0003 0036 00000252
2022-04-07 18:55:26.683099 False [   18855.995491] 0003 0035 000000d4
2022-04-07 18:55:26.683099 False [   18855.995491] 0003 0036 00000263
2022-04-07 18:55:26.692842 False [   18856.003607] 0003 0035 000000d5
2022-04-07 18:55:26.692842 False [   18856.003607] 0003 0036 00000276
2022-04-07 18:55:26.698902 False [   18856.012115] 0003 0035 000000d6
2022-04-07 18:55:26.699420 False [   18856.012115] 0003 0036 0000028a
2022-04-07 18:55:26.720704 False [   18856.020345] 0003 0036 0000029d
2022-04-07 18:55:26.720704 False [   18856.028845] 0003 0036 000002b3
2022-04-07 18:55:26.724804 False [   18856.036997] 0003 0035 000000d7
2022-04-07 18:55:26.724804 False [   18856.036997] 0003 0036 000002c9
2022-04-07 18:55:26.734032 False [   18856.045357] 0003 0036 000002df
2022-04-07 18:55:26.740644 False [   18856.053469] 0003 0035 000000d8
2022-04-07 18:55:26.740644 False [   18856.053469] 0003 0036 000002f4
2022-04-07 18:55:26.748286 False [   18856.061956] 0003 0035 000000d9
2022-04-07 18:55:26.748286 False [   18856.061956] 0003 0036 0000030b
2022-04-07 18:55:26.758327 False [   18856.070106] 0003 0036 00000322
2022-04-07 18:55:26.764310 False [   18856.078505] 0003 0035 000000da
2022-04-07 18:55:26.765307 False [   18856.078505] 0003 0036 00000337
2022-04-07 18:55:26.774283 False [   18856.086716] 0003 0035 000000db
2022-04-07 18:55:26.774283 False [   18856.086716] 0003 0036 0000034c
2022-04-07 18:55:26.781287 False [   18856.095242] 0003 0035 000000dc
2022-04-07 18:55:26.781287 False [   18856.095242] 0003 0036 00000362
2022-04-07 18:55:26.792235 False [   18856.103329] 0003 0035 000000dd
2022-04-07 18:55:26.792235 False [   18856.103329] 0003 0036 00000378
2022-04-07 18:55:26.799221 False [   18856.111954] 0003 0036 0000038e
2022-04-07 18:55:26.805201 False [   18856.119988] 0003 0036 000003a3
2022-04-07 18:55:26.815292 False [   18856.128393] 0003 0036 000003ba
2022-04-07 18:55:26.825303 False [   18856.136574] 0003 0036 000003d0
2022-04-07 18:55:26.834792 False [   18856.145204] 0003 0036 000003e7
2022-04-07 18:55:26.839533 False [   18856.153781] 0003 0035 000000dc
2022-04-07 18:55:26.840506 False [   18856.153781] 0003 0036 000003fd
2022-04-07 18:55:26.847074 False [   18856.161622] 0003 0035 000000db
2022-04-07 18:55:26.847074 False [   18856.161622] 0003 0036 00000414
2022-04-07 18:55:26.854349 False [   18856.169864] 0003 0035 000000da
2022-04-07 18:55:26.854349 False [   18856.169864] 0003 0036 00000429
2022-04-07 18:55:26.863389 False [   18856.178306] 0003 0036 0000043c
2022-04-07 18:55:26.873175 False [   18856.186531] 0003 0035 000000d9
2022-04-07 18:55:26.873175 False [   18856.186531] 0003 0036 00000453
2022-04-07 18:55:26.880025 False [   18856.194958] 0003 0036 00000468
2022-04-07 18:55:26.891722 False [   18856.203091] 0003 0036 0000047b
2022-04-07 18:55:26.899082 False [   18856.211529] 0003 0035 000000d8
2022-04-07 18:55:26.899082 False [   18856.211529] 0003 0036 00000491
2022-04-07 18:55:26.908042 False [   18856.219706] 0003 0036 000004a6
2022-04-07 18:55:26.915721 False [   18856.228159] 0003 0035 000000d7
2022-04-07 18:55:26.915721 False [   18856.228159] 0003 0036 000004be
2022-04-07 18:55:26.922532 False [   18856.236307] 0003 0035 000000d6
2022-04-07 18:55:26.922532 False [   18856.236307] 0003 0036 000004d4
2022-04-07 18:55:26.934547 False [   18856.244734] 0003 0036 000004eb
2022-04-07 18:55:26.941152 False [   18856.252994] 0003 0035 000000d5
2022-04-07 18:55:26.941152 False [   18856.252994] 0003 0036 00000502
2022-04-07 18:55:26.947175 False [   18856.261470] 0003 0035 000000d4
2022-04-07 18:55:26.947175 False [   18856.261470] 0003 0036 00000518
2022-04-07 18:55:26.956882 False [   18856.269551] 0003 0035 000000d2
2022-04-07 18:55:26.956882 False [   18856.269551] 0003 0036 0000052f
2022-04-07 18:55:26.964754 False [   18856.278037] 0003 0036 00000548
2022-04-07 18:55:26.972254 False [   18856.286206] 0003 0035 000000ce
2022-04-07 18:55:26.972254 False [   18856.286206] 0003 0036 00000560
2022-04-07 18:55:26.980078 False [   18856.294666] 0003 0035 000000cc
2022-04-07 18:55:26.980078 False [   18856.294666] 0003 0036 00000578
2022-04-07 18:55:26.988090 False [   18856.302784] 0003 0035 000000cb
2022-04-07 18:55:26.988090 False [   18856.302784] 0003 0036 0000058d
2022-04-07 18:55:26.997089 False [   18856.311234] 0003 0035 000000c9
2022-04-07 18:55:26.997089 False [   18856.311234] 0003 0036 000005a2
2022-04-07 18:55:27.005947 False [   18856.319527] 0003 0035 000000c7
2022-04-07 18:55:27.005947 False [   18856.319527] 0003 0036 000005b8
2022-04-07 18:55:27.015209 False [   18856.327862] 0003 0035 000000c6
2022-04-07 18:55:27.015209 False [   18856.327862] 0003 0036 000005cd
2022-04-07 18:55:27.022707 False [   18856.336058] 0003 0035 000000c5
2022-04-07 18:55:27.022707 False [   18856.336058] 0003 0036 000005e1
2022-04-07 18:55:27.030606 False [   18856.344566] 0003 0035 000000c3
2022-04-07 18:55:27.030606 False [   18856.344566] 0003 0036 000005f5
2022-04-07 18:55:27.040428 False [   18856.352662] 0003 0035 000000c1
2022-04-07 18:55:27.040428 False [   18856.352662] 0003 0036 00000608
2022-04-07 18:55:27.049718 False [   18856.361220] 0003 0035 000000c0
2022-04-07 18:55:27.049718 False [   18856.361220] 0003 0036 0000061a
2022-04-07 18:55:27.055198 False [   18856.369264] 0003 0035 000000bf
2022-04-07 18:55:27.055198 False [   18856.369264] 0003 0036 0000062a
2022-04-07 18:55:27.065520 False [   18856.377682] 0003 0035 000000be
2022-04-07 18:55:27.065520 False [   18856.377682] 0003 0036 0000063a
2022-04-07 18:55:27.072693 False [   18856.385872] 0003 0035 000000bd
2022-04-07 18:55:27.072693 False [   18856.385872] 0003 0036 0000064a
